time,open,high,low,close,Volume,volume
2013-01-02,21.48,21.77,20.97,21.6,,13767900.0
2013-01-03,21.53,21.53,21.01,21.42,,16739300.0
2013-01-04,21.29,21.46,21.07,21.15,,21372100.0
2013-01-07,21.01,21.81,21.01,21.2,,17897100.0
2013-01-08,21.09,21.31,20.52,20.73,,17863300.0
2013-01-09,20.67,20.88,20.67,20.85,,18800400.0
2013-01-10,20.7,20.91,20.5,20.91,,15658100.0
2013-01-11,20.91,21.1,20.76,21.07,,11191500.0
2013-01-14,21.17,21.32,21.04,21.22,,11584900.0
2013-01-15,20.98,21.61,20.98,21.53,,13040200.0
2013-01-16,21.45,22.12,21.44,22.12,,16512700.0
2013-01-17,22.25,22.84,22.25,22.67,,14424800.0
2013-01-18,22.67,23.23,22.43,23.23,,17842200.0
2013-01-22,23.02,23.18,22.36,22.67,,15809700.0
2013-01-23,22.97,23.55,22.72,23.53,,10981600.0
2013-01-24,23.52,23.97,23.17,23.31,,11327100.0
2013-01-25,23.35,23.55,22.8,23.4,,8934600.0
2013-01-28,23.43,23.57,22.85,22.96,,7140100.0
2013-01-29,22.85,23.31,22.56,23.22,,8838500.0
2013-01-30,22.91,23.35,22.91,22.98,,10841800.0
2013-01-31,22.93,22.98,22.57,22.83,,10720700.0
2013-02-01,22.93,23.15,22.73,23.14,,9527500.0
2013-02-04,22.8,23.21,22.75,23.2,,6348000.0
2013-02-05,23.29,23.48,23.14,23.15,,7284400.0
2013-02-06,23.0,23.2,22.94,23.11,,5738900.0
2013-02-07,23.38,23.38,22.28,22.67,,9872500.0
2013-02-08,22.64,22.67,22.3,22.56,,13858700.0
2013-02-11,22.49,22.52,22.25,22.31,,6032100.0
2013-02-12,22.26,22.34,21.91,22.04,,7473800.0
2013-02-13,22.04,22.14,21.88,21.95,,4859800.0
2013-02-14,21.81,22.86,21.79,22.76,,7570100.0
2013-02-15,22.98,23.53,22.98,23.39,,13296300.0
2013-02-19,23.36,23.86,23.1,23.77,,8292700.0
