time,open,high,low,close,Volume,volume
1999-11-01,9.82,9.97,9.7,9.77,,8656500.0
1999-11-02,9.47,9.61,9.11,9.21,,22183400.0
1999-11-03,9.15,9.27,8.93,8.93,,19538700.0
1999-11-04,9.08,9.27,8.97,9.18,,15124600.0
1999-11-05,9.18,9.43,9.18,9.32,,13604600.0
1999-11-08,9.35,9.43,9.32,9.43,,9546200.0
1999-11-09,9.46,9.46,8.91,8.97,,11980600.0
1999-11-10,8.9,9.02,8.86,8.97,,7764200.0
1999-11-11,9.25,9.27,8.85,8.85,,29938300.0
1999-11-12,8.85,8.94,8.76,8.84,,13167300.0
1999-11-15,8.84,9.02,8.82,8.88,,13534800.0
1999-11-16,9.09,9.25,9.03,9.2,,16435300.0
1999-11-17,9.17,9.23,8.94,9.05,,11573100.0
1999-11-18,9.33,9.35,9.05,9.21,,14108100.0
1999-11-19,9.2,9.21,9.09,9.09,,9158600.0
1999-11-22,9.21,9.44,9.18,9.43,,13446400.0
1999-11-23,9.32,9.35,9.06,9.21,,9020200.0
1999-11-24,9.26,9.46,9.2,9.33,,6721500.0
1999-11-26,9.21,9.29,9.17,9.21,,3066600.0
1999-11-29,9.14,9.43,9.11,9.43,,8969500.0
1999-11-30,9.21,9.43,9.12,9.21,,9266700.0
1999-12-01,9.21,9.26,8.97,9.08,,8490600.0
1999-12-02,9.14,9.18,9.03,9.11,,5763000.0
1999-12-03,9.2,9.31,9.03,9.08,,6611900.0
1999-12-06,9.0,9.05,8.73,8.82,,8812600.0
1999-12-07,8.86,8.88,8.65,8.68,,11989100.0
1999-12-08,8.73,8.77,8.5,8.62,,8539500.0
1999-12-09,8.52,8.61,8.28,8.53,,14603700.0
1999-12-10,8.58,8.67,8.46,8.46,,7879300.0
1999-12-13,8.4,8.5,8.11,8.23,,10005800.0
1999-12-14,8.0,8.3,8.0,8.08,,12154800.0
1999-12-15,8.09,8.53,8.09,8.53,,13586400.0
1999-12-16,8.58,9.94,8.43,9.58,,20261900.0
1999-12-17,9.67,9.71,8.97,9.03,,51505800.0
1999-12-20,8.97,9.15,8.94,9.08,,14983900.0
1999-12-21,9.08,9.21,9.06,9.14,,12308000.0
1999-12-22,9.08,9.15,8.99,9.09,,10555000.0
1999-12-23,9.0,9.09,8.93,8.99,,11832600.0
1999-12-27,8.97,9.02,8.9,9.02,,9950600.0
1999-12-28,9.05,9.08,8.94,8.99,,6123500.0
1999-12-29,9.03,9.03,8.79,8.82,,6532300.0
1999-12-30,8.85,8.93,8.82,8.9,,5523900.0
1999-12-31,8.84,8.85,8.76,8.8,,3136500.0
2000-01-03,8.55,8.73,8.43,8.49,,10635000.0
2000-01-04,8.35,8.43,8.18,8.24,,10734600.0
2000-01-05,8.14,8.46,8.14,8.2,,11722500.0
2000-01-06,8.24,8.55,8.2,8.52,,17479500.0
2000-01-07,8.37,8.79,8.37,8.61,,15755900.0
2000-01-10,8.73,8.74,8.46,8.55,,10442000.0
2000-01-11,8.34,8.53,8.34,8.43,,9533100.0
2000-01-12,8.46,8.51,8.26,8.28,,8329900.0
2000-01-13,8.28,8.35,8.19,8.2,,10615800.0
2000-01-14,8.38,8.42,8.26,8.38,,11217500.0
2000-01-18,8.22,8.38,8.05,8.2,,11348600.0
2000-01-19,7.99,8.13,7.99,8.03,,16849700.0
2000-01-20,7.94,7.99,7.7,7.79,,15429100.0
2000-01-21,7.65,7.69,7.47,7.58,,18903500.0
