time,open,high,low,close,Volume,volume
1999-11-01,1.41,1.45,1.38,1.38,,15300.0
1999-11-02,1.4,1.44,1.39,1.42,,13900.0
1999-11-03,1.43,1.45,1.4,1.4,,2900.0
1999-11-04,1.4,1.43,1.4,1.4,,6400.0
1999-11-05,1.4,1.47,1.4,1.47,,41600.0
1999-11-08,1.41,1.44,1.41,1.41,,16900.0
1999-11-09,1.39,1.47,1.39,1.45,,45400.0
1999-11-10,1.41,1.45,1.41,1.41,,20000.0
1999-11-11,1.4,1.41,1.37,1.38,,199500.0
1999-11-12,1.38,1.38,1.33,1.33,,11500.0
1999-11-15,1.34,1.37,1.33,1.35,,95500.0
1999-11-16,1.34,1.35,1.32,1.35,,29500.0
1999-11-17,1.31,1.35,1.31,1.31,,3100.0
1999-11-18,1.35,1.39,1.35,1.35,,3900.0
1999-11-19,1.39,1.39,1.34,1.35,,34200.0
1999-11-22,1.35,1.35,1.35,1.35,,11800.0
1999-11-23,1.33,1.37,1.16,1.29,,63700.0
1999-11-24,1.27,1.28,1.23,1.27,,85200.0
1999-11-26,1.25,1.27,1.25,1.27,,2900.0
1999-11-29,1.28,1.31,1.22,1.27,,97300.0
1999-11-30,1.39,1.4,1.35,1.37,,30500.0
1999-12-01,1.37,1.37,1.29,1.32,,11400.0
1999-12-02,1.32,1.4,1.32,1.39,,44200.0
1999-12-03,1.38,1.38,1.33,1.36,,30200.0
1999-12-06,1.39,1.39,1.29,1.29,,15300.0
1999-12-07,1.32,1.32,1.27,1.27,,36500.0
1999-12-08,1.24,1.29,1.24,1.27,,61200.0
1999-12-09,1.27,1.28,1.23,1.23,,125400.0
1999-12-10,1.27,1.28,1.22,1.24,,10000.0
1999-12-13,1.28,1.28,1.2,1.22,,136900.0
1999-12-14,1.2,1.25,1.2,1.2,,66600.0
1999-12-15,1.2,1.25,1.19,1.25,,49000.0
1999-12-16,1.22,1.24,1.22,1.22,,23400.0
1999-12-17,1.29,1.29,1.2,1.23,,42100.0
1999-12-20,1.27,1.27,1.2,1.22,,61700.0
1999-12-21,1.21,1.35,1.21,1.29,,61600.0
1999-12-22,1.3,1.3,1.25,1.27,,14700.0
1999-12-23,1.34,1.35,1.22,1.23,,35100.0
1999-12-27,1.24,1.36,1.24,1.33,,48600.0
1999-12-28,1.27,1.35,1.26,1.34,,51900.0
1999-12-29,1.27,1.36,1.27,1.36,,67400.0
1999-12-30,1.33,1.39,1.33,1.37,,56700.0
1999-12-31,1.35,1.35,1.33,1.33,,13300.0
2000-01-03,1.34,1.35,1.2,1.22,,48200.0
2000-01-04,1.2,1.22,1.2,1.21,,9400.0
2000-01-05,1.22,1.32,1.22,1.32,,8900.0
2000-01-06,1.32,1.36,1.26,1.31,,38700.0
2000-01-07,1.31,1.39,1.31,1.38,,27500.0
2000-01-10,1.37,1.44,1.37,1.43,,50600.0
2000-01-11,1.41,1.45,1.39,1.44,,45300.0
2000-01-12,1.44,1.45,1.4,1.44,,24100.0
2000-01-13,1.45,1.51,1.45,1.51,,44900.0
2000-01-14,1.53,1.58,1.53,1.57,,48000.0
2000-01-18,1.54,1.77,1.54,1.64,,180500.0
2000-01-19,1.68,1.68,1.63,1.68,,74200.0
2000-01-20,1.68,1.68,1.61,1.64,,109500.0
2000-01-21,1.64,1.65,1.63,1.65,,51200.0
2000-01-24,1.62,1.65,1.62,1.64,,123200.0
2000-01-25,1.64,1.66,1.63,1.63,,56100.0
