time,open,high,low,close,Volume,volume
2001-07-19,10.57,10.7,10.5,10.62,,34994300.0
2001-07-20,10.53,10.53,10.36,10.51,,9238500.0
2001-07-23,10.5,10.51,10.18,10.5,,7501000.0
2001-07-24,10.46,10.48,10.29,10.4,,3537300.0
2001-07-25,10.29,10.46,10.25,10.46,,4208100.0
2001-07-26,10.46,10.49,10.15,10.15,,6335300.0
2001-07-27,10.16,10.21,10.15,10.16,,3524000.0
2001-07-30,10.15,10.34,10.15,10.29,,3654300.0
2001-07-31,10.3,10.51,10.22,10.47,,1429000.0
2001-08-01,10.5,10.85,10.43,10.85,,2087900.0
2001-08-02,10.78,10.85,10.57,10.78,,1717400.0
2001-08-03,10.78,10.78,10.48,10.6,,983600.0
2001-08-06,10.6,10.65,10.51,10.57,,777400.0
2001-08-07,10.57,10.88,10.57,10.85,,788900.0
2001-08-08,10.78,10.92,10.5,10.5,,2190300.0
2001-08-09,10.53,10.85,10.5,10.85,,928000.0
2001-08-10,10.78,10.78,10.58,10.63,,703300.0
2001-08-13,10.6,10.74,10.43,10.51,,1770400.0
2001-08-14,10.53,10.54,10.25,10.29,,1000800.0
2001-08-15,10.32,10.43,10.29,10.35,,530900.0
2001-08-16,10.34,10.34,9.83,9.83,,1522700.0
2001-08-17,9.84,10.36,9.73,10.16,,2342400.0
2001-08-20,10.22,10.74,10.14,10.74,,1434900.0
2001-08-21,10.67,10.92,10.51,10.82,,1038200.0
2001-08-22,10.72,10.77,10.34,10.74,,829000.0
2001-08-23,10.81,10.81,10.67,10.67,,470000.0
2001-08-24,10.67,10.83,10.5,10.78,,689000.0
2001-08-27,10.83,10.95,10.78,10.83,,827700.0
2001-08-28,10.79,10.9,10.67,10.75,,736900.0
2001-08-29,10.7,10.72,10.5,10.51,,397400.0
2001-08-30,10.53,10.53,10.39,10.46,,640100.0
2001-08-31,10.5,10.57,10.43,10.43,,3337900.0
2001-09-04,10.5,10.95,10.5,10.76,,1068600.0
2001-09-05,10.76,10.76,10.43,10.44,,1053200.0
2001-09-06,10.32,10.51,10.08,10.15,,1384500.0
2001-09-07,10.11,10.25,10.04,10.16,,1408500.0
2001-09-10,10.2,10.61,10.18,10.6,,622100.0
2001-09-17,10.6,10.6,10.13,10.22,,1934300.0
2001-09-18,10.22,10.5,10.04,10.18,,902800.0
2001-09-19,10.28,10.28,9.6,9.76,,2415400.0
2001-09-20,9.73,9.73,8.99,9.06,,3498900.0
2001-09-21,9.1,9.1,8.51,8.92,,2051800.0
2001-09-24,9.3,9.3,9.06,9.24,,1964200.0
2001-09-25,9.24,9.24,8.89,8.96,,1827300.0
2001-09-26,9.07,9.07,8.54,8.54,,3327200.0
2001-09-27,8.58,8.58,8.13,8.29,,2347500.0
2001-09-28,8.47,9.41,8.47,8.92,,2844000.0
2001-10-01,8.85,9.1,8.85,8.89,,878800.0
2001-10-02,8.78,8.89,8.48,8.81,,1900400.0
2001-10-03,9.14,9.14,8.82,9.06,,2539400.0
2001-10-04,9.66,9.66,9.08,9.44,,3108500.0
2001-10-05,9.62,9.62,9.32,9.48,,2172300.0
2001-10-08,9.58,9.58,9.26,9.26,,576100.0
2001-10-09,9.66,9.66,9.37,9.38,,1601100.0
2001-10-10,9.34,9.62,9.31,9.57,,1700400.0
2001-10-11,10.85,10.85,10.29,10.61,,4214100.0
2001-10-12,10.68,11.58,8.92,11.58,,5193300.0
2001-10-15,11.56,12.56,11.56,12.25,,3277900.0
2001-10-16,12.35,12.63,11.83,12.21,,1996000.0
2001-10-17,12.35,12.42,11.79,11.88,,1877100.0
2001-10-18,11.88,11.88,11.63,11.69,,942000.0
2001-10-19,11.69,11.79,11.58,11.79,,2062500.0
2001-10-22,11.9,12.3,11.88,12.25,,469600.0
2001-10-23,12.25,12.41,12.09,12.33,,915400.0
2001-10-24,12.43,12.43,12.3,12.42,,472600.0
2001-10-25,12.42,12.42,11.99,12.42,,265100.0
2001-10-26,12.39,12.44,12.25,12.33,,566500.0
2001-10-29,12.4,12.41,12.18,12.28,,616200.0
2001-10-30,12.22,12.22,12.0,12.14,,574700.0
2001-10-31,12.19,12.32,11.97,12.3,,718600.0
2001-11-01,12.26,13.01,12.26,12.82,,1089900.0
2001-11-02,12.95,13.37,12.67,12.77,,2372800.0
2001-11-05,12.77,12.79,12.44,12.67,,1552700.0
2001-11-06,12.58,12.58,12.14,12.58,,562600.0
2001-11-07,13.23,13.23,12.57,13.23,,1987000.0
2001-11-08,13.09,13.98,13.09,13.96,,1747200.0
2001-11-09,13.82,13.96,13.75,13.96,,1325400.0
2001-11-12,13.82,13.82,13.3,13.64,,2398300.0
2001-11-13,13.79,14.87,13.76,14.56,,1463000.0
2001-11-14,14.7,14.98,13.98,14.15,,1391400.0
2001-11-15,14.03,14.31,14.03,14.17,,628200.0
