time,open,high,low,close,Volume,volume
1999-11-01,11.89,11.97,11.86,11.89,,146000.0
1999-11-02,11.91,12.08,11.89,11.94,,178600.0
1999-11-03,11.98,11.98,11.75,11.85,,192500.0
1999-11-04,11.89,11.92,11.69,11.73,,102200.0
1999-11-05,11.86,11.92,11.77,11.77,,148400.0
1999-11-08,11.83,11.83,11.67,11.71,,87800.0
1999-11-09,11.71,11.71,11.59,11.63,,206300.0
1999-11-10,11.63,11.63,11.49,11.55,,156100.0
1999-11-11,11.53,11.57,11.43,11.53,,204500.0
1999-11-12,11.57,11.69,11.53,11.55,,243300.0
1999-11-15,11.45,11.53,11.38,11.43,,114200.0
1999-11-16,11.43,11.53,11.39,11.49,,158100.0
1999-11-17,11.51,11.55,11.36,11.42,,193000.0
1999-11-18,11.34,11.51,11.34,11.45,,375100.0
1999-11-19,11.43,11.45,11.22,11.24,,333600.0
1999-11-22,11.24,11.24,11.0,11.04,,294100.0
1999-11-23,11.04,11.04,10.77,10.79,,479900.0
1999-11-24,10.79,10.79,10.71,10.77,,447300.0
1999-11-26,10.77,10.77,10.69,10.71,,104800.0
1999-11-29,10.67,10.67,10.36,10.47,,393000.0
1999-11-30,10.51,10.89,10.47,10.87,,1046600.0
1999-12-01,10.87,10.95,10.73,10.77,,567800.0
1999-12-02,10.79,10.81,10.73,10.79,,583200.0
1999-12-03,10.87,10.89,10.79,10.83,,1501800.0
1999-12-06,10.91,10.93,10.71,10.79,,612800.0
1999-12-07,10.77,10.85,10.67,10.77,,829700.0
1999-12-08,10.73,10.75,10.63,10.65,,264800.0
1999-12-09,10.65,10.65,10.49,10.55,,459000.0
1999-12-10,10.55,10.59,10.37,10.47,,467900.0
1999-12-13,10.49,10.49,10.29,10.37,,444500.0
1999-12-14,10.37,10.47,10.37,10.39,,375900.0
1999-12-15,10.39,10.49,10.31,10.47,,274100.0
1999-12-16,10.47,10.49,10.35,10.35,,385900.0
1999-12-17,10.35,10.35,10.35,10.35,,525500.0
