time,open,high,low,close,Volume,volume
1999-11-01,17.28,17.36,17.09,17.19,,568300.0
1999-11-02,17.27,17.49,17.17,17.49,,899900.0
1999-11-03,17.57,17.65,17.04,17.06,,857000.0
1999-11-04,17.13,17.27,16.96,17.0,,363900.0
1999-11-05,17.3,17.65,17.23,17.36,,594800.0
1999-11-08,17.3,17.38,17.23,17.28,,260200.0
1999-11-09,17.32,17.34,17.07,17.24,,467700.0
1999-11-10,17.24,17.61,17.24,17.51,,813800.0
1999-11-11,17.49,17.91,17.49,17.63,,993500.0
1999-11-12,17.65,17.84,17.47,17.82,,643000.0
1999-11-15,17.93,18.28,17.84,18.22,,711000.0
1999-11-16,18.06,18.67,18.06,18.64,,1092200.0
1999-11-17,18.6,18.67,18.35,18.39,,766900.0
1999-11-18,18.39,18.77,18.37,18.67,,801000.0
1999-11-19,18.64,18.71,18.56,18.58,,608300.0
1999-11-22,18.9,19.0,18.29,18.39,,670100.0
1999-11-23,18.37,18.37,17.82,17.85,,539800.0
1999-11-24,17.85,17.85,16.94,17.28,,824400.0
1999-11-26,17.3,17.45,17.27,17.36,,625600.0
1999-11-29,17.36,17.45,16.56,17.27,,768400.0
1999-11-30,17.27,17.99,17.27,17.67,,843200.0
1999-12-01,17.61,17.68,17.55,17.68,,518200.0
1999-12-02,17.65,17.82,17.57,17.82,,427400.0
1999-12-03,17.82,18.45,17.82,18.08,,694300.0
1999-12-06,18.37,18.45,17.88,17.89,,361900.0
1999-12-07,17.91,18.54,17.84,18.5,,833900.0
1999-12-08,18.52,18.98,18.35,18.75,,1263100.0
1999-12-09,19.21,19.78,19.21,19.42,,720000.0
1999-12-10,19.36,19.36,18.81,18.85,,514400.0
1999-12-13,18.87,18.9,18.62,18.77,,773900.0
1999-12-14,18.69,18.79,18.54,18.75,,871900.0
1999-12-15,18.71,19.17,18.64,19.13,,601400.0
1999-12-16,19.44,19.44,18.58,18.6,,807400.0
1999-12-17,18.67,19.82,18.6,19.82,,1081400.0
1999-12-20,19.78,20.73,19.74,20.58,,1144200.0
1999-12-21,20.43,21.46,20.39,21.46,,1508400.0
1999-12-22,21.61,21.61,20.62,20.83,,1183900.0
1999-12-23,20.24,20.92,20.24,20.71,,681100.0
1999-12-27,21.04,21.92,21.04,21.67,,663300.0
1999-12-28,21.65,21.67,21.27,21.67,,306500.0
1999-12-29,21.71,21.92,21.31,21.76,,297800.0
1999-12-30,21.65,22.41,21.65,21.95,,644000.0
1999-12-31,21.95,23.29,21.82,22.79,,518800.0
2000-01-03,22.79,22.79,21.72,22.1,,667200.0
2000-01-04,21.92,21.93,21.11,21.23,,742400.0
2000-01-05,21.25,21.42,20.88,21.36,,784900.0
2000-01-06,21.53,21.84,21.34,21.63,,854200.0
2000-01-07,21.55,22.05,21.4,22.05,,724700.0
2000-01-10,22.1,23.15,22.1,23.04,,1728900.0
2000-01-11,23.15,23.36,22.73,23.15,,1305000.0
2000-01-12,23.17,24.07,23.17,23.63,,1410000.0
2000-01-13,23.59,24.6,23.4,24.03,,1661300.0
2000-01-14,24.7,25.42,24.58,25.38,,1066300.0
2000-01-18,24.92,24.92,23.71,23.76,,937200.0
2000-01-19,23.78,24.2,23.67,23.9,,1174000.0
2000-01-20,24.09,24.09,23.63,23.69,,734900.0
2000-01-21,23.93,24.39,23.82,24.39,,824400.0
2000-01-24,24.39,24.83,24.22,24.39,,1738800.0
2000-01-25,24.39,24.56,23.14,23.17,,1027300.0
2000-01-26,23.1,23.1,22.09,22.09,,1461100.0
2000-01-27,22.41,23.65,22.39,23.14,,1142400.0
2000-01-28,23.21,23.38,22.83,23.29,,635200.0
2000-01-31,23.78,24.68,23.49,24.43,,918700.0
2000-02-01,24.43,24.85,23.9,24.62,,1016100.0
2000-02-02,24.6,24.81,23.63,24.18,,939800.0
2000-02-03,24.33,25.25,24.03,24.51,,1303700.0
2000-02-04,24.51,24.51,22.14,22.94,,2203800.0
2000-02-07,23.48,24.54,23.32,24.39,,1297800.0
2000-02-08,24.77,26.18,24.62,25.74,,1554600.0
2000-02-09,25.74,26.37,25.36,26.18,,1046600.0
2000-02-10,25.92,26.14,25.12,25.27,,792300.0
2000-02-11,24.85,25.17,24.62,25.0,,523300.0
2000-02-14,25.0,26.13,24.81,26.07,,965900.0
2000-02-15,26.07,26.74,25.8,26.34,,914000.0
2000-02-16,26.26,27.25,26.14,26.89,,993000.0
2000-02-17,26.91,27.27,26.6,26.81,,541200.0
2000-02-18,26.83,27.14,26.64,26.83,,669600.0
2000-02-22,26.75,26.83,25.82,26.2,,562500.0
2000-02-23,26.07,26.07,25.0,25.67,,943100.0
2000-02-24,25.92,26.05,25.4,25.88,,817100.0
2000-02-25,25.88,25.92,25.23,25.76,,486200.0
2000-02-28,25.84,26.16,25.76,26.16,,581400.0
2000-02-29,26.16,26.35,25.4,25.55,,790000.0
2000-03-01,25.55,25.73,24.66,24.98,,848800.0
2000-03-02,25.15,26.66,25.12,26.57,,973600.0
2000-03-03,26.75,26.98,26.22,26.51,,1086200.0
2000-03-06,25.92,25.92,22.56,24.81,,3498400.0
2000-03-07,25.04,25.38,24.2,24.28,,1254700.0
2000-03-08,24.28,24.31,23.59,23.86,,1376900.0
2000-03-09,24.31,24.31,22.79,23.04,,1085400.0
2000-03-10,21.95,23.78,21.19,22.26,,1864900.0
2000-03-13,21.88,22.56,21.44,22.26,,1289600.0
2000-03-14,22.49,22.56,21.38,21.92,,899700.0
2000-03-15,21.84,22.79,21.67,22.68,,1018400.0
2000-03-16,23.4,25.0,23.14,24.43,,1437700.0
2000-03-17,24.39,24.41,22.79,23.74,,1937100.0
2000-03-20,23.74,24.3,22.89,23.44,,967200.0
2000-03-21,23.32,23.32,22.71,22.75,,829800.0
2000-03-22,22.79,22.83,21.53,22.01,,1797500.0
2000-03-23,22.31,22.94,22.28,22.5,,1315400.0
2000-03-24,22.45,23.1,22.1,23.1,,1148100.0
2000-03-27,23.17,23.44,22.58,22.66,,575500.0
2000-03-28,21.95,22.7,21.72,22.2,,1079200.0
2000-03-29,21.95,23.38,21.95,22.98,,855300.0
2000-03-30,22.98,25.76,22.64,24.28,,1616200.0
2000-03-31,24.28,24.64,23.61,24.01,,1166200.0
2000-04-03,24.03,24.28,22.96,23.74,,821500.0
2000-04-04,23.74,24.51,21.72,22.66,,1389700.0
2000-04-05,23.02,23.71,22.77,23.04,,753900.0
2000-04-06,23.06,23.48,22.87,23.06,,538800.0
2000-04-07,23.25,23.67,22.89,23.48,,486100.0
2000-04-10,23.48,24.68,23.48,24.22,,784700.0
2000-04-11,24.18,24.18,23.29,23.78,,583600.0
2000-04-12,23.78,23.78,23.19,23.34,,745700.0
2000-04-13,23.4,23.55,23.04,23.31,,580700.0
