time,open,high,low,close,Volume,volume
1999-11-01,7.77,7.77,7.46,7.46,,898800.0
1999-11-02,7.54,7.94,7.53,7.68,,872400.0
1999-11-03,7.72,7.87,7.7,7.79,,696500.0
1999-11-04,7.79,7.96,7.79,7.93,,717000.0
1999-11-05,7.96,8.02,7.92,7.96,,904800.0
1999-11-08,7.91,8.02,7.87,8.01,,508200.0
1999-11-09,7.99,7.99,7.76,7.91,,627000.0
1999-11-10,7.76,7.83,7.7,7.82,,579800.0
1999-11-11,7.81,7.84,7.75,7.83,,299000.0
1999-11-12,7.83,7.9,7.81,7.85,,956800.0
1999-11-15,7.83,8.03,7.8,8.02,,1034600.0
1999-11-16,8.01,8.26,7.99,8.23,,495300.0
1999-11-17,8.19,8.2,8.06,8.07,,334400.0
1999-11-18,8.07,8.14,8.04,8.06,,487300.0
1999-11-19,8.06,8.06,7.81,7.91,,473200.0
1999-11-22,7.78,7.78,7.54,7.68,,490200.0
1999-11-23,7.67,7.82,7.58,7.6,,549600.0
1999-11-24,7.62,7.64,7.49,7.53,,261800.0
1999-11-26,7.42,7.56,7.36,7.46,,147000.0
1999-11-29,7.42,7.42,7.24,7.29,,303400.0
1999-11-30,7.29,7.31,7.24,7.29,,475100.0
1999-12-01,7.29,7.43,7.27,7.35,,759800.0
1999-12-02,7.35,7.44,7.24,7.43,,687600.0
1999-12-03,7.48,7.68,7.48,7.63,,496100.0
1999-12-06,7.57,7.62,7.4,7.42,,367500.0
1999-12-07,7.32,7.33,7.2,7.26,,407100.0
1999-12-08,7.24,7.27,7.11,7.13,,529400.0
1999-12-09,7.09,7.09,6.87,6.97,,632600.0
1999-12-10,6.99,7.24,6.91,7.15,,570100.0
1999-12-13,7.11,7.24,7.11,7.18,,481700.0
1999-12-14,7.19,7.29,7.1,7.24,,511500.0
1999-12-15,7.22,7.22,6.99,7.1,,455300.0
1999-12-16,7.07,7.07,6.64,6.92,,875900.0
1999-12-17,6.93,7.11,6.91,6.93,,790200.0
1999-12-20,6.97,7.04,6.9,6.97,,304000.0
1999-12-21,6.82,7.04,6.76,7.0,,523200.0
1999-12-22,7.0,7.0,6.79,6.85,,421200.0
1999-12-23,6.99,7.0,6.86,6.87,,342900.0
1999-12-27,6.95,7.0,6.8,6.85,,526600.0
1999-12-28,6.63,6.89,6.63,6.86,,630800.0
1999-12-29,6.8,7.26,6.79,7.2,,527700.0
1999-12-30,7.11,7.19,7.05,7.12,,291100.0
1999-12-31,7.1,7.23,7.07,7.19,,170800.0
2000-01-03,7.15,7.18,6.75,6.82,,597200.0
2000-01-04,6.59,6.87,6.59,6.64,,679100.0
