time,open,high,low,close,Volume,volume
1999-11-01,836.16,838.6,813.2,816.62,,2793333.0
1999-11-02,817.43,832.09,807.09,808.07,,2446667.0
1999-11-03,809.62,829.65,803.02,827.2,,2389333.0
1999-11-04,838.6,870.36,829.65,831.28,,2826667.0
1999-11-05,850.82,880.94,850.82,858.14,,3261333.0
1999-11-08,863.84,880.13,861.4,876.06,,1530667.0
1999-11-09,891.52,891.52,863.84,873.61,,2053333.0
1999-11-10,863.03,874.43,861.4,867.91,,2257333.0
1999-11-11,869.54,869.54,855.7,862.21,,1353333.0
1999-11-12,865.47,893.15,854.89,861.4,,2754667.0
1999-11-15,862.21,863.84,841.86,848.37,,2586667.0
1999-11-16,855.7,894.78,855.7,893.97,,3972000.0
1999-11-17,883.38,905.37,881.75,898.04,,3050667.0
1999-11-18,896.41,911.06,892.34,908.62,,2498667.0
1999-11-19,911.06,911.06,885.83,892.34,,1733333.0
1999-11-22,885.01,888.27,859.77,886.64,,2017333.0
1999-11-23,885.01,889.08,857.33,858.96,,2196000.0
1999-11-24,863.03,876.06,853.26,863.84,,1772000.0
1999-11-26,875.24,875.24,851.63,860.59,,844000.0
1999-11-29,853.26,854.07,831.28,835.35,,2150667.0
1999-11-30,835.75,857.74,835.75,845.52,,3056000.0
1999-12-01,835.75,852.85,834.93,842.27,,1873333.0
1999-12-02,839.01,846.34,833.31,839.01,,2144000.0
1999-12-03,847.97,867.52,843.08,847.15,,3604000.0
1999-12-06,849.6,853.67,835.75,842.27,,1522667.0
1999-12-07,838.19,876.48,833.31,864.26,,3036000.0
1999-12-08,865.89,882.18,861.82,870.78,,1729333.0
1999-12-09,882.18,899.29,878.92,897.66,,2452000.0
1999-12-10,904.17,919.65,891.14,909.87,,2300000.0
1999-12-13,910.69,915.58,894.4,903.36,,1792000.0
1999-12-14,900.1,901.73,878.11,891.95,,1854667.0
1999-12-15,887.07,892.77,875.66,886.25,,1758667.0
1999-12-16,887.88,894.4,861.82,867.52,,2602667.0
1999-12-17,843.08,863.44,839.82,843.08,,4645333.0
1999-12-20,835.75,845.52,818.64,834.93,,3065333.0
1999-12-21,825.16,867.52,819.46,858.56,,2789333.0
1999-12-22,860.19,891.14,852.04,878.11,,1785333.0
1999-12-23,893.58,895.21,871.59,891.95,,1277333.0
1999-12-27,891.14,891.14,871.59,874.03,,1760000.0
1999-12-28,871.59,874.03,863.44,869.15,,1173333.0
1999-12-29,870.78,885.44,869.15,882.18,,926667.0
1999-12-30,882.18,883.81,874.85,882.18,,818667.0
1999-12-31,882.18,882.99,874.03,880.55,,456000.0
2000-01-03,872.4,874.85,839.01,846.34,,2220000.0
2000-01-04,826.79,831.68,800.8,803.41,,4853333.0
2000-01-05,803.41,814.08,787.12,807.48,,3553333.0
2000-01-06,806.42,843.89,802.35,830.05,,3721333.0
2000-01-07,843.89,895.21,841.45,891.95,,4382667.0
2000-01-10,891.95,893.58,872.4,876.48,,2173333.0
2000-01-11,878.11,887.07,847.15,861.82,,2589333.0
2000-01-12,863.44,900.91,863.44,887.88,,3258667.0
2000-01-13,887.88,921.28,887.88,912.32,,3112000.0
2000-01-14,914.76,932.68,909.06,929.42,,3777333.0
2000-01-18,914.76,914.76,878.92,882.99,,3320000.0
2000-01-19,884.62,895.21,861.82,865.89,,3160000.0
2000-01-20,871.59,873.22,839.01,857.74,,2925333.0
2000-01-21,857.74,857.74,831.68,846.34,,2988000.0
2000-01-24,846.34,853.67,817.83,827.6,,2248000.0
2000-01-25,825.97,844.71,823.53,838.19,,2269333.0
2000-01-26,840.64,861.0,837.38,859.37,,2845333.0
2000-01-27,860.19,862.63,841.45,857.74,,2708000.0
2000-01-28,852.04,852.04,822.72,830.86,,3044000.0
