time,open,high,low,close,Volume,volume
2004-02-05,16.41,17.24,16.07,17.07,,27565200.0
2004-02-06,17.08,17.24,16.69,17.17,,5284400.0
2004-02-09,17.0,17.07,16.59,16.91,,3252900.0
2004-02-10,16.69,16.91,16.62,16.83,,1651600.0
2004-02-11,16.78,16.93,16.69,16.76,,2010200.0
2004-02-12,16.72,17.28,16.7,17.06,,1637500.0
2004-02-13,17.13,17.17,16.78,17.07,,612000.0
2004-02-17,17.1,17.21,16.93,17.0,,592300.0
2004-02-18,17.0,17.55,16.83,17.55,,805700.0
2004-02-19,17.45,17.95,17.45,17.75,,1494600.0
2004-02-20,17.75,17.75,17.28,17.52,,742000.0
2004-02-23,17.55,17.55,16.83,16.97,,1331500.0
2004-02-24,16.86,17.26,16.73,17.14,,963600.0
2004-02-25,17.14,17.28,17.07,17.17,,321700.0
2004-02-26,17.17,17.46,17.0,17.44,,617200.0
2004-02-27,17.38,17.8,17.35,17.79,,1569100.0
2004-03-01,17.79,18.1,17.76,17.83,,851700.0
2004-03-02,17.93,17.93,17.35,17.93,,595600.0
2004-03-03,17.76,17.83,17.52,17.61,,457000.0
2004-03-04,17.61,17.8,17.1,17.42,,1060200.0
2004-03-05,17.29,17.72,17.28,17.66,,450200.0
2004-03-08,17.66,17.73,17.39,17.61,,370100.0
2004-03-09,17.62,17.63,17.08,17.28,,816200.0
2004-03-10,17.1,17.17,16.86,17.04,,1034300.0
2004-03-11,16.69,17.04,16.69,16.72,,2538500.0
2004-03-12,16.82,17.04,16.76,16.93,,1501700.0
2004-03-15,17.1,17.1,16.41,16.59,,1595900.0
2004-03-16,16.93,16.97,16.71,16.75,,1525800.0
2004-03-17,16.72,16.93,16.63,16.63,,1051700.0
2004-03-18,16.63,16.66,16.39,16.45,,1006800.0
2004-03-19,16.41,16.48,16.17,16.41,,759200.0
2004-03-22,16.17,16.41,15.96,16.38,,1018700.0
2004-03-23,16.41,16.59,16.25,16.59,,678300.0
2004-03-24,16.59,16.62,16.43,16.45,,510900.0
2004-03-25,16.34,16.63,16.23,16.56,,1499800.0
2004-03-26,16.5,16.82,16.5,16.66,,887500.0
2004-03-29,16.66,16.89,16.66,16.84,,823900.0
2004-03-30,16.72,17.1,16.71,17.08,,739300.0
2004-03-31,17.1,17.48,17.0,17.38,,728500.0
2004-04-01,17.45,17.55,17.13,17.45,,1568800.0
2004-04-02,17.53,17.56,17.1,17.43,,1166400.0
2004-04-05,17.31,17.64,17.21,17.63,,544200.0
2004-04-06,17.59,17.97,17.45,17.93,,697900.0
2004-04-07,17.8,17.87,17.55,17.78,,444100.0
2004-04-08,17.86,18.15,17.76,18.12,,657400.0
2004-04-12,18.07,18.14,17.77,17.89,,804000.0
2004-04-13,17.95,18.08,17.38,17.45,,860800.0
2004-04-14,17.45,17.59,17.26,17.41,,1518700.0
2004-04-15,17.48,17.8,17.33,17.45,,1406600.0
2004-04-16,17.48,17.72,17.31,17.65,,272100.0
2004-04-19,17.59,18.06,17.59,17.78,,627800.0
2004-04-20,17.76,17.83,17.55,17.66,,926200.0
2004-04-21,17.62,17.68,17.28,17.42,,980800.0
2004-04-22,17.52,17.58,17.28,17.42,,568200.0
2004-04-23,17.42,17.43,17.18,17.3,,355900.0
2004-04-26,17.17,17.28,17.04,17.21,,238900.0
