time,open,high,low,close,Volume,volume
1999-11-01,6.01,6.43,6.01,6.43,,39600.0
1999-11-02,6.39,6.54,6.31,6.35,,41700.0
1999-11-03,6.35,6.41,6.35,6.39,,20200.0
1999-11-04,6.39,6.39,6.31,6.37,,21000.0
1999-11-05,6.35,6.39,6.28,6.35,,129800.0
1999-11-08,6.31,6.33,6.28,6.33,,49500.0
1999-11-09,6.33,6.35,6.31,6.35,,27500.0
1999-11-10,6.33,6.39,6.33,6.37,,82600.0
1999-11-11,6.35,6.35,6.31,6.33,,37300.0
1999-11-12,6.33,6.39,6.33,6.37,,17100.0
1999-11-15,6.37,6.56,6.31,6.56,,74800.0
1999-11-16,6.49,6.6,6.31,6.49,,40400.0
1999-11-17,6.52,6.56,6.33,6.49,,28400.0
1999-11-18,6.58,6.58,6.33,6.47,,23300.0
1999-11-19,6.35,6.35,6.31,6.33,,56100.0
1999-11-22,6.35,6.35,6.28,6.28,,139600.0
1999-11-23,6.33,6.33,6.12,6.14,,27300.0
1999-11-24,6.1,6.18,6.07,6.18,,28500.0
1999-11-26,6.18,6.41,6.18,6.41,,22700.0
1999-11-29,6.37,6.37,6.1,6.1,,28800.0
1999-11-30,6.14,6.52,6.14,6.52,,60300.0
1999-12-01,6.47,6.47,6.16,6.26,,46800.0
1999-12-02,6.22,6.49,6.22,6.39,,9300.0
1999-12-03,6.43,6.56,6.33,6.35,,17100.0
1999-12-06,6.31,6.52,6.28,6.28,,18500.0
1999-12-07,6.33,6.35,6.05,6.2,,34700.0
1999-12-08,6.18,6.35,6.14,6.26,,41100.0
1999-12-09,6.24,6.24,6.05,6.05,,47000.0
1999-12-10,6.05,6.05,5.9,6.03,,27500.0
1999-12-13,6.15,6.3,6.09,6.13,,104800.0
1999-12-14,6.15,6.24,6.09,6.09,,68900.0
1999-12-15,6.09,6.28,6.07,6.09,,59000.0
1999-12-16,6.07,6.17,6.07,6.17,,57200.0
1999-12-17,6.21,6.24,6.09,6.13,,79500.0
1999-12-20,6.17,6.21,5.92,5.92,,25700.0
1999-12-21,5.88,6.11,5.85,6.11,,31400.0
1999-12-22,6.11,6.15,6.07,6.07,,25700.0
1999-12-23,6.09,6.13,6.09,6.11,,33800.0
1999-12-27,6.15,6.15,6.0,6.05,,59400.0
1999-12-28,6.0,6.21,6.0,6.17,,56900.0
1999-12-29,6.19,6.42,6.17,6.42,,38900.0
1999-12-30,6.38,6.42,6.17,6.24,,44400.0
1999-12-31,6.28,6.57,6.21,6.49,,54900.0
2000-01-03,6.53,6.53,6.09,6.09,,67000.0
2000-01-04,6.0,6.28,6.0,6.09,,34100.0
2000-01-05,6.11,6.26,6.09,6.19,,35000.0
2000-01-06,6.15,6.42,6.11,6.4,,39300.0
2000-01-07,6.38,6.4,6.26,6.3,,35900.0
2000-01-10,6.32,6.32,6.21,6.28,,33500.0
2000-01-11,6.3,6.3,6.26,6.26,,34100.0
2000-01-12,6.26,6.3,6.24,6.3,,46500.0
2000-01-13,6.3,6.42,6.26,6.38,,47200.0
2000-01-14,6.42,6.42,6.26,6.26,,59000.0
2000-01-18,6.21,6.21,6.05,6.13,,37000.0
2000-01-19,6.13,6.24,6.09,6.15,,53000.0
2000-01-20,6.17,6.3,6.0,6.07,,38700.0
2000-01-21,6.11,6.21,6.0,6.15,,55600.0
2000-01-24,6.28,6.28,6.05,6.05,,60200.0
2000-01-25,6.07,6.07,5.79,5.79,,33600.0
2000-01-26,5.81,6.0,5.79,6.0,,45600.0
2000-01-27,6.05,6.15,6.05,6.11,,41500.0
2000-01-28,6.11,6.19,5.92,5.96,,45400.0
2000-01-31,5.98,6.21,5.98,6.11,,57300.0
2000-02-01,6.09,6.09,5.85,5.94,,29500.0
2000-02-02,5.9,5.98,5.85,5.96,,61100.0
2000-02-03,5.96,6.0,5.88,5.96,,30800.0
2000-02-04,5.94,5.94,5.79,5.88,,50700.0
2000-02-07,5.79,5.88,5.75,5.88,,31100.0
2000-02-08,5.94,5.98,5.75,5.79,,35400.0
2000-02-09,5.83,5.96,5.62,5.71,,49400.0
2000-02-10,5.68,5.75,5.56,5.71,,261100.0
2000-02-11,5.71,5.77,5.39,5.41,,67500.0
2000-02-14,5.39,5.58,5.35,5.56,,28100.0
2000-02-15,5.62,5.71,5.51,5.71,,38100.0
