time,open,high,low,close,Volume,volume
1999-11-01,15.61,15.91,15.34,15.44,,3259300.0
1999-11-02,15.58,15.71,15.24,15.24,,2739300.0
1999-11-03,15.34,15.78,15.34,15.44,,2484900.0
1999-11-04,15.41,15.95,15.41,15.68,,2826700.0
1999-11-05,15.88,16.25,15.74,15.85,,3081700.0
1999-11-08,15.68,16.45,15.68,16.18,,2465900.0
1999-11-09,16.18,16.35,15.78,16.08,,2478200.0
1999-11-10,16.22,16.45,15.01,15.47,,4535400.0
1999-11-11,15.07,15.37,14.53,14.8,,5937400.0
1999-11-12,15.07,15.71,14.97,15.51,,4715900.0
1999-11-15,15.14,15.44,15.14,15.41,,2440400.0
1999-11-16,15.28,15.74,15.17,15.41,,2796500.0
1999-11-17,15.34,15.51,15.14,15.14,,1857600.0
1999-11-18,14.87,15.21,14.87,15.21,,2350900.0
1999-11-19,14.9,15.41,14.77,15.1,,2993800.0
1999-11-22,15.21,15.34,14.94,15.01,,2196400.0
1999-11-23,14.97,15.17,14.97,14.97,,2638500.0
1999-11-24,15.07,15.07,14.94,15.01,,2988600.0
1999-11-26,14.99,15.09,14.85,14.85,,863200.0
1999-11-29,14.78,14.82,14.31,14.55,,3615500.0
1999-11-30,14.28,14.58,14.17,14.17,,3559000.0
1999-12-01,14.24,14.44,14.14,14.14,,3064300.0
1999-12-02,14.14,14.58,14.14,14.37,,2169900.0
1999-12-03,14.48,15.15,14.48,14.75,,2854100.0
1999-12-06,14.61,15.15,14.51,14.61,,2991300.0
1999-12-07,14.55,15.09,14.55,14.61,,3370000.0
1999-12-08,14.61,14.99,14.61,14.72,,2584800.0
1999-12-09,14.92,15.02,14.24,14.37,,2603400.0
1999-12-10,14.41,14.99,14.41,14.61,,4102500.0
1999-12-13,14.61,14.61,14.21,14.24,,3253200.0
1999-12-14,14.1,14.17,13.97,14.04,,2574800.0
1999-12-15,13.9,14.24,13.83,14.07,,2911900.0
1999-12-16,13.97,14.1,13.67,13.7,,2438900.0
1999-12-17,13.53,13.67,13.12,13.23,,4966100.0
1999-12-20,13.23,13.8,13.12,13.35,,5110900.0
1999-12-21,13.39,13.7,13.33,13.33,,5013000.0
1999-12-22,13.26,13.29,13.09,13.16,,5475900.0
1999-12-23,13.19,13.53,13.19,13.29,,2419700.0
1999-12-27,12.99,13.29,12.92,13.09,,3106200.0
1999-12-28,13.12,13.12,12.99,12.99,,2245400.0
1999-12-29,12.96,13.23,12.96,12.99,,2676400.0
1999-12-30,12.99,13.12,12.38,12.99,,3437700.0
1999-12-31,13.02,13.09,12.96,13.02,,2141600.0
2000-01-03,12.99,13.09,12.69,12.72,,2993100.0
2000-01-04,12.69,12.85,12.28,12.31,,3186700.0
2000-01-05,12.45,12.82,12.45,12.75,,3290200.0
2000-01-06,12.65,13.06,12.52,12.79,,2760400.0
2000-01-07,12.85,13.43,12.58,13.26,,3140400.0
2000-01-10,13.33,13.5,12.92,12.96,,2897000.0
2000-01-11,12.85,13.29,12.85,12.92,,1716600.0
2000-01-12,13.09,13.39,12.99,12.99,,2145300.0
2000-01-13,13.09,13.8,12.96,13.43,,3051500.0
2000-01-14,13.56,13.63,13.02,13.09,,2626900.0
2000-01-18,13.09,13.56,13.02,13.02,,2323500.0
2000-01-19,13.19,13.26,12.75,12.75,,2791800.0
2000-01-20,12.99,12.99,12.79,12.85,,3181600.0
2000-01-21,13.06,13.06,12.58,12.72,,2978900.0
2000-01-24,12.79,12.92,12.34,12.34,,2986100.0
2000-01-25,12.52,12.79,12.34,12.38,,2919300.0
2000-01-26,12.45,12.85,12.28,12.55,,2706800.0
2000-01-27,12.69,12.96,12.55,12.55,,2444800.0
2000-01-28,12.55,12.75,12.34,12.34,,2460500.0
2000-01-31,12.45,12.58,12.38,12.55,,2275200.0
2000-02-01,12.52,12.75,12.42,12.48,,2614000.0
2000-02-02,12.45,12.75,12.45,12.62,,1857300.0
2000-02-03,12.52,12.92,12.38,12.48,,3958500.0
2000-02-04,12.48,12.65,12.48,12.58,,2311800.0
2000-02-07,12.72,12.72,12.38,12.72,,2151200.0
2000-02-08,12.38,12.52,11.53,11.91,,3712400.0
2000-02-09,11.23,11.53,10.76,10.79,,7192800.0
2000-02-10,10.93,11.33,10.89,11.09,,5920600.0
2000-02-11,11.37,11.98,11.26,11.74,,5829300.0
2000-02-14,11.74,11.94,11.4,11.5,,3412500.0
2000-02-15,11.71,11.84,11.64,11.77,,1953400.0
2000-02-16,11.44,11.87,11.44,11.64,,3044400.0
2000-02-17,11.57,11.8,11.4,11.5,,3745800.0
2000-02-18,11.5,11.64,11.33,11.37,,2489500.0
2000-02-22,11.16,11.84,11.16,11.57,,2773000.0
2000-02-23,11.44,11.53,11.3,11.3,,2459900.0
2000-02-24,11.37,11.44,10.96,11.33,,3446300.0
2000-02-25,11.05,11.19,10.85,11.12,,4024900.0
2000-02-28,10.88,11.12,10.81,10.81,,3488500.0
2000-02-29,10.78,11.05,10.64,10.75,,3435100.0
2000-03-01,10.67,11.32,10.44,10.99,,5879100.0
2000-03-02,10.91,11.05,10.47,10.58,,3591500.0
2000-03-03,10.78,10.88,10.54,10.58,,2590300.0
2000-03-06,10.47,10.78,10.44,10.47,,2401600.0
2000-03-07,10.47,10.75,10.13,10.13,,5252200.0
2000-03-08,10.1,10.17,9.79,9.86,,5982200.0
2000-03-09,9.82,10.13,9.72,9.93,,5139400.0
2000-03-10,10.06,10.13,9.76,9.79,,3722400.0
2000-03-13,9.41,9.82,9.38,9.69,,5066500.0
2000-03-14,9.65,9.82,9.58,9.82,,3540000.0
2000-03-15,9.65,10.91,9.65,10.64,,6866500.0
2000-03-16,10.88,11.94,10.61,11.6,,8331300.0
2000-03-17,11.67,12.04,11.19,11.39,,4018800.0
2000-03-20,11.29,11.39,11.02,11.12,,1920400.0
2000-03-21,11.12,12.11,11.02,12.04,,5258500.0
2000-03-22,11.67,12.01,11.46,11.73,,3473300.0
2000-03-23,11.87,12.35,11.63,12.14,,4430400.0
2000-03-24,12.41,12.76,12.25,12.55,,3567500.0
2000-03-27,12.55,12.62,11.87,11.87,,2389700.0
2000-03-28,12.17,12.52,12.11,12.35,,3120000.0
2000-03-29,12.45,12.52,12.25,12.35,,2027900.0
2000-03-30,12.35,13.2,12.35,12.69,,5469800.0
2000-03-31,13.03,13.13,12.49,12.99,,5613200.0
2000-04-03,13.06,13.37,12.82,13.37,,2630600.0
2000-04-04,13.64,13.68,12.21,13.17,,5097700.0
2000-04-05,12.9,12.99,12.45,12.82,,2944900.0
2000-04-06,12.76,12.86,12.28,12.45,,2586100.0
2000-04-07,12.45,12.55,12.31,12.35,,2723300.0
2000-04-10,12.17,12.66,12.14,12.62,,2218200.0
2000-04-11,12.76,12.76,12.41,12.41,,1833200.0
2000-04-12,12.55,13.2,12.45,12.69,,2477500.0
2000-04-13,12.76,13.13,12.72,12.79,,2488100.0
2000-04-14,12.55,12.55,11.22,11.39,,4247300.0
2000-04-17,11.39,11.63,11.22,11.46,,3461400.0
2000-04-18,11.56,11.73,11.39,11.46,,2519000.0
2000-04-19,11.36,11.36,10.95,11.12,,3505600.0
2000-04-20,10.95,12.45,10.95,12.28,,4414300.0
2000-04-24,12.01,12.58,12.01,12.58,,2916600.0
2000-04-25,12.55,13.06,12.45,12.99,,2608700.0
2000-04-26,12.9,13.13,12.49,12.58,,2516100.0
2000-04-27,12.55,12.55,12.21,12.35,,1763400.0
2000-04-28,12.21,12.99,11.97,12.96,,2893500.0
2000-05-01,13.06,13.64,12.96,13.1,,2987800.0
2000-05-02,12.96,13.4,12.93,12.99,,2306500.0
2000-05-03,12.86,12.99,12.45,12.58,,1854600.0
2000-05-04,12.72,12.86,12.38,12.38,,1225100.0
2000-05-05,12.45,12.58,12.41,12.49,,1112800.0
2000-05-08,12.31,12.76,12.31,12.58,,1445800.0
2000-05-09,12.62,12.79,12.55,12.55,,1336400.0
2000-05-10,12.58,12.96,12.55,12.62,,1586800.0
2000-05-11,12.76,13.23,12.76,12.99,,2291700.0
2000-05-12,13.13,14.46,13.13,13.95,,6329600.0
2000-05-15,14.19,15.11,14.12,14.67,,5204500.0
2000-05-16,15.01,15.28,14.19,14.19,,4264100.0
2000-05-17,14.05,14.53,13.92,14.29,,2830200.0
2000-05-18,14.29,14.84,14.29,14.4,,2720400.0
2000-05-19,14.26,14.87,14.26,14.6,,1929500.0
2000-05-22,14.6,15.18,14.53,15.14,,2660500.0
2000-05-23,15.14,15.66,14.84,15.66,,3646000.0
2000-05-24,15.66,16.44,15.66,16.37,,6359900.0
2000-05-25,16.23,16.23,14.53,14.63,,4672900.0
2000-05-26,14.9,15.1,14.11,14.72,,3582700.0
2000-05-30,14.72,15.27,14.72,14.93,,1439400.0
2000-05-31,14.79,15.1,14.79,14.79,,1749500.0
2000-06-01,14.62,15.51,14.62,14.83,,2470800.0
2000-06-02,15.51,15.51,15.1,15.34,,2366500.0
2000-06-05,15.24,15.59,14.9,14.93,,2133700.0
2000-06-06,14.76,15.04,14.69,14.9,,1680000.0
2000-06-07,14.9,15.62,14.9,15.59,,2508500.0
2000-06-08,15.65,15.65,14.83,14.96,,2745600.0
2000-06-09,14.86,15.07,14.45,14.66,,2119700.0
2000-06-12,14.69,14.9,14.42,14.72,,2319600.0
2000-06-13,14.69,14.9,14.52,14.66,,1975800.0
2000-06-14,14.62,14.69,13.9,14.0,,4431500.0
2000-06-15,13.9,14.08,12.63,12.63,,5821000.0
2000-06-16,12.77,13.04,12.19,12.29,,8186400.0
2000-06-19,12.05,13.25,12.05,13.04,,3486200.0
2000-06-20,13.15,13.32,13.08,13.21,,3065800.0
2000-06-21,13.18,13.25,12.94,13.18,,3014800.0
2000-06-22,13.04,13.15,12.84,13.04,,2115200.0
2000-06-23,13.18,13.25,12.84,13.11,,2152600.0
2000-06-26,12.94,13.08,12.57,12.8,,1612000.0
2000-06-27,12.84,13.32,12.84,13.04,,1580100.0
2000-06-28,13.18,13.39,12.84,12.92,,1268900.0
2000-06-29,12.84,12.98,12.66,12.74,,1706900.0
2000-06-30,12.84,13.18,12.21,12.22,,2781100.0
2000-07-03,12.36,12.94,12.36,12.91,,1303400.0
2000-07-05,13.15,13.56,12.98,13.21,,2033600.0
2000-07-06,13.35,13.66,12.98,13.04,,1439000.0
2000-07-07,13.18,13.35,13.01,13.01,,1821600.0
2000-07-10,13.01,13.25,12.66,12.91,,1905200.0
2000-07-11,12.66,13.04,12.66,12.8,,1701200.0
2000-07-12,12.66,13.32,12.66,13.18,,2562600.0
2000-07-13,13.28,13.35,13.01,13.28,,1886100.0
2000-07-14,13.42,13.9,13.32,13.66,,2337700.0
2000-07-17,13.39,13.66,13.35,13.44,,1666800.0
2000-07-18,13.32,13.42,12.91,13.32,,1748700.0
2000-07-19,13.18,13.63,12.91,12.91,,2345700.0
2000-07-20,13.32,14.25,13.32,13.73,,4228500.0
2000-07-21,13.59,13.59,13.01,13.59,,3325700.0
2000-07-24,13.49,13.83,13.35,13.56,,2379600.0
2000-07-25,13.76,14.08,13.56,13.97,,2054000.0
2000-07-26,14.17,15.0,14.04,14.69,,3890100.0
2000-07-27,14.96,15.31,14.66,15.24,,2897500.0
2000-07-28,15.27,15.51,14.9,15.14,,2904500.0
2000-07-31,15.24,15.55,15.14,15.14,,2692700.0
2000-08-01,15.17,15.55,15.04,15.1,,2209400.0
2000-08-02,14.9,15.1,14.76,14.83,,1877900.0
2000-08-03,14.96,15.96,14.96,15.68,,3206500.0
2000-08-04,15.68,16.44,15.65,16.2,,3544900.0
2000-08-07,16.23,16.23,15.55,15.68,,2677000.0
2000-08-08,15.68,16.72,15.68,16.41,,4705700.0
2000-08-09,16.48,16.55,15.93,16.03,,2226800.0
2000-08-10,16.1,16.13,15.79,15.82,,1627100.0
2000-08-11,15.76,16.1,15.76,15.89,,1780000.0
2000-08-14,15.89,16.34,15.89,16.2,,1193900.0
2000-08-15,16.1,16.13,15.79,15.79,,1629500.0
2000-08-16,15.86,16.13,15.86,15.89,,1498300.0
2000-08-17,15.79,16.34,15.79,16.2,,1923500.0
2000-08-18,16.06,16.06,15.79,15.79,,1383500.0
2000-08-21,15.68,16.44,15.68,16.27,,1296800.0
2000-08-22,16.3,16.44,16.17,16.2,,1268900.0
2000-08-23,16.2,16.34,15.93,15.93,,1339500.0
2000-08-24,15.86,16.06,15.86,15.86,,1382400.0
2000-08-25,16.0,16.1,15.76,15.76,,1844100.0
2000-08-28,15.76,16.17,15.76,15.89,,1179800.0
2000-08-29,15.78,16.02,15.78,15.85,,1506500.0
2000-08-30,15.71,16.33,15.68,15.85,,1798100.0
2000-08-31,15.85,16.54,15.85,16.06,,2195600.0
2000-09-01,16.3,16.37,16.23,16.3,,2519000.0
2000-09-05,16.09,16.68,16.02,16.33,,3204300.0
2000-09-06,16.47,16.92,16.37,16.54,,2899000.0
2000-09-07,16.57,16.64,16.26,16.47,,1471900.0
2000-09-08,16.4,16.82,16.4,16.71,,2088700.0
2000-09-11,16.57,17.47,16.57,17.4,,3284800.0
2000-09-12,17.54,17.89,17.4,17.57,,3765600.0
2000-09-13,17.37,17.82,17.02,17.06,,2414300.0
2000-09-14,17.34,17.64,16.95,17.09,,2995200.0
2000-09-15,17.95,18.64,17.78,17.92,,6092900.0
2000-09-18,18.23,18.23,17.43,17.43,,2951600.0
2000-09-19,17.43,18.13,17.43,18.03,,2362400.0
2000-09-20,18.03,18.13,17.4,17.47,,2404300.0
2000-09-21,17.47,18.44,17.47,18.44,,2025800.0
2000-09-22,18.16,18.78,18.06,18.44,,2484700.0
2000-09-25,18.4,18.51,18.2,18.23,,1846400.0
2000-09-26,18.23,18.89,18.16,18.26,,2103800.0
2000-09-27,18.23,18.34,17.99,18.16,,2102700.0
2000-09-28,18.3,19.47,18.26,19.16,,4489300.0
2000-09-29,19.2,19.68,19.09,19.2,,3248900.0
2000-10-02,18.92,19.89,18.92,19.47,,2446800.0
2000-10-03,18.78,19.06,17.95,18.61,,5218800.0
2000-10-04,18.92,19.23,18.92,19.06,,3801000.0
2000-10-05,18.92,19.33,18.85,19.06,,2579700.0
2000-10-06,18.95,19.2,18.68,18.85,,2600700.0
2000-10-09,18.89,18.89,18.26,18.44,,2365100.0
2000-10-10,18.61,18.75,18.37,18.64,,2585300.0
2000-10-11,18.72,18.78,18.4,18.61,,2194500.0
2000-10-12,18.44,18.47,17.02,17.61,,4066300.0
2000-10-13,17.43,18.06,17.43,17.85,,3263100.0
2000-10-16,18.16,18.44,18.09,18.16,,1708400.0
2000-10-17,18.16,18.16,17.34,17.37,,2681000.0
2000-10-18,17.51,18.13,17.26,18.06,,2109500.0
2000-10-19,18.64,19.44,18.44,19.3,,5731900.0
2000-10-20,19.06,19.16,18.95,19.06,,3134800.0
2000-10-23,18.78,18.85,18.61,18.78,,2202600.0
2000-10-24,18.64,20.16,18.64,20.06,,4259100.0
2000-10-25,19.82,20.75,19.78,20.33,,4175400.0
2000-10-26,20.41,20.54,19.96,20.3,,2646400.0
2000-10-27,20.1,20.65,20.03,20.58,,1861200.0
2000-10-30,20.51,22.24,20.47,22.1,,5153800.0
2000-10-31,22.13,22.27,21.37,22.24,,4630500.0
2000-11-01,21.96,22.06,21.44,21.54,,3062500.0
2000-11-02,21.48,21.79,20.79,21.16,,3349200.0
2000-11-03,20.65,20.82,19.96,20.2,,2446400.0
2000-11-06,20.3,20.96,20.27,20.44,,1739300.0
2000-11-07,20.54,20.89,20.33,20.54,,1951000.0
2000-11-08,20.99,21.24,20.65,21.13,,3483500.0
2000-11-09,20.99,21.34,20.85,21.3,,2342300.0
2000-11-10,21.06,21.34,20.96,21.06,,1693100.0
2000-11-13,21.13,21.54,20.99,21.16,,2768300.0
2000-11-14,21.37,21.62,20.99,21.58,,2773600.0
2000-11-15,21.89,21.89,20.93,21.3,,3234900.0
2000-11-16,20.85,21.65,20.85,21.54,,2673200.0
2000-11-17,21.27,21.65,21.03,21.54,,2275600.0
2000-11-20,21.16,21.51,20.85,21.2,,1895700.0
2000-11-21,21.34,21.51,20.58,20.99,,2021700.0
2000-11-22,21.68,21.75,20.72,21.1,,3613000.0
2000-11-24,21.03,21.16,20.89,20.99,,807300.0
2000-11-27,21.1,21.1,20.37,20.58,,2397600.0
2000-11-28,20.47,21.09,19.98,20.91,,2356200.0
2000-11-29,20.91,21.23,20.6,21.23,,2367100.0
2000-11-30,21.09,21.61,20.84,21.23,,2682800.0
2000-12-01,21.09,22.02,20.98,21.78,,2291300.0
2000-12-04,21.5,22.06,21.4,21.75,,2157100.0
2000-12-05,21.89,23.17,21.78,23.1,,4544500.0
2000-12-06,23.0,24.03,22.69,23.52,,4235500.0
2000-12-07,23.38,23.72,23.17,23.55,,2459900.0
2000-12-08,24.35,24.52,24.0,24.42,,3905200.0
2000-12-11,24.42,24.83,24.14,24.38,,2962100.0
2000-12-12,23.86,24.11,23.55,23.76,,2396100.0
2000-12-13,23.66,23.89,23.38,23.69,,2600500.0
2000-12-14,22.61,22.82,22.3,22.58,,2381400.0
2000-12-15,21.58,22.51,21.58,22.16,,3969800.0
