time,open,high,low,close,Volume,volume
1999-11-01,16.36,16.81,16.01,16.05,,6228500.0
1999-11-02,16.34,17.04,16.11,16.67,,7662600.0
1999-11-03,17.06,17.33,16.94,17.28,,7370100.0
1999-11-04,17.24,17.26,16.65,16.97,,6391700.0
1999-11-05,17.22,17.94,17.17,17.93,,6471300.0
1999-11-08,17.74,17.97,17.57,17.78,,3690000.0
1999-11-09,18.13,18.31,17.56,17.81,,6790700.0
1999-11-10,18.19,18.75,18.18,18.62,,8297600.0
1999-11-11,18.8,19.87,18.8,19.85,,7690600.0
1999-11-12,19.72,19.94,19.28,19.94,,7612000.0
1999-11-15,19.92,19.99,19.02,19.26,,7382000.0
1999-11-16,19.19,19.94,18.93,19.3,,8051600.0
1999-11-17,19.94,20.73,19.39,20.12,,14903700.0
1999-11-18,19.77,19.83,19.21,19.57,,11543300.0
1999-11-19,19.65,20.18,19.41,19.63,,8405000.0
1999-11-22,19.68,19.85,18.82,18.9,,8265800.0
1999-11-23,18.99,19.32,18.38,18.82,,5811900.0
1999-11-24,18.73,18.82,18.31,18.73,,4629300.0
1999-11-26,18.8,19.01,18.64,18.66,,2390300.0
1999-11-29,18.62,18.9,18.26,18.53,,5667800.0
1999-11-30,18.48,18.66,17.81,17.82,,6976100.0
1999-12-01,18.06,18.59,17.95,18.38,,5602000.0
1999-12-02,18.42,19.74,18.42,19.72,,6764900.0
1999-12-03,20.1,20.31,19.68,20.18,,7786700.0
1999-12-06,20.03,21.06,19.74,21.02,,6159600.0
1999-12-07,20.76,20.78,19.92,20.36,,6153700.0
1999-12-08,20.18,21.06,19.81,21.0,,8515000.0
1999-12-09,21.04,21.11,20.12,20.62,,6160600.0
1999-12-10,20.67,20.67,19.5,20.01,,5781200.0
1999-12-13,19.99,20.47,19.72,19.77,,4193600.0
1999-12-14,20.01,20.01,19.1,19.13,,8305200.0
1999-12-15,19.19,19.45,18.29,18.9,,7427900.0
1999-12-16,19.15,20.25,19.13,20.23,,6687000.0
1999-12-17,21.02,21.04,20.18,20.27,,5603100.0
1999-12-20,20.82,21.7,20.76,21.27,,6086200.0
1999-12-21,21.11,22.66,20.98,22.61,,5772800.0
