time,open,high,low,close,Volume,volume
1999-11-01,3.4,3.59,3.32,3.46,,12824100.0
1999-11-02,3.49,3.5,3.25,3.32,,13243200.0
1999-11-03,3.41,3.43,3.25,3.29,,10772100.0
1999-11-04,3.36,3.36,3.05,3.15,,16759200.0
1999-11-05,3.24,3.28,3.11,3.25,,11091400.0
1999-11-08,3.24,4.0,3.17,3.9,,32339400.0
1999-11-09,4.04,4.15,3.5,3.54,,26477100.0
1999-11-10,3.58,3.75,3.51,3.6,,11506700.0
1999-11-11,3.74,3.75,3.57,3.65,,9293900.0
1999-11-12,3.69,3.75,3.54,3.75,,10319600.0
1999-11-15,3.78,3.8,3.67,3.67,,6437200.0
1999-11-16,3.71,3.98,3.69,3.95,,15238700.0
1999-11-17,3.9,4.0,3.77,3.83,,6657400.0
1999-11-18,3.84,3.91,3.76,3.9,,5810400.0
1999-11-19,3.89,3.91,3.8,3.9,,5760600.0
1999-11-22,3.89,4.12,3.8,4.03,,10708400.0
1999-11-23,4.02,4.28,3.81,4.09,,18332500.0
1999-11-24,4.21,4.39,4.16,4.36,,14483100.0
1999-11-26,4.55,4.76,4.53,4.66,,11496000.0
1999-11-29,4.78,4.84,4.51,4.52,,18053700.0
1999-11-30,4.41,4.44,4.19,4.25,,13465500.0
1999-12-01,4.36,4.38,4.1,4.25,,10663600.0
1999-12-02,4.3,4.57,4.28,4.45,,9538700.0
1999-12-03,4.62,4.67,4.3,4.33,,11151200.0
1999-12-06,4.34,4.49,4.23,4.37,,9199200.0
1999-12-07,4.4,4.4,4.22,4.3,,6727100.0
1999-12-08,4.34,4.65,4.34,4.4,,12867200.0
1999-12-09,4.76,5.65,4.67,5.18,,41364600.0
1999-12-10,5.57,5.6,5.22,5.33,,14929000.0
1999-12-13,5.33,5.33,5.08,5.12,,8653700.0
1999-12-14,5.19,5.2,4.75,4.78,,10107900.0
1999-12-15,4.64,4.97,4.55,4.83,,10133500.0
1999-12-16,4.91,4.94,4.67,4.74,,7004400.0
1999-12-17,4.86,4.88,4.69,4.7,,5955900.0
1999-12-20,4.89,5.08,4.75,4.85,,10566600.0
1999-12-21,4.83,5.02,4.83,4.99,,9509500.0
1999-12-22,5.03,5.03,4.78,4.88,,5921000.0
1999-12-23,4.9,4.95,4.45,4.5,,12914600.0
1999-12-27,4.39,4.41,4.01,4.06,,16523800.0
1999-12-28,4.15,4.32,4.08,4.12,,10304300.0
1999-12-29,4.17,4.27,4.13,4.17,,5913000.0
1999-12-30,4.23,4.26,3.92,3.95,,9256600.0
1999-12-31,3.97,3.97,3.8,3.81,,7270700.0
2000-01-03,4.08,4.48,4.0,4.47,,16117600.0
2000-01-04,4.27,4.58,4.09,4.1,,17487400.0
2000-01-05,3.54,3.76,3.48,3.59,,38457400.0
2000-01-06,3.57,3.63,3.2,3.28,,18752000.0
2000-01-07,3.35,3.53,3.31,3.48,,10505400.0
2000-01-10,3.63,3.63,3.28,3.46,,14757900.0
2000-01-11,3.34,3.5,3.25,3.34,,10532700.0
2000-01-12,3.39,3.4,3.15,3.18,,10804500.0
2000-01-13,3.25,3.36,3.16,3.3,,10448100.0
2000-01-14,3.34,3.42,3.2,3.21,,6853600.0
2000-01-18,3.17,3.26,3.15,3.21,,5384900.0
2000-01-19,3.21,3.37,3.15,3.34,,8245500.0
2000-01-20,3.35,3.35,3.2,3.24,,5978000.0
2000-01-21,3.23,3.23,3.0,3.1,,11461900.0
2000-01-24,3.38,3.67,3.38,3.51,,29170200.0
2000-01-25,3.5,3.56,3.3,3.46,,9434100.0
2000-01-26,3.43,3.5,3.24,3.24,,6558000.0
2000-01-27,3.26,3.39,3.23,3.35,,6784000.0
