time,open,high,low,close,Volume,volume
2014-06-06,3.45,3.75,3.44,3.44,,7254500.0
2014-06-09,3.52,3.56,3.44,3.45,,716900.0
2014-06-10,3.45,3.75,3.45,3.75,,986800.0
2014-06-11,3.75,3.97,3.67,3.97,,661600.0
2014-06-12,3.98,4.24,3.94,4.12,,729300.0
2014-06-13,4.28,4.5,4.19,4.35,,1065700.0
2014-06-16,4.45,4.47,4.23,4.47,,417000.0
2014-06-17,4.49,4.54,4.31,4.36,,278600.0
2014-06-18,4.38,4.44,4.24,4.31,,208800.0
2014-06-19,4.25,4.3,4.03,4.1,,651600.0
2014-06-20,4.07,4.28,4.03,4.07,,294000.0
2014-06-23,4.06,4.22,4.06,4.11,,116500.0
2014-06-24,4.15,4.17,3.99,4.02,,192800.0
2014-06-25,3.99,4.08,3.88,4.03,,186200.0
2014-06-26,4.05,4.05,3.91,3.99,,97100.0
2014-06-27,3.99,3.99,3.89,3.91,,244700.0
2014-06-30,3.88,4.08,3.88,3.9,,232000.0
2014-07-01,4.19,4.8,4.13,4.75,,1658200.0
2014-07-02,4.92,5.03,4.58,4.71,,1126500.0
2014-07-03,4.78,4.85,4.63,4.78,,243900.0
2014-07-07,4.7,4.83,4.5,4.51,,316600.0
2014-07-08,4.5,4.5,3.95,4.34,,1178700.0
2014-07-09,4.33,4.56,4.13,4.49,,372000.0
2014-07-10,4.22,4.38,4.2,4.23,,296800.0
2014-07-11,4.3,4.41,4.27,4.35,,191700.0
2014-07-14,4.46,4.5,4.28,4.31,,131000.0
2014-07-15,4.34,4.41,4.12,4.17,,226100.0
2014-07-16,4.19,4.25,3.98,4.03,,247700.0
2014-07-17,3.99,4.1,3.94,3.98,,130200.0
2014-07-18,4.0,4.06,3.96,4.0,,123700.0
2014-07-21,4.01,4.05,3.94,3.95,,143700.0
2014-07-22,3.98,4.18,3.97,4.09,,235900.0
2014-07-23,4.12,4.17,4.03,4.05,,147900.0
2014-07-24,4.07,4.13,3.99,4.02,,182600.0
