time,open,high,low,close,Volume,volume
2011-03-30,7.43,7.55,7.21,7.23,,30086900.0
2011-03-31,7.17,7.39,7.12,7.15,,9582800.0
2011-04-01,7.16,7.24,7.11,7.15,,3199400.0
2011-04-04,7.18,7.22,7.07,7.11,,1846600.0
2011-04-05,7.11,7.17,7.01,7.15,,2353300.0
2011-04-06,7.16,7.21,7.11,7.19,,474900.0
2011-04-07,7.29,7.29,7.15,7.16,,702100.0
2011-04-08,7.16,7.21,7.11,7.15,,304500.0
2011-04-11,7.13,7.19,7.11,7.18,,486000.0
2011-04-12,7.19,7.29,7.1,7.23,,624600.0
2011-04-13,7.3,7.3,7.16,7.19,,199600.0
2011-04-14,7.16,7.26,7.15,7.25,,408000.0
2011-04-15,7.26,7.43,7.24,7.35,,963000.0
2011-04-18,7.35,7.39,7.14,7.22,,720700.0
2011-04-19,7.25,7.28,7.18,7.23,,405000.0
2011-04-20,7.31,7.31,7.19,7.24,,498200.0
2011-04-21,7.27,7.29,7.09,7.2,,1196100.0
2011-04-25,7.17,7.25,7.17,7.18,,280800.0
2011-04-26,7.24,7.25,7.11,7.22,,622700.0
2011-04-27,7.19,7.23,7.17,7.22,,275400.0
2011-04-28,7.2,7.26,7.1,7.2,,539400.0
2011-04-29,7.22,7.23,7.13,7.18,,196000.0
2011-05-02,7.18,7.27,7.13,7.23,,555700.0
2011-05-03,7.17,7.29,7.16,7.26,,377400.0
2011-05-04,7.24,7.29,7.05,7.15,,614000.0
2011-05-05,7.11,7.19,7.03,7.13,,412200.0
2011-05-06,7.22,7.22,7.12,7.14,,405600.0
2011-05-09,7.29,7.38,7.27,7.35,,965400.0
2011-05-10,7.39,7.46,7.34,7.44,,666400.0
2011-05-11,7.46,7.46,7.3,7.34,,371000.0
2011-05-12,7.47,7.51,7.17,7.32,,722000.0
2011-05-13,7.41,7.41,7.18,7.26,,810300.0
2011-05-16,7.32,7.35,6.99,7.09,,988800.0
2011-05-17,7.1,7.11,6.68,6.83,,980900.0
2011-05-18,6.9,7.22,6.83,7.09,,823900.0
2011-05-19,7.13,7.24,7.0,7.15,,369400.0
2011-05-20,7.15,7.27,7.15,7.18,,508200.0
2011-05-23,7.0,7.24,6.99,7.08,,309200.0
2011-05-24,7.11,7.23,7.05,7.07,,205900.0
2011-05-25,7.08,7.12,6.94,6.99,,285000.0
2011-05-26,6.97,7.23,6.97,7.14,,430700.0
2011-05-27,7.18,7.44,7.16,7.32,,622800.0
2011-05-31,7.26,7.31,7.2,7.25,,329100.0
2011-06-01,7.19,7.28,7.12,7.21,,770100.0
2011-06-02,7.22,7.22,7.12,7.19,,70100.0
2011-06-03,7.06,7.23,7.06,7.18,,75800.0
2011-06-06,7.18,7.2,6.97,7.0,,183600.0
2011-06-07,7.02,7.03,6.78,6.81,,219700.0
2011-06-08,6.82,6.86,6.73,6.74,,180600.0
2011-06-09,6.7,6.82,6.52,6.55,,250900.0
2011-06-10,6.61,6.63,6.23,6.29,,335300.0
2011-06-13,6.27,6.35,6.14,6.24,,560500.0
2011-06-14,6.28,6.45,6.28,6.44,,114700.0
2011-06-15,6.38,6.54,6.36,6.42,,210800.0
2011-06-16,6.35,6.46,6.29,6.38,,187600.0
2011-06-17,6.42,6.44,6.36,6.42,,200300.0
