time,open,high,low,close,Volume,volume
2011-11-17,16.03,16.53,16.03,16.09,,17557500.0
2011-11-18,16.1,16.24,15.65,15.84,,2718500.0
2011-11-21,15.84,16.01,15.1,15.31,,2366400.0
2011-11-22,15.31,15.62,14.82,15.01,,2988700.0
2011-11-23,14.86,14.9,14.5,14.81,,1061400.0
2011-11-25,14.74,14.95,14.71,14.82,,279600.0
2011-11-28,14.98,15.33,14.84,15.11,,700300.0
2011-11-29,15.08,15.08,14.86,15.08,,534000.0
2011-11-30,15.2,16.19,15.18,15.72,,569700.0
2011-12-01,15.8,15.88,15.35,15.7,,479900.0
2011-12-02,15.8,16.18,15.76,16.12,,584500.0
2011-12-05,16.18,16.52,16.14,16.42,,2067800.0
2011-12-06,16.32,16.78,16.3,16.69,,524100.0
2011-12-07,16.54,16.67,16.46,16.59,,157600.0
2011-12-08,16.38,16.55,16.31,16.36,,377900.0
2011-12-09,16.31,16.58,16.03,16.4,,492700.0
2011-12-12,16.14,16.28,16.03,16.22,,431500.0
2011-12-13,16.33,16.46,16.0,16.07,,558700.0
2011-12-14,15.9,15.98,15.5,15.57,,1052600.0
2011-12-15,15.82,16.5,15.68,15.81,,712900.0
2011-12-16,15.81,16.22,15.64,15.82,,210300.0
2011-12-19,15.89,15.97,15.66,15.83,,149000.0
2011-12-20,16.16,16.36,15.97,16.22,,320200.0
2011-12-21,16.12,16.35,16.06,16.14,,268600.0
2011-12-22,16.16,16.48,16.16,16.43,,374500.0
2011-12-23,16.46,16.93,16.31,16.55,,542500.0
2011-12-27,17.26,17.26,16.12,16.33,,443100.0
2011-12-28,16.42,16.46,15.91,15.98,,144800.0
2011-12-29,16.0,16.16,15.85,16.16,,289100.0
2011-12-30,16.19,16.32,15.91,16.25,,128000.0
2012-01-03,16.68,17.29,16.41,16.77,,980300.0
2012-01-04,17.52,17.52,16.48,17.0,,393700.0
2012-01-05,16.92,16.92,16.41,16.7,,672500.0
2012-01-06,16.7,17.21,16.59,17.01,,578900.0
2012-01-09,17.05,17.13,16.95,17.13,,418800.0
2012-01-10,17.29,18.1,17.29,17.97,,948800.0
2012-01-11,17.95,18.12,17.79,18.06,,227400.0
2012-01-12,18.18,18.86,17.99,18.62,,1013400.0
2012-01-13,18.5,19.1,18.31,18.7,,540900.0
2012-01-17,18.82,18.95,18.3,18.37,,887800.0
2012-01-18,18.26,18.86,18.26,18.48,,569700.0
2012-01-19,18.61,18.98,18.55,18.91,,956500.0
2012-01-20,18.87,19.0,18.81,18.93,,532000.0
2012-01-23,18.99,19.48,18.92,19.22,,489600.0
2012-01-24,19.08,19.51,18.99,19.47,,408100.0
2012-01-25,19.47,19.53,19.21,19.43,,603700.0
2012-01-26,19.5,20.09,18.98,19.57,,801600.0
2012-01-27,20.33,20.67,19.74,20.48,,2554800.0
2012-01-30,20.48,20.78,20.04,20.42,,675200.0
2012-01-31,20.57,20.73,20.04,20.24,,553600.0
2012-02-01,20.46,21.64,20.36,21.56,,713000.0
2012-02-02,21.22,21.9,21.02,21.85,,571700.0
2012-02-03,22.05,23.4,22.04,23.19,,2728300.0
