time,open,high,low,close,Volume,volume
1999-11-01,8.84,8.93,8.81,8.93,,34100.0
1999-11-02,8.91,8.98,8.91,8.96,,17900.0
1999-11-03,8.93,9.05,8.93,8.98,,25600.0
1999-11-04,9.03,9.17,8.98,9.01,,17200.0
1999-11-05,8.93,9.01,8.76,8.79,,53500.0
1999-11-08,8.79,8.93,8.79,8.79,,27000.0
1999-11-09,8.76,8.91,8.76,8.79,,52300.0
1999-11-10,8.84,8.96,8.76,8.91,,31500.0
1999-11-11,8.84,8.98,8.84,8.86,,12000.0
1999-11-12,8.76,8.86,8.69,8.81,,302300.0
1999-11-15,8.86,8.96,8.76,8.84,,54900.0
1999-11-16,8.79,8.89,8.76,8.84,,26300.0
1999-11-17,8.79,8.86,8.74,8.76,,78300.0
1999-11-18,8.81,8.81,8.64,8.74,,65400.0
1999-11-19,8.79,8.84,8.74,8.79,,145100.0
1999-11-22,8.87,8.87,8.75,8.8,,103400.0
1999-11-23,8.8,8.85,8.77,8.85,,24900.0
1999-11-24,8.82,8.85,8.8,8.85,,1715200.0
1999-11-26,8.8,8.85,8.73,8.8,,23900.0
1999-11-29,8.75,8.77,8.65,8.75,,36300.0
1999-11-30,8.7,8.77,8.65,8.77,,41600.0
1999-12-01,8.77,8.77,8.6,8.75,,48800.0
1999-12-02,8.7,8.85,8.7,8.82,,14200.0
1999-12-03,8.8,8.85,8.75,8.82,,29600.0
1999-12-06,8.8,8.92,8.7,8.77,,182900.0
1999-12-07,8.7,8.8,8.65,8.68,,35100.0
1999-12-08,8.68,8.68,8.53,8.6,,28600.0
1999-12-09,8.55,8.55,8.26,8.28,,70700.0
1999-12-10,8.33,8.33,8.21,8.33,,29000.0
1999-12-13,8.23,8.26,8.16,8.21,,87800.0
1999-12-14,8.21,8.31,8.18,8.31,,46200.0
1999-12-15,8.28,8.46,8.26,8.46,,63700.0
1999-12-16,8.46,8.46,8.26,8.31,,19700.0
1999-12-17,8.26,8.26,8.06,8.06,,65100.0
1999-12-20,8.06,8.31,8.04,8.26,,61200.0
1999-12-21,8.28,8.41,8.26,8.33,,31900.0
1999-12-22,8.28,8.36,8.26,8.33,,20100.0
1999-12-23,8.28,8.28,8.06,8.16,,68300.0
1999-12-27,8.09,8.26,8.06,8.11,,45400.0
1999-12-28,8.09,8.16,7.96,8.07,,31000.0
1999-12-29,7.96,8.04,7.96,8.04,,27500.0
1999-12-30,7.99,8.04,7.87,7.87,,60900.0
1999-12-31,7.87,8.04,7.72,8.04,,47600.0
2000-01-03,7.87,7.99,7.87,7.89,,36600.0
2000-01-04,7.87,7.87,7.69,7.69,,143800.0
2000-01-05,7.69,8.06,7.69,7.94,,251700.0
