time,open,high,low,close,Volume,volume
1999-11-01,33.9,33.94,32.99,32.99,,322100.0
1999-11-02,32.99,33.53,32.75,32.99,,385700.0
1999-11-03,32.85,33.8,32.69,33.4,,173000.0
1999-11-04,33.6,34.04,32.99,33.09,,254100.0
1999-11-05,32.96,34.58,32.96,34.0,,210100.0
1999-11-08,33.94,34.34,33.77,33.97,,269500.0
1999-11-09,33.94,33.94,33.16,33.33,,224600.0
1999-11-10,33.29,33.43,32.75,33.09,,234600.0
1999-11-11,33.5,33.8,33.23,33.73,,142400.0
1999-11-12,33.73,33.8,33.29,33.8,,136100.0
1999-11-15,33.67,34.07,33.13,33.9,,118900.0
1999-11-16,34.04,34.34,33.46,33.56,,493100.0
1999-11-17,33.43,33.63,32.85,33.56,,376700.0
1999-11-18,33.6,34.31,33.4,34.21,,244200.0
1999-11-19,33.67,33.67,33.06,33.43,,263500.0
1999-11-22,33.36,33.53,32.85,32.85,,207200.0
1999-11-23,32.82,32.96,32.55,32.62,,166100.0
1999-11-24,32.35,32.35,31.97,32.35,,343100.0
1999-11-26,32.42,32.42,32.24,32.28,,142800.0
1999-11-29,32.22,32.25,32.02,32.09,,315900.0
1999-11-30,31.81,33.21,31.81,32.29,,494000.0
1999-12-01,32.29,32.29,31.75,31.98,,181400.0
1999-12-02,31.85,32.49,31.85,32.25,,204100.0
1999-12-03,32.29,32.56,32.19,32.36,,241800.0
1999-12-06,32.39,32.39,31.98,32.05,,238000.0
1999-12-07,32.19,32.46,31.54,31.95,,257700.0
1999-12-08,31.88,32.39,31.85,31.95,,149400.0
1999-12-09,32.16,32.53,31.98,32.29,,285900.0
1999-12-10,32.43,33.55,32.33,33.55,,305700.0
1999-12-13,33.68,33.68,33.14,33.48,,365600.0
1999-12-14,33.38,34.2,33.38,34.09,,309600.0
1999-12-15,34.09,35.28,34.09,34.7,,625500.0
1999-12-16,34.91,35.48,34.47,35.32,,513700.0
1999-12-17,36.03,37.49,35.89,36.92,,647100.0
1999-12-20,36.84,37.8,36.44,36.88,,428100.0
1999-12-21,36.98,37.39,36.92,36.95,,497300.0
1999-12-22,36.98,37.56,36.95,37.39,,278100.0
1999-12-23,37.39,38.04,36.88,37.19,,324700.0
1999-12-27,37.39,37.66,37.08,37.66,,352500.0
1999-12-28,37.52,38.34,37.52,38.1,,291200.0
1999-12-29,38.14,39.29,38.14,39.09,,194100.0
1999-12-30,38.95,39.29,38.88,39.05,,116500.0
1999-12-31,38.95,39.7,38.95,39.63,,102800.0
2000-01-03,39.29,39.36,38.82,38.82,,420200.0
2000-01-04,37.32,38.58,37.15,38.31,,642700.0
2000-01-05,38.14,40.18,38.14,39.7,,477700.0
2000-01-06,39.16,41.03,39.09,40.96,,536100.0
2000-01-07,40.96,41.67,40.59,41.09,,679900.0
2000-01-10,41.23,42.49,41.13,42.42,,883400.0
2000-01-11,42.28,42.69,41.81,42.18,,724100.0
2000-01-12,42.04,42.04,41.3,41.81,,603400.0
2000-01-13,41.81,41.98,40.45,41.47,,374800.0
2000-01-14,41.6,41.67,40.38,41.6,,349300.0
2000-01-18,40.62,41.16,39.84,40.75,,490200.0
2000-01-19,39.7,39.84,36.51,37.36,,1630200.0
2000-01-20,37.12,37.12,36.1,36.16,,815700.0
2000-01-21,36.57,37.8,36.57,37.8,,473700.0
2000-01-24,37.66,37.69,36.51,36.61,,261900.0
2000-01-25,36.61,37.19,36.37,37.12,,382200.0
2000-01-26,37.12,38.44,36.61,37.46,,425700.0
2000-01-27,37.6,38.37,36.78,37.22,,289100.0
2000-01-28,37.22,37.22,36.16,36.16,,259800.0
2000-01-31,36.16,37.25,35.56,36.84,,303900.0
2000-02-01,36.57,36.57,35.96,36.47,,293300.0
2000-02-02,36.61,36.64,36.0,36.24,,261800.0
2000-02-03,35.96,36.84,35.89,35.93,,363500.0
2000-02-04,35.89,36.95,35.08,36.51,,418800.0
2000-02-07,36.51,36.51,34.97,35.79,,291400.0
2000-02-08,35.65,35.89,35.08,35.76,,207200.0
2000-02-09,35.62,35.62,34.81,35.15,,182400.0
2000-02-10,35.15,35.38,34.47,35.35,,247100.0
2000-02-11,35.38,35.76,34.06,34.5,,236100.0
2000-02-14,34.5,35.89,34.09,35.72,,272600.0
2000-02-15,35.65,36.84,35.28,36.71,,353100.0
2000-02-16,36.84,36.84,34.88,35.72,,208700.0
2000-02-17,35.65,36.4,34.91,36.4,,237600.0
2000-02-18,36.37,36.37,33.65,34.4,,327800.0
2000-02-22,34.4,35.48,34.4,35.18,,278800.0
2000-02-23,35.08,35.62,34.47,35.08,,330000.0
2000-02-24,35.08,35.08,33.11,33.65,,404200.0
2000-02-25,33.31,33.38,32.46,33.04,,362400.0
2000-02-28,33.05,33.22,32.54,32.74,,384000.0
2000-02-29,32.78,33.22,32.5,33.15,,393600.0
2000-03-01,32.88,32.88,31.76,32.06,,339700.0
2000-03-02,32.44,33.05,32.06,32.85,,545700.0
2000-03-03,33.87,34.9,33.7,34.62,,351400.0
2000-03-06,34.49,34.55,31.85,31.92,,503700.0
2000-03-07,31.96,31.96,30.18,30.21,,648800.0
2000-03-08,30.25,31.41,29.94,31.35,,567200.0
2000-03-09,31.41,32.64,31.21,32.61,,597400.0
2000-03-10,32.54,33.6,32.5,33.05,,347000.0
2000-03-13,33.12,33.12,31.51,32.2,,480600.0
2000-03-14,32.06,32.16,30.73,31.72,,374900.0
2000-03-15,31.85,34.55,31.85,34.31,,459500.0
2000-03-16,34.42,38.24,34.31,36.98,,553500.0
2000-03-17,36.6,36.74,34.55,34.59,,486200.0
2000-03-20,34.66,36.5,34.66,34.96,,299000.0
2000-03-21,34.93,35.24,33.67,34.96,,374700.0
2000-03-22,34.49,34.55,32.91,33.94,,399000.0
2000-03-23,33.67,35.34,33.6,35.27,,443100.0
2000-03-24,34.93,35.03,32.16,33.12,,657000.0
2000-03-27,32.78,34.14,31.07,31.92,,451700.0
2000-03-28,31.99,32.64,31.24,31.38,,417600.0
2000-03-29,31.65,32.37,31.27,32.2,,507300.0
2000-03-30,32.33,33.73,32.13,33.29,,478200.0
2000-03-31,32.95,34.21,32.95,33.36,,268300.0
2000-04-03,33.22,33.29,32.09,32.47,,470800.0
2000-04-04,32.13,33.39,31.38,32.44,,381200.0
2000-04-05,32.3,33.05,31.72,31.89,,205300.0
2000-04-06,31.79,31.92,31.48,31.76,,247000.0
2000-04-07,31.27,31.65,30.73,31.55,,581500.0
2000-04-10,31.62,33.6,31.51,32.64,,315300.0
2000-04-11,32.5,35.1,32.47,34.83,,478000.0
2000-04-12,34.69,36.81,34.49,36.16,,561900.0
2000-04-13,36.02,37.15,35.85,36.81,,649600.0
2000-04-14,36.46,36.46,33.22,33.43,,472600.0
2000-04-17,33.46,34.21,32.5,34.08,,400500.0
2000-04-18,33.94,34.25,32.81,33.87,,413600.0
2000-04-19,33.73,34.01,32.81,33.12,,257000.0
2000-04-20,33.08,34.42,32.3,34.21,,325700.0
2000-04-24,34.08,34.69,32.57,32.95,,281400.0
2000-04-25,32.98,34.79,32.33,34.66,,872700.0
2000-04-26,34.52,35.51,33.77,35.34,,601700.0
2000-04-27,34.31,36.6,34.31,35.61,,590900.0
2000-04-28,34.69,37.56,34.69,35.85,,630700.0
2000-05-01,35.58,36.91,35.58,35.89,,331400.0
2000-05-02,36.09,36.77,35.75,35.92,,393400.0
2000-05-03,35.81,36.46,35.75,35.89,,431100.0
2000-05-04,35.89,36.94,35.34,36.57,,284200.0
2000-05-05,36.43,36.98,35.92,36.74,,237700.0
2000-05-08,36.74,37.45,35.99,36.16,,360100.0
2000-05-09,36.16,36.6,35.75,35.85,,377400.0
2000-05-10,34.96,36.4,34.9,36.13,,466500.0
2000-05-11,35.99,36.87,35.68,36.81,,413800.0
2000-05-12,36.77,36.77,35.13,35.75,,309700.0
2000-05-15,36.19,37.22,35.95,36.33,,472500.0
2000-05-16,36.29,36.77,35.51,36.4,,436100.0
2000-05-17,36.19,36.5,35.75,36.33,,196200.0
2000-05-18,35.85,36.05,34.96,35.48,,329400.0
2000-05-19,34.96,35.24,34.76,34.93,,260400.0
2000-05-22,34.96,35.1,34.28,34.38,,319000.0
2000-05-23,34.45,34.52,33.6,34.18,,317500.0
2000-05-24,34.31,35.61,34.31,35.34,,361700.0
2000-05-25,35.34,35.34,32.78,33.63,,390400.0
2000-05-26,33.77,34.45,33.63,34.25,,240200.0
2000-05-30,34.25,35.51,33.73,34.79,,452400.0
2000-05-31,34.72,34.72,34.08,34.08,,408900.0
2000-06-01,34.21,34.45,33.19,34.31,,403200.0
2000-06-02,34.66,35.24,34.66,34.79,,332200.0
2000-06-05,34.87,35.04,34.39,35.01,,223500.0
2000-06-06,34.91,35.21,34.18,34.67,,206900.0
2000-06-07,34.73,35.35,34.67,34.87,,241100.0
2000-06-08,34.73,34.73,34.05,34.42,,160000.0
2000-06-09,34.56,34.87,34.01,34.67,,147000.0
2000-06-12,34.7,35.32,34.32,34.56,,127400.0
2000-06-13,34.59,34.94,34.56,34.63,,151700.0
2000-06-14,34.77,36.51,34.77,35.76,,352700.0
2000-06-15,35.66,36.14,34.87,35.46,,211500.0
2000-06-16,35.11,36.76,35.11,36.69,,471900.0
2000-06-19,36.69,37.27,36.69,37.03,,396400.0
2000-06-20,36.89,36.89,35.76,36.24,,338500.0
2000-06-21,36.1,36.42,35.38,36.38,,222000.0
2000-06-22,36.24,36.45,35.83,36.04,,261900.0
2000-06-23,36.17,36.45,35.83,36.45,,269500.0
2000-06-26,36.51,37.27,36.07,36.55,,212800.0
2000-06-27,36.55,38.71,36.51,38.23,,476100.0
2000-06-28,38.37,38.37,36.65,37.23,,488200.0
2000-06-29,37.17,37.3,36.34,36.72,,461200.0
2000-06-30,36.83,37.17,36.28,36.83,,724900.0
2000-07-03,36.55,37.92,36.55,37.92,,141400.0
2000-07-05,38.54,38.75,37.38,37.51,,329000.0
2000-07-06,37.55,37.55,36.62,36.72,,283200.0
2000-07-07,36.72,36.81,34.84,35.66,,671700.0
