time,open,high,low,close,Volume,volume
1999-11-01,31.27,31.5,30.95,31.06,,3521400.0
1999-11-02,31.12,31.58,30.66,30.75,,2797067.0
1999-11-03,30.75,30.93,30.35,30.64,,2731167.0
1999-11-04,30.85,31.39,30.41,30.5,,2485200.0
1999-11-05,31.27,31.54,30.91,31.23,,2028533.0
1999-11-08,31.39,31.39,30.5,30.62,,2150000.0
1999-11-09,30.75,30.93,30.25,30.45,,2560700.0
1999-11-10,30.45,30.85,30.18,30.22,,2419733.0
1999-11-11,30.39,30.62,30.04,30.39,,2355867.0
1999-11-12,30.95,32.31,30.87,32.16,,2614633.0
1999-11-15,32.31,32.91,32.12,32.79,,2356667.0
1999-11-16,33.04,33.41,32.35,33.25,,3051400.0
1999-11-17,32.93,33.04,32.23,32.23,,1495367.0
1999-11-18,32.62,32.79,32.27,32.29,,2196933.0
1999-11-19,32.37,32.71,32.23,32.31,,1295067.0
1999-11-22,32.2,32.6,32.06,32.25,,1332900.0
1999-11-23,32.29,32.75,32.1,32.39,,1869633.0
1999-11-24,32.31,32.37,31.89,31.89,,1082233.0
1999-11-26,32.1,32.16,31.81,31.81,,381000.0
1999-11-29,31.6,31.6,30.7,30.81,,1685467.0
1999-11-30,30.85,32.02,30.85,31.54,,2140500.0
1999-12-01,31.27,32.0,31.12,31.85,,1671400.0
1999-12-02,32.1,32.27,31.68,31.98,,1390133.0
1999-12-03,32.73,33.23,32.58,32.79,,1764967.0
1999-12-06,32.73,33.12,32.48,32.77,,1458667.0
1999-12-07,33.0,33.33,32.58,33.12,,1994833.0
1999-12-08,33.04,33.43,32.73,33.0,,1365000.0
1999-12-09,33.0,33.93,33.0,33.31,,2215900.0
1999-12-10,33.73,35.21,33.58,34.98,,2695967.0
1999-12-13,35.1,35.1,34.29,34.66,,2047500.0
1999-12-14,34.08,34.25,33.46,33.46,,1847567.0
1999-12-15,33.35,33.56,32.96,32.98,,1808967.0
1999-12-16,32.77,32.77,31.6,31.81,,2794567.0
1999-12-17,32.27,32.56,31.97,32.34,,3177633.0
1999-12-20,32.62,32.85,31.91,32.35,,1534767.0
1999-12-21,32.06,33.33,31.85,32.89,,2524933.0
1999-12-22,32.85,33.0,32.39,32.39,,902867.0
1999-12-23,32.39,33.31,32.39,33.21,,989467.0
1999-12-27,33.21,33.87,33.0,33.0,,1031867.0
1999-12-28,33.1,34.12,33.06,33.73,,1312567.0
1999-12-29,33.87,34.69,33.85,34.5,,1076400.0
1999-12-30,34.5,35.02,34.35,34.56,,996433.0
1999-12-31,34.5,35.02,34.5,34.66,,388300.0
2000-01-03,34.29,34.29,32.52,32.78,,2157067.0
2000-01-04,32.37,32.5,31.08,31.54,,3480267.0
2000-01-05,31.42,31.96,31.15,31.38,,2882067.0
2000-01-06,30.37,31.81,30.37,31.38,,3663633.0
2000-01-07,31.48,32.04,31.0,31.81,,2005467.0
2000-01-10,31.94,32.69,31.71,32.27,,1635433.0
2000-01-11,32.23,33.4,32.11,32.57,,2386133.0
2000-01-12,32.55,33.17,32.02,32.4,,1938967.0
2000-01-13,32.67,33.05,32.21,32.57,,1943667.0
2000-01-14,32.96,33.63,32.92,33.3,,2096867.0
2000-01-18,32.98,32.98,31.63,31.65,,1955900.0
2000-01-19,32.04,32.32,31.06,31.08,,2202900.0
2000-01-20,31.38,32.27,30.98,31.61,,3770333.0
2000-01-21,31.94,32.11,31.5,31.67,,2103600.0
2000-01-24,32.21,32.98,31.44,31.73,,3343300.0
2000-01-25,31.65,33.15,31.65,33.07,,3383500.0
2000-01-26,33.4,34.26,33.3,33.36,,4398933.0
2000-01-27,33.61,34.3,33.42,34.01,,2078467.0
2000-01-28,33.63,33.88,32.94,33.05,,2403500.0
2000-01-31,32.77,34.61,32.73,34.4,,2468967.0
2000-02-01,34.36,35.38,34.19,35.28,,3093200.0
2000-02-02,35.18,35.18,34.15,34.28,,2985600.0
2000-02-03,34.34,34.55,33.53,34.01,,2484967.0
2000-02-04,34.01,34.13,33.53,33.69,,1718367.0
2000-02-07,33.69,34.22,33.59,33.9,,1490200.0
2000-02-08,34.13,34.51,33.99,34.03,,1756167.0
2000-02-09,34.01,34.01,32.36,32.69,,2394033.0
2000-02-10,32.69,33.3,32.07,32.25,,1995400.0
2000-02-11,32.36,33.0,31.71,32.04,,2173633.0
2000-02-14,32.04,32.96,32.04,32.15,,1806100.0
2000-02-15,32.21,33.32,32.11,33.21,,1556033.0
2000-02-16,32.67,32.73,31.75,32.11,,2538900.0
2000-02-17,32.21,32.46,29.83,30.88,,4733667.0
2000-02-18,30.88,30.88,28.27,28.87,,5206200.0
2000-02-22,29.12,29.29,28.72,29.04,,4593833.0
2000-02-23,29.02,29.37,28.54,28.83,,3634067.0
2000-02-24,28.72,28.93,26.91,27.14,,6620233.0
2000-02-25,27.37,27.97,25.89,26.05,,5525400.0
2000-02-28,26.41,28.29,26.41,27.68,,5453200.0
2000-02-29,28.39,28.43,27.45,28.02,,2853633.0
2000-03-01,28.6,28.68,27.6,28.29,,2596233.0
2000-03-02,28.6,28.68,27.64,27.89,,2902533.0
2000-03-03,28.77,28.89,27.41,27.87,,2925033.0
2000-03-06,27.87,27.93,26.85,26.99,,2433200.0
2000-03-07,27.03,27.14,25.91,26.39,,3717000.0
2000-03-08,26.43,26.43,25.28,25.64,,3787033.0
2000-03-09,25.86,25.97,24.95,25.64,,4279667.0
2000-03-10,25.7,27.1,25.43,26.45,,4144267.0
2000-03-13,25.84,27.43,25.55,26.43,,3399400.0
2000-03-14,27.1,27.64,26.7,26.8,,3127267.0
2000-03-15,26.89,28.04,26.55,27.74,,3732433.0
2000-03-16,28.6,30.6,28.5,30.02,,5762367.0
2000-03-17,29.75,30.69,29.46,29.98,,3937033.0
2000-03-20,30.27,30.69,29.41,29.64,,2943200.0
2000-03-21,29.64,31.1,28.91,30.46,,3901167.0
2000-03-22,30.6,30.85,29.94,30.85,,2124633.0
2000-03-23,30.85,32.57,30.33,32.57,,3768400.0
2000-03-24,32.54,32.84,32.11,32.49,,3247000.0
2000-03-27,32.46,32.57,31.13,31.42,,2345933.0
2000-03-28,31.23,32.34,31.13,31.84,,2677133.0
2000-03-29,31.75,32.27,31.17,31.65,,2033333.0
2000-03-30,31.63,31.86,30.88,31.1,,2267900.0
2000-03-31,31.0,31.42,30.58,31.08,,2113433.0
2000-04-03,31.27,32.82,31.19,32.46,,2994500.0
2000-04-04,32.46,32.94,29.79,30.69,,4864500.0
2000-04-05,30.48,30.75,29.91,30.17,,2911900.0
2000-04-06,30.06,30.08,29.25,29.43,,3107367.0
2000-04-07,29.52,29.52,28.93,29.04,,2293033.0
2000-04-10,29.04,30.27,28.85,29.89,,2722833.0
2000-04-11,30.14,30.58,29.43,30.31,,2928133.0
2000-04-12,30.54,32.15,30.52,31.48,,3923767.0
2000-04-13,31.48,31.61,30.27,30.48,,3027167.0
2000-04-14,29.96,30.06,27.51,27.97,,5218433.0
2000-04-17,27.76,28.47,27.54,27.97,,3514433.0
2000-04-18,28.24,29.35,28.18,29.21,,2199700.0
2000-04-19,29.12,29.39,28.77,29.12,,1862300.0
2000-04-20,29.1,30.06,28.97,29.87,,1785667.0
2000-04-24,29.83,31.56,29.66,31.35,,3768867.0
2000-04-25,31.54,33.0,31.52,33.0,,3216833.0
2000-04-26,33.0,33.38,32.27,32.29,,2658033.0
2000-04-27,31.85,32.42,31.33,32.38,,2749433.0
2000-04-28,32.38,32.77,31.23,31.23,,2625833.0
2000-05-01,31.25,32.02,30.58,31.62,,2930067.0
2000-05-02,31.62,31.62,30.81,30.93,,2345467.0
2000-05-03,30.83,31.29,29.24,29.66,,2852267.0
2000-05-04,29.95,30.77,29.89,30.24,,2315633.0
2000-05-05,30.24,30.64,29.56,30.62,,1952567.0
2000-05-08,30.29,31.81,30.27,31.77,,2113100.0
2000-05-09,31.77,32.19,30.83,30.91,,2425433.0
2000-05-10,31.02,31.41,29.79,29.95,,3387067.0
2000-05-11,29.92,31.02,29.76,31.02,,1268667.0
2000-05-12,30.79,31.73,30.7,31.49,,3613200.0
2000-05-15,31.64,32.82,31.45,32.7,,3887300.0
2000-05-16,32.94,32.98,32.0,32.04,,4043600.0
2000-05-17,31.96,32.43,31.49,31.92,,3567800.0
2000-05-18,31.8,32.78,31.8,32.47,,3115600.0
2000-05-19,31.84,32.04,31.17,31.53,,3258000.0
2000-05-22,31.49,31.73,30.51,31.1,,3427700.0
2000-05-23,30.86,31.88,30.86,31.8,,3483300.0
2000-05-24,31.8,32.82,30.94,31.33,,4939300.0
2000-05-25,31.33,32.08,30.39,30.63,,4409100.0
2000-05-26,30.86,31.29,30.51,30.74,,1971000.0
2000-05-30,31.1,31.8,31.1,31.73,,1958000.0
2000-05-31,31.76,32.74,31.49,32.23,,5440000.0
2000-06-01,33.72,34.39,33.21,33.76,,4736400.0
2000-06-02,34.97,35.72,34.78,35.4,,5285200.0
2000-06-05,35.25,35.25,34.35,34.86,,3301400.0
2000-06-06,34.7,34.7,33.52,33.84,,4159300.0
2000-06-07,33.99,35.68,33.96,35.37,,3259900.0
2000-06-08,35.21,35.4,34.46,34.46,,2928300.0
2000-06-09,34.78,35.29,33.52,33.72,,2784300.0
2000-06-12,33.68,34.15,33.52,33.62,,2644400.0
2000-06-13,33.68,34.27,33.09,34.15,,2826500.0
2000-06-14,34.31,35.84,34.23,35.56,,4399100.0
2000-06-15,35.33,35.64,33.8,34.78,,4454100.0
2000-06-16,34.78,34.9,32.2,32.27,,6841100.0
2000-06-19,32.7,34.5,32.55,33.52,,4895500.0
2000-06-20,33.05,34.23,33.05,33.84,,3512000.0
2000-06-21,33.88,33.88,32.67,32.98,,2462400.0
2000-06-22,32.82,33.52,32.55,33.49,,3638400.0
2000-06-23,33.49,34.03,33.05,33.61,,3236400.0
2000-06-26,33.61,35.4,33.56,35.21,,3620900.0
2000-06-27,35.09,35.29,33.68,33.96,,3542200.0
2000-06-28,33.33,34.43,33.33,33.37,,4753500.0
2000-06-29,33.09,33.33,32.58,32.9,,3474000.0
2000-06-30,32.39,32.73,31.96,32.67,,4835700.0
2000-07-03,31.88,32.98,31.88,32.82,,1726700.0
2000-07-05,33.1,33.22,32.36,32.72,,3549700.0
2000-07-06,32.2,32.67,31.81,32.6,,4151200.0
2000-07-07,32.95,33.77,32.67,33.73,,4055900.0
2000-07-10,33.66,34.55,33.14,34.44,,4046400.0
2000-07-11,34.44,34.79,33.42,33.93,,3928900.0
2000-07-12,34.05,34.87,33.69,34.52,,3996900.0
2000-07-13,34.91,34.91,34.28,34.55,,2042400.0
2000-07-14,34.64,35.85,34.48,35.5,,3933000.0
2000-07-17,35.77,36.01,34.52,35.34,,4145400.0
2000-07-18,35.14,35.18,34.05,34.64,,3535700.0
2000-07-19,34.6,34.95,34.2,34.55,,2607100.0
2000-07-20,34.6,36.24,34.6,35.7,,3858400.0
2000-07-21,35.62,37.38,35.62,37.18,,6136200.0
2000-07-24,37.18,37.5,35.26,35.81,,4547800.0
2000-07-25,35.93,36.17,34.91,35.07,,4227900.0
2000-07-26,34.64,35.7,34.6,34.91,,4209000.0
2000-07-27,35.3,36.68,35.23,36.59,,3773300.0
2000-07-28,36.87,36.87,34.55,35.14,,4403800.0
2000-07-31,35.07,36.01,35.03,35.58,,3560700.0
2000-08-01,35.77,36.09,35.46,35.73,,2388200.0
2000-08-02,35.73,36.36,35.26,36.01,,3158500.0
2000-08-03,35.07,36.75,35.07,36.4,,3947900.0
2000-08-04,36.95,37.77,36.52,37.54,,4312400.0
2000-08-07,37.18,37.54,36.52,36.59,,4084700.0
2000-08-08,36.95,36.95,36.09,36.87,,3250800.0
2000-08-09,36.48,37.74,36.48,37.42,,3654200.0
2000-08-10,37.46,37.65,36.71,36.8,,2657400.0
2000-08-11,36.87,37.93,36.68,37.5,,3614000.0
2000-08-14,37.74,37.93,36.87,37.65,,2806100.0
2000-08-15,37.62,37.62,36.83,37.15,,3155400.0
2000-08-16,36.87,37.46,36.17,36.36,,3070900.0
2000-08-17,36.05,37.03,35.97,36.71,,2771200.0
2000-08-18,37.03,37.15,36.56,36.71,,2375800.0
2000-08-21,37.03,37.69,36.87,37.11,,2775800.0
2000-08-22,37.34,37.42,36.05,36.36,,4134000.0
2000-08-23,36.59,36.59,35.77,35.97,,3717100.0
2000-08-24,36.4,36.4,34.99,35.46,,4558200.0
2000-08-25,35.54,35.89,35.5,35.5,,2471900.0
2000-08-28,36.09,37.62,35.77,37.58,,4912600.0
2000-08-29,37.11,37.46,36.59,37.18,,3513500.0
2000-08-30,36.91,37.46,36.8,36.99,,2291200.0
2000-08-31,37.03,37.89,37.03,37.04,,3959800.0
2000-09-01,37.34,37.58,36.64,36.68,,2118700.0
2000-09-05,36.68,37.62,36.64,37.5,,2713400.0
2000-09-06,37.65,38.83,37.34,37.65,,4184200.0
2000-09-07,37.65,37.65,36.71,37.22,,1843000.0
2000-09-08,37.15,38.09,36.99,38.05,,3522100.0
2000-09-11,37.65,38.87,37.65,38.79,,3804500.0
2000-09-12,38.87,38.87,38.01,38.52,,3488400.0
2000-09-13,38.83,39.07,37.85,38.48,,3613000.0
2000-09-14,38.4,38.83,37.97,38.16,,2419900.0
2000-09-15,38.01,38.4,36.87,37.22,,4973700.0
2000-09-18,36.83,37.03,36.4,36.4,,2965300.0
2000-09-19,36.4,37.58,36.4,37.54,,3512800.0
2000-09-20,36.12,36.52,35.38,36.4,,4064500.0
2000-09-21,35.65,36.68,35.07,36.56,,3817300.0
2000-09-22,36.56,37.18,36.32,36.87,,3059600.0
2000-09-25,37.03,37.89,36.64,37.65,,3328600.0
2000-09-26,37.69,38.09,36.91,37.38,,2332900.0
2000-09-27,37.03,37.22,36.64,36.87,,3108100.0
2000-09-28,36.87,38.91,36.87,38.24,,3354900.0
2000-09-29,38.48,38.87,38.09,38.13,,2852700.0
2000-10-02,38.28,39.54,37.58,39.54,,4219200.0
2000-10-03,39.19,39.34,38.52,38.6,,3933700.0
2000-10-04,38.68,38.84,38.26,38.26,,2751600.0
2000-10-05,38.77,39.28,38.18,38.33,,3767600.0
2000-10-06,38.06,38.18,36.13,36.41,,6946900.0
2000-10-09,36.45,36.45,35.47,35.59,,4123600.0
2000-10-10,35.78,35.78,34.56,34.88,,6166600.0
2000-10-11,34.49,35.15,33.97,34.17,,7036200.0
2000-10-12,35.19,35.74,32.17,32.6,,9528500.0
2000-10-13,32.33,34.13,32.33,33.9,,5117900.0
2000-10-16,34.25,35.59,33.93,35.03,,5397400.0
2000-10-17,34.72,35.19,33.39,33.78,,5519700.0
2000-10-18,33.23,34.96,31.82,34.09,,8089600.0
2000-10-19,34.72,35.74,34.68,35.23,,4281600.0
2000-10-20,34.84,35.74,34.84,35.23,,2941300.0
2000-10-23,35.54,35.54,33.93,34.17,,5033000.0
2000-10-24,34.44,36.06,34.37,35.9,,5099100.0
2000-10-25,36.29,36.92,35.82,36.06,,5103800.0
2000-10-26,35.47,35.54,33.34,34.21,,6869800.0
2000-10-27,35.12,35.35,34.44,35.07,,3439300.0
2000-10-30,35.43,37.0,35.39,36.72,,3621300.0
2000-10-31,36.69,37.82,36.06,37.7,,4803900.0
2000-11-01,37.63,37.79,35.9,36.69,,4518900.0
2000-11-02,36.76,37.11,36.17,36.22,,3816000.0
2000-11-03,36.76,37.94,36.29,37.47,,3795700.0
2000-11-06,37.63,38.1,37.27,38.1,,3308000.0
2000-11-07,37.94,38.61,37.82,38.3,,2334900.0
2000-11-08,38.53,38.53,36.37,36.45,,3968900.0
2000-11-09,36.57,37.2,35.86,36.6,,3983800.0
2000-11-10,36.37,37.31,35.86,35.86,,3504100.0
2000-11-13,35.78,36.45,34.91,35.12,,3537500.0
2000-11-14,35.12,37.0,35.12,36.01,,3451300.0
2000-11-15,35.98,37.39,35.51,36.25,,3807800.0
2000-11-16,36.13,36.92,35.82,36.29,,2494100.0
2000-11-17,35.94,36.29,34.64,35.23,,4459900.0
2000-11-20,35.23,35.23,33.03,33.07,,5403700.0
2000-11-21,32.99,33.62,31.46,33.46,,4354300.0
2000-11-22,33.23,33.78,32.13,32.56,,3565900.0
2000-11-24,32.48,32.83,32.17,32.29,,1799200.0
2000-11-27,33.93,33.93,33.23,33.31,,3295000.0
2000-11-28,33.23,35.43,33.23,34.64,,4988000.0
2000-11-29,34.68,35.94,34.56,35.78,,4315000.0
2000-11-30,35.62,37.23,33.54,34.52,,10034200.0
2000-12-01,35.35,35.35,33.93,34.09,,4768700.0
2000-12-04,33.74,33.78,32.29,32.68,,7540100.0
2000-12-05,33.62,34.56,32.95,33.93,,6872100.0
2000-12-06,33.86,35.27,33.62,33.78,,4997200.0
2000-12-07,33.93,34.44,33.46,33.58,,3403800.0
2000-12-08,33.93,35.12,33.93,34.44,,3791700.0
2000-12-11,35.0,35.78,34.76,35.51,,3773300.0
2000-12-12,35.35,35.59,34.8,35.31,,2546400.0
2000-12-13,35.47,36.49,35.35,35.51,,3977400.0
2000-12-14,35.51,35.54,34.25,34.84,,4788900.0
2000-12-15,34.68,34.84,33.7,34.33,,6330400.0
2000-12-18,34.8,36.41,34.76,35.66,,5531500.0
2000-12-19,35.9,36.37,34.17,34.52,,5354800.0
2000-12-20,34.52,34.56,32.01,32.33,,7309900.0
2000-12-21,33.31,33.31,32.36,33.03,,6110000.0
2000-12-22,33.31,33.86,33.03,33.42,,4318700.0
2000-12-26,33.58,33.74,33.07,33.46,,3877700.0
2000-12-27,34.05,34.25,33.42,33.42,,7166100.0
2000-12-28,34.09,34.25,33.62,33.93,,3565100.0
2000-12-29,34.25,34.84,34.17,34.52,,4380400.0
2001-01-02,34.25,34.37,32.4,32.68,,4394200.0
2001-01-03,32.41,35.91,32.37,35.2,,8964100.0
2001-01-04,35.59,35.75,33.83,34.1,,8212700.0
2001-01-05,33.51,33.55,31.78,32.45,,6354800.0
2001-01-08,32.65,32.65,30.6,30.8,,8780900.0
