time,open,high,low,close,Volume,volume
1999-11-01,1.97,1.98,1.93,1.95,,90200.0
1999-11-02,1.97,1.97,1.92,1.94,,167900.0
1999-11-03,1.97,1.97,1.95,1.96,,81400.0
1999-11-04,1.96,1.97,1.9,1.92,,102600.0
1999-11-05,1.93,1.94,1.91,1.93,,148100.0
1999-11-08,1.92,1.95,1.91,1.94,,72300.0
1999-11-09,1.94,1.94,1.85,1.87,,275000.0
1999-11-10,1.87,1.97,1.84,1.94,,147500.0
1999-11-11,1.93,1.99,1.92,1.97,,153800.0
1999-11-12,1.97,1.99,1.86,1.91,,139300.0
1999-11-15,1.9,1.94,1.9,1.93,,204000.0
1999-11-16,1.94,1.94,1.92,1.92,,173600.0
1999-11-17,1.92,1.93,1.9,1.93,,95800.0
1999-11-18,1.92,1.98,1.9,1.92,,88400.0
1999-11-19,1.89,1.92,1.86,1.9,,169100.0
1999-11-22,1.91,1.92,1.86,1.86,,65200.0
1999-11-23,1.86,1.9,1.84,1.9,,169800.0
1999-11-24,1.88,1.88,1.85,1.86,,65600.0
1999-11-26,1.87,1.87,1.84,1.84,,19600.0
1999-11-29,1.85,1.88,1.83,1.83,,176100.0
1999-11-30,1.82,1.84,1.78,1.82,,159000.0
1999-12-01,1.81,1.86,1.77,1.85,,233900.0
1999-12-02,1.86,1.89,1.84,1.88,,134600.0
1999-12-03,1.9,1.93,1.9,1.92,,87300.0
1999-12-06,1.91,1.95,1.9,1.93,,112900.0
1999-12-07,1.92,1.96,1.9,1.93,,81100.0
1999-12-08,1.92,1.92,1.88,1.89,,43100.0
1999-12-09,1.88,1.89,1.82,1.83,,59800.0
1999-12-10,1.84,1.87,1.83,1.87,,79800.0
1999-12-13,1.86,1.89,1.77,1.78,,173900.0
1999-12-14,1.77,1.78,1.75,1.75,,262200.0
1999-12-15,1.76,1.84,1.76,1.82,,66600.0
1999-12-16,1.81,1.81,1.78,1.79,,73300.0
1999-12-17,1.8,1.81,1.77,1.78,,124700.0
1999-12-20,1.78,1.78,1.73,1.76,,138900.0
1999-12-21,1.76,1.79,1.76,1.78,,99100.0
1999-12-22,1.79,1.82,1.78,1.79,,66900.0
1999-12-23,1.79,1.86,1.79,1.84,,112700.0
1999-12-27,1.84,1.84,1.81,1.82,,58000.0
1999-12-28,1.81,1.92,1.81,1.89,,83700.0
1999-12-29,1.87,1.93,1.83,1.87,,99000.0
1999-12-30,1.87,1.88,1.83,1.85,,59800.0
1999-12-31,1.86,1.93,1.86,1.93,,58300.0
2000-01-03,1.92,1.96,1.91,1.95,,204600.0
2000-01-04,1.94,1.97,1.88,1.88,,152900.0
2000-01-05,1.88,1.94,1.88,1.92,,72800.0
2000-01-06,1.92,1.98,1.92,1.95,,67100.0
2000-01-07,1.96,1.98,1.88,1.89,,125800.0
2000-01-10,2.07,2.07,1.95,1.96,,473900.0
2000-01-11,1.96,2.0,1.95,1.99,,309700.0
2000-01-12,1.99,1.99,1.91,1.91,,169600.0
2000-01-13,1.94,2.04,1.93,1.95,,276200.0
2000-01-14,2.04,2.08,2.03,2.06,,195900.0
2000-01-18,2.07,2.12,2.05,2.07,,177400.0
2000-01-19,2.09,2.09,2.03,2.04,,255900.0
2000-01-20,2.05,2.07,2.03,2.05,,211400.0
2000-01-21,2.09,2.1,2.01,2.01,,268100.0
2000-01-24,2.02,2.02,1.91,1.93,,165900.0
2000-01-25,1.92,1.93,1.84,1.84,,200400.0
2000-01-26,1.81,1.88,1.81,1.86,,180300.0
2000-01-27,1.86,1.87,1.82,1.83,,230000.0
2000-01-28,1.84,1.84,1.76,1.76,,153700.0
2000-01-31,1.77,1.8,1.73,1.78,,139600.0
2000-02-01,1.77,1.79,1.74,1.76,,65700.0
2000-02-02,1.77,1.77,1.71,1.73,,112600.0
2000-02-03,1.77,1.77,1.72,1.73,,114500.0
2000-02-04,1.73,1.73,1.69,1.7,,133700.0
2000-02-07,1.71,1.71,1.66,1.66,,110400.0
2000-02-08,1.67,1.68,1.61,1.61,,87600.0
2000-02-09,1.62,1.65,1.59,1.62,,206900.0
2000-02-10,1.62,1.62,1.58,1.59,,84500.0
2000-02-11,1.59,1.6,1.55,1.58,,103700.0
2000-02-14,1.58,1.61,1.58,1.59,,87800.0
2000-02-15,1.58,1.61,1.57,1.57,,173500.0
2000-02-16,1.59,1.59,1.53,1.55,,126500.0
2000-02-17,1.55,1.57,1.54,1.55,,52600.0
2000-02-18,1.53,1.54,1.43,1.45,,181600.0
2000-02-22,1.49,1.49,1.46,1.48,,85000.0
2000-02-23,1.47,1.51,1.47,1.47,,117800.0
2000-02-24,1.47,1.47,1.39,1.4,,120500.0
2000-02-25,1.42,1.42,1.38,1.38,,56000.0
2000-02-28,1.39,1.4,1.36,1.38,,68600.0
2000-02-29,1.38,1.39,1.32,1.32,,117300.0
2000-03-01,1.34,1.34,1.29,1.32,,183300.0
2000-03-02,1.33,1.33,1.28,1.3,,148400.0
2000-03-03,1.3,1.4,1.3,1.32,,164200.0
2000-03-06,1.32,1.36,1.32,1.33,,138800.0
2000-03-07,1.34,1.38,1.29,1.32,,191600.0
2000-03-08,1.33,1.45,1.33,1.39,,317100.0
2000-03-09,1.41,1.45,1.4,1.42,,143200.0
2000-03-10,1.41,1.43,1.39,1.4,,118600.0
2000-03-13,1.4,1.42,1.38,1.42,,135200.0
2000-03-14,1.43,1.46,1.41,1.44,,120100.0
2000-03-15,1.45,1.55,1.45,1.53,,208300.0
2000-03-16,1.55,1.67,1.53,1.66,,283700.0
2000-03-17,1.66,1.66,1.6,1.6,,173800.0
2000-03-20,1.56,1.64,1.55,1.55,,246400.0
2000-03-21,1.55,1.58,1.52,1.57,,190600.0
2000-03-22,1.58,1.58,1.53,1.56,,216500.0
2000-03-23,1.54,1.61,1.54,1.59,,132000.0
2000-03-24,1.59,1.59,1.56,1.57,,136500.0
2000-03-27,1.57,1.59,1.57,1.57,,142500.0
2000-03-28,1.57,1.59,1.57,1.57,,128400.0
2000-03-29,1.57,1.6,1.54,1.56,,103500.0
2000-03-30,1.57,1.62,1.57,1.61,,92800.0
2000-03-31,1.59,1.71,1.58,1.7,,185600.0
2000-04-03,1.69,1.76,1.69,1.74,,275500.0
2000-04-04,1.73,1.73,1.65,1.71,,182100.0
2000-04-05,1.69,1.76,1.68,1.75,,199500.0
2000-04-06,1.77,1.82,1.76,1.8,,384200.0
2000-04-07,1.83,1.83,1.77,1.77,,202700.0
2000-04-10,1.76,1.79,1.75,1.78,,97900.0
2000-04-11,1.78,1.8,1.78,1.8,,112800.0
2000-04-12,1.8,1.85,1.79,1.81,,129700.0
2000-04-13,1.8,1.82,1.8,1.82,,97400.0
2000-04-14,1.81,1.81,1.75,1.76,,192100.0
2000-04-17,1.75,1.75,1.64,1.69,,247700.0
2000-04-18,1.68,1.68,1.61,1.63,,144400.0
2000-04-19,1.63,1.75,1.62,1.66,,121800.0
2000-04-20,1.66,1.67,1.59,1.62,,134100.0
2000-04-24,1.62,1.62,1.55,1.59,,134900.0
2000-04-25,1.67,1.67,1.57,1.63,,137300.0
2000-04-26,1.64,1.64,1.58,1.61,,137300.0
2000-04-27,1.59,1.62,1.54,1.57,,116900.0
2000-04-28,1.59,1.59,1.54,1.55,,110100.0
2000-05-01,1.52,1.56,1.49,1.49,,253600.0
2000-05-02,1.49,1.55,1.48,1.51,,200900.0
2000-05-03,1.52,1.56,1.5,1.51,,137500.0
2000-05-04,1.5,1.55,1.5,1.52,,129900.0
2000-05-05,1.52,1.56,1.51,1.55,,110500.0
2000-05-08,1.55,1.57,1.53,1.54,,74800.0
2000-05-09,1.54,1.57,1.54,1.57,,58800.0
2000-05-10,1.57,1.59,1.57,1.58,,110400.0
2000-05-11,1.57,1.64,1.57,1.63,,133500.0
2000-05-12,1.64,1.67,1.6,1.64,,124300.0
2000-05-15,1.65,1.67,1.65,1.66,,123300.0
2000-05-16,1.61,1.67,1.61,1.67,,131300.0
2000-05-17,1.66,1.69,1.63,1.67,,79800.0
2000-05-18,1.67,1.67,1.6,1.61,,236600.0
2000-05-19,1.6,1.6,1.57,1.57,,104800.0
2000-05-22,1.58,1.61,1.54,1.56,,134800.0
2000-05-23,1.56,1.56,1.47,1.48,,147100.0
2000-05-24,1.49,1.51,1.48,1.48,,150500.0
2000-05-25,1.48,1.5,1.46,1.48,,74100.0
2000-05-26,1.48,1.49,1.47,1.48,,96800.0
2000-05-30,1.48,1.49,1.45,1.48,,138100.0
2000-05-31,1.48,1.48,1.47,1.47,,69300.0
2000-06-01,1.47,1.51,1.46,1.51,,111400.0
2000-06-02,1.51,1.54,1.51,1.52,,156300.0
2000-06-05,1.53,1.55,1.5,1.53,,154300.0
2000-06-06,1.53,1.56,1.51,1.55,,126500.0
2000-06-07,1.55,1.55,1.51,1.52,,106500.0
2000-06-08,1.51,1.53,1.51,1.51,,72100.0
2000-06-09,1.52,1.56,1.52,1.53,,144500.0
2000-06-12,1.53,1.55,1.53,1.54,,127700.0
2000-06-13,1.54,1.55,1.54,1.54,,139200.0
2000-06-14,1.54,1.58,1.54,1.57,,70600.0
2000-06-15,1.57,1.57,1.54,1.55,,72300.0
2000-06-16,1.55,1.58,1.55,1.57,,76400.0
2000-06-19,1.57,1.57,1.54,1.54,,129200.0
2000-06-20,1.54,1.56,1.54,1.55,,71600.0
2000-06-21,1.55,1.55,1.53,1.54,,79900.0
2000-06-22,1.55,1.57,1.53,1.57,,128600.0
2000-06-23,1.56,1.61,1.56,1.59,,90400.0
2000-06-26,1.59,1.63,1.56,1.56,,144200.0
2000-06-27,1.54,1.56,1.51,1.55,,326400.0
2000-06-28,1.56,1.64,1.53,1.61,,192000.0
2000-06-29,1.6,1.79,1.6,1.75,,342000.0
2000-06-30,1.75,1.75,1.55,1.59,,719500.0
2000-07-03,1.6,1.63,1.59,1.63,,100000.0
2000-07-05,1.64,1.66,1.61,1.62,,90700.0
2000-07-06,1.62,1.62,1.57,1.6,,327700.0
2000-07-07,1.6,1.6,1.58,1.59,,167300.0
2000-07-10,1.58,1.66,1.58,1.64,,69600.0
2000-07-11,1.71,1.71,1.68,1.69,,178300.0
2000-07-12,1.68,1.68,1.65,1.67,,140900.0
