time,open,high,low,close,Volume,volume
1999-11-01,11.3,11.37,11.07,11.08,,659000.0
1999-11-02,11.09,11.17,10.89,10.92,,982900.0
1999-11-03,11.11,11.2,10.98,11.07,,881400.0
1999-11-04,11.17,11.17,10.98,11.01,,679400.0
1999-11-05,11.23,11.63,11.2,11.31,,866500.0
1999-11-08,11.33,11.42,11.13,11.17,,412500.0
1999-11-09,11.22,11.22,10.89,11.03,,686100.0
1999-11-10,11.02,11.04,10.92,10.95,,801500.0
1999-11-11,10.98,11.29,10.97,11.18,,535400.0
1999-11-12,11.23,11.39,11.2,11.38,,593300.0
1999-11-15,11.2,11.39,11.18,11.39,,615500.0
1999-11-16,11.37,11.8,11.37,11.72,,689400.0
1999-11-17,11.72,11.78,11.65,11.72,,808400.0
1999-11-18,11.89,12.06,11.26,11.61,,1431900.0
1999-11-19,11.61,12.0,11.61,11.91,,1306300.0
1999-11-22,11.88,12.01,11.78,11.87,,396700.0
1999-11-23,11.8,11.82,11.39,11.41,,505200.0
1999-11-24,11.41,11.73,11.39,11.69,,886300.0
1999-11-26,11.69,11.77,11.66,11.72,,258400.0
1999-11-29,11.72,11.78,11.65,11.77,,720800.0
1999-11-30,11.74,11.91,11.68,11.7,,1016000.0
1999-12-01,11.74,11.87,11.74,11.8,,1348200.0
1999-12-02,11.77,11.78,11.59,11.73,,467800.0
1999-12-03,11.73,11.86,11.64,11.68,,741100.0
1999-12-06,11.73,11.73,11.39,11.42,,661300.0
1999-12-07,11.41,11.42,11.0,11.14,,915600.0
1999-12-08,11.1,11.13,10.74,10.9,,1437700.0
1999-12-09,10.92,10.93,10.81,10.86,,579300.0
1999-12-10,10.88,10.92,10.79,10.79,,704500.0
1999-12-13,10.88,10.9,10.7,10.8,,573700.0
1999-12-14,10.63,10.96,10.63,10.92,,685800.0
1999-12-15,10.94,10.96,10.77,10.79,,984200.0
1999-12-16,10.77,10.79,10.27,10.5,,1400200.0
1999-12-17,10.5,10.55,10.38,10.52,,1497400.0
1999-12-20,10.43,10.6,10.31,10.47,,1410100.0
1999-12-21,10.39,10.47,10.19,10.39,,1409400.0
1999-12-22,10.49,10.7,10.49,10.61,,782600.0
1999-12-23,10.61,10.93,10.6,10.9,,1122100.0
1999-12-27,10.79,10.81,10.36,10.66,,1580600.0
1999-12-28,10.55,10.67,10.44,10.54,,709100.0
1999-12-29,10.51,10.83,10.51,10.69,,657500.0
1999-12-30,10.71,11.01,10.7,10.95,,770300.0
1999-12-31,10.88,10.94,10.8,10.93,,233800.0
2000-01-03,10.71,10.81,10.5,10.68,,1053300.0
2000-01-04,10.51,10.62,10.4,10.44,,472700.0
2000-01-05,10.44,11.03,10.36,10.99,,1140800.0
2000-01-06,10.77,11.23,10.77,11.13,,910000.0
2000-01-07,11.2,11.78,11.16,11.76,,1214000.0
2000-01-10,11.79,11.79,11.27,11.31,,520500.0
2000-01-11,11.18,11.42,11.11,11.31,,662300.0
2000-01-12,11.35,11.38,11.18,11.18,,505800.0
2000-01-13,11.27,11.64,11.23,11.44,,745200.0
2000-01-14,11.31,11.4,10.84,11.1,,1149000.0
2000-01-18,11.05,11.14,10.88,10.95,,646700.0
2000-01-19,10.95,11.03,10.84,10.93,,707200.0
2000-01-20,10.89,10.94,10.53,10.62,,1447700.0
2000-01-21,10.62,10.62,10.51,10.57,,1626500.0
2000-01-24,10.57,10.61,10.25,10.32,,927100.0
2000-01-25,10.29,10.3,9.79,10.09,,1943500.0
2000-01-26,10.05,10.25,9.75,10.09,,2675400.0
2000-01-27,10.36,11.14,10.27,10.98,,3051500.0
2000-01-28,10.98,11.56,10.79,10.91,,2061200.0
2000-01-31,11.14,11.2,10.95,11.12,,2156800.0
2000-02-01,11.12,11.12,10.9,10.99,,806000.0
2000-02-02,10.94,11.05,10.81,11.03,,1273800.0
2000-02-03,11.05,11.1,10.93,11.05,,974100.0
2000-02-04,11.01,11.12,11.01,11.05,,1273100.0
2000-02-07,11.01,11.07,10.88,10.98,,873500.0
2000-02-08,10.93,11.11,10.87,10.95,,744200.0
2000-02-09,10.79,10.96,10.47,10.94,,1235900.0
2000-02-10,10.94,10.94,10.38,10.54,,846900.0
2000-02-11,10.51,10.52,10.27,10.31,,717900.0
2000-02-14,10.38,10.54,10.27,10.4,,734800.0
2000-02-15,10.31,10.4,10.14,10.29,,1506800.0
2000-02-16,10.27,10.29,10.01,10.07,,1125300.0
2000-02-17,10.07,10.09,9.93,10.04,,1107900.0
2000-02-18,10.0,10.0,9.67,9.73,,1157900.0
2000-02-22,9.68,10.12,9.61,9.92,,1476500.0
2000-02-23,9.9,10.01,9.73,9.87,,893700.0
2000-02-24,9.87,9.87,9.4,9.59,,1196100.0
2000-02-25,9.68,10.04,9.35,9.43,,1345300.0
2000-02-28,9.52,9.78,9.44,9.55,,818600.0
2000-02-29,9.64,9.81,9.49,9.49,,970900.0
2000-03-01,9.54,9.99,9.54,9.76,,1304300.0
2000-03-02,9.8,10.01,9.68,9.89,,2085800.0
2000-03-03,9.93,10.2,9.86,9.86,,2304000.0
2000-03-06,9.88,9.88,9.46,9.46,,947700.0
2000-03-07,9.55,9.57,9.01,9.02,,1284000.0
2000-03-08,9.22,9.57,9.22,9.42,,1186600.0
2000-03-09,9.42,9.73,9.37,9.7,,1907900.0
2000-03-10,9.7,9.91,9.7,9.76,,2162000.0
2000-03-13,9.58,9.68,9.32,9.35,,1366600.0
2000-03-14,9.4,9.52,9.35,9.4,,1130900.0
2000-03-15,9.51,10.38,9.49,10.26,,1554600.0
2000-03-16,10.4,10.91,10.32,10.86,,2781900.0
2000-03-17,10.92,10.92,10.68,10.75,,1310800.0
2000-03-20,10.75,10.92,10.66,10.74,,1492600.0
2000-03-21,10.65,11.12,10.63,10.94,,1573200.0
2000-03-22,10.82,10.99,10.71,10.92,,1977100.0
2000-03-23,10.86,11.29,10.73,11.13,,2573700.0
2000-03-24,11.04,11.04,10.63,10.7,,2199000.0
2000-03-27,10.62,10.65,10.29,10.48,,1503500.0
2000-03-28,10.47,10.73,10.38,10.5,,1450000.0
2000-03-29,10.48,10.78,10.4,10.49,,1447900.0
2000-03-30,10.49,10.82,10.47,10.7,,1660400.0
2000-03-31,10.75,10.95,10.71,10.91,,1056200.0
2000-04-03,10.43,11.05,10.43,10.82,,1132800.0
2000-04-04,10.79,11.03,10.47,10.8,,1423100.0
2000-04-05,10.89,11.05,10.7,10.77,,1719800.0
2000-04-06,10.75,10.78,10.35,10.44,,1023300.0
2000-04-07,10.42,10.5,10.29,10.35,,542700.0
2000-04-10,10.35,10.65,10.29,10.55,,972300.0
2000-04-11,10.55,11.13,10.55,10.74,,990100.0
2000-04-12,10.78,10.93,10.51,10.61,,1029500.0
2000-04-13,10.56,10.68,10.41,10.45,,931400.0
2000-04-14,10.27,10.36,9.83,9.84,,1474800.0
2000-04-17,9.89,10.0,9.66,9.82,,1276600.0
2000-04-18,9.92,10.15,9.88,10.07,,1106500.0
2000-04-19,10.29,10.41,10.09,10.14,,945400.0
2000-04-20,10.27,10.47,9.86,10.41,,1640500.0
2000-04-24,10.32,11.0,10.32,10.79,,2167000.0
2000-04-25,11.05,11.57,11.04,11.57,,3354900.0
2000-04-26,11.53,11.53,11.27,11.32,,1784500.0
2000-04-27,11.27,11.45,11.27,11.41,,1749300.0
2000-04-28,11.41,11.44,11.32,11.34,,1672900.0
2000-05-01,11.34,11.35,11.05,11.06,,1153200.0
2000-05-02,10.92,11.29,10.88,11.1,,924600.0
2000-05-03,11.08,11.14,10.79,10.84,,717100.0
2000-05-04,10.8,10.82,10.55,10.71,,952900.0
2000-05-05,10.67,10.96,10.61,10.76,,749500.0
2000-05-08,10.94,11.39,10.84,11.14,,1684200.0
2000-05-09,11.14,11.66,11.14,11.48,,1974400.0
2000-05-10,11.36,11.64,11.36,11.56,,1101100.0
2000-05-11,11.75,11.99,11.66,11.8,,1948000.0
2000-05-12,11.75,11.79,11.49,11.49,,1100000.0
2000-05-15,11.56,11.77,11.49,11.64,,1466700.0
2000-05-16,11.7,11.92,11.55,11.75,,1823200.0
2000-05-17,11.68,11.74,11.57,11.61,,489400.0
2000-05-18,11.62,11.68,11.51,11.66,,608200.0
2000-05-19,11.6,11.73,11.5,11.64,,837700.0
2000-05-22,11.6,11.74,11.48,11.66,,800800.0
2000-05-23,11.66,11.88,11.66,11.78,,715100.0
2000-05-24,11.78,12.09,11.78,11.99,,970200.0
2000-05-25,11.9,11.93,11.69,11.77,,772400.0
2000-05-26,11.73,11.79,11.41,11.41,,573200.0
2000-05-30,11.49,11.53,11.3,11.52,,741400.0
2000-05-31,11.49,11.83,11.49,11.69,,1073500.0
2000-06-01,11.55,11.87,11.55,11.78,,762300.0
2000-06-02,11.76,11.83,10.93,11.06,,1689400.0
2000-06-05,11.1,11.68,11.04,11.47,,936300.0
2000-06-06,11.48,11.52,11.16,11.29,,854600.0
2000-06-07,11.25,11.29,10.93,10.96,,605000.0
2000-06-08,10.96,11.25,10.7,11.12,,829600.0
2000-06-09,11.14,11.36,11.06,11.27,,722500.0
2000-06-12,11.27,11.47,11.25,11.37,,688000.0
2000-06-13,11.38,11.81,11.38,11.64,,573200.0
2000-06-14,11.66,11.98,11.66,11.77,,2483300.0
2000-06-15,11.88,11.98,11.66,11.7,,803500.0
2000-06-16,11.73,11.75,11.38,11.53,,1071300.0
2000-06-19,11.54,11.56,11.37,11.55,,588700.0
2000-06-20,11.51,11.64,11.41,11.61,,771200.0
2000-06-21,11.51,11.86,11.45,11.83,,583100.0
2000-06-22,11.83,11.83,11.5,11.57,,636600.0
2000-06-23,11.53,11.77,11.45,11.5,,577800.0
2000-06-26,11.53,12.05,11.51,11.83,,1631700.0
2000-06-27,11.86,12.16,11.8,12.0,,1331300.0
2000-06-28,12.18,12.49,12.05,12.4,,1582300.0
2000-06-29,12.42,12.53,12.32,12.53,,1795500.0
2000-06-30,12.53,12.54,12.19,12.24,,2213600.0
2000-07-03,12.31,12.44,12.31,12.36,,426600.0
2000-07-05,12.36,12.96,12.35,12.93,,1910000.0
2000-07-06,12.93,13.05,12.27,12.32,,2280400.0
2000-07-07,12.36,12.61,12.24,12.27,,2212700.0
2000-07-10,12.36,12.57,12.36,12.45,,929700.0
2000-07-11,12.44,12.68,12.41,12.52,,1194900.0
2000-07-12,12.99,12.99,12.49,12.52,,1540000.0
2000-07-13,12.55,12.71,12.29,12.3,,1636800.0
2000-07-14,12.31,12.4,11.75,12.1,,1809800.0
2000-07-17,12.27,12.87,12.22,12.64,,1375600.0
2000-07-18,12.73,12.81,12.61,12.67,,810700.0
2000-07-19,12.72,12.92,12.72,12.8,,1124100.0
2000-07-20,12.84,13.14,12.68,13.02,,1923400.0
2000-07-21,13.09,13.84,12.97,13.68,,2937200.0
2000-07-24,13.68,13.97,13.48,13.58,,1680000.0
2000-07-25,13.43,13.47,12.92,12.99,,1221600.0
2000-07-26,12.93,13.09,12.77,12.97,,1677600.0
2000-07-27,13.14,13.44,12.97,12.97,,1693600.0
2000-07-28,13.1,13.66,13.04,13.39,,1989200.0
2000-07-31,13.46,13.62,13.37,13.53,,1339600.0
2000-08-01,13.58,13.64,13.42,13.56,,1071600.0
2000-08-02,13.6,13.88,13.55,13.76,,1117800.0
2000-08-03,13.75,13.92,13.68,13.74,,1254100.0
2000-08-04,13.77,13.82,13.36,13.48,,1104600.0
2000-08-07,13.43,13.73,13.42,13.63,,852800.0
2000-08-08,13.4,13.49,13.02,13.19,,1785500.0
2000-08-09,13.18,13.19,12.81,13.06,,1855700.0
2000-08-10,13.66,14.14,13.55,13.92,,1898800.0
2000-08-11,13.95,14.05,13.66,13.74,,988300.0
2000-08-14,13.71,13.95,13.58,13.92,,753500.0
2000-08-15,13.92,14.18,13.82,14.15,,1353400.0
2000-08-16,14.08,14.15,13.73,13.91,,1169000.0
2000-08-17,13.66,13.82,13.58,13.82,,714700.0
2000-08-18,13.92,13.92,13.62,13.82,,1423500.0
2000-08-21,13.82,14.0,13.79,13.92,,976200.0
2000-08-22,14.01,14.01,13.88,13.96,,1483600.0
2000-08-23,13.96,14.24,13.88,14.24,,1204600.0
2000-08-24,14.29,14.79,14.29,14.71,,3146600.0
2000-08-25,14.7,14.79,14.61,14.71,,1268500.0
2000-08-28,14.73,14.84,14.59,14.64,,1390900.0
2000-08-29,14.64,14.74,14.53,14.62,,1016800.0
2000-08-30,14.63,14.77,14.58,14.75,,909400.0
2000-08-31,14.73,14.9,14.29,14.49,,1573300.0
2000-09-01,14.46,14.69,14.38,14.64,,1178400.0
2000-09-05,14.45,14.45,14.18,14.38,,977000.0
2000-09-06,14.42,14.51,14.06,14.18,,1040700.0
2000-09-07,14.16,14.34,14.05,14.19,,876600.0
2000-09-08,14.23,14.65,14.21,14.49,,979900.0
2000-09-11,14.54,14.58,14.23,14.27,,778700.0
2000-09-12,14.23,14.52,14.23,14.37,,863400.0
2000-09-13,14.37,14.37,13.9,14.08,,1378500.0
2000-09-14,14.1,14.14,13.79,13.9,,1565900.0
2000-09-15,13.79,13.93,13.77,13.83,,1872400.0
2000-09-18,13.83,14.16,13.67,14.1,,2629800.0
2000-09-19,14.1,14.1,13.84,13.92,,1205700.0
2000-09-20,13.92,13.95,13.44,13.73,,942700.0
2000-09-21,13.74,13.89,13.59,13.89,,990200.0
2000-09-22,14.09,14.33,14.01,14.29,,1403500.0
2000-09-25,14.32,14.32,14.11,14.22,,667700.0
2000-09-26,14.17,14.24,13.77,14.11,,741800.0
2000-09-27,14.05,14.05,13.68,13.75,,1426900.0
2000-09-28,13.75,14.05,13.64,13.75,,2033500.0
2000-09-29,13.71,14.06,13.6,13.89,,1358400.0
2000-10-02,13.75,13.92,13.52,13.59,,1551600.0
2000-10-03,13.54,13.92,13.44,13.76,,1074000.0
2000-10-04,13.64,13.66,13.28,13.35,,2045900.0
2000-10-05,14.05,14.49,14.03,14.29,,2809400.0
2000-10-06,14.38,14.52,14.26,14.38,,1458100.0
2000-10-09,14.38,14.44,14.02,14.14,,692100.0
2000-10-10,14.15,14.76,14.15,14.56,,1253200.0
2000-10-11,14.66,14.8,14.57,14.8,,1415400.0
2000-10-12,14.73,14.74,14.42,14.59,,942500.0
2000-10-13,14.64,14.67,14.27,14.62,,1249600.0
2000-10-16,14.79,15.1,14.27,14.99,,1507700.0
2000-10-17,14.99,15.66,14.98,15.35,,2131600.0
2000-10-18,15.14,15.71,15.05,15.47,,2388300.0
2000-10-19,13.27,13.87,12.97,13.66,,11713000.0
2000-10-20,13.71,13.79,13.15,13.18,,4036600.0
2000-10-23,13.23,13.49,13.21,13.32,,2642700.0
2000-10-24,13.35,13.36,13.23,13.31,,1808600.0
2000-10-25,13.4,13.86,13.27,13.73,,2432700.0
2000-10-26,13.75,13.9,13.5,13.62,,1253400.0
2000-10-27,13.66,14.03,13.64,13.88,,1120500.0
2000-10-30,13.97,14.27,13.96,14.22,,1685300.0
2000-10-31,14.24,14.56,14.1,14.3,,1424500.0
2000-11-01,14.33,14.34,13.93,14.25,,1671400.0
2000-11-02,14.16,14.25,13.79,13.92,,1797900.0
2000-11-03,13.92,14.09,13.89,14.02,,1400400.0
2000-11-06,14.01,14.34,13.9,14.21,,1885200.0
2000-11-07,14.22,14.39,13.93,14.32,,1234100.0
2000-11-08,14.45,14.67,14.37,14.41,,1506700.0
2000-11-09,14.41,14.6,14.12,14.46,,1758800.0
2000-11-10,14.4,14.82,14.4,14.56,,1001200.0
2000-11-13,14.6,14.62,14.14,14.39,,1290200.0
2000-11-14,14.47,14.51,14.05,14.3,,1052400.0
2000-11-15,14.26,14.51,14.15,14.48,,803200.0
2000-11-16,14.45,14.48,14.21,14.27,,799300.0
2000-11-17,14.27,14.27,14.02,14.16,,993900.0
2000-11-20,14.18,14.61,14.08,14.49,,1775300.0
2000-11-21,14.45,14.71,14.28,14.69,,1773400.0
2000-11-22,14.58,14.58,14.29,14.47,,1376800.0
2000-11-24,14.42,14.42,14.35,14.39,,239100.0
2000-11-27,14.45,14.6,14.33,14.4,,905500.0
2000-11-28,14.45,14.83,14.41,14.78,,987200.0
2000-11-29,14.79,15.28,14.71,15.13,,1080400.0
2000-11-30,15.14,15.29,14.9,15.07,,756800.0
2000-12-01,15.1,15.1,14.69,14.85,,1088000.0
2000-12-04,14.85,15.01,14.62,14.98,,708900.0
2000-12-05,15.11,15.13,14.78,14.95,,915900.0
2000-12-06,14.95,15.13,14.83,14.91,,1030100.0
2000-12-07,14.99,15.21,14.97,15.04,,705800.0
2000-12-08,15.03,15.12,14.85,14.96,,757100.0
2000-12-11,14.93,15.03,14.58,14.59,,1149300.0
2000-12-12,14.56,14.82,14.51,14.71,,49405700.0
2000-12-13,14.87,15.22,14.85,15.01,,1448300.0
2000-12-14,15.14,15.14,14.87,15.0,,608000.0
2000-12-15,14.93,15.0,14.93,14.99,,1194300.0
2000-12-18,14.94,15.16,14.92,15.05,,1002200.0
2000-12-19,15.02,15.21,14.97,15.21,,894400.0
2000-12-20,15.17,15.24,14.8,14.91,,1304900.0
2000-12-21,14.95,15.0,14.62,14.97,,1158700.0
2000-12-22,14.96,14.96,14.65,14.75,,712600.0
2000-12-26,14.75,15.16,14.75,15.07,,509800.0
2000-12-27,15.08,15.53,15.04,15.37,,1346600.0
2000-12-28,15.4,15.69,15.4,15.64,,815300.0
2000-12-29,15.57,15.87,15.54,15.58,,682000.0
2001-01-02,15.6,15.96,15.58,15.81,,1651900.0
2001-01-03,15.81,16.08,15.0,15.24,,1893000.0
2001-01-04,15.11,15.15,14.14,14.38,,2497400.0
2001-01-05,14.53,14.73,14.41,14.64,,3193500.0
2001-01-08,14.69,15.14,14.68,15.0,,1756600.0
2001-01-09,15.33,15.33,15.14,15.15,,2384900.0
2001-01-10,15.15,15.34,14.76,14.99,,1287900.0
2001-01-11,15.03,15.21,14.47,14.93,,1602300.0
2001-01-12,14.93,15.02,14.56,14.72,,960400.0
2001-01-16,14.72,14.97,14.6,14.96,,1224600.0
2001-01-17,14.99,15.01,14.6,14.65,,1515700.0
2001-01-18,14.74,15.02,14.72,15.0,,1670200.0
2001-01-19,15.0,15.2,14.59,14.65,,1291300.0
2001-01-22,14.59,15.42,14.59,15.33,,1652600.0
2001-01-23,15.24,15.24,14.73,15.0,,1951300.0
2001-01-24,14.71,14.73,14.38,14.7,,2279500.0
2001-01-25,14.8,15.27,14.68,15.27,,2360000.0
2001-01-26,15.27,15.7,15.25,15.45,,1174100.0
2001-01-29,15.38,15.79,15.38,15.48,,1140600.0
2001-01-30,15.48,15.52,15.29,15.44,,586300.0
2001-01-31,15.5,15.53,15.14,15.5,,962600.0
2001-02-01,15.53,15.53,15.35,15.52,,774200.0
2001-02-02,15.51,15.57,15.27,15.46,,1095200.0
2001-02-05,15.31,15.54,15.31,15.5,,1142800.0
2001-02-06,15.53,15.53,15.39,15.52,,521600.0
2001-02-07,15.56,15.63,15.42,15.52,,1166400.0
2001-02-08,15.52,15.57,15.4,15.57,,837600.0
