time,open,high,low,close,Volume,volume
1999-11-01,17.0,17.0,16.34,16.79,,1340100.0
1999-11-02,16.83,17.33,16.63,17.12,,970500.0
1999-11-03,17.37,17.66,17.16,17.53,,664600.0
1999-11-04,17.7,19.19,17.16,19.06,,1564200.0
1999-11-05,19.15,19.35,17.87,18.53,,1815200.0
1999-11-08,18.94,19.35,18.94,19.19,,1014000.0
1999-11-09,19.19,19.35,18.86,19.02,,1022000.0
1999-11-10,18.94,19.44,18.94,19.23,,964500.0
1999-11-11,19.19,19.44,19.02,19.19,,699500.0
1999-11-12,19.28,19.31,18.9,19.06,,370100.0
1999-11-15,19.19,19.65,18.98,19.35,,1061000.0
1999-11-16,19.44,20.06,19.28,19.73,,1331300.0
1999-11-17,19.61,19.81,19.52,19.65,,562800.0
1999-11-18,19.65,19.69,19.28,19.39,,554300.0
1999-11-19,19.31,19.61,19.11,19.35,,660600.0
1999-11-22,19.19,19.56,18.78,18.86,,716100.0
1999-11-23,18.9,18.9,18.2,18.28,,1102100.0
1999-11-24,18.12,18.12,17.79,17.99,,1219600.0
1999-11-26,18.07,18.45,18.03,18.24,,296700.0
1999-11-29,18.07,18.12,17.83,17.91,,533400.0
1999-11-30,17.91,18.12,17.87,18.12,,756600.0
1999-12-01,18.03,18.16,17.87,17.99,,1386800.0
1999-12-02,17.99,18.16,17.87,17.99,,461600.0
1999-12-03,17.91,18.03,17.7,17.83,,1129900.0
1999-12-06,17.53,17.57,17.08,17.53,,943500.0
1999-12-07,17.04,17.99,17.04,17.79,,1094400.0
1999-12-08,17.62,17.74,17.16,17.57,,1146900.0
1999-12-09,17.2,17.46,17.12,17.24,,855400.0
1999-12-10,17.27,17.56,17.06,17.35,,1181600.0
1999-12-13,17.19,17.56,17.19,17.27,,1342600.0
1999-12-14,17.1,17.76,17.06,17.68,,1414800.0
1999-12-15,17.52,17.6,16.93,17.23,,1357300.0
1999-12-16,17.3,17.3,16.69,16.93,,1139000.0
1999-12-17,16.6,16.77,15.68,16.47,,2260300.0
1999-12-20,16.64,16.81,16.44,16.77,,1010100.0
1999-12-21,16.6,16.6,14.86,16.1,,2357800.0
1999-12-22,16.02,16.64,16.02,16.47,,2018600.0
1999-12-23,16.89,18.96,16.81,18.02,,1402600.0
1999-12-27,18.02,18.55,18.02,18.26,,979300.0
1999-12-28,18.22,18.43,17.97,18.1,,742300.0
1999-12-29,17.93,18.1,17.8,17.93,,315600.0
1999-12-30,18.1,18.1,17.39,17.89,,312400.0
1999-12-31,17.72,17.89,17.39,17.89,,264300.0
2000-01-03,17.39,17.43,17.27,17.39,,776300.0
2000-01-04,16.93,17.27,16.93,16.93,,633300.0
2000-01-05,17.1,17.23,16.77,17.06,,749800.0
2000-01-06,17.06,18.13,17.02,17.76,,427900.0
2000-01-07,17.93,18.85,17.89,18.76,,896300.0
2000-01-10,18.68,18.72,18.3,18.35,,513600.0
2000-01-11,18.51,18.72,18.02,18.06,,572300.0
2000-01-12,17.72,17.76,17.35,17.47,,839900.0
2000-01-13,17.56,18.93,17.52,18.68,,680700.0
2000-01-14,18.59,18.59,17.85,18.18,,631700.0
2000-01-18,18.06,18.55,17.76,18.22,,904700.0
2000-01-19,18.06,19.01,17.93,18.85,,888800.0
2000-01-20,18.85,19.01,18.35,18.47,,752100.0
2000-01-21,19.26,19.55,18.85,19.13,,1278900.0
2000-01-24,19.05,19.05,18.02,18.51,,857100.0
2000-01-25,18.35,18.59,17.8,18.06,,677300.0
2000-01-26,18.18,18.51,17.8,17.8,,706500.0
2000-01-27,17.89,18.51,17.72,18.51,,850800.0
2000-01-28,18.35,18.35,17.52,17.6,,810600.0
2000-01-31,17.56,17.8,17.14,17.39,,751100.0
2000-02-01,17.47,18.02,17.35,18.02,,469300.0
2000-02-02,17.85,17.85,17.27,17.47,,816100.0
2000-02-03,17.47,17.47,17.02,17.27,,660200.0
2000-02-04,17.43,17.56,17.23,17.27,,667000.0
2000-02-07,17.43,17.56,17.23,17.27,,552500.0
2000-02-08,17.27,17.27,16.77,17.06,,780600.0
2000-02-09,16.89,17.23,16.44,17.19,,1487800.0
2000-02-10,17.14,17.23,16.47,16.69,,853200.0
2000-02-11,16.85,16.89,16.47,16.6,,732700.0
2000-02-14,16.73,17.19,16.6,17.14,,767800.0
2000-02-15,16.85,16.93,15.94,16.69,,810500.0
2000-02-16,16.6,17.1,16.47,16.89,,894400.0
2000-02-17,16.93,17.56,16.6,17.47,,887100.0
2000-02-18,17.64,21.17,17.64,20.29,,4358000.0
2000-02-22,20.09,20.09,18.8,19.3,,1977400.0
2000-02-23,19.13,20.34,19.05,19.92,,2633800.0
2000-02-24,19.51,21.25,19.18,21.25,,2466900.0
2000-02-25,21.25,22.87,21.17,22.66,,3712000.0
2000-02-28,22.17,22.21,20.42,20.59,,2058300.0
2000-02-29,20.59,21.17,20.09,20.59,,1528100.0
2000-03-01,20.55,21.46,20.29,20.79,,2458500.0
2000-03-02,21.21,21.5,20.42,20.88,,1741700.0
2000-03-03,20.92,21.21,20.46,20.92,,1670300.0
2000-03-06,20.96,20.96,20.13,20.46,,1004300.0
2000-03-07,20.09,20.09,19.09,19.68,,1824600.0
2000-03-08,19.78,20.19,19.24,20.02,,1896800.0
2000-03-09,20.15,20.86,19.69,20.57,,1500700.0
2000-03-10,21.31,21.98,21.11,21.31,,2773900.0
2000-03-13,21.15,21.15,20.02,20.4,,856600.0
2000-03-14,20.57,20.69,19.65,19.74,,1112400.0
2000-03-15,19.57,20.4,19.28,20.28,,1622600.0
2000-03-16,20.28,20.78,20.07,20.65,,1630600.0
2000-03-17,20.82,21.11,20.44,20.82,,1512500.0
2000-03-20,20.65,21.07,20.52,20.65,,706700.0
2000-03-21,20.65,20.69,20.24,20.65,,790600.0
2000-03-22,20.48,20.65,19.94,20.61,,889500.0
2000-03-23,20.52,20.52,19.69,19.98,,935100.0
2000-03-24,19.32,19.69,18.15,18.65,,1617600.0
2000-03-27,18.65,18.69,17.74,17.94,,1480500.0
2000-03-28,17.86,18.32,17.74,18.07,,1396200.0
2000-03-29,17.98,18.02,17.74,17.9,,1128600.0
2000-03-30,17.98,18.11,17.57,17.65,,1647400.0
2000-03-31,17.65,18.28,17.48,17.52,,1483000.0
2000-04-03,17.69,18.02,17.52,17.98,,1332300.0
2000-04-04,18.15,18.69,17.65,18.02,,1773000.0
2000-04-05,17.98,18.48,17.86,18.11,,738800.0
2000-04-06,17.94,18.11,17.78,17.98,,1582000.0
2000-04-07,18.48,18.48,17.65,17.78,,1024700.0
2000-04-10,17.44,17.88,17.44,17.69,,639300.0
2000-04-11,17.69,18.4,17.52,18.28,,909700.0
2000-04-12,18.44,19.9,18.4,19.15,,1707300.0
2000-04-13,19.07,19.32,18.74,19.02,,720900.0
2000-04-14,18.86,18.9,17.74,17.9,,698500.0
2000-04-17,17.78,17.94,17.15,17.36,,859700.0
2000-04-18,17.4,17.82,17.19,17.82,,739500.0
2000-04-19,17.82,17.82,17.15,17.19,,1293200.0
2000-04-20,17.32,17.48,16.61,17.03,,1268000.0
2000-04-24,16.78,17.24,16.78,16.99,,1283000.0
2000-04-25,17.15,17.36,16.99,17.32,,1013000.0
2000-04-26,17.48,17.86,17.03,17.15,,965000.0
2000-04-27,16.99,17.36,16.74,17.15,,841200.0
2000-04-28,17.15,17.32,16.86,17.07,,575100.0
2000-05-01,16.74,17.52,16.74,17.19,,1257900.0
2000-05-02,17.07,17.86,16.99,17.44,,1204800.0
2000-05-03,17.32,18.24,17.24,17.86,,1491700.0
2000-05-04,17.98,17.98,17.11,17.32,,719700.0
2000-05-05,17.32,18.15,17.32,17.94,,698100.0
2000-05-08,17.94,17.98,17.44,17.82,,676100.0
2000-05-09,17.65,18.07,17.36,17.9,,1008300.0
2000-05-10,17.82,17.98,17.52,17.82,,801600.0
2000-05-11,17.78,18.36,17.74,18.11,,401200.0
2000-05-12,18.02,18.36,17.57,17.78,,860000.0
2000-05-15,17.94,18.57,17.9,18.52,,689500.0
2000-05-16,18.36,18.4,17.74,18.4,,666300.0
2000-05-17,18.07,18.4,17.61,18.28,,669900.0
2000-05-18,18.32,18.65,18.15,18.52,,639000.0
2000-05-19,17.86,18.52,17.86,18.15,,659800.0
2000-05-22,18.32,18.65,17.82,17.98,,645800.0
2000-05-23,18.15,18.82,18.07,18.32,,641600.0
2000-05-24,18.48,19.78,18.48,19.65,,1757600.0
2000-05-25,19.65,19.65,18.94,19.15,,844200.0
2000-05-26,19.11,19.19,18.65,18.78,,449600.0
2000-05-30,18.94,19.98,18.86,19.52,,898500.0
2000-05-31,19.32,19.61,19.11,19.24,,587000.0
2000-06-01,19.32,19.32,18.94,19.07,,270800.0
2000-06-02,19.36,19.36,18.69,19.02,,472000.0
2000-06-05,19.02,19.44,18.94,19.32,,547400.0
2000-06-06,19.24,19.65,18.82,19.52,,548900.0
2000-06-07,19.55,19.55,18.67,18.8,,674800.0
2000-06-08,18.8,18.8,18.38,18.63,,266200.0
2000-06-09,18.67,19.09,18.58,18.8,,444500.0
2000-06-12,18.71,18.8,18.34,18.34,,487400.0
2000-06-13,18.3,18.67,18.25,18.46,,670500.0
2000-06-14,18.5,18.88,18.46,18.63,,973100.0
2000-06-15,18.67,19.17,18.63,18.88,,983900.0
2000-06-16,18.71,18.8,18.38,18.56,,578200.0
2000-06-19,18.63,18.67,18.21,18.63,,690300.0
2000-06-20,18.54,18.84,18.3,18.3,,1462800.0
2000-06-21,18.54,18.92,18.38,18.54,,1399300.0
2000-06-22,18.38,18.54,18.08,18.3,,746600.0
2000-06-23,18.3,18.97,18.08,18.3,,500400.0
2000-06-26,18.21,18.58,18.0,18.25,,611900.0
2000-06-27,18.42,18.63,17.88,17.96,,590400.0
2000-06-28,18.0,18.71,17.96,18.48,,647500.0
2000-06-29,18.34,18.97,18.17,18.54,,1288600.0
2000-06-30,18.38,19.21,18.3,19.17,,1204700.0
2000-07-03,19.17,19.21,18.42,18.88,,254100.0
2000-07-05,19.13,19.97,18.8,19.75,,954600.0
2000-07-06,19.71,19.92,19.25,19.71,,597100.0
2000-07-07,19.71,20.01,19.21,19.63,,894700.0
2000-07-10,19.63,20.05,19.05,19.88,,591900.0
2000-07-11,20.05,20.05,19.75,19.8,,590000.0
2000-07-12,19.71,19.88,19.38,19.55,,866300.0
2000-07-13,19.38,19.38,18.34,18.71,,774600.0
2000-07-14,18.8,18.8,18.17,18.21,,1109900.0
2000-07-17,17.96,18.5,17.67,18.42,,1352400.0
2000-07-18,18.38,19.34,18.34,19.09,,930600.0
2000-07-19,19.17,19.17,18.54,18.88,,643600.0
2000-07-20,18.63,18.63,16.35,16.67,,3286900.0
2000-07-21,16.67,17.04,16.54,17.04,,2145700.0
2000-07-24,17.04,17.04,16.71,16.91,,1276000.0
2000-07-25,16.87,16.91,16.5,16.54,,1273200.0
2000-07-26,16.54,16.54,15.87,15.96,,942300.0
2000-07-27,16.04,16.67,15.96,16.63,,799900.0
2000-07-28,16.54,16.79,16.25,16.46,,632900.0
2000-07-31,16.79,17.29,16.63,16.87,,1324900.0
2000-08-01,17.04,17.54,16.83,17.54,,975300.0
2000-08-02,17.96,17.96,17.54,17.71,,966200.0
2000-08-03,17.54,17.96,17.21,17.58,,854100.0
2000-08-04,17.58,17.67,17.21,17.38,,975100.0
2000-08-07,17.29,17.46,17.0,17.25,,918800.0
2000-08-08,17.34,17.38,16.79,17.21,,779300.0
2000-08-09,17.13,17.29,16.5,16.54,,1137800.0
2000-08-10,16.67,17.04,16.63,16.96,,1146300.0
2000-08-11,17.04,17.17,16.91,17.08,,1022400.0
2000-08-14,17.08,17.5,17.0,17.42,,1286900.0
2000-08-15,17.5,17.63,17.38,17.42,,1036700.0
2000-08-16,17.42,17.58,17.38,17.54,,1237400.0
2000-08-17,17.54,17.71,17.54,17.71,,717800.0
2000-08-18,17.54,17.88,17.5,17.71,,624500.0
2000-08-21,17.8,19.09,17.8,18.97,,1316500.0
2000-08-22,18.71,18.8,18.0,18.25,,1369300.0
2000-08-23,18.25,18.5,18.08,18.38,,900000.0
2000-08-24,18.42,18.71,18.21,18.58,,511100.0
2000-08-25,18.42,18.71,18.38,18.58,,834600.0
2000-08-28,18.58,19.05,18.58,19.05,,663600.0
2000-08-29,19.01,19.01,18.63,18.71,,374100.0
2000-08-30,19.21,19.63,19.13,19.38,,977000.0
2000-08-31,19.38,20.68,19.34,20.06,,1519400.0
2000-09-01,20.14,20.18,18.63,19.34,,747700.0
2000-09-05,19.3,19.34,18.75,19.17,,385100.0
2000-09-06,19.07,19.19,18.4,19.15,,1011500.0
2000-09-07,19.03,19.15,18.52,19.11,,770200.0
2000-09-08,18.86,18.9,18.6,18.9,,453100.0
2000-09-11,18.86,19.23,18.6,19.15,,629100.0
2000-09-12,19.15,19.53,19.03,19.48,,547100.0
2000-09-13,19.53,19.53,18.77,18.9,,573800.0
2000-09-14,18.86,18.9,17.77,18.81,,4855600.0
2000-09-15,18.44,18.81,18.36,18.81,,1293000.0
2000-09-18,18.64,18.73,17.81,18.06,,595500.0
2000-09-19,18.06,18.06,17.43,17.6,,701900.0
2000-09-20,17.52,17.6,16.76,17.14,,1299500.0
2000-09-21,17.3,17.39,16.85,17.14,,899000.0
2000-09-22,16.97,17.06,16.76,17.06,,898200.0
2000-09-25,17.1,17.14,16.68,16.76,,1599200.0
2000-09-26,16.68,16.72,14.58,15.0,,1393500.0
