time,open,high,low,close,Volume,volume
1999-11-01,60.47,60.71,56.5,57.99,,3634200.0
1999-11-02,58.73,59.66,54.15,54.95,,3596400.0
1999-11-03,56.5,56.75,54.52,54.89,,2677200.0
1999-11-04,55.82,56.5,51.79,52.54,,3577800.0
1999-11-05,54.08,54.46,50.06,52.17,,3704400.0
1999-11-08,54.02,61.46,53.72,61.21,,4807200.0
1999-11-09,64.37,64.43,57.24,59.11,,3748800.0
1999-11-10,58.12,60.35,55.76,57.0,,2010000.0
1999-11-11,56.88,56.94,54.52,55.76,,1288200.0
1999-11-12,55.95,57.49,55.26,56.13,,1119600.0
1999-11-15,60.47,61.46,58.48,59.42,,3022800.0
1999-11-16,61.46,68.4,60.59,68.15,,7351200.0
1999-11-17,74.47,80.29,71.37,76.21,,13559400.0
1999-11-18,74.34,74.4,68.89,71.25,,6660000.0
1999-11-19,70.75,70.87,66.91,67.29,,2826600.0
1999-11-22,67.4,67.53,65.06,66.17,,2802600.0
1999-11-23,64.81,64.81,60.96,61.4,,4360800.0
1999-11-24,61.7,63.69,60.1,60.47,,5277600.0
1999-11-26,62.2,64.81,61.52,63.07,,4771200.0
1999-11-29,64.68,66.29,63.5,63.82,,3891600.0
1999-11-30,64.18,64.24,61.21,61.46,,1620000.0
1999-12-01,62.01,62.82,59.91,60.1,,2101800.0
1999-12-02,63.32,64.68,62.45,64.49,,5703600.0
1999-12-03,66.6,66.91,61.21,61.34,,4455000.0
1999-12-06,61.46,62.64,60.1,60.53,,2650200.0
1999-12-07,60.9,62.26,60.22,60.96,,1618200.0
1999-12-08,60.59,61.7,58.48,58.86,,2593200.0
1999-12-09,61.27,61.59,55.51,57.37,,3877200.0
1999-12-10,58.24,60.19,57.24,57.87,,2691000.0
1999-12-13,58.48,58.86,56.5,57.49,,1991400.0
1999-12-14,56.81,56.88,53.53,53.9,,3190800.0
1999-12-15,53.77,55.76,52.04,54.77,,1680600.0
1999-12-16,59.23,60.41,56.5,56.69,,2793000.0
1999-12-17,57.49,57.49,55.01,56.44,,1517400.0
1999-12-20,57.49,58.18,54.65,55.51,,1742400.0
1999-12-21,56.56,59.85,56.13,58.86,,3141600.0
1999-12-22,59.17,60.84,56.06,56.5,,2024400.0
1999-12-23,56.56,56.88,54.02,54.52,,1638600.0
1999-12-27,57.13,57.49,53.16,53.9,,4129200.0
1999-12-28,53.9,54.02,51.3,51.43,,2994000.0
1999-12-29,51.36,52.78,50.06,50.12,,2779200.0
1999-12-30,50.06,50.31,45.1,46.34,,5754600.0
1999-12-31,46.65,48.95,46.4,46.97,,2460600.0
2000-01-03,52.04,52.54,47.58,50.8,,5086200.0
2000-01-04,50.93,56.75,50.8,53.53,,5836200.0
