time,open,high,low,close,Volume,volume
2017-07-05,32.98,32.99,30.11,30.11,,5883326.0
2017-07-06,30.79,30.79,29.52,29.91,,5088097.0
2017-07-07,30.83,31.19,29.19,30.64,,6014535.0
2017-07-10,30.41,30.85,29.74,30.09,,4721508.0
2017-07-11,30.16,30.54,29.82,30.19,,2791176.0
2017-07-12,30.53,30.7,30.11,30.2,,3260591.0
2017-07-13,30.27,30.43,29.65,29.78,,3860643.0
2017-07-14,29.9,30.3,29.83,30.19,,2872910.0
2017-07-17,30.48,31.01,30.42,30.42,,3917588.0
2017-07-18,30.33,30.54,29.69,29.7,,3198593.0
2017-07-19,29.57,29.98,29.39,29.53,,4230853.0
2017-07-20,29.57,29.82,28.18,28.26,,6397004.0
2017-07-21,28.07,28.19,27.03,27.58,,7737292.0
2017-07-24,27.69,27.85,27.38,27.77,,2850884.0
2017-07-25,28.13,28.51,28.1,28.49,,2871897.0
2017-07-26,28.76,29.24,28.47,29.14,,3826003.0
2017-07-27,29.07,29.94,28.85,29.23,,4593651.0
2017-07-28,28.17,30.31,27.66,29.99,,4261445.0
2017-07-31,30.02,30.04,29.44,29.82,,3318805.0
2017-08-01,29.76,29.77,28.62,28.85,,2955189.0
2017-08-02,28.58,28.73,28.32,28.57,,3405697.0
2017-08-03,28.5,28.7,28.34,28.54,,3181029.0
2017-08-04,28.63,28.72,28.34,28.47,,3110626.0
2017-08-07,28.37,28.51,27.8,27.93,,2054097.0
2017-08-08,28.09,28.67,28.0,28.24,,2155678.0
2017-08-09,28.26,28.66,28.23,28.44,,2252626.0
2017-08-10,28.43,28.66,28.08,28.18,,1971691.0
2017-08-11,28.03,28.34,27.84,27.85,,1185973.0
2017-08-14,28.03,28.05,27.72,27.82,,1927835.0
2017-08-15,27.64,27.95,27.64,27.87,,2153221.0
2017-08-16,27.91,28.03,27.42,27.48,,1367515.0
2017-08-17,27.44,27.69,26.6,26.64,,2200268.0
2017-08-18,26.59,26.91,26.34,26.61,,3179783.0
2017-08-21,26.61,26.79,26.36,26.43,,2340815.0
2017-08-22,26.49,26.76,26.34,26.55,,1872479.0
2017-08-23,26.4,27.0,26.4,26.83,,1565407.0
2017-08-24,26.87,26.87,26.43,26.66,,1781949.0
2017-08-25,26.7,27.13,26.7,27.01,,2035870.0
2017-08-28,27.02,27.13,26.66,27.0,,2510523.0
2017-08-29,26.88,27.46,26.88,27.41,,2192874.0
2017-08-30,27.29,27.39,26.99,27.22,,1637279.0
2017-08-31,27.61,27.9,27.17,27.53,,3592925.0
2017-09-01,27.59,27.97,27.39,27.86,,1723282.0
2017-09-05,28.29,28.79,28.01,28.4,,4386834.0
2017-09-06,28.74,29.03,28.2,28.21,,3285802.0
2017-09-07,28.24,28.63,27.85,28.22,,2064761.0
2017-09-08,28.24,28.41,27.66,27.95,,3018954.0
2017-09-11,28.04,28.91,27.91,28.82,,2825224.0
2017-09-12,28.73,29.56,28.62,29.21,,3537032.0
2017-09-13,29.19,29.83,29.16,29.31,,4296996.0
2017-09-14,29.52,30.16,29.4,29.55,,4785692.0
2017-09-15,29.54,29.98,29.54,29.97,,7621328.0
2017-09-18,29.98,30.45,29.87,30.34,,3251876.0
2017-09-19,30.3,30.42,30.1,30.37,,2958567.0
2017-09-20,30.5,30.6,30.24,30.46,,2138025.0
2017-09-21,30.19,30.26,29.53,29.71,,2565040.0
2017-09-22,29.67,29.84,29.47,29.78,,3587582.0
2017-09-25,29.93,30.94,29.75,30.47,,4722920.0
2017-09-26,30.33,30.33,29.77,30.08,,2621187.0
2017-09-27,30.13,30.21,29.8,29.99,,1991726.0
2017-09-28,30.15,30.24,29.69,30.07,,2119848.0
2017-09-29,29.89,30.09,29.5,29.74,,3244297.0
2017-10-02,29.21,29.98,29.17,29.94,,1906955.0
2017-10-03,29.92,30.13,29.55,29.78,,2465816.0
2017-10-04,29.85,30.12,29.67,29.81,,1970215.0
2017-10-05,29.92,29.99,29.61,29.63,,1901599.0
2017-10-06,29.37,29.81,29.27,29.67,,1826297.0
2017-10-09,29.72,29.78,29.08,29.11,,3157903.0
2017-10-10,29.29,29.42,28.36,28.4,,4200133.0
2017-10-11,28.27,28.34,27.8,27.93,,4178147.0
2017-10-12,27.73,27.86,27.43,27.55,,4645410.0
