time,open,high,low,close,Volume,volume
1999-11-01,31.4,31.4,30.8,31.0,,2752500.0
1999-11-02,31.4,31.4,30.0,30.0,,3148300.0
1999-11-03,30.25,30.7,30.12,30.55,,4209200.0
1999-11-04,30.85,30.93,30.1,30.6,,4286200.0
1999-11-05,31.06,31.13,30.35,30.55,,3506100.0
1999-11-08,30.85,31.1,30.63,30.88,,2590600.0
1999-11-09,31.6,31.6,30.18,30.35,,5565000.0
1999-11-10,30.2,31.1,30.12,30.88,,3515400.0
1999-11-11,31.0,31.23,30.78,30.9,,2377500.0
1999-11-12,31.0,31.03,30.5,30.95,,1842000.0
1999-11-15,30.9,31.0,30.6,30.7,,2631800.0
1999-11-16,30.7,31.23,30.7,31.16,,2963500.0
1999-11-17,30.9,31.13,30.32,30.45,,3324800.0
1999-11-18,30.5,30.7,29.92,30.15,,2962300.0
1999-11-19,30.1,30.6,29.88,30.5,,3319100.0
1999-11-22,30.6,30.65,29.98,30.3,,2527600.0
1999-11-23,30.35,30.45,29.65,29.8,,2399000.0
1999-11-24,29.9,30.38,29.82,30.05,,1554900.0
1999-11-26,30.4,30.45,30.18,30.18,,898500.0
1999-11-29,30.12,30.12,29.5,29.92,,2932700.0
1999-11-30,29.7,29.77,29.17,29.3,,2988700.0
1999-12-01,29.15,29.32,28.72,28.95,,3304900.0
1999-12-02,29.02,29.02,28.59,28.8,,2808700.0
1999-12-03,28.9,29.92,28.9,29.3,,3134000.0
1999-12-06,28.49,28.57,27.79,28.17,,4850000.0
1999-12-07,27.67,27.67,26.76,26.76,,6203300.0
1999-12-08,27.34,27.39,26.56,27.13,,4646300.0
1999-12-09,27.24,27.24,26.66,26.71,,3711700.0
1999-12-10,27.24,27.67,26.87,27.39,,3376300.0
1999-12-13,27.24,27.27,26.64,26.71,,4292900.0
1999-12-14,26.61,27.09,26.49,26.51,,4593700.0
1999-12-15,26.51,27.57,26.41,27.09,,5513500.0
1999-12-16,26.39,26.54,25.41,25.91,,6335600.0
1999-12-17,25.54,25.66,24.88,24.93,,7900200.0
1999-12-20,24.96,25.24,24.06,24.65,,4945900.0
1999-12-21,24.2,24.73,24.06,24.13,,5337000.0
1999-12-22,24.33,25.84,24.33,25.36,,3912600.0
1999-12-23,26.04,27.29,25.96,26.76,,4994700.0
1999-12-27,26.49,27.29,26.34,27.29,,3504900.0
1999-12-28,27.29,27.29,26.56,26.99,,2856200.0
1999-12-29,26.69,26.74,25.94,26.29,,1953100.0
1999-12-30,25.99,26.39,25.89,26.19,,2202700.0
1999-12-31,26.26,26.26,25.76,25.76,,1181000.0
2000-01-03,25.79,26.04,25.54,25.86,,3568500.0
2000-01-04,24.43,24.51,23.65,23.9,,10592000.0
2000-01-05,24.18,24.28,23.58,23.75,,7222700.0
2000-01-06,23.78,24.2,23.47,24.08,,7321900.0
2000-01-07,24.78,28.01,24.68,27.61,,10913500.0
2000-01-10,27.66,27.66,26.9,27.3,,7113400.0
2000-01-11,27.3,27.4,26.8,26.92,,5687500.0
2000-01-12,26.92,27.25,26.82,26.85,,3727900.0
2000-01-13,27.1,27.13,26.22,26.35,,4402000.0
2000-01-14,27.15,27.15,26.5,27.08,,4535900.0
2000-01-18,26.45,26.85,26.2,26.32,,3782300.0
2000-01-19,26.32,26.62,25.67,25.82,,4188400.0
2000-01-20,25.89,25.97,24.76,24.94,,4610500.0
2000-01-21,24.58,24.94,23.98,24.66,,5863700.0
2000-01-24,25.39,25.44,23.37,23.65,,5113200.0
2000-01-25,23.93,24.48,23.85,24.13,,6337700.0
2000-01-26,24.13,24.89,23.98,24.78,,6858700.0
2000-01-27,25.19,25.31,24.91,25.09,,7669300.0
2000-01-28,25.54,26.5,25.34,25.89,,7592600.0
2000-01-31,25.89,27.0,25.06,26.7,,5492700.0
2000-02-01,25.89,26.3,25.49,26.05,,4424100.0
2000-02-02,26.2,26.27,25.95,26.12,,3455700.0
2000-02-03,26.3,26.42,25.72,26.35,,3094300.0
2000-02-04,26.07,26.15,25.77,26.07,,3108900.0
2000-02-07,25.89,26.07,25.24,25.89,,3378500.0
2000-02-08,25.97,25.99,25.11,25.69,,4707000.0
2000-02-09,25.49,25.59,24.99,25.19,,3549100.0
2000-02-10,25.24,25.24,24.33,24.74,,4034400.0
2000-02-11,24.33,24.48,24.08,24.18,,3590300.0
2000-02-14,24.23,24.94,24.23,24.64,,3320500.0
2000-02-15,24.78,25.09,24.46,25.01,,4936100.0
2000-02-16,25.01,25.72,24.99,25.61,,4526600.0
2000-02-17,25.89,25.89,25.39,25.59,,4479600.0
2000-02-18,25.29,25.29,24.08,24.08,,6121400.0
2000-02-22,24.38,24.58,23.93,24.16,,5817400.0
2000-02-23,24.38,24.56,24.03,24.16,,4156400.0
2000-02-24,23.83,24.03,23.07,23.33,,6051200.0
2000-02-25,23.37,23.45,22.32,22.82,,5300100.0
2000-02-28,22.37,23.05,22.37,22.69,,5603400.0
2000-02-29,23.02,23.83,22.82,23.07,,5050900.0
2000-03-01,22.85,22.97,20.25,20.65,,15580300.0
2000-03-02,20.98,21.58,20.81,21.24,,11046200.0
2000-03-03,21.16,21.18,20.25,20.75,,9444500.0
2000-03-06,20.35,20.35,18.44,18.72,,18310000.0
2000-03-07,18.72,19.04,17.1,17.53,,18039300.0
2000-03-08,17.83,19.7,17.83,19.24,,17237300.0
2000-03-09,19.72,21.81,19.47,21.66,,15570200.0
2000-03-10,21.26,21.66,20.91,21.11,,12927600.0
2000-03-13,20.35,21.06,20.25,20.53,,5942100.0
2000-03-14,19.14,19.97,19.14,19.32,,10250400.0
2000-03-15,19.85,20.71,19.57,20.35,,10702000.0
2000-03-16,20.61,22.72,20.58,22.44,,15903500.0
2000-03-17,22.17,22.59,21.44,21.56,,7595300.0
2000-03-20,21.56,21.66,21.23,21.33,,3490200.0
2000-03-21,21.21,21.66,20.88,21.46,,5994400.0
2000-03-22,22.06,22.22,21.66,22.02,,6072700.0
2000-03-23,22.02,22.89,22.02,22.57,,5630700.0
2000-03-24,22.42,22.72,22.09,22.17,,5618000.0
2000-03-27,22.17,22.19,21.84,22.02,,4762500.0
2000-03-28,21.81,22.37,21.74,22.19,,4531100.0
2000-03-29,23.17,23.55,22.79,23.33,,5682600.0
2000-03-30,23.37,23.88,23.07,23.07,,5367000.0
2000-03-31,23.1,24.28,22.62,23.02,,5796200.0
2000-04-03,24.03,24.89,23.68,24.86,,6674100.0
2000-04-04,24.99,26.65,24.94,26.6,,11793000.0
2000-04-05,25.99,26.47,25.44,26.07,,6372800.0
2000-04-06,25.28,25.49,24.27,24.47,,7921000.0
2000-04-07,24.22,24.32,23.72,24.07,,7172200.0
2000-04-10,24.07,25.03,23.94,24.83,,4655900.0
2000-04-11,25.69,26.22,25.38,25.99,,5486700.0
2000-04-12,25.99,26.8,25.79,26.22,,5900400.0
2000-04-13,26.04,27.36,25.79,26.9,,5467800.0
2000-04-14,26.7,26.85,25.28,25.64,,6039800.0
2000-04-17,25.64,26.29,25.38,26.25,,6027700.0
2000-04-18,26.19,26.4,25.34,26.35,,4406700.0
2000-04-19,26.4,26.85,18.61,20.43,,34887600.0
2000-04-20,20.48,20.48,19.82,20.23,,40810300.0
2000-04-24,19.85,20.28,19.85,20.02,,16044600.0
2000-04-25,20.23,21.04,20.05,20.53,,18162700.0
2000-04-26,20.93,21.31,20.63,20.86,,13249300.0
2000-04-27,20.63,21.44,20.61,21.14,,11965900.0
2000-04-28,21.64,21.67,21.01,21.21,,9276000.0
2000-05-01,21.21,21.21,20.66,20.83,,6677500.0
2000-05-02,20.63,21.06,20.53,20.86,,4929300.0
