time,open,high,low,close,Volume,volume
2007-06-22,14.19,14.79,13.33,13.65,,113095700.0
2007-06-25,13.91,13.92,12.42,12.63,,35668600.0
2007-06-26,12.56,12.65,11.8,11.97,,29614000.0
2007-06-27,11.83,11.97,11.34,11.64,,18087600.0
2007-06-28,11.52,12.06,11.5,11.56,,8660300.0
2007-06-29,11.68,11.75,11.19,11.39,,7559700.0
2007-07-02,11.39,11.57,11.32,11.39,,3175900.0
2007-07-03,11.48,11.63,11.45,11.57,,2763700.0
2007-07-05,12.05,12.05,11.75,11.92,,6950900.0
2007-07-06,12.03,12.34,11.99,12.26,,7652900.0
2007-07-09,12.42,12.45,12.22,12.25,,4301400.0
2007-07-10,12.17,12.2,11.61,11.65,,6388700.0
2007-07-11,11.65,11.71,11.27,11.36,,5982800.0
2007-07-12,11.48,11.79,11.41,11.68,,5144200.0
2007-07-13,11.63,11.68,11.4,11.62,,3318400.0
2007-07-16,11.62,11.67,11.42,11.56,,3109000.0
2007-07-17,11.56,11.62,11.33,11.37,,2666800.0
2007-07-18,11.29,11.33,10.9,11.05,,5156100.0
2007-07-19,11.05,11.09,10.51,10.64,,9902100.0
2007-07-20,10.51,10.55,9.98,10.1,,9614600.0
2007-07-23,10.05,10.47,9.93,10.26,,6372700.0
2007-07-24,10.08,10.29,9.96,10.01,,5614800.0
2007-07-25,10.03,10.14,9.83,9.93,,4737600.0
2007-07-26,9.8,10.1,9.06,10.0,,11174800.0
2007-07-27,9.6,9.67,9.22,9.46,,9253500.0
2007-07-30,9.5,9.68,9.17,9.53,,5226600.0
2007-07-31,9.72,9.81,9.27,9.34,,5088700.0
2007-08-01,9.47,9.54,9.19,9.46,,6489200.0
2007-08-02,9.83,9.96,9.51,9.86,,8273800.0
2007-08-03,9.88,9.91,9.42,9.49,,5322900.0
2007-08-06,9.61,9.61,8.86,9.55,,7314800.0
2007-08-07,9.54,10.11,9.34,9.69,,5855100.0
2007-08-08,9.98,10.08,9.73,9.84,,4775000.0
2007-08-09,9.73,9.88,9.54,9.7,,4345000.0
2007-08-10,9.54,10.04,9.33,9.84,,4781400.0
2007-08-13,10.61,10.61,9.98,10.01,,10928800.0
2007-08-14,10.12,10.12,9.45,9.56,,5373500.0
2007-08-15,9.5,9.61,9.19,9.22,,4758100.0
2007-08-16,8.99,9.3,8.58,9.3,,7714200.0
2007-08-17,9.62,9.88,9.3,9.37,,7715300.0
2007-08-20,9.38,9.63,8.97,9.1,,5682700.0
2007-08-21,9.15,9.25,8.99,9.15,,2324900.0
2007-08-22,9.3,9.73,9.3,9.71,,3957200.0
2007-08-23,9.82,9.99,9.68,9.84,,3318700.0
2007-08-24,9.75,9.78,9.48,9.5,,3022100.0
2007-08-27,9.5,9.55,9.2,9.26,,3043900.0
2007-08-28,9.17,9.19,8.92,8.97,,3580800.0
2007-08-29,9.1,9.12,8.9,8.94,,3489700.0
2007-08-30,8.85,9.0,8.78,8.85,,3920200.0
2007-08-31,9.0,9.06,8.87,9.0,,3050000.0
2007-09-04,8.99,9.07,8.96,8.99,,3441600.0
2007-09-05,8.95,8.95,8.54,8.55,,8045500.0
2007-09-06,8.57,8.71,8.55,8.62,,4475400.0
2007-09-07,8.44,8.52,8.29,8.38,,5580800.0
2007-09-10,8.47,8.56,8.3,8.52,,2727300.0
2007-09-11,8.69,8.95,8.64,8.91,,5993300.0
2007-09-12,8.87,9.15,8.8,9.05,,3485100.0
2007-09-13,9.14,9.24,9.07,9.11,,2364200.0
2007-09-14,9.1,9.34,8.87,9.31,,2549300.0
2007-09-17,9.22,9.48,9.17,9.2,,2530200.0
2007-09-18,9.27,9.57,9.07,9.55,,5219100.0
2007-09-19,9.62,10.12,9.56,9.99,,9381600.0
2007-09-20,10.09,10.43,9.96,10.1,,6117700.0
2007-09-21,10.31,10.31,9.73,9.85,,4168300.0
2007-09-24,9.88,9.9,9.52,9.55,,3019700.0
2007-09-25,9.5,9.6,9.34,9.49,,3427200.0
2007-09-26,9.63,9.75,9.46,9.69,,5567600.0
2007-09-27,9.73,9.87,9.57,9.77,,4444300.0
2007-09-28,9.69,9.9,9.68,9.76,,2179100.0
2007-10-01,9.62,10.02,9.61,9.96,,2571700.0
2007-10-02,10.03,10.27,9.87,10.15,,3068500.0
2007-10-03,10.12,10.76,10.11,10.57,,5524800.0
2007-10-04,10.61,10.9,10.61,10.73,,3997000.0
2007-10-05,10.92,11.33,10.84,11.32,,5094500.0
2007-10-08,11.48,11.58,10.98,10.98,,5069100.0
2007-10-09,11.14,11.15,10.91,11.07,,3392800.0
2007-10-10,11.14,11.16,10.9,11.15,,2061600.0
2007-10-11,11.29,11.43,10.93,11.03,,3274200.0
2007-10-12,10.94,11.0,10.78,10.8,,1895600.0
2007-10-15,10.8,10.9,10.49,10.54,,1927000.0
2007-10-16,10.41,10.41,9.94,10.14,,4527300.0
2007-10-17,10.31,10.38,10.05,10.28,,3001600.0
2007-10-18,10.25,10.31,10.1,10.31,,1811100.0
2007-10-19,10.25,10.29,9.92,9.93,,2338500.0
2007-10-22,9.92,10.22,9.73,10.14,,1874800.0
2007-10-23,10.2,10.31,10.15,10.26,,1571600.0
2007-10-24,10.24,10.31,10.03,10.21,,1843500.0
2007-10-25,10.25,10.31,9.84,9.96,,2388100.0
2007-10-26,10.02,10.15,9.87,9.96,,2489800.0
