time,open,high,low,close,Volume,volume
1999-11-01,217.08,219.1,214.3,215.59,,11062500.0
1999-11-02,216.07,221.12,215.59,216.84,,11400000.0
1999-11-03,221.65,221.65,212.8,214.05,,12225750.0
1999-11-04,218.86,222.37,214.3,221.12,,53848500.0
1999-11-05,220.88,223.14,218.09,219.63,,13857000.0
1999-11-08,217.61,220.64,217.08,217.85,,7801500.0
1999-11-09,218.86,219.34,210.78,213.29,,9280500.0
1999-11-10,210.26,214.58,209.25,212.03,,9228750.0
1999-11-11,212.56,213.29,208.24,210.54,,8440500.0
1999-11-12,214.05,222.66,211.55,221.65,,13439250.0
1999-11-15,222.66,225.69,219.87,225.69,,9024000.0
1999-11-16,226.17,235.26,224.92,234.25,,16733250.0
1999-11-17,231.74,232.23,225.69,227.71,,12154500.0
1999-11-18,228.19,230.45,222.37,227.18,,9883500.0
1999-11-19,226.94,230.98,222.66,228.19,,9674250.0
1999-11-22,224.39,226.17,219.87,226.17,,9717000.0
1999-11-23,223.91,224.15,219.87,220.88,,7387500.0
1999-11-24,221.36,221.36,217.08,217.85,,6423000.0
1999-11-26,220.11,221.89,218.62,219.63,,3012750.0
1999-11-29,218.86,218.86,214.05,214.05,,8924250.0
1999-11-30,216.07,222.9,215.83,217.61,,11431500.0
1999-12-01,214.3,220.64,214.05,219.34,,7419000.0
1999-12-02,224.15,224.68,216.07,218.09,,10464750.0
1999-12-03,223.91,231.74,222.66,230.98,,14727000.0
1999-12-06,229.97,229.97,224.39,226.94,,8813250.0
1999-12-07,228.71,232.23,227.71,230.98,,9933750.0
1999-12-08,231.46,232.47,219.87,225.97,,9021000.0
1999-12-09,226.17,226.7,219.1,222.66,,9646500.0
1999-12-10,225.4,228.71,224.92,226.7,,10332000.0
1999-12-13,226.17,226.17,222.13,223.46,,7928250.0
1999-12-14,218.09,221.36,215.83,216.07,,9972000.0
1999-12-15,217.85,222.37,217.33,220.11,,10221000.0
1999-12-16,222.66,222.66,214.3,218.09,,9234750.0
1999-12-17,217.85,221.89,215.83,220.11,,13310250.0
1999-12-20,220.11,223.67,215.06,219.79,,9650250.0
1999-12-21,214.3,226.17,214.05,226.17,,11449500.0
1999-12-22,223.91,223.91,219.34,222.13,,7947750.0
1999-12-23,225.4,227.42,224.68,224.68,,7540500.0
1999-12-27,226.41,228.71,219.63,220.11,,6745500.0
1999-12-28,220.35,224.68,219.63,224.15,,4695000.0
1999-12-29,224.68,225.4,220.64,221.65,,4152000.0
1999-12-30,222.13,224.15,219.34,223.38,,3805500.0
1999-12-31,223.14,225.93,221.65,224.92,,1953000.0
2000-01-03,224.68,224.68,210.02,214.05,,12614250.0
2000-01-04,210.02,210.78,200.93,200.93,,18024000.0
2000-01-05,205.49,210.02,199.92,209.01,,13068750.0
2000-01-06,207.23,220.88,206.99,219.1,,13974000.0
2000-01-07,218.09,221.89,213.29,218.09,,10458750.0
2000-01-10,221.89,221.89,216.32,217.33,,6377250.0
2000-01-11,215.59,219.63,213.57,214.58,,7474500.0
2000-01-12,216.32,222.13,215.83,222.13,,8592750.0
2000-01-13,222.13,226.41,220.88,224.68,,9284250.0
2000-01-14,228.19,236.51,227.95,234.25,,16690500.0
2000-01-18,234.49,238.04,230.98,236.27,,11787750.0
2000-01-19,234.25,242.85,233.76,241.32,,14664000.0
2000-01-20,241.84,242.57,230.98,236.71,,10186500.0
2000-01-21,235.02,236.27,225.69,227.95,,11609250.0
2000-01-24,230.21,230.21,220.64,222.9,,8574000.0
2000-01-25,229.44,232.23,222.66,225.69,,11563500.0
2000-01-26,228.19,236.51,227.42,234.77,,10007250.0
2000-01-27,236.79,240.31,233.24,238.29,,10868250.0
2000-01-28,232.23,236.27,226.17,226.7,,9053250.0
2000-01-31,228.71,234.01,227.18,230.21,,10203000.0
2000-02-01,232.47,236.27,231.99,235.26,,8980500.0
2000-02-02,235.5,236.79,230.21,233.24,,9891750.0
2000-02-03,234.14,234.91,222.76,228.07,,14251500.0
2000-02-04,230.38,233.9,219.48,221.75,,10996500.0
2000-02-07,224.02,227.58,219.48,220.25,,9330750.0
2000-02-08,224.02,227.58,223.29,226.81,,9903750.0
2000-02-09,223.29,225.8,218.47,219.48,,9489000.0
2000-02-10,220.74,223.53,214.66,217.46,,8432250.0
2000-02-11,219.48,223.53,214.18,218.71,,9947250.0
2000-02-14,219.73,220.98,210.86,218.71,,8652750.0
2000-02-15,214.18,222.52,213.41,222.28,,10523250.0
2000-02-16,219.24,222.28,214.91,217.21,,6827250.0
2000-02-17,219.73,221.75,211.38,212.64,,9655500.0
2000-02-18,212.39,213.41,202.27,208.34,,15293250.0
2000-02-22,208.1,212.15,202.51,206.56,,14605500.0
2000-02-23,206.08,209.36,204.54,206.32,,11664750.0
2000-02-24,202.51,204.05,194.41,199.47,,23674500.0
2000-02-25,200.0,205.31,190.89,194.41,,14136750.0
2000-02-28,200.49,205.06,198.46,198.46,,24188250.0
2000-02-29,204.54,211.14,203.77,209.6,,19107750.0
2000-03-01,215.67,215.67,207.57,209.11,,12539250.0
2000-03-02,210.37,210.61,202.51,208.59,,8709750.0
2000-03-03,216.69,217.94,214.18,216.44,,13884750.0
2000-03-06,218.71,219.73,206.8,211.38,,9312750.0
2000-03-07,213.89,214.18,204.05,204.05,,8590500.0
2000-03-08,205.55,206.32,199.23,204.54,,8855250.0
2000-03-09,198.7,204.05,196.44,204.05,,11304750.0
2000-03-10,201.74,205.31,197.45,198.46,,9203250.0
2000-03-13,194.17,202.27,193.4,202.27,,14466000.0
2000-03-14,203.04,204.05,199.47,201.5,,8940750.0
2000-03-15,199.72,211.62,197.98,211.62,,17850000.0
2000-03-16,217.21,230.86,213.65,227.34,,25743000.0
2000-03-17,229.08,233.9,227.34,230.86,,14703000.0
2000-03-20,227.34,232.65,224.02,227.58,,10260000.0
2000-03-21,228.07,235.68,225.31,235.16,,15505500.0
2000-03-22,235.93,238.96,233.41,237.95,,11173500.0
2000-03-23,237.95,250.34,235.44,249.86,,16413750.0
2000-03-24,250.34,252.65,241.52,245.28,,13773000.0
2000-03-27,245.28,249.86,236.17,243.26,,9654750.0
2000-03-28,239.49,250.63,239.21,247.06,,10744500.0
2000-03-29,247.06,248.6,240.99,246.05,,8457750.0
2000-03-30,243.54,247.06,237.71,247.06,,8744250.0
2000-03-31,243.26,246.05,239.49,242.53,,8743500.0
2000-04-03,243.01,252.9,242.53,251.11,,12267000.0
2000-04-04,251.11,255.93,226.81,238.96,,17784000.0
2000-04-05,237.95,240.99,234.91,237.71,,9321750.0
2000-04-06,240.99,242.53,238.19,240.22,,6380250.0
2000-04-07,242.0,243.01,238.19,238.96,,7097250.0
2000-04-10,238.96,253.67,238.48,252.13,,11776500.0
2000-04-11,251.64,256.95,248.6,256.95,,11481000.0
2000-04-12,259.98,265.05,253.38,255.16,,15852000.0
2000-04-13,255.16,255.16,249.09,253.38,,10857750.0
2000-04-14,246.82,246.82,231.11,234.91,,16262250.0
2000-04-17,231.88,242.24,229.85,239.98,,14929500.0
2000-04-18,241.52,255.16,240.22,251.64,,11214750.0
2000-04-19,251.36,251.64,233.13,241.52,,17874750.0
2000-04-20,246.58,248.08,242.0,248.08,,7788000.0
2000-04-24,245.57,251.64,245.04,250.34,,8076750.0
2000-04-25,252.37,261.24,252.13,261.24,,9528750.0
2000-04-26,256.95,259.74,251.11,253.14,,8420250.0
2000-04-27,249.25,251.52,244.42,249.74,,8393250.0
2000-04-28,254.33,254.57,239.34,239.59,,8301000.0
2000-05-01,244.42,251.77,239.83,244.9,,6715500.0
2000-05-02,245.19,250.75,242.87,248.23,,6216750.0
2000-05-03,246.94,254.33,242.63,244.17,,8917500.0
2000-05-04,242.87,245.19,235.77,238.08,,9378000.0
2000-05-05,235.28,243.4,235.28,241.86,,6004500.0
2000-05-08,240.84,245.43,239.59,242.63,,7297500.0
2000-05-09,245.19,247.22,239.1,241.62,,7103250.0
2000-05-10,237.31,240.36,228.95,229.19,,9642000.0
2000-05-11,234.27,241.37,231.46,239.1,,8346750.0
2000-05-12,239.1,247.46,236.78,244.42,,8757750.0
2000-05-15,244.9,256.07,243.4,255.34,,9148500.0
2000-05-16,256.6,257.37,248.72,250.51,,8654250.0
2000-05-17,250.27,253.8,247.22,247.95,,7072500.0
2000-05-18,251.77,256.07,249.25,249.98,,8104500.0
2000-05-19,247.22,249.25,244.42,247.46,,7655250.0
2000-05-22,249.25,250.27,241.86,248.97,,6417750.0
2000-05-23,247.71,256.84,247.71,253.03,,8094000.0
2000-05-24,251.28,256.6,244.9,249.25,,12551250.0
2000-05-25,244.17,247.71,236.05,237.8,,11628000.0
2000-05-26,235.77,238.33,231.71,236.54,,8882250.0
2000-05-30,241.62,246.94,240.6,244.9,,7086000.0
2000-05-31,246.2,252.54,245.92,252.54,,7467750.0
2000-06-01,255.83,260.9,254.33,257.09,,11004000.0
2000-06-02,267.0,271.58,266.22,270.57,,11321250.0
2000-06-05,267.24,270.28,266.51,269.8,,7824750.0
2000-06-06,267.52,267.77,259.89,263.18,,6717000.0
2000-06-07,265.49,270.28,262.45,269.55,,7279500.0
2000-06-08,268.78,269.03,260.66,261.92,,7095000.0
2000-06-09,263.71,266.75,258.87,259.89,,6436500.0
2000-06-12,261.68,263.71,258.87,259.89,,5163000.0
2000-06-13,262.45,265.98,258.39,265.21,,6528000.0
2000-06-14,265.74,274.63,265.21,272.6,,9032250.0
2000-06-15,272.84,273.09,262.69,263.46,,10030500.0
2000-06-16,263.46,265.49,251.0,254.57,,14709000.0
2000-06-19,255.83,262.45,255.06,261.15,,7233750.0
2000-06-20,263.46,264.48,258.1,261.43,,6353250.0
2000-06-21,257.37,257.62,253.8,253.8,,6849750.0
2000-06-22,253.8,255.58,245.43,252.78,,7006500.0
2000-06-23,252.01,255.06,249.98,251.28,,6244500.0
2000-06-26,254.33,260.42,252.54,259.89,,7446000.0
2000-06-27,259.89,262.16,258.1,259.65,,5673000.0
2000-06-28,260.66,264.19,255.83,260.66,,6711000.0
2000-06-29,254.57,260.42,254.33,254.33,,6453000.0
2000-06-30,254.04,255.83,243.65,244.66,,12954000.0
2000-07-03,246.45,255.06,245.92,253.55,,4413000.0
2000-07-05,255.58,261.15,254.57,256.84,,7523250.0
2000-07-06,254.81,260.66,250.27,259.4,,7440750.0
2000-07-07,261.15,265.49,260.13,264.72,,8111250.0
2000-07-10,264.97,267.52,263.95,264.97,,5709000.0
2000-07-11,267.24,273.09,265.21,271.58,,7173000.0
2000-07-12,273.09,277.15,271.58,271.58,,8085000.0
2000-07-13,272.32,274.63,268.01,270.57,,5185500.0
2000-07-14,271.58,276.13,271.06,276.13,,5880000.0
2000-07-17,276.13,277.92,265.98,269.55,,8021250.0
2000-07-18,267.52,271.3,265.21,270.81,,4818000.0
2000-07-19,269.03,277.68,269.03,276.13,,6847500.0
2000-07-20,276.9,287.06,276.9,286.53,,9144000.0
2000-07-21,286.81,292.38,284.01,287.83,,12230250.0
2000-07-24,286.81,290.59,283.24,287.3,,6547500.0
2000-07-25,288.07,288.56,282.99,286.04,,7113000.0
2000-07-26,287.3,287.83,282.47,282.75,,7464000.0
