time,open,high,low,close,Volume,volume
1999-11-01,8.44,8.48,8.16,8.28,,722500.0
1999-11-02,8.32,8.38,8.28,8.3,,789000.0
1999-11-03,8.28,8.32,8.02,8.14,,986500.0
1999-11-04,8.14,8.2,7.84,7.86,,1023100.0
1999-11-05,7.86,7.96,7.82,7.84,,762500.0
1999-11-08,7.78,7.96,7.76,7.96,,604600.0
1999-11-09,8.06,8.06,7.64,7.74,,682800.0
1999-11-10,7.6,7.84,7.53,7.68,,875500.0
1999-11-11,7.56,7.66,7.43,7.5,,1027200.0
1999-11-12,7.5,7.94,7.43,7.9,,1891500.0
1999-11-15,7.88,7.9,7.76,7.8,,845300.0
1999-11-16,7.8,8.22,7.76,8.04,,991200.0
1999-11-17,8.04,8.48,8.0,8.28,,1327300.0
1999-11-18,8.3,8.48,8.24,8.34,,1334500.0
1999-11-19,8.26,8.38,8.18,8.26,,969100.0
1999-11-22,8.1,8.18,7.92,7.94,,613400.0
1999-11-23,7.82,7.92,7.76,7.9,,729500.0
1999-11-24,7.9,7.92,7.78,7.86,,365700.0
1999-11-26,7.8,7.82,7.72,7.72,,414300.0
1999-11-29,7.68,7.76,7.56,7.74,,875800.0
1999-11-30,7.48,7.96,7.48,7.8,,1075700.0
1999-12-01,7.62,7.78,7.58,7.6,,1288200.0
1999-12-02,7.51,7.62,7.48,7.51,,1548100.0
1999-12-03,7.58,7.9,7.51,7.62,,1492800.0
1999-12-06,7.56,7.64,7.43,7.45,,1013200.0
1999-12-07,7.5,7.5,7.35,7.4,,1364600.0
1999-12-08,7.27,7.41,7.25,7.27,,1391200.0
1999-12-09,7.29,7.37,7.11,7.21,,1160300.0
1999-12-10,7.13,7.19,7.11,7.11,,990500.0
1999-12-13,7.01,7.11,7.01,7.07,,803800.0
1999-12-14,7.03,7.09,6.97,7.03,,1183000.0
1999-12-15,6.95,7.31,6.95,7.29,,1368600.0
1999-12-16,7.29,7.29,6.87,6.95,,1721900.0
1999-12-17,6.83,6.83,6.83,6.83,,3033400.0
1999-12-20,6.77,7.03,6.75,7.01,,1774500.0
1999-12-21,6.95,7.03,6.67,6.75,,2415100.0
1999-12-22,6.83,7.01,6.71,6.87,,2609400.0
