time,open,high,low,close,Volume,volume
2020-03-19,11.26,11.26,11.26,11.26,,100.0
2020-03-20,12.2,12.2,11.26,11.96,,2348.0
2020-03-23,11.96,11.96,10.79,10.83,,18710.0
2020-03-24,12.1,12.1,10.79,10.98,,96074.0
2020-03-25,11.07,12.62,11.07,12.62,,19242.0
2020-03-26,13.14,14.5,13.14,14.5,,76379.0
2020-03-27,14.07,15.01,13.65,13.65,,114014.0
2020-03-30,14.31,15.48,14.31,14.92,,209978.0
2020-03-31,15.38,16.18,13.66,16.18,,461468.0
2020-04-01,15.01,15.01,13.66,14.12,,2998918.0
2020-04-02,14.69,14.92,11.37,12.46,,15965880.0
2020-04-03,12.9,15.95,12.55,15.88,,66927998.0
2020-04-06,16.01,16.09,13.93,14.49,,37134054.0
2020-04-07,14.26,14.82,13.65,14.31,,23484053.0
2020-04-08,13.6,14.31,12.88,13.38,,49372245.0
2020-04-09,13.14,14.54,13.04,13.87,,34923923.0
2020-04-13,13.6,13.6,13.12,13.13,,21496433.0
2020-04-14,13.14,13.32,12.93,13.01,,22348627.0
2020-04-15,12.69,12.81,12.14,12.53,,14988852.0
2020-04-16,12.34,12.43,11.5,12.09,,21687002.0
2020-04-17,12.48,12.98,12.13,12.89,,21332013.0
2020-04-20,12.67,13.83,12.64,13.56,,20020359.0
2020-04-21,13.34,14.31,13.3,13.78,,16233901.0
2020-04-22,14.03,14.22,13.34,13.88,,12539535.0
2020-04-23,13.79,14.94,13.71,14.75,,12222199.0
2020-04-24,14.64,15.64,14.35,15.25,,17389952.0
2020-04-27,15.17,15.77,14.99,15.76,,12185807.0
2020-04-28,15.84,16.65,15.58,15.95,,12978732.0
2020-04-29,16.38,16.96,16.11,16.55,,12519805.0
2020-04-30,16.16,16.74,15.94,16.62,,19091336.0
2020-05-01,16.26,16.28,15.59,15.73,,10726038.0
2020-05-04,15.15,15.5,14.72,15.39,,9700273.0
2020-05-05,15.65,15.72,14.86,14.98,,16295857.0
2020-05-06,15.01,15.36,14.48,15.28,,10645404.0
2020-05-07,15.21,15.99,14.9,15.4,,12454069.0
2020-05-08,15.99,17.26,15.89,17.23,,18117278.0
2020-05-11,17.29,17.59,16.91,17.22,,9573862.0
2020-05-12,17.25,17.26,16.6,16.7,,7741942.0
2020-05-13,16.15,16.36,15.11,15.42,,10676260.0
2020-05-14,15.03,15.68,14.75,15.53,,7796502.0
2020-05-15,15.29,15.92,15.01,15.68,,7353832.0
2020-05-18,16.23,16.63,16.22,16.47,,6134778.0
2020-05-19,16.36,16.81,16.09,16.67,,8335540.0
2020-05-20,17.04,17.87,16.93,17.57,,11909367.0
2020-05-21,17.39,18.31,17.36,18.25,,9711485.0
2020-05-22,18.27,18.63,17.78,17.87,,5937079.0
2020-05-26,18.4,19.33,18.15,18.31,,7305411.0
2020-05-27,18.36,18.89,18.23,18.76,,8969660.0
2020-05-28,18.84,19.2,18.3,18.39,,8509161.0
2020-05-29,17.79,19.68,17.71,19.21,,32990569.0
2020-06-01,19.28,20.59,19.28,20.47,,7693402.0
2020-06-02,20.35,20.48,19.61,20.04,,8293330.0
2020-06-03,20.14,21.19,20.06,20.85,,9634145.0
2020-06-04,20.67,21.69,20.67,21.28,,6651060.0
2020-06-05,22.09,22.89,21.94,22.1,,7843045.0
2020-06-08,22.17,22.87,21.87,22.86,,8569789.0
2020-06-09,22.27,22.48,21.78,21.78,,6849162.0
2020-06-10,20.93,21.72,20.68,20.83,,10252333.0
2020-06-11,18.91,20.45,18.76,19.76,,6832257.0
2020-06-12,20.64,20.93,19.72,20.21,,5212757.0
2020-06-15,19.44,21.15,19.36,20.61,,7735648.0
2020-06-16,21.54,21.56,20.57,20.71,,7287852.0
2020-06-17,20.8,20.96,19.78,19.95,,5737068.0
2020-06-18,19.7,20.54,19.7,19.94,,3615365.0
2020-06-19,20.42,20.5,19.7,20.13,,14450541.0
2020-06-22,20.19,21.42,19.99,21.34,,5990058.0
2020-06-23,21.69,21.8,20.94,21.01,,5961362.0
2020-06-24,20.74,21.26,20.13,20.47,,6822936.0
2020-06-25,20.36,20.6,19.81,20.27,,6139536.0
