time,open,high,low,close,Volume,volume
1999-11-01,12.68,13.01,12.48,12.81,,518400.0
1999-11-02,12.85,12.97,11.75,11.79,,417400.0
1999-11-03,12.07,12.23,11.62,11.67,,1063700.0
1999-11-04,11.67,11.79,11.62,11.71,,1744900.0
1999-11-05,12.36,13.33,11.87,13.13,,2979800.0
1999-11-08,13.41,15.36,13.41,15.2,,1813600.0
1999-11-09,15.57,15.57,14.27,14.51,,1114000.0
1999-11-10,14.19,14.96,13.41,13.74,,713000.0
1999-11-11,13.9,13.9,13.37,13.5,,642000.0
1999-11-12,13.5,13.57,12.36,12.4,,992600.0
1999-11-15,12.44,12.85,12.4,12.52,,867400.0
1999-11-16,12.64,12.68,11.95,12.4,,429700.0
1999-11-17,12.46,12.6,12.11,12.4,,754100.0
1999-11-18,12.56,13.33,12.48,12.88,,1024100.0
1999-11-19,13.01,13.66,12.88,13.01,,1769200.0
1999-11-22,13.25,13.25,12.85,12.88,,698100.0
1999-11-23,13.01,13.05,12.52,12.68,,2252300.0
1999-11-24,12.66,13.17,12.6,13.01,,787300.0
1999-11-26,13.01,13.17,12.92,13.01,,192000.0
1999-11-29,13.09,13.33,12.88,13.09,,1804900.0
1999-11-30,13.13,13.82,13.09,13.7,,1053600.0
1999-12-01,13.74,13.74,13.13,13.17,,367300.0
1999-12-02,13.46,14.47,12.85,13.57,,627500.0
1999-12-03,13.82,15.36,13.74,15.12,,755200.0
1999-12-06,15.12,15.12,13.66,13.82,,576900.0
1999-12-07,14.15,14.55,13.98,14.43,,789100.0
1999-12-08,14.47,14.47,14.27,14.31,,554400.0
1999-12-09,14.43,14.8,14.31,14.76,,1073800.0
1999-12-10,14.84,15.69,14.67,15.61,,1166900.0
1999-12-13,15.65,16.26,15.08,16.26,,977700.0
1999-12-14,16.26,17.89,15.93,17.76,,1234400.0
1999-12-15,17.8,17.89,16.83,17.56,,991700.0
1999-12-16,17.64,18.98,16.01,16.06,,1944300.0
1999-12-17,16.1,17.52,15.93,17.31,,1600400.0
1999-12-20,17.11,17.2,15.65,17.11,,891300.0
1999-12-21,17.07,18.61,17.03,18.58,,1226900.0
1999-12-22,18.54,21.3,18.54,20.53,,1689800.0
1999-12-23,20.32,20.49,19.23,19.84,,2325300.0
1999-12-27,19.8,20.94,19.43,20.57,,243100.0
1999-12-28,20.49,21.79,20.32,21.06,,734700.0
1999-12-29,21.06,21.06,19.84,19.88,,980500.0
1999-12-30,20.24,20.53,19.92,20.2,,697800.0
1999-12-31,20.12,20.9,20.0,20.9,,260200.0
2000-01-03,20.61,20.9,19.51,19.86,,1084800.0
2000-01-04,19.8,20.08,19.47,19.84,,983500.0
2000-01-05,19.88,19.88,19.39,19.55,,701200.0
2000-01-06,19.43,19.47,18.33,18.86,,843300.0
2000-01-07,19.19,19.84,18.86,19.84,,597200.0
2000-01-10,21.3,22.2,20.65,20.77,,1136600.0
2000-01-11,20.94,20.98,19.67,19.8,,450600.0
2000-01-12,20.24,20.24,19.31,19.51,,471800.0
2000-01-13,19.59,19.67,19.47,19.51,,1046000.0
2000-01-14,19.59,19.67,18.54,18.78,,1402600.0
2000-01-18,18.88,19.67,18.86,19.55,,1920200.0
2000-01-19,19.67,19.84,19.06,19.51,,1027100.0
2000-01-20,19.55,19.67,19.31,19.64,,1357500.0
2000-01-21,19.75,20.36,19.67,20.16,,2206200.0
2000-01-24,20.49,23.17,20.49,22.2,,2574500.0
2000-01-25,22.36,22.36,21.46,21.95,,1161100.0
2000-01-26,21.97,22.28,21.79,22.11,,1422300.0
2000-01-27,22.28,22.36,21.22,21.38,,1616200.0
2000-01-28,21.46,22.07,20.94,21.55,,1236000.0
2000-01-31,21.38,21.63,19.67,20.57,,970700.0
2000-02-01,20.45,21.06,20.36,20.73,,1085900.0
2000-02-02,20.77,21.63,20.73,21.63,,1175200.0
2000-02-03,21.75,21.95,21.5,21.5,,2666500.0
2000-02-04,21.63,21.63,20.4,20.87,,730500.0
