time,open,high,low,close,Volume,volume
1999-11-01,21.12,21.16,20.63,20.74,,810900.0
1999-11-02,22.71,22.94,22.15,22.22,,1714800.0
1999-11-03,22.32,22.61,22.18,22.24,,1087500.0
1999-11-04,22.27,22.7,22.25,22.61,,1209700.0
1999-11-05,22.89,23.6,22.87,23.35,,1032000.0
1999-11-08,23.31,23.74,23.3,23.51,,734800.0
1999-11-09,23.67,23.85,23.03,23.38,,682000.0
1999-11-10,23.46,23.46,22.89,23.01,,552000.0
1999-11-11,23.31,23.4,22.75,22.75,,605000.0
1999-11-12,23.0,23.88,22.96,23.56,,732700.0
1999-11-15,23.53,23.81,23.53,23.72,,468700.0
1999-11-16,23.88,24.34,23.88,24.34,,698300.0
1999-11-17,24.3,24.66,24.16,24.44,,1077700.0
1999-11-18,24.44,24.46,23.97,24.23,,872600.0
1999-11-19,24.09,24.14,23.67,23.67,,747000.0
1999-11-22,23.67,24.16,23.65,24.02,,1245100.0
1999-11-23,23.95,23.97,22.96,22.96,,732800.0
1999-11-24,22.93,23.16,22.82,22.82,,1218100.0
1999-11-26,22.82,22.84,22.32,22.45,,476300.0
1999-11-29,22.52,22.66,22.06,22.64,,734400.0
1999-11-30,22.57,23.46,22.47,23.24,,940700.0
1999-12-01,23.03,23.05,22.86,22.86,,780200.0
1999-12-02,22.93,23.03,22.61,22.71,,738800.0
1999-12-03,22.82,23.57,22.75,23.42,,918800.0
1999-12-06,23.35,23.46,22.89,23.0,,462200.0
1999-12-07,23.01,23.01,22.36,22.36,,877100.0
1999-12-08,22.54,22.82,22.11,22.11,,927100.0
1999-12-09,22.11,22.64,22.11,22.61,,635300.0
1999-12-10,22.82,23.17,22.47,22.47,,648000.0
1999-12-13,22.43,22.68,22.24,22.38,,620700.0
1999-12-14,22.34,22.5,22.13,22.24,,670300.0
1999-12-15,22.2,22.5,22.13,22.32,,577200.0
1999-12-16,22.25,22.25,21.88,21.99,,565500.0
1999-12-17,21.48,21.83,21.48,21.48,,1134700.0
1999-12-20,21.44,21.48,21.11,21.3,,590500.0
1999-12-21,21.26,21.32,20.93,20.93,,523700.0
1999-12-22,20.93,22.06,20.93,21.76,,578900.0
1999-12-23,22.13,22.43,21.87,22.27,,481900.0
1999-12-27,22.26,22.45,21.44,21.51,,395100.0
1999-12-28,21.51,21.78,21.46,21.51,,461900.0
1999-12-29,21.55,22.49,21.48,22.31,,332500.0
1999-12-30,22.45,22.81,22.38,22.68,,348800.0
1999-12-31,22.63,22.91,22.57,22.86,,178500.0
2000-01-03,22.79,22.79,22.08,22.26,,696500.0
2000-01-04,21.53,22.24,21.25,22.17,,691000.0
2000-01-05,22.11,22.59,22.11,22.27,,518900.0
2000-01-06,22.08,23.76,22.08,23.14,,672300.0
2000-01-07,23.83,24.23,23.53,24.16,,581100.0
2000-01-10,24.1,24.3,23.94,24.01,,802800.0
2000-01-11,23.83,23.83,23.35,23.39,,559500.0
2000-01-12,23.3,23.43,23.23,23.43,,619300.0
2000-01-13,23.27,24.08,23.2,23.87,,615100.0
2000-01-14,23.45,23.68,22.74,22.88,,618600.0
2000-01-18,22.34,22.77,22.13,22.42,,592800.0
2000-01-19,22.49,22.77,21.79,21.97,,710500.0
2000-01-20,22.03,22.17,21.46,21.55,,580500.0
2000-01-21,21.6,21.6,20.77,21.16,,833400.0
2000-01-24,21.14,21.14,20.36,20.41,,539800.0
2000-01-25,20.64,20.71,20.22,20.29,,517900.0
2000-01-26,20.78,21.0,20.4,20.64,,874400.0
2000-01-27,20.71,20.93,20.29,20.55,,494800.0
2000-01-28,20.43,20.82,20.4,20.59,,847900.0
2000-01-31,20.43,20.57,19.95,20.36,,432000.0
2000-02-01,20.43,20.68,20.38,20.4,,407000.0
2000-02-02,20.71,21.03,20.61,20.93,,1113900.0
2000-02-03,21.0,21.44,20.75,21.23,,1053800.0
2000-02-04,21.44,21.58,21.39,21.53,,770000.0
2000-02-07,21.64,21.67,21.3,21.64,,714400.0
2000-02-08,20.93,21.49,20.61,21.21,,1155600.0
2000-02-09,21.56,21.99,21.18,21.85,,1787700.0
2000-02-10,22.13,22.49,22.08,22.38,,1297000.0
2000-02-11,22.63,22.81,22.56,22.67,,1033200.0
2000-02-14,22.74,22.74,22.49,22.68,,449900.0
2000-02-15,22.7,22.72,22.27,22.5,,1151000.0
2000-02-16,22.45,22.68,22.34,22.36,,1237300.0
2000-02-17,22.45,22.67,22.31,22.56,,804100.0
2000-02-18,22.13,22.42,21.81,21.85,,981200.0
2000-02-22,21.85,21.99,21.35,21.51,,875800.0
2000-02-23,21.42,21.71,21.1,21.28,,1153600.0
2000-02-24,21.28,21.28,20.71,20.71,,973100.0
2000-02-25,20.78,21.14,20.36,20.43,,824200.0
2000-02-28,20.43,21.0,20.43,20.96,,1013600.0
2000-02-29,20.78,21.25,20.75,20.94,,962000.0
2000-03-01,21.01,21.19,20.4,20.57,,2031400.0
2000-03-02,20.5,20.52,19.76,19.88,,929700.0
2000-03-03,19.95,20.45,19.95,20.22,,855700.0
2000-03-06,20.15,20.16,19.33,19.49,,656200.0
2000-03-07,19.01,19.01,18.28,18.6,,1019700.0
2000-03-08,18.51,18.8,18.27,18.36,,761500.0
2000-03-09,18.36,18.39,18.05,18.25,,898800.0
2000-03-10,18.32,18.43,18.03,18.18,,685200.0
2000-03-13,18.14,18.14,17.41,17.45,,846800.0
2000-03-14,17.52,18.03,17.46,17.5,,809900.0
2000-03-15,17.52,18.75,17.52,18.55,,1160700.0
2000-03-16,18.55,19.1,18.44,18.82,,1905200.0
2000-03-17,18.39,18.59,17.32,17.98,,2372800.0
2000-03-20,17.93,18.66,17.93,18.53,,1276500.0
2000-03-21,18.57,20.01,18.57,20.01,,1461700.0
2000-03-22,19.92,20.78,19.71,20.37,,1317300.0
2000-03-23,20.39,21.47,20.24,20.85,,980100.0
2000-03-24,20.92,21.95,20.81,21.74,,983500.0
2000-03-27,21.74,21.95,21.38,21.58,,979700.0
2000-03-28,21.38,21.46,20.76,20.76,,1294000.0
2000-03-29,20.76,21.42,20.71,21.14,,903900.0
2000-03-30,21.21,22.52,21.06,22.22,,951100.0
2000-03-31,21.95,22.63,21.6,21.6,,881500.0
2000-04-03,21.81,22.99,21.81,22.81,,639100.0
2000-04-04,22.81,22.81,21.67,22.24,,1008100.0
2000-04-05,22.24,22.79,22.22,22.58,,700000.0
2000-04-06,22.52,23.17,22.35,22.76,,748500.0
2000-04-07,22.68,22.95,21.95,22.01,,531400.0
2000-04-10,22.06,23.42,22.04,23.04,,788800.0
2000-04-11,23.66,24.79,23.54,24.09,,1170300.0
2000-04-12,23.95,24.66,23.84,24.16,,655800.0
2000-04-13,24.16,24.45,23.82,24.18,,794200.0
2000-04-14,24.04,24.04,22.79,23.01,,816200.0
2000-04-17,23.08,23.51,22.74,23.08,,834400.0
2000-04-18,23.08,23.31,22.81,23.18,,560400.0
2000-04-19,22.52,23.02,22.17,22.67,,646100.0
2000-04-20,22.45,23.77,22.45,23.49,,744000.0
2000-04-24,23.45,23.88,23.17,23.88,,724500.0
2000-04-25,23.77,23.79,23.09,23.36,,547800.0
2000-04-26,23.38,23.52,22.88,23.22,,478000.0
2000-04-27,23.15,23.25,22.38,22.67,,656700.0
2000-04-28,22.24,22.74,21.85,22.74,,721900.0
2000-05-01,22.67,22.67,22.33,22.51,,753700.0
2000-05-02,22.1,22.11,21.35,21.38,,1649900.0
2000-05-03,21.1,21.81,20.92,21.14,,1303500.0
2000-05-04,21.67,22.11,21.46,21.88,,964200.0
2000-05-05,21.85,22.1,21.54,21.65,,851000.0
2000-05-08,21.72,22.61,21.72,22.47,,722600.0
2000-05-09,22.31,22.81,22.1,22.17,,822900.0
2000-05-10,22.17,22.17,21.53,21.67,,608200.0
2000-05-11,21.81,22.35,21.74,21.81,,892300.0
2000-05-12,22.17,22.86,22.06,22.51,,604400.0
2000-05-15,22.38,23.95,22.38,23.42,,1115100.0
2000-05-16,23.95,24.52,23.88,23.99,,840700.0
2000-05-17,23.95,24.23,23.66,23.92,,683600.0
2000-05-18,23.95,24.68,23.95,24.66,,621000.0
2000-05-19,24.73,25.04,24.38,24.7,,727100.0
2000-05-22,24.77,25.59,24.65,25.36,,994900.0
2000-05-23,25.36,25.64,24.77,25.64,,888900.0
2000-05-24,25.63,25.91,25.27,25.56,,994700.0
2000-05-25,25.56,25.64,25.13,25.45,,667800.0
2000-05-26,25.13,25.34,24.86,25.02,,392700.0
2000-05-30,24.81,25.29,24.45,25.29,,515200.0
2000-05-31,25.22,25.64,25.11,25.32,,546000.0
2000-06-01,25.13,25.14,24.7,24.93,,853900.0
2000-06-02,25.48,25.73,25.34,25.48,,750200.0
2000-06-05,25.66,25.71,25.04,25.06,,650600.0
2000-06-06,24.88,24.89,23.88,24.09,,682200.0
2000-06-07,24.38,24.91,24.27,24.59,,609600.0
2000-06-08,24.79,24.98,24.46,24.82,,552300.0
2000-06-09,24.89,25.59,24.89,25.32,,535600.0
2000-06-12,25.36,26.15,25.36,25.97,,802900.0
2000-06-13,26.25,27.29,25.91,26.91,,1037400.0
2000-06-14,26.88,27.11,26.63,26.86,,1195500.0
2000-06-15,26.84,27.08,26.52,26.97,,780500.0
2000-06-16,26.79,27.24,26.32,26.32,,1209700.0
2000-06-19,26.32,27.51,26.32,27.33,,862300.0
2000-06-20,27.34,27.97,27.31,27.43,,1111200.0
2000-06-21,26.9,27.01,26.7,26.77,,807800.0
2000-06-22,26.65,26.97,26.36,26.74,,835600.0
2000-06-23,26.61,27.29,26.61,26.75,,1216900.0
2000-06-26,26.83,27.09,26.68,26.81,,618600.0
2000-06-27,26.81,26.95,26.7,26.91,,687400.0
2000-06-28,27.08,27.58,27.01,27.53,,914700.0
2000-06-29,27.43,28.47,27.43,27.94,,959200.0
2000-06-30,27.68,27.84,26.75,26.75,,1443000.0
2000-07-03,26.9,27.15,26.5,27.15,,339400.0
2000-07-05,27.15,27.67,27.04,27.18,,670300.0
2000-07-06,27.2,28.08,27.02,27.79,,703500.0
2000-07-07,27.86,28.67,27.86,28.52,,865700.0
2000-07-10,28.04,28.6,28.04,28.6,,1184200.0
2000-07-11,28.61,29.01,28.47,28.56,,1091100.0
2000-07-12,28.76,29.5,28.7,29.44,,1020200.0
2000-07-13,29.19,29.27,28.79,28.93,,865200.0
2000-07-14,28.84,28.84,28.54,28.54,,1029300.0
2000-07-17,28.51,29.07,28.33,29.04,,768700.0
2000-07-18,28.26,28.33,27.68,28.06,,1336900.0
2000-07-19,28.11,28.22,27.72,27.74,,486100.0
2000-07-20,27.74,28.24,27.72,28.13,,441800.0
2000-07-21,28.13,28.17,27.76,27.77,,372400.0
2000-07-24,27.76,27.76,27.34,27.51,,424800.0
2000-07-25,27.47,27.86,27.34,27.74,,510900.0
2000-07-26,27.76,28.05,27.68,28.04,,1122800.0
2000-07-27,28.47,28.84,28.2,28.61,,824800.0
2000-07-28,28.58,28.58,27.97,28.11,,517600.0
2000-07-31,28.54,28.73,28.44,28.58,,687900.0
2000-08-01,28.29,28.99,28.29,28.99,,492700.0
2000-08-02,27.33,28.02,27.33,27.63,,1640800.0
2000-08-03,27.47,28.02,27.18,27.83,,1345000.0
2000-08-04,27.84,29.04,27.79,28.7,,1389400.0
2000-08-07,28.7,29.27,28.64,29.24,,964600.0
2000-08-08,29.16,29.7,28.79,29.56,,707200.0
2000-08-09,29.33,29.33,28.79,29.07,,529400.0
2000-08-10,29.41,29.62,29.13,29.13,,435000.0
2000-08-11,29.21,30.3,29.21,30.1,,440800.0
2000-08-14,30.04,30.16,29.76,29.76,,853600.0
2000-08-15,29.76,30.02,29.47,29.47,,682800.0
2000-08-16,29.84,30.02,29.53,29.64,,747300.0
2000-08-17,29.36,29.93,29.19,29.19,,512700.0
2000-08-18,29.19,29.27,28.96,28.96,,557500.0
2000-08-21,28.96,28.99,28.54,28.84,,489900.0
2000-08-22,28.84,29.24,28.7,28.99,,579400.0
2000-08-23,29.16,29.41,28.15,28.22,,682400.0
2000-08-24,27.68,28.15,27.68,27.84,,545800.0
2000-08-25,28.04,28.04,27.77,27.86,,308400.0
2000-08-28,27.86,28.56,27.86,28.36,,649400.0
2000-08-29,28.29,28.33,27.99,28.15,,738000.0
2000-08-30,28.04,28.29,27.97,28.06,,469600.0
2000-08-31,28.04,28.08,27.83,27.83,,767200.0
2000-09-01,27.84,27.84,26.67,26.93,,677700.0
2000-09-05,26.93,27.43,26.91,27.21,,673000.0
2000-09-06,27.25,27.47,27.17,27.22,,475100.0
2000-09-07,27.25,27.31,26.47,26.47,,680800.0
2000-09-08,25.98,26.13,25.55,25.82,,1087300.0
2000-09-11,25.81,26.58,25.81,26.4,,747700.0
2000-09-12,26.56,26.74,26.06,26.06,,725400.0
2000-09-13,26.13,26.24,25.98,26.18,,901800.0
2000-09-14,26.34,26.99,26.31,26.77,,687100.0
2000-09-15,26.77,26.77,26.13,26.13,,1265000.0
2000-09-18,26.13,26.17,25.07,25.3,,824100.0
2000-09-19,25.27,25.66,25.19,25.46,,1019700.0
2000-09-20,25.48,25.52,24.95,25.27,,940100.0
2000-09-21,25.77,26.09,25.34,25.55,,755600.0
2000-09-22,25.91,26.76,25.84,26.65,,839600.0
2000-09-25,26.99,27.19,26.63,27.03,,1006100.0
2000-09-26,27.85,27.85,26.96,27.49,,1267000.0
2000-09-27,27.56,29.86,27.49,29.4,,1287300.0
2000-09-28,29.57,29.8,29.09,29.8,,1157400.0
2000-09-29,29.57,30.43,29.57,29.98,,1055800.0
2000-10-02,29.98,31.44,29.89,31.24,,1079800.0
2000-10-03,31.15,31.15,30.46,30.72,,727800.0
2000-10-04,31.3,31.58,30.75,30.95,,920000.0
2000-10-05,30.95,32.3,30.95,32.27,,765000.0
2000-10-06,32.96,33.22,31.58,31.58,,1058700.0
2000-10-09,31.58,31.78,31.3,31.38,,518000.0
