time,open,high,low,close,Volume,volume
1999-11-01,15.41,15.43,14.72,15.18,,162900.0
1999-11-02,15.15,15.4,14.83,14.88,,515300.0
1999-11-03,15.02,15.13,14.88,14.96,,250700.0
1999-11-04,15.07,15.26,14.96,15.21,,200500.0
1999-11-05,15.32,15.97,15.26,15.59,,365500.0
1999-11-08,15.56,15.86,15.5,15.83,,303600.0
1999-11-09,16.02,16.08,15.64,15.64,,515400.0
1999-11-10,15.6,15.6,15.32,15.34,,205300.0
1999-11-11,15.34,15.53,15.1,15.13,,237800.0
1999-11-12,15.18,15.56,15.18,15.45,,153800.0
1999-11-15,15.43,15.45,14.88,15.24,,204800.0
1999-11-16,15.26,15.61,15.24,15.43,,368300.0
1999-11-17,15.34,15.4,14.88,15.05,,174900.0
1999-11-18,15.02,15.07,14.85,14.94,,221300.0
1999-11-19,14.88,15.1,14.67,14.99,,697900.0
1999-11-22,14.98,15.05,14.8,14.96,,287200.0
1999-11-23,14.94,15.05,14.75,14.75,,306000.0
1999-11-24,14.79,15.15,14.72,14.94,,398200.0
1999-11-26,14.91,14.91,14.4,14.4,,94400.0
1999-11-29,14.37,14.59,13.75,14.59,,979600.0
1999-11-30,14.53,14.61,14.13,14.5,,216000.0
1999-12-01,14.26,14.4,14.1,14.13,,226200.0
1999-12-02,14.13,14.34,13.72,13.75,,224900.0
1999-12-03,13.75,14.59,13.72,13.96,,578000.0
1999-12-06,14.02,14.07,13.88,13.96,,766800.0
1999-12-07,13.94,14.5,13.88,13.99,,335000.0
1999-12-08,13.96,14.26,13.94,13.96,,262800.0
1999-12-09,13.99,14.02,13.4,13.69,,161000.0
1999-12-10,13.71,13.96,13.69,13.83,,168400.0
1999-12-13,13.77,13.85,13.77,13.85,,367200.0
1999-12-14,13.8,14.18,13.8,13.91,,370800.0
1999-12-15,13.88,14.04,13.77,13.77,,544200.0
1999-12-16,13.82,13.82,13.33,13.38,,590300.0
1999-12-17,13.55,13.77,13.38,13.74,,703100.0
1999-12-20,13.77,13.88,13.44,13.44,,480900.0
1999-12-21,13.63,14.31,13.33,14.31,,372400.0
1999-12-22,14.15,14.36,14.09,14.2,,188000.0
1999-12-23,14.23,14.53,14.13,14.2,,137900.0
1999-12-27,14.09,14.2,13.11,13.11,,546800.0
1999-12-28,13.22,13.74,13.17,13.38,,171100.0
1999-12-29,13.33,13.55,13.33,13.49,,153500.0
1999-12-30,13.52,13.6,13.36,13.55,,123900.0
1999-12-31,13.6,13.66,13.28,13.58,,73600.0
2000-01-03,13.44,13.45,13.17,13.29,,323000.0
2000-01-04,13.11,13.28,12.95,13.28,,472100.0
2000-01-05,13.22,13.58,13.22,13.44,,333000.0
2000-01-06,13.38,13.72,13.36,13.49,,574200.0
2000-01-07,13.52,13.77,13.49,13.77,,302900.0
2000-01-10,13.71,13.79,13.38,13.38,,352500.0
2000-01-11,13.44,13.49,13.11,13.28,,296200.0
2000-01-12,13.22,13.71,13.11,13.38,,754500.0
2000-01-13,13.45,13.6,13.08,13.55,,156400.0
2000-01-14,13.55,13.77,13.22,13.22,,251600.0
2000-01-18,13.22,13.38,12.76,12.84,,367300.0
2000-01-19,12.92,13.33,12.84,13.01,,775700.0
2000-01-20,12.92,13.14,12.6,12.6,,342900.0
2000-01-21,13.06,13.19,12.9,13.08,,664600.0
2000-01-24,13.17,13.17,12.9,12.94,,384000.0
2000-01-25,12.9,13.11,12.81,12.87,,266300.0
2000-01-26,12.9,13.25,12.9,13.19,,397200.0
2000-01-27,13.17,13.25,12.62,12.68,,194200.0
2000-01-28,12.62,12.62,11.92,12.03,,268800.0
2000-01-31,12.04,12.84,11.97,12.51,,303200.0
2000-02-01,12.51,13.11,12.3,12.65,,449100.0
2000-02-02,12.54,12.54,12.08,12.43,,259700.0
2000-02-03,12.46,13.06,12.35,12.84,,392800.0
2000-02-04,12.81,13.28,12.79,13.01,,659700.0
2000-02-07,13.01,13.07,12.51,12.54,,761500.0
2000-02-08,12.51,12.95,12.51,12.51,,414800.0
2000-02-09,12.46,13.06,12.46,12.74,,559100.0
2000-02-10,12.66,12.68,12.54,12.61,,474400.0
2000-02-11,12.65,12.65,12.43,12.57,,294200.0
2000-02-14,12.57,12.65,12.49,12.5,,373100.0
2000-02-15,12.57,13.14,12.49,13.14,,543000.0
2000-02-16,13.11,13.25,13.03,13.19,,465800.0
2000-02-17,13.21,13.52,13.17,13.38,,329600.0
2000-02-18,13.41,13.44,13.06,13.36,,590500.0
2000-02-22,13.28,13.71,13.19,13.3,,401500.0
2000-02-23,13.3,13.63,13.28,13.44,,536300.0
2000-02-24,13.41,13.49,13.14,13.14,,389600.0
2000-02-25,13.14,13.38,12.95,12.95,,309100.0
2000-02-28,13.02,13.36,13.01,13.03,,297800.0
2000-02-29,13.02,13.19,13.01,13.01,,347700.0
2000-03-01,13.01,13.22,12.92,13.22,,543600.0
2000-03-02,13.11,14.04,13.06,13.82,,771800.0
2000-03-03,13.96,14.04,13.49,13.85,,284200.0
2000-03-06,13.79,13.9,12.62,12.79,,408600.0
2000-03-07,12.87,12.88,11.97,12.21,,431600.0
2000-03-08,12.3,12.34,11.43,11.62,,361000.0
2000-03-09,11.62,12.24,11.4,12.24,,690200.0
2000-03-10,12.19,12.19,11.7,11.7,,526000.0
2000-03-13,11.48,12.0,11.48,11.92,,408600.0
2000-03-14,11.92,11.97,11.53,11.85,,306900.0
2000-03-15,11.84,12.57,11.81,12.51,,347400.0
2000-03-16,12.55,14.04,12.51,14.01,,592900.0
2000-03-17,13.93,14.15,13.41,13.49,,818600.0
2000-03-20,13.33,14.09,13.33,13.9,,434100.0
2000-03-21,13.92,14.75,13.85,14.17,,348700.0
2000-03-22,14.26,14.34,13.9,14.04,,316100.0
2000-03-23,13.99,14.29,13.68,14.26,,381300.0
2000-03-24,14.17,14.94,14.01,14.89,,201400.0
2000-03-27,14.67,14.89,13.93,14.07,,196700.0
2000-03-28,14.07,14.62,13.63,14.45,,376600.0
2000-03-29,14.23,14.67,14.2,14.66,,514900.0
2000-03-30,14.53,15.54,14.51,15.41,,427500.0
2000-03-31,15.38,16.63,15.33,16.48,,700400.0
2000-04-03,16.41,17.35,16.34,17.05,,1405400.0
2000-04-04,16.91,17.27,16.87,17.09,,809400.0
2000-04-05,17.05,17.51,16.91,17.49,,493000.0
