time,open,high,low,close,Volume,volume
1999-11-01,17.71,18.41,17.7,18.1,,1395000.0
1999-11-02,17.83,17.9,17.49,17.55,,1682600.0
1999-11-03,17.42,17.42,16.69,16.91,,1832600.0
1999-11-04,16.95,17.02,16.58,16.71,,1670600.0
1999-11-05,16.91,17.0,16.62,16.87,,1047900.0
1999-11-08,16.8,17.17,16.8,17.11,,992400.0
1999-11-09,17.31,17.33,16.71,16.71,,796000.0
1999-11-10,16.58,17.13,16.54,17.06,,956000.0
1999-11-11,17.04,17.17,16.89,16.98,,1559400.0
1999-11-12,17.06,17.09,16.8,16.96,,724000.0
1999-11-15,16.87,17.15,16.8,17.02,,1044400.0
1999-11-16,17.02,17.06,16.76,16.76,,1084000.0
1999-11-17,16.91,16.98,16.73,16.8,,1539500.0
1999-11-18,16.76,16.78,16.45,16.62,,856200.0
1999-11-19,16.54,16.76,16.43,16.65,,1682900.0
1999-11-22,16.63,16.69,16.32,16.58,,1075500.0
1999-11-23,16.54,16.84,16.29,16.47,,1021200.0
1999-11-24,16.32,16.63,16.18,16.29,,1418000.0
1999-11-26,16.32,16.32,15.96,16.07,,608600.0
1999-11-29,15.74,16.0,15.59,15.94,,1753000.0
1999-11-30,16.01,16.62,15.96,16.07,,1891300.0
1999-12-01,15.78,16.45,15.66,16.13,,1678400.0
1999-12-02,16.32,16.6,16.14,16.51,,1691700.0
1999-12-03,17.13,17.4,16.98,17.0,,1634200.0
1999-12-06,17.13,17.48,17.06,17.28,,1157900.0
1999-12-07,17.24,17.29,16.62,16.87,,1397700.0
1999-12-08,17.13,17.2,16.65,16.95,,995500.0
1999-12-09,17.28,17.53,16.85,17.31,,988600.0
1999-12-10,17.39,17.81,17.24,17.64,,1286300.0
1999-12-13,17.64,17.71,17.42,17.42,,820800.0
1999-12-14,17.31,17.64,17.22,17.26,,1339000.0
1999-12-15,17.28,17.84,17.18,17.44,,1383600.0
1999-12-16,17.64,17.64,16.8,17.09,,1155600.0
1999-12-17,17.42,17.93,17.33,17.79,,2048800.0
1999-12-20,17.75,17.84,17.53,17.7,,745300.0
1999-12-21,17.68,17.9,17.33,17.59,,851900.0
1999-12-22,17.83,18.7,17.7,18.23,,1311500.0
1999-12-23,18.41,18.52,18.01,18.34,,630500.0
1999-12-27,18.19,18.45,17.83,18.45,,868200.0
1999-12-28,18.37,18.52,18.08,18.24,,575400.0
1999-12-29,18.26,18.26,18.01,18.15,,357600.0
1999-12-30,18.23,18.45,18.14,18.3,,436100.0
1999-12-31,18.37,19.03,18.32,19.03,,561500.0
2000-01-03,18.74,18.74,18.15,18.23,,1217400.0
2000-01-04,17.93,18.14,17.71,17.75,,1179200.0
2000-01-05,17.79,17.93,17.13,17.17,,1584700.0
2000-01-06,16.98,17.57,16.95,17.11,,2901100.0
2000-01-07,17.31,18.24,16.98,18.14,,2785100.0
2000-01-10,18.59,18.63,18.08,18.63,,1524800.0
2000-01-11,18.45,18.98,18.43,18.72,,1925400.0
2000-01-12,18.52,18.87,18.39,18.85,,1166300.0
2000-01-13,18.78,19.23,18.68,18.98,,1321500.0
2000-01-14,19.32,19.54,18.17,18.54,,2347900.0
2000-01-18,18.46,18.63,18.17,18.45,,1451000.0
2000-01-19,18.45,18.52,17.9,18.01,,1235100.0
2000-01-20,17.97,18.67,17.71,18.14,,1541000.0
2000-01-21,18.52,18.52,17.68,17.95,,1821100.0
2000-01-24,18.42,18.49,17.76,17.82,,1512400.0
2000-01-25,18.13,18.15,17.39,17.51,,964500.0
