time,open,high,low,close,Volume,volume
1999-11-01,6.99,7.02,6.83,6.92,,260000.0
1999-11-02,7.03,7.1,7.0,7.0,,180400.0
1999-11-03,6.55,6.55,6.25,6.34,,733200.0
1999-11-04,6.34,6.41,6.08,6.14,,507100.0
1999-11-05,6.19,6.19,6.02,6.06,,337200.0
1999-11-08,6.06,6.06,5.87,5.94,,233700.0
1999-11-09,5.94,5.94,5.72,5.73,,247500.0
1999-11-10,5.72,5.96,5.69,5.84,,338600.0
1999-11-11,5.93,5.93,5.82,5.82,,398900.0
1999-11-12,5.79,5.82,5.69,5.78,,272400.0
1999-11-15,5.75,6.0,5.69,5.98,,274400.0
1999-11-16,5.94,6.1,5.94,6.05,,178400.0
1999-11-17,6.03,6.06,5.82,5.83,,321800.0
1999-11-18,5.86,5.89,5.6,5.88,,362800.0
1999-11-19,5.88,6.0,5.79,5.89,,231700.0
1999-11-22,5.91,6.0,5.88,5.96,,196900.0
1999-11-23,6.01,6.01,5.87,5.94,,203000.0
1999-11-24,5.93,5.96,5.74,5.82,,130200.0
1999-11-26,5.84,6.06,5.75,5.81,,61000.0
1999-11-29,5.79,5.87,5.76,5.8,,180400.0
1999-11-30,5.76,5.76,5.55,5.62,,354100.0
1999-12-01,5.59,5.62,5.48,5.49,,264700.0
1999-12-02,5.53,5.63,5.49,5.5,,175500.0
1999-12-03,5.51,5.53,5.34,5.42,,418200.0
1999-12-06,5.54,5.61,5.49,5.53,,238800.0
1999-12-07,5.58,5.69,5.55,5.59,,303800.0
1999-12-08,5.55,5.58,5.44,5.55,,208500.0
1999-12-09,5.55,5.68,5.54,5.66,,351700.0
1999-12-10,5.66,5.75,5.66,5.71,,248700.0
1999-12-13,5.71,5.79,5.7,5.75,,149900.0
1999-12-14,5.75,5.8,5.68,5.73,,314900.0
1999-12-15,5.75,5.82,5.73,5.82,,379100.0
1999-12-16,5.82,5.98,5.79,5.97,,176500.0
1999-12-17,5.93,5.94,5.81,5.83,,185600.0
1999-12-20,5.9,5.9,5.7,5.74,,130100.0
1999-12-21,5.92,6.1,5.87,6.1,,290200.0
1999-12-22,6.1,6.48,6.1,6.32,,268600.0
1999-12-23,6.32,6.52,6.32,6.52,,169200.0
1999-12-27,6.52,6.59,6.41,6.45,,196300.0
1999-12-28,6.47,6.65,6.47,6.59,,204900.0
1999-12-29,6.59,6.66,6.54,6.59,,116100.0
1999-12-30,6.59,6.71,6.56,6.62,,78200.0
1999-12-31,6.65,6.73,6.58,6.71,,54400.0
2000-01-03,6.66,6.68,6.39,6.57,,193000.0
2000-01-04,6.56,6.56,6.32,6.39,,166900.0
2000-01-05,6.39,6.51,6.3,6.39,,214400.0
2000-01-06,6.18,6.66,5.78,6.62,,768000.0
2000-01-07,6.62,6.94,6.59,6.79,,501500.0
2000-01-10,6.76,6.92,6.64,6.89,,253700.0
2000-01-11,6.84,6.84,6.44,6.5,,192300.0
2000-01-12,6.5,6.65,6.46,6.52,,169400.0
2000-01-13,6.56,6.8,6.55,6.64,,152100.0
2000-01-14,6.67,6.7,6.48,6.48,,110800.0
2000-01-18,6.41,6.46,6.32,6.42,,127800.0
2000-01-19,6.42,6.42,6.26,6.27,,286700.0
2000-01-20,6.31,6.31,6.09,6.13,,143100.0
2000-01-21,6.17,6.25,5.87,5.97,,269900.0
2000-01-24,6.0,6.0,5.71,5.79,,258600.0
2000-01-25,5.76,5.79,5.58,5.63,,314700.0
2000-01-26,5.67,5.72,5.55,5.65,,561300.0
2000-01-27,5.61,5.61,5.41,5.53,,311700.0
2000-01-28,5.62,5.64,5.28,5.36,,422500.0
2000-01-31,5.33,5.41,5.24,5.31,,300700.0
2000-02-01,5.21,5.31,5.16,5.17,,262000.0
2000-02-02,5.17,5.25,5.08,5.08,,244900.0
2000-02-03,5.14,5.23,5.08,5.19,,621900.0
2000-02-04,5.19,5.25,5.19,5.21,,298500.0
2000-02-07,5.22,5.27,5.05,5.15,,336200.0
2000-02-08,5.19,5.28,5.09,5.13,,292500.0
2000-02-09,5.14,5.19,5.08,5.08,,227400.0
2000-02-10,5.08,5.13,5.03,5.09,,395200.0
2000-02-11,5.14,5.14,4.84,4.87,,319700.0
