time,open,high,low,close,Volume,volume
2001-12-13,1.19,1.47,1.19,1.43,,4697800.0
2001-12-14,1.43,1.44,1.37,1.39,,942267.0
2001-12-17,1.39,1.43,1.38,1.42,,146400.0
2001-12-18,1.41,1.45,1.39,1.44,,298800.0
2001-12-19,1.44,1.77,1.43,1.73,,279400.0
2001-12-20,1.7,1.9,1.65,1.65,,321267.0
2001-12-21,1.67,1.67,1.65,1.66,,270467.0
2001-12-24,1.66,1.69,1.63,1.66,,80667.0
2001-12-26,1.66,1.72,1.65,1.69,,176267.0
2001-12-27,1.71,1.74,1.69,1.73,,197667.0
2001-12-28,1.72,1.82,1.72,1.79,,92400.0
2001-12-31,1.82,1.93,1.77,1.83,,37600.0
2002-01-02,1.89,1.89,1.82,1.83,,120667.0
2002-01-03,1.82,1.84,1.82,1.83,,27400.0
2002-01-04,1.84,1.84,1.78,1.81,,45800.0
2002-01-07,1.79,1.81,1.7,1.71,,65800.0
2002-01-08,1.72,1.77,1.71,1.77,,98667.0
2002-01-09,1.77,1.77,1.73,1.73,,58067.0
2002-01-10,1.74,1.74,1.65,1.71,,46000.0
2002-01-11,1.69,1.81,1.69,1.77,,16200.0
2002-01-14,1.78,1.78,1.73,1.75,,10800.0
2002-01-15,1.75,1.75,1.73,1.75,,7867.0
2002-01-16,1.75,1.75,1.67,1.67,,12467.0
2002-01-17,1.67,1.71,1.52,1.63,,86400.0
2002-01-18,1.61,1.64,1.59,1.62,,69467.0
2002-01-22,1.61,1.68,1.6,1.68,,39200.0
2002-01-23,1.66,1.81,1.66,1.81,,19267.0
2002-01-24,1.8,1.82,1.75,1.8,,9000.0
2002-01-25,1.8,1.8,1.76,1.8,,21067.0
2002-01-28,1.79,1.79,1.65,1.69,,115400.0
2002-01-29,1.69,1.75,1.69,1.71,,61867.0
2002-01-30,1.71,1.71,1.68,1.68,,89000.0
2002-01-31,1.67,1.7,1.51,1.54,,269600.0
2002-02-01,1.6,1.67,1.58,1.62,,151467.0
2002-02-04,1.62,1.63,1.55,1.57,,608800.0
2002-02-05,1.57,1.59,1.57,1.59,,3800.0
2002-02-06,1.59,1.68,1.59,1.68,,47600.0
2002-02-07,1.66,1.67,1.6,1.6,,8200.0
2002-02-08,1.6,1.6,1.6,1.6,,667.0
2002-02-11,1.63,1.65,1.6,1.6,,3000.0
2002-02-12,1.6,1.62,1.59,1.61,,4067.0
2002-02-13,1.6,1.6,1.56,1.56,,69800.0
2002-02-14,1.57,1.61,1.57,1.61,,11600.0
2002-02-15,1.59,1.6,1.55,1.58,,80267.0
2002-02-19,1.59,1.59,1.56,1.56,,2600.0
2002-02-20,1.56,1.59,1.56,1.57,,30267.0
2002-02-21,1.58,1.6,1.56,1.58,,46200.0
2002-02-22,1.58,1.59,1.57,1.57,,47600.0
2002-02-25,1.58,1.59,1.56,1.57,,172467.0
2002-02-26,1.57,1.59,1.57,1.58,,18800.0
2002-02-27,1.57,1.58,1.56,1.57,,110667.0
2002-02-28,1.57,1.57,1.56,1.56,,119400.0
2002-03-01,1.57,1.58,1.56,1.56,,96667.0
2002-03-04,1.57,1.58,1.55,1.57,,55400.0
2002-03-05,1.57,1.59,1.57,1.57,,25867.0
