time,open,high,low,close,Volume,volume
1999-11-01,9.33,9.42,9.27,9.38,,153100.0
1999-11-02,9.38,9.57,9.35,9.35,,506600.0
1999-11-03,9.35,9.44,9.31,9.44,,844600.0
1999-11-04,9.44,9.59,9.25,9.42,,688300.0
1999-11-05,9.42,9.57,9.42,9.53,,522400.0
1999-11-08,9.51,9.55,9.42,9.53,,713600.0
1999-11-09,9.51,9.53,9.27,9.31,,269600.0
1999-11-10,9.23,9.29,9.1,9.16,,398400.0
1999-11-11,9.1,9.16,8.99,9.08,,363000.0
1999-11-12,9.07,9.16,9.01,9.14,,1756200.0
1999-11-15,9.05,9.07,8.95,8.95,,680400.0
1999-11-16,9.01,9.1,8.95,9.03,,670900.0
1999-11-17,9.01,9.07,8.97,9.07,,756600.0
1999-11-18,9.03,9.12,8.92,9.01,,582800.0
1999-11-19,8.92,8.95,8.77,8.92,,1196400.0
1999-11-22,8.82,8.88,8.6,8.6,,740000.0
1999-11-23,8.55,8.62,8.42,8.51,,704900.0
1999-11-24,8.55,8.64,8.51,8.6,,423000.0
1999-11-26,8.53,8.53,8.45,8.45,,225100.0
1999-11-29,8.38,8.38,8.18,8.3,,797800.0
1999-11-30,8.32,8.66,8.3,8.62,,1628600.0
1999-12-01,8.58,8.62,8.47,8.62,,614000.0
1999-12-02,8.6,8.66,8.55,8.62,,522000.0
1999-12-03,8.6,8.71,8.47,8.51,,692700.0
1999-12-06,8.42,8.51,8.34,8.36,,474400.0
1999-12-07,8.3,8.38,8.21,8.25,,479200.0
1999-12-08,8.18,8.18,7.99,8.1,,1069800.0
1999-12-09,8.1,8.12,7.97,7.99,,515400.0
1999-12-10,7.99,8.14,7.99,8.14,,797400.0
1999-12-13,8.12,8.14,7.95,8.03,,921700.0
1999-12-14,7.99,8.14,7.95,8.01,,571700.0
1999-12-15,7.97,8.27,7.97,8.18,,821900.0
1999-12-16,8.18,8.21,8.06,8.08,,479800.0
1999-12-17,8.03,8.2,7.99,8.14,,1053400.0
1999-12-20,8.08,8.1,8.01,8.1,,561500.0
1999-12-21,8.01,8.23,7.99,8.1,,611400.0
1999-12-22,8.06,8.12,7.95,8.1,,509200.0
1999-12-23,8.14,8.18,8.1,8.14,,353400.0
1999-12-27,8.08,8.16,8.01,8.06,,329300.0
1999-12-28,8.01,8.1,8.01,8.03,,450800.0
1999-12-29,8.08,8.08,7.9,7.95,,339000.0
1999-12-30,7.92,7.97,7.9,7.95,,644400.0
1999-12-31,7.95,7.99,7.92,7.95,,183400.0
2000-01-03,7.9,7.92,7.68,7.73,,682300.0
2000-01-04,7.68,7.84,7.68,7.82,,1258000.0
2000-01-05,7.8,8.3,7.8,8.14,,780700.0
2000-01-06,8.25,8.34,8.18,8.18,,1140500.0
2000-01-07,8.27,8.38,8.23,8.32,,674600.0
2000-01-10,8.27,8.32,8.18,8.21,,307900.0
2000-01-11,8.16,8.25,8.06,8.14,,631000.0
2000-01-12,8.06,8.32,8.06,8.27,,412400.0
2000-01-13,8.27,8.32,8.14,8.25,,633700.0
2000-01-14,8.08,8.14,8.03,8.03,,506800.0
2000-01-18,7.99,8.08,7.9,7.97,,518100.0
2000-01-19,7.92,8.1,7.92,8.03,,431700.0
2000-01-20,7.99,8.01,7.9,7.95,,367600.0
2000-01-21,7.99,8.06,7.9,8.01,,875100.0
2000-01-24,8.01,8.03,7.77,7.8,,663200.0
2000-01-25,7.88,7.95,7.36,7.45,,799400.0
2000-01-26,7.49,7.8,7.43,7.75,,897800.0
2000-01-27,7.71,7.88,7.71,7.8,,481100.0
2000-01-28,7.73,7.86,7.62,7.71,,793000.0
2000-01-31,7.73,7.92,7.71,7.92,,435300.0
2000-02-01,7.9,7.92,7.68,7.75,,365600.0
2000-02-02,7.86,7.88,7.75,7.82,,613200.0
2000-02-03,7.99,8.38,7.95,8.36,,1693300.0
2000-02-04,8.36,8.36,7.99,8.1,,1217700.0
2000-02-07,8.06,8.08,7.92,7.99,,537800.0
2000-02-08,7.99,8.08,7.97,8.06,,744100.0
2000-02-09,8.06,8.12,8.03,8.06,,978400.0
2000-02-10,8.08,8.21,7.97,8.01,,1032600.0
2000-02-11,7.99,8.01,7.75,7.82,,1212800.0
2000-02-14,7.88,7.99,7.86,7.88,,2345300.0
2000-02-15,7.91,7.91,7.7,7.81,,472500.0
2000-02-16,7.79,7.81,7.66,7.7,,469800.0
2000-02-17,7.7,7.75,7.49,7.53,,414300.0
2000-02-18,7.46,7.51,7.33,7.49,,726500.0
2000-02-22,7.55,7.7,7.49,7.49,,1409000.0
2000-02-23,7.51,7.55,7.42,7.51,,744200.0
2000-02-24,7.49,7.57,7.09,7.24,,1280000.0
2000-02-25,7.38,7.38,7.11,7.15,,1045300.0
2000-02-28,7.2,7.38,7.11,7.33,,1283500.0
2000-02-29,7.38,7.4,7.22,7.26,,606900.0
2000-03-01,7.28,7.35,7.15,7.22,,700400.0
2000-03-02,7.15,7.31,7.11,7.31,,1009000.0
2000-03-03,7.33,7.51,7.31,7.44,,995100.0
2000-03-06,7.4,7.46,7.09,7.11,,1681100.0
2000-03-07,7.11,7.22,6.98,7.02,,1897900.0
2000-03-08,7.0,7.44,6.98,7.26,,1658100.0
2000-03-09,7.24,7.46,7.24,7.46,,1034900.0
2000-03-10,7.42,7.51,7.33,7.46,,697300.0
2000-03-13,7.59,7.7,7.46,7.68,,915000.0
2000-03-14,7.62,7.62,7.49,7.51,,699300.0
2000-03-15,7.46,8.08,7.46,8.02,,677700.0
2000-03-16,8.02,8.7,7.91,8.61,,906200.0
2000-03-17,8.61,8.61,8.28,8.28,,734000.0
2000-03-20,8.23,8.32,8.02,8.04,,809500.0
2000-03-21,8.1,8.26,7.95,8.17,,630900.0
2000-03-22,8.08,8.1,7.77,7.81,,733600.0
2000-03-23,7.79,7.95,7.79,7.93,,584800.0
2000-03-24,7.93,8.06,7.73,7.84,,756100.0
2000-03-27,7.81,7.95,7.79,7.91,,617200.0
2000-03-28,7.84,7.91,7.66,7.68,,509400.0
2000-03-29,7.68,7.95,7.66,7.86,,373600.0
2000-03-30,7.91,8.08,7.88,7.99,,514300.0
2000-03-31,7.91,8.32,7.86,8.32,,823700.0
2000-04-03,8.12,8.23,8.1,8.12,,444700.0
2000-04-04,8.17,8.52,8.15,8.44,,824300.0
2000-04-05,8.46,8.83,8.37,8.5,,544600.0
2000-04-06,8.5,8.5,7.95,8.06,,1024500.0
2000-04-07,8.3,8.44,7.93,7.97,,759200.0
2000-04-10,7.95,8.44,7.95,8.41,,670200.0
2000-04-11,8.52,8.74,8.48,8.59,,1314400.0
2000-04-12,8.7,9.21,8.7,9.07,,1554700.0
2000-04-13,9.07,9.5,9.05,9.5,,1513300.0
2000-04-14,9.47,9.52,9.16,9.23,,989100.0
2000-04-17,9.18,9.36,8.94,9.36,,993400.0
2000-04-18,9.27,9.36,9.14,9.16,,578600.0
2000-04-19,9.18,9.18,8.94,9.18,,724100.0
2000-04-20,9.14,9.36,9.14,9.36,,551900.0
2000-04-24,9.34,9.71,9.34,9.67,,928800.0
2000-04-25,9.67,9.71,9.47,9.71,,1602700.0
2000-04-26,9.71,10.0,9.69,9.93,,617600.0
2000-04-27,9.89,10.05,9.58,9.65,,812300.0
2000-04-28,9.63,9.69,9.27,9.4,,797700.0
2000-05-01,9.4,9.45,9.32,9.38,,309200.0
2000-05-02,9.23,9.45,9.14,9.14,,737500.0
2000-05-03,9.25,9.27,9.1,9.16,,517600.0
2000-05-04,9.18,9.34,8.92,9.25,,804800.0
2000-05-05,9.18,9.23,8.99,9.01,,394300.0
2000-05-08,9.01,9.45,9.01,9.34,,831700.0
2000-05-09,9.4,9.4,9.21,9.27,,724700.0
2000-05-10,9.27,9.54,9.25,9.5,,1160800.0
2000-05-11,9.52,9.67,9.5,9.65,,1136400.0
2000-05-12,9.69,9.76,9.67,9.69,,1021600.0
2000-05-15,9.65,9.81,9.51,9.78,,1268800.0
