time,open,high,low,close,Volume,volume
1999-11-01,38.55,38.83,36.26,36.85,,1882000.0
1999-11-02,36.71,38.87,36.71,37.45,,1329000.0
1999-11-03,37.59,38.14,37.08,37.26,,728100.0
1999-11-04,37.26,38.32,37.22,37.95,,1028300.0
1999-11-05,40.02,40.29,38.96,39.01,,2151800.0
1999-11-08,38.96,39.01,36.34,36.67,,2952500.0
1999-11-09,37.26,37.59,36.02,36.3,,1022400.0
1999-11-10,36.02,36.39,33.41,33.41,,1346200.0
1999-11-11,33.77,34.28,33.41,33.59,,2689400.0
1999-11-12,34.42,37.49,34.42,37.17,,1298300.0
1999-11-15,37.17,37.45,36.26,36.85,,815200.0
1999-11-16,37.1,38.61,37.1,38.06,,996800.0
1999-11-17,37.93,37.93,36.14,36.27,,1016400.0
1999-11-18,36.73,36.91,35.77,36.64,,855700.0
1999-11-19,36.46,36.96,36.04,36.73,,604100.0
1999-11-22,36.73,36.73,35.08,35.31,,683400.0
1999-11-23,35.22,35.26,34.16,34.71,,673600.0
1999-11-24,34.44,34.71,34.02,34.57,,317800.0
1999-11-26,34.39,34.99,34.3,34.75,,207100.0
1999-11-29,34.57,34.57,33.38,33.7,,758800.0
1999-11-30,33.52,34.89,33.28,34.2,,1566700.0
1999-12-01,34.62,34.75,33.75,34.09,,1384700.0
1999-12-02,33.61,35.36,33.61,35.22,,1079400.0
1999-12-03,36.55,37.42,36.41,37.28,,1167600.0
1999-12-06,37.83,37.83,36.36,37.24,,1094200.0
1999-12-07,37.46,37.46,34.94,36.14,,1297600.0
1999-12-08,36.32,36.59,35.49,35.63,,564000.0
1999-12-09,36.27,36.87,34.48,35.44,,1351300.0
1999-12-10,36.0,36.69,35.54,36.32,,1413000.0
1999-12-13,36.18,36.73,36.09,36.69,,729500.0
1999-12-14,36.55,36.73,35.03,35.54,,1569600.0
1999-12-15,35.54,35.63,34.39,34.48,,886500.0
1999-12-16,34.3,34.44,32.83,34.12,,1128700.0
1999-12-17,34.16,34.89,34.07,34.16,,912600.0
1999-12-20,34.2,34.85,33.89,33.93,,463900.0
1999-12-21,33.93,34.3,33.28,33.89,,826000.0
1999-12-22,33.75,33.98,33.56,33.75,,415600.0
1999-12-23,33.89,34.3,33.7,33.89,,471500.0
1999-12-27,33.79,34.81,33.79,33.98,,977700.0
1999-12-28,33.98,34.53,33.98,34.25,,528400.0
1999-12-29,34.25,34.62,34.25,34.39,,320100.0
1999-12-30,34.3,35.26,34.3,35.03,,298400.0
1999-12-31,34.99,35.58,34.94,35.4,,296200.0
2000-01-03,35.35,35.4,33.15,33.93,,886900.0
2000-01-04,33.24,33.28,31.5,31.82,,1221700.0
2000-01-05,31.82,31.87,30.67,31.13,,1361900.0
2000-01-06,31.08,32.65,30.9,32.51,,2482300.0
2000-01-07,32.51,33.93,31.68,33.42,,1206500.0
2000-01-10,33.42,33.84,32.97,33.01,,855800.0
2000-01-11,32.87,33.42,31.77,31.96,,1511400.0
2000-01-12,31.96,32.69,31.87,32.37,,1151400.0
2000-01-13,32.6,33.38,32.28,33.2,,417700.0
2000-01-14,33.93,35.26,33.7,34.39,,1260600.0
2000-01-18,32.32,33.28,30.85,31.22,,2612600.0
2000-01-19,32.14,32.18,31.4,31.87,,1942600.0
2000-01-20,31.73,31.96,30.85,31.13,,1163600.0
2000-01-21,31.73,31.77,29.98,30.4,,1324500.0
2000-01-24,30.35,30.49,30.03,30.21,,1058900.0
2000-01-25,30.12,30.16,29.38,29.43,,986100.0
2000-01-26,29.48,31.32,29.48,30.81,,1009300.0
2000-01-27,30.85,31.68,29.89,30.49,,1583200.0
2000-01-28,30.3,30.3,29.24,29.43,,539500.0
2000-01-31,28.83,30.26,28.79,30.12,,500800.0
2000-02-01,30.49,30.53,29.38,29.52,,628200.0
2000-02-02,29.94,29.98,28.83,29.24,,534400.0
2000-02-03,29.75,29.98,28.38,28.75,,865700.0
2000-02-04,29.48,29.48,28.28,28.33,,611000.0
2000-02-07,28.26,28.9,27.48,27.89,,910600.0
2000-02-08,28.21,28.49,27.16,27.48,,1017700.0
2000-02-09,27.2,27.24,25.59,25.73,,1668300.0
2000-02-10,25.73,26.05,24.26,24.63,,2143700.0
2000-02-11,24.63,25.04,23.89,24.72,,1962100.0
2000-02-14,24.54,25.18,24.26,25.13,,1369200.0
2000-02-15,25.32,27.43,25.04,27.24,,1852600.0
2000-02-16,28.12,28.81,27.2,27.57,,2593200.0
2000-02-17,27.75,27.89,26.93,27.02,,1183700.0
