time,open,high,low,close,Volume,volume
1999-11-01,2.86,2.86,2.54,2.59,,499000.0
1999-11-02,2.56,2.69,2.56,2.56,,333900.0
1999-11-03,2.62,2.64,2.22,2.48,,1129400.0
1999-11-04,2.5,2.5,2.42,2.46,,1844000.0
1999-11-05,2.46,2.49,2.36,2.38,,503100.0
1999-11-08,2.31,2.46,2.31,2.4,,357900.0
1999-11-09,2.47,2.5,2.29,2.46,,983100.0
1999-11-10,2.47,2.59,2.43,2.55,,940000.0
1999-11-11,2.56,2.56,2.41,2.44,,268300.0
1999-11-12,2.43,2.49,2.41,2.48,,255300.0
1999-11-15,2.48,2.58,2.47,2.5,,780800.0
1999-11-16,2.51,2.54,2.4,2.44,,1008100.0
1999-11-17,2.44,2.44,2.41,2.42,,302300.0
1999-11-18,2.44,2.67,2.43,2.61,,1406000.0
1999-11-19,2.61,2.62,2.58,2.59,,691900.0
1999-11-22,2.55,2.59,2.5,2.5,,293900.0
1999-11-23,2.5,2.5,2.31,2.33,,544800.0
1999-11-24,2.31,2.35,2.29,2.33,,527900.0
1999-11-26,2.33,2.35,2.31,2.33,,171100.0
1999-11-29,2.33,2.34,2.26,2.31,,393000.0
1999-11-30,2.31,2.36,2.31,2.34,,257800.0
1999-12-01,2.36,2.37,2.34,2.35,,347100.0
1999-12-02,2.33,2.34,2.28,2.29,,227000.0
1999-12-03,2.27,2.29,2.18,2.22,,677300.0
1999-12-06,2.22,2.27,2.22,2.26,,196600.0
1999-12-07,2.23,2.26,2.18,2.23,,253200.0
1999-12-08,2.26,2.26,2.21,2.23,,400800.0
1999-12-09,2.22,2.26,2.22,2.24,,376600.0
1999-12-10,2.27,2.43,2.26,2.43,,348100.0
1999-12-13,2.43,2.43,2.35,2.35,,371400.0
1999-12-14,2.4,2.54,2.36,2.47,,364600.0
1999-12-15,2.41,2.47,2.33,2.47,,319000.0
1999-12-16,2.43,2.44,2.36,2.36,,467600.0
1999-12-17,2.44,2.46,2.38,2.42,,316100.0
1999-12-20,2.43,2.46,2.37,2.4,,202400.0
1999-12-21,2.4,2.54,2.4,2.47,,290400.0
1999-12-22,2.46,2.47,2.41,2.43,,537500.0
1999-12-23,2.44,2.54,2.43,2.53,,260700.0
1999-12-27,2.6,2.69,2.59,2.62,,277900.0
1999-12-28,2.64,2.93,2.63,2.86,,591800.0
1999-12-29,2.86,2.86,2.78,2.78,,169000.0
1999-12-30,2.79,2.88,2.76,2.87,,189200.0
1999-12-31,2.87,2.88,2.83,2.87,,66600.0
2000-01-03,2.93,2.98,2.88,2.94,,696200.0
2000-01-04,2.79,2.8,2.64,2.74,,236000.0
2000-01-05,2.76,3.06,2.74,2.95,,202600.0
2000-01-06,3.02,3.23,2.89,3.18,,673800.0
2000-01-07,3.18,3.59,3.14,3.59,,635900.0
2000-01-10,3.59,3.9,3.59,3.68,,633600.0
2000-01-11,3.76,3.87,3.7,3.8,,636300.0
2000-01-12,3.8,3.8,3.71,3.8,,271400.0
2000-01-13,3.8,4.5,3.8,4.48,,562000.0
2000-01-14,4.35,4.4,4.11,4.19,,600800.0
2000-01-18,4.01,4.14,3.97,4.01,,919100.0
2000-01-19,4.01,4.06,3.98,4.03,,253800.0
2000-01-20,3.96,3.97,3.78,3.81,,418500.0
2000-01-21,3.71,3.73,3.54,3.64,,346000.0
2000-01-24,3.68,3.76,3.61,3.67,,214400.0
2000-01-25,3.67,3.67,3.45,3.54,,168100.0
2000-01-26,3.54,3.54,3.38,3.43,,155300.0
2000-01-27,3.45,3.68,3.43,3.54,,850700.0
2000-01-28,3.59,3.61,3.51,3.54,,386300.0
2000-01-31,3.54,3.55,3.41,3.43,,147100.0
2000-02-01,3.73,3.81,3.47,3.53,,386700.0
2000-02-02,3.48,3.61,3.48,3.57,,391100.0
2000-02-03,3.54,3.57,3.5,3.54,,331200.0
2000-02-04,3.54,3.54,3.43,3.48,,176800.0
2000-02-07,3.44,3.47,3.43,3.46,,132000.0
2000-02-08,3.47,3.47,3.35,3.38,,174200.0
2000-02-09,3.33,3.33,3.12,3.26,,362400.0
2000-02-10,3.23,3.26,3.16,3.22,,150600.0
2000-02-11,3.22,3.22,3.08,3.12,,145200.0
2000-02-14,3.19,3.19,3.02,3.09,,222900.0
2000-02-15,3.09,3.09,2.96,3.0,,679900.0
2000-02-16,2.99,3.02,2.98,3.01,,504100.0
2000-02-17,3.01,3.16,2.99,3.16,,333700.0
2000-02-18,3.16,3.16,2.92,2.96,,2636400.0
2000-02-22,2.98,3.02,2.94,2.98,,353900.0
2000-02-23,2.98,2.98,2.91,2.93,,165500.0
2000-02-24,2.92,2.92,2.82,2.83,,269800.0
2000-02-25,2.78,2.8,2.6,2.64,,499400.0
2000-02-28,2.64,2.74,2.6,2.74,,714800.0
2000-02-29,2.74,2.76,2.73,2.75,,827000.0
2000-03-01,2.76,2.86,2.75,2.81,,342900.0
2000-03-02,2.82,2.85,2.81,2.82,,273200.0
2000-03-03,2.81,2.82,2.64,2.7,,380300.0
2000-03-06,2.75,2.79,2.62,2.62,,218100.0
2000-03-07,2.64,2.64,2.42,2.47,,336000.0
2000-03-08,2.47,2.48,2.36,2.44,,349100.0
2000-03-09,2.44,2.47,2.41,2.46,,391700.0
2000-03-10,2.44,2.5,2.44,2.46,,488600.0
2000-03-13,2.46,2.49,2.42,2.43,,241900.0
2000-03-14,2.43,2.43,2.27,2.27,,337500.0
2000-03-15,2.33,2.63,2.31,2.59,,540100.0
2000-03-16,2.6,3.08,2.6,3.08,,475100.0
2000-03-17,3.05,3.08,2.93,2.99,,211200.0
2000-03-20,2.98,3.09,2.95,3.01,,118300.0
2000-03-21,2.94,3.02,2.81,3.02,,517500.0
2000-03-22,3.2,3.2,3.02,3.02,,213800.0
2000-03-23,2.99,3.0,2.85,2.85,,496200.0
2000-03-24,2.85,2.93,2.76,2.83,,592900.0
2000-03-27,2.83,2.85,2.79,2.82,,72900.0
2000-03-28,2.8,2.88,2.76,2.82,,357400.0
2000-03-29,2.85,2.91,2.8,2.83,,123400.0
2000-03-30,2.8,2.81,2.68,2.74,,140800.0
2000-03-31,2.74,2.95,2.73,2.83,,445100.0
2000-04-03,2.82,2.86,2.76,2.76,,227100.0
2000-04-04,2.81,3.0,2.69,2.94,,585700.0
2000-04-05,2.92,3.11,2.89,3.03,,276900.0
2000-04-06,3.05,3.4,3.05,3.18,,184300.0
2000-04-07,3.18,3.35,3.11,3.16,,182800.0
2000-04-10,3.15,3.19,2.94,2.94,,94800.0
2000-04-11,3.07,3.26,3.07,3.22,,159600.0
2000-04-12,3.21,3.33,3.16,3.29,,137900.0
2000-04-13,3.28,3.4,3.26,3.36,,161300.0
2000-04-14,3.29,3.31,3.22,3.23,,262900.0
2000-04-17,3.06,3.28,3.02,3.28,,166200.0
2000-04-18,3.25,3.45,3.22,3.39,,121000.0
2000-04-19,3.41,3.5,3.36,3.41,,197700.0
2000-04-20,3.41,3.48,3.41,3.41,,101500.0
2000-04-24,3.4,3.41,3.31,3.38,,278100.0
2000-04-25,3.45,3.54,3.44,3.53,,215700.0
2000-04-26,3.51,3.68,3.51,3.6,,385700.0
2000-04-27,3.6,3.68,3.53,3.68,,122800.0
2000-04-28,3.71,3.78,3.67,3.78,,189700.0
2000-05-01,3.78,3.78,3.61,3.68,,214000.0
2000-05-02,3.68,3.68,3.41,3.41,,202000.0
2000-05-03,3.46,3.47,3.36,3.41,,183500.0
2000-05-04,3.44,3.45,3.4,3.45,,159900.0
2000-05-05,3.45,3.59,3.4,3.59,,157200.0
2000-05-08,3.54,3.54,3.45,3.52,,39600.0
2000-05-09,3.54,3.55,3.48,3.52,,87100.0
2000-05-10,3.43,3.48,3.33,3.44,,158300.0
2000-05-11,3.44,3.5,3.41,3.44,,137100.0
2000-05-12,3.44,3.44,3.34,3.34,,239300.0
2000-05-15,3.34,3.5,3.34,3.4,,186000.0
2000-05-16,3.39,3.78,3.39,3.78,,502900.0
2000-05-17,3.76,3.78,3.73,3.74,,155900.0
2000-05-18,3.68,3.83,3.68,3.79,,554900.0
2000-05-19,3.77,4.23,3.77,4.16,,741200.0
2000-05-22,4.16,4.24,4.01,4.13,,517200.0
2000-05-23,4.13,4.32,4.13,4.32,,407800.0
2000-05-24,4.33,4.91,4.32,4.82,,1307900.0
2000-05-25,4.79,4.9,4.7,4.78,,944300.0
2000-05-26,4.78,4.78,4.68,4.7,,452700.0
2000-05-30,4.63,4.82,4.63,4.71,,308800.0
2000-05-31,4.69,4.69,4.58,4.58,,338600.0
2000-06-01,4.63,4.85,4.56,4.79,,583400.0
2000-06-02,4.79,4.82,4.63,4.77,,286700.0
