time,open,high,low,close,Volume,volume
1999-11-01,2.41,2.44,2.34,2.34,,37100.0
1999-11-02,2.41,2.41,2.33,2.33,,3600.0
1999-11-03,2.38,2.43,2.35,2.36,,9800.0
1999-11-04,2.42,2.42,2.35,2.42,,173600.0
1999-11-05,2.47,2.47,2.3,2.4,,8400.0
1999-11-08,2.44,2.49,2.4,2.45,,60400.0
1999-11-09,2.4,2.4,2.25,2.29,,11400.0
1999-11-10,2.23,2.34,2.21,2.25,,18200.0
1999-11-11,2.27,2.3,2.23,2.25,,35800.0
1999-11-12,2.26,2.34,2.24,2.33,,32200.0
1999-11-15,2.32,2.32,2.27,2.3,,44000.0
1999-11-16,2.3,2.31,2.27,2.28,,25600.0
1999-11-17,2.26,2.26,2.25,2.26,,1000.0
1999-11-18,2.3,2.31,2.26,2.29,,57300.0
1999-11-19,2.28,2.29,2.27,2.27,,127200.0
1999-11-22,2.31,2.31,2.26,2.29,,100400.0
1999-11-23,2.27,2.34,2.26,2.34,,95200.0
1999-11-24,2.36,2.4,2.3,2.34,,210400.0
1999-11-26,2.32,2.34,2.3,2.3,,45300.0
1999-11-29,2.3,2.3,2.28,2.28,,2700.0
1999-11-30,2.27,2.31,2.27,2.3,,103900.0
1999-12-01,2.31,2.32,2.28,2.29,,96600.0
1999-12-02,2.31,2.31,2.27,2.29,,6800.0
1999-12-03,2.26,2.31,2.26,2.29,,24100.0
1999-12-06,2.31,2.33,2.26,2.31,,96800.0
1999-12-07,2.31,2.31,2.28,2.31,,36500.0
1999-12-08,2.31,2.31,2.2,2.2,,35000.0
1999-12-09,2.21,2.29,2.16,2.19,,160600.0
1999-12-10,2.1,2.19,1.98,2.19,,651100.0
1999-12-13,2.22,2.3,2.16,2.25,,28900.0
1999-12-14,2.26,2.35,2.26,2.26,,8400.0
1999-12-15,2.26,2.29,2.19,2.27,,100000.0
1999-12-16,2.25,2.47,2.25,2.4,,126000.0
1999-12-17,2.43,2.86,2.4,2.81,,241100.0
1999-12-20,2.81,2.88,2.79,2.86,,96900.0
1999-12-21,2.85,2.89,2.84,2.89,,76800.0
1999-12-22,2.89,3.02,2.89,3.02,,119500.0
1999-12-23,3.0,3.03,3.0,3.01,,26800.0
1999-12-27,3.02,3.02,2.93,3.02,,10400.0
1999-12-28,2.98,3.02,2.9,3.0,,18700.0
1999-12-29,2.98,3.02,2.95,3.01,,29400.0
1999-12-30,3.01,3.06,3.0,3.04,,75500.0
1999-12-31,3.01,3.59,3.01,3.59,,149300.0
2000-01-03,3.54,3.54,3.09,3.14,,132100.0
2000-01-04,3.2,3.24,3.11,3.24,,37200.0
2000-01-05,3.18,3.24,3.15,3.18,,81600.0
2000-01-06,3.12,3.15,3.1,3.1,,103400.0
2000-01-07,3.11,3.12,3.05,3.05,,19100.0
2000-01-10,3.05,3.1,3.05,3.07,,71600.0
2000-01-11,3.06,3.25,3.04,3.25,,91200.0
2000-01-12,3.31,3.4,3.3,3.36,,109000.0
2000-01-13,3.39,3.71,3.39,3.64,,156800.0
2000-01-14,3.77,4.02,3.62,3.8,,249300.0
2000-01-18,3.85,3.86,3.72,3.81,,48000.0
2000-01-19,3.81,3.97,3.81,3.95,,81700.0
2000-01-20,3.91,3.93,3.49,3.5,,23500.0
2000-01-21,3.49,3.87,3.49,3.86,,50800.0
2000-01-24,3.9,3.9,3.74,3.74,,43400.0
2000-01-25,3.74,3.74,3.71,3.73,,26700.0
2000-01-26,3.67,3.87,3.67,3.73,,110300.0
2000-01-27,3.67,3.8,3.62,3.67,,7300.0
2000-01-28,3.62,3.64,3.44,3.51,,55400.0
2000-01-31,3.51,3.51,3.18,3.23,,19300.0
2000-02-01,3.23,3.3,3.23,3.25,,53900.0
2000-02-02,3.24,3.26,3.18,3.24,,28300.0
2000-02-03,3.27,3.3,3.24,3.29,,198400.0
2000-02-04,3.29,3.6,3.29,3.49,,117800.0
2000-02-07,3.59,3.59,3.49,3.51,,93400.0
2000-02-08,3.55,3.62,3.46,3.61,,179600.0
2000-02-09,3.56,3.7,3.51,3.66,,243100.0
2000-02-10,3.63,3.72,3.59,3.71,,73000.0
2000-02-11,3.71,3.72,3.49,3.62,,27500.0
2000-02-14,3.64,3.64,3.48,3.48,,17200.0
2000-02-15,3.4,3.44,3.19,3.24,,55400.0
2000-02-16,3.24,3.28,3.18,3.23,,13900.0
2000-02-17,3.18,3.21,3.18,3.2,,17700.0
2000-02-18,3.19,3.19,3.09,3.09,,15500.0
2000-02-22,3.08,3.21,3.08,3.2,,72400.0
2000-02-23,3.19,3.66,3.19,3.62,,37800.0
2000-02-24,3.69,3.7,3.46,3.49,,43700.0
2000-02-25,3.46,3.51,3.46,3.51,,70800.0
2000-02-28,3.51,3.67,3.36,3.6,,108900.0
2000-02-29,3.52,3.7,3.52,3.64,,197500.0
2000-03-01,3.58,4.06,3.5,3.6,,219200.0
2000-03-02,3.62,3.65,3.48,3.65,,159000.0
2000-03-03,3.69,4.01,3.69,4.01,,82600.0
2000-03-06,4.11,4.28,4.08,4.2,,50300.0
2000-03-07,4.3,4.78,4.19,4.74,,149300.0
2000-03-08,4.54,4.74,4.53,4.57,,213600.0
2000-03-09,4.55,4.6,4.52,4.6,,56800.0
2000-03-10,4.52,4.82,4.52,4.8,,69300.0
2000-03-13,4.69,5.27,4.21,5.21,,232000.0
2000-03-14,5.13,5.37,4.7,4.85,,466500.0
2000-03-15,4.9,4.9,4.36,4.53,,118100.0
2000-03-16,4.53,4.95,4.53,4.95,,205900.0
2000-03-17,4.55,5.01,4.54,5.0,,219100.0
2000-03-20,5.0,5.0,4.9,4.94,,129200.0
2000-03-21,4.94,5.01,4.94,5.01,,146500.0
2000-03-22,4.94,4.99,4.76,4.78,,155000.0
2000-03-23,4.81,4.91,4.65,4.69,,146800.0
2000-03-24,4.65,4.65,4.5,4.6,,35300.0
2000-03-27,4.55,4.56,4.42,4.47,,23100.0
2000-03-28,4.45,4.45,4.1,4.1,,52000.0
2000-03-29,4.12,4.12,3.71,3.87,,69500.0
2000-03-30,3.96,3.96,3.67,3.71,,50800.0
2000-03-31,3.7,3.84,3.61,3.69,,79900.0
2000-04-03,3.77,3.77,3.6,3.67,,59000.0
2000-04-04,3.64,3.75,3.5,3.6,,142700.0
2000-04-05,3.62,3.67,3.4,3.46,,309400.0
2000-04-06,3.41,3.51,3.37,3.42,,216600.0
2000-04-07,3.5,3.96,3.47,3.86,,161700.0
2000-04-10,3.86,3.86,3.66,3.71,,45400.0
2000-04-11,3.45,3.68,3.41,3.51,,71600.0
2000-04-12,3.41,3.44,3.11,3.26,,43200.0
2000-04-13,3.25,3.25,2.94,3.08,,35700.0
2000-04-14,2.89,3.02,2.74,2.74,,76600.0
2000-04-17,2.7,2.9,2.7,2.81,,102900.0
2000-04-18,2.75,2.91,2.75,2.9,,54500.0
2000-04-19,2.87,2.94,2.84,2.84,,28400.0
2000-04-20,2.84,2.86,2.76,2.76,,16400.0
2000-04-24,2.76,2.76,2.66,2.66,,24000.0
2000-04-25,2.69,2.74,2.24,2.35,,25700.0
2000-04-26,2.35,2.53,2.35,2.5,,84400.0
2000-04-27,2.4,2.45,2.4,2.44,,93600.0
2000-04-28,2.41,2.45,2.39,2.4,,73200.0
2000-05-01,2.39,2.41,2.38,2.39,,36000.0
2000-05-02,2.38,2.38,2.05,2.08,,41800.0
2000-05-03,2.11,2.31,2.04,2.12,,62200.0
2000-05-04,2.15,2.21,2.12,2.12,,55600.0
2000-05-05,2.1,2.44,2.1,2.44,,21600.0
2000-05-08,2.38,2.42,2.22,2.42,,51800.0
2000-05-09,2.31,2.42,2.23,2.26,,13500.0
2000-05-10,2.2,2.2,2.11,2.11,,14100.0
2000-05-11,2.1,2.18,2.1,2.18,,80800.0
2000-05-12,2.17,2.32,2.16,2.17,,95200.0
2000-05-15,2.14,2.14,2.09,2.13,,40400.0
2000-05-16,2.09,2.3,2.09,2.17,,32400.0
2000-05-17,2.17,2.21,2.13,2.2,,36600.0
2000-05-18,2.22,2.4,2.21,2.4,,29600.0
2000-05-19,2.24,2.46,2.2,2.46,,23700.0
2000-05-22,2.34,2.34,2.22,2.23,,58500.0
2000-05-23,2.23,2.31,2.23,2.25,,71200.0
2000-05-24,2.24,2.24,2.09,2.23,,100100.0
2000-05-25,2.27,2.27,2.16,2.17,,59200.0
2000-05-26,2.16,2.19,2.09,2.1,,34100.0
2000-05-30,2.09,2.1,2.09,2.1,,29600.0
2000-05-31,2.09,2.11,2.09,2.09,,27900.0
2000-06-01,2.09,2.09,2.08,2.09,,24000.0
2000-06-02,2.08,2.26,2.08,2.26,,62800.0
2000-06-05,2.24,2.42,2.24,2.4,,68100.0
2000-06-06,2.35,2.36,2.29,2.29,,83600.0
2000-06-07,2.29,2.32,2.14,2.27,,116300.0
2000-06-08,2.27,2.4,2.24,2.39,,88300.0
2000-06-09,2.39,2.59,2.39,2.59,,32000.0
2000-06-12,2.62,2.78,2.4,2.41,,44400.0
2000-06-13,2.44,2.45,2.1,2.25,,132600.0
2000-06-14,2.29,2.6,2.25,2.6,,34200.0
2000-06-15,2.45,2.62,2.45,2.61,,55200.0
2000-06-16,2.52,2.65,2.52,2.62,,48500.0
2000-06-19,2.69,2.7,2.35,2.45,,50300.0
2000-06-20,2.48,2.49,2.46,2.47,,17600.0
2000-06-21,2.48,2.49,2.48,2.49,,1700.0
2000-06-22,2.49,2.49,2.45,2.48,,14800.0
2000-06-23,2.47,2.49,2.38,2.43,,43500.0
2000-06-26,2.37,2.49,2.37,2.49,,40400.0
2000-06-27,2.54,2.6,2.48,2.58,,66400.0
2000-06-28,2.58,2.62,2.25,2.62,,33500.0
2000-06-29,2.54,2.9,2.52,2.86,,94000.0
2000-06-30,2.82,2.87,2.47,2.51,,138800.0
2000-07-03,2.51,2.59,2.45,2.49,,14100.0
2000-07-05,2.55,2.61,2.54,2.56,,81700.0
2000-07-06,2.54,2.84,2.46,2.75,,167200.0
2000-07-07,2.72,2.72,2.49,2.64,,78200.0
2000-07-10,2.64,2.72,2.64,2.69,,66400.0
2000-07-11,2.73,2.73,2.69,2.7,,22900.0
