time,open,high,low,close,Volume,volume
1999-11-01,7.51,7.61,7.45,7.51,,394067.0
1999-11-02,7.51,7.55,7.25,7.31,,712600.0
1999-11-03,7.29,7.31,7.04,7.07,,650400.0
1999-11-04,7.05,7.13,6.87,7.02,,495000.0
1999-11-05,7.18,7.21,6.9,6.97,,716867.0
1999-11-08,6.97,7.03,6.95,6.97,,440800.0
1999-11-09,7.01,7.01,6.71,6.74,,689067.0
1999-11-10,6.71,6.77,6.53,6.63,,540667.0
1999-11-11,6.63,6.67,6.36,6.37,,737667.0
1999-11-12,6.38,6.64,6.29,6.64,,815600.0
1999-11-15,6.63,6.65,6.37,6.6,,465000.0
1999-11-16,6.59,6.64,6.52,6.64,,418600.0
1999-11-17,6.58,6.84,6.4,6.48,,881667.0
1999-11-18,6.54,6.66,6.41,6.55,,542467.0
1999-11-19,6.59,6.59,6.29,6.34,,760200.0
1999-11-22,6.37,6.37,6.15,6.17,,541267.0
1999-11-23,6.19,6.21,6.05,6.17,,769267.0
1999-11-24,6.18,6.2,6.04,6.18,,541467.0
1999-11-26,6.2,6.2,6.1,6.12,,131600.0
1999-11-29,6.08,6.08,5.67,5.73,,880200.0
1999-11-30,5.73,5.83,5.64,5.66,,1385867.0
1999-12-01,5.69,5.85,5.67,5.81,,583667.0
1999-12-02,5.84,5.94,5.8,5.93,,560667.0
1999-12-03,6.04,6.41,6.03,6.23,,762467.0
1999-12-06,6.22,6.35,6.2,6.3,,823800.0
1999-12-07,6.3,6.31,6.25,6.3,,765867.0
1999-12-08,6.23,6.26,6.14,6.19,,766067.0
1999-12-09,6.23,6.23,5.81,6.02,,1079600.0
1999-12-10,6.06,6.07,5.8,5.86,,574200.0
1999-12-13,5.82,5.9,5.73,5.87,,620800.0
1999-12-14,5.86,5.87,5.68,5.78,,718267.0
1999-12-15,5.81,5.93,5.76,5.9,,627000.0
1999-12-16,5.61,5.98,4.81,5.66,,4642200.0
1999-12-17,5.92,6.04,5.66,5.76,,2173867.0
1999-12-20,5.8,5.83,5.66,5.81,,789400.0
1999-12-21,5.86,6.18,5.76,6.16,,1170800.0
1999-12-22,6.11,6.37,6.1,6.3,,1227667.0
1999-12-23,6.35,6.47,6.16,6.23,,338800.0
1999-12-27,6.29,6.34,6.16,6.33,,420200.0
1999-12-28,6.34,6.5,6.23,6.4,,511600.0
1999-12-29,6.34,6.6,6.32,6.58,,472600.0
1999-12-30,6.52,6.78,6.52,6.69,,517467.0
1999-12-31,6.77,6.77,6.29,6.55,,594067.0
2000-01-03,6.53,6.53,6.26,6.43,,468467.0
2000-01-04,6.41,6.5,6.07,6.18,,583467.0
2000-01-05,6.21,6.37,6.13,6.29,,691800.0
2000-01-06,6.17,6.41,6.15,6.28,,811200.0
2000-01-07,6.28,6.67,6.23,6.6,,686600.0
2000-01-10,6.66,6.84,6.61,6.75,,623200.0
2000-01-11,6.68,6.68,6.31,6.36,,826667.0
2000-01-12,6.32,6.34,6.18,6.18,,1036200.0
2000-01-13,6.17,6.71,6.17,6.7,,635467.0
2000-01-14,6.72,6.86,6.6,6.73,,682400.0
2000-01-18,6.63,6.86,6.58,6.82,,620667.0
2000-01-19,6.84,6.84,6.36,6.41,,461067.0
2000-01-20,6.47,6.49,6.29,6.32,,821600.0
2000-01-21,6.26,6.29,6.03,6.07,,1024200.0
2000-01-24,6.07,6.13,6.04,6.05,,711400.0
2000-01-25,6.0,6.0,5.54,5.83,,1545600.0
2000-01-26,5.83,6.0,5.8,5.88,,663400.0
2000-01-27,5.89,6.01,5.8,5.86,,528800.0
2000-01-28,5.79,5.92,5.5,5.53,,1373400.0
2000-01-31,5.6,5.81,5.57,5.78,,946667.0
2000-02-01,5.81,5.84,5.67,5.73,,504867.0
2000-02-02,5.81,5.96,5.71,5.95,,827267.0
2000-02-03,5.92,6.15,5.84,6.04,,670867.0
2000-02-04,6.02,6.22,5.98,6.12,,538400.0
2000-02-07,6.12,6.16,5.58,5.63,,794000.0
2000-02-08,5.78,5.8,5.08,5.41,,1721467.0
2000-02-09,5.39,5.4,5.15,5.28,,3019200.0
2000-02-10,5.23,5.23,4.93,4.99,,2061600.0
2000-02-11,5.0,5.01,4.77,4.81,,1881867.0
2000-02-14,4.86,5.05,4.74,4.94,,1366867.0
2000-02-15,4.84,5.12,4.77,5.05,,1154600.0
2000-02-16,5.01,5.02,4.87,4.89,,582800.0
2000-02-17,4.96,5.05,4.87,5.03,,599000.0
2000-02-18,5.03,5.09,4.59,4.64,,1238200.0
2000-02-22,4.57,4.58,4.31,4.52,,2185467.0
2000-02-23,4.51,4.65,4.43,4.51,,1059667.0
2000-02-24,4.57,4.74,4.46,4.74,,1052667.0
2000-02-25,4.73,5.07,4.72,4.76,,982267.0
2000-02-28,4.65,4.94,4.49,4.8,,899267.0
2000-02-29,4.8,5.01,4.71,4.95,,667600.0
2000-03-01,4.98,5.14,4.7,5.05,,727400.0
2000-03-02,5.01,5.21,4.96,5.03,,561600.0
2000-03-03,5.15,5.3,5.04,5.12,,747067.0
2000-03-06,5.07,5.1,4.99,5.03,,660667.0
2000-03-07,5.02,5.06,4.95,4.96,,876400.0
2000-03-08,5.02,5.02,4.71,4.97,,824800.0
2000-03-09,4.94,5.12,4.88,5.07,,1455300.0
2000-03-10,5.02,5.33,5.0,5.15,,1278100.0
2000-03-13,4.98,5.16,4.77,5.0,,1089100.0
2000-03-14,5.0,5.23,4.89,4.91,,881200.0
2000-03-15,5.02,5.81,4.79,5.56,,2065700.0
2000-03-16,5.5,7.05,5.49,6.74,,4676400.0
2000-03-17,6.46,6.65,6.26,6.35,,2144500.0
2000-03-20,6.23,6.23,5.77,5.96,,1252900.0
2000-03-21,6.0,6.56,6.0,6.52,,1323700.0
2000-03-22,6.51,6.56,6.3,6.49,,1267200.0
2000-03-23,6.38,6.64,6.28,6.52,,759400.0
2000-03-24,6.6,6.86,6.6,6.85,,1317500.0
2000-03-27,6.84,6.91,6.65,6.78,,660000.0
2000-03-28,6.77,6.81,6.63,6.71,,661800.0
2000-03-29,6.59,6.74,6.37,6.48,,923200.0
2000-03-30,6.44,6.85,6.43,6.71,,1673900.0
2000-03-31,6.7,7.37,6.46,7.29,,2071600.0
2000-04-03,7.14,7.44,7.08,7.27,,978700.0
2000-04-04,7.26,7.67,7.12,7.51,,2293100.0
2000-04-05,7.38,7.6,7.03,7.13,,688600.0
2000-04-06,7.13,7.15,6.87,7.0,,726300.0
2000-04-07,6.95,7.24,6.87,7.24,,566500.0
2000-04-10,7.31,7.31,6.91,6.91,,702300.0
2000-04-11,6.88,7.24,6.79,7.02,,926000.0
2000-04-12,6.93,7.15,6.88,7.05,,1144100.0
2000-04-13,7.07,7.15,6.74,7.12,,1132700.0
2000-04-14,7.03,7.09,6.22,6.28,,1464800.0
2000-04-17,6.14,7.44,6.14,7.42,,1627300.0
2000-04-18,7.26,7.33,6.97,7.0,,1572400.0
2000-04-19,6.95,6.97,6.6,6.74,,872800.0
2000-04-20,6.75,7.1,6.75,7.05,,896500.0
2000-04-24,6.93,7.31,6.88,7.23,,894300.0
2000-04-25,7.19,7.93,7.19,7.84,,1509400.0
2000-04-26,7.82,7.82,6.88,7.0,,1168600.0
2000-04-27,6.89,7.63,6.84,7.44,,1050400.0
