time,open,high,low,close,Volume,volume
1999-11-01,0.96,0.99,0.96,0.99,,99467.0
1999-11-02,1.01,1.02,0.99,1.01,,122400.0
1999-11-03,1.01,1.07,1.01,1.05,,111200.0
1999-11-04,1.07,1.07,1.05,1.06,,54467.0
1999-11-05,1.07,1.07,1.02,1.02,,44067.0
1999-11-08,1.02,1.02,0.98,0.98,,31467.0
1999-11-09,0.97,1.01,0.97,0.99,,110067.0
1999-11-10,1.01,1.03,0.99,1.02,,44267.0
1999-11-11,1.02,1.02,1.01,1.02,,14867.0
1999-11-12,1.01,1.01,0.99,1.0,,20800.0
1999-11-15,1.0,1.02,1.0,1.02,,55067.0
1999-11-16,1.02,1.03,1.0,1.0,,38867.0
1999-11-17,1.01,1.08,1.01,1.08,,80200.0
1999-11-18,1.07,1.08,1.05,1.05,,29867.0
1999-11-19,1.05,1.06,1.03,1.05,,80467.0
1999-11-22,1.05,1.05,0.97,0.98,,151800.0
1999-11-23,0.99,0.99,0.97,0.97,,76400.0
1999-11-24,0.98,0.98,0.93,0.94,,62667.0
1999-11-26,0.94,0.94,0.93,0.93,,41600.0
1999-11-29,0.93,0.93,0.91,0.91,,54200.0
1999-11-30,0.91,0.92,0.91,0.91,,150467.0
1999-12-01,0.91,0.92,0.88,0.9,,119200.0
1999-12-02,0.9,0.9,0.88,0.88,,59800.0
1999-12-03,0.89,0.9,0.88,0.88,,52000.0
1999-12-06,0.87,0.9,0.87,0.88,,87067.0
1999-12-07,0.88,0.88,0.85,0.85,,63800.0
1999-12-08,0.84,0.84,0.8,0.82,,177000.0
1999-12-09,0.82,0.82,0.79,0.8,,116800.0
1999-12-10,0.8,0.81,0.79,0.8,,130400.0
1999-12-13,0.8,0.83,0.8,0.83,,100667.0
1999-12-14,0.82,0.83,0.79,0.81,,41200.0
1999-12-15,0.81,0.85,0.81,0.85,,94000.0
1999-12-16,0.85,0.86,0.85,0.85,,52200.0
1999-12-17,0.85,0.89,0.85,0.85,,103800.0
1999-12-20,0.85,0.91,0.85,0.91,,94600.0
1999-12-21,0.92,0.93,0.89,0.89,,55867.0
1999-12-22,0.9,0.9,0.87,0.87,,92000.0
1999-12-23,0.87,0.88,0.87,0.88,,62600.0
1999-12-27,0.89,0.93,0.88,0.93,,47267.0
1999-12-28,0.93,0.96,0.93,0.94,,46467.0
1999-12-29,0.95,0.96,0.93,0.94,,63600.0
1999-12-30,0.94,0.98,0.93,0.96,,91267.0
1999-12-31,0.97,0.97,0.94,0.96,,21067.0
2000-01-03,0.96,0.96,0.87,0.88,,108867.0
2000-01-04,0.88,0.88,0.85,0.86,,27867.0
2000-01-05,0.85,0.87,0.85,0.87,,30267.0
2000-01-06,0.87,0.91,0.87,0.89,,44867.0
2000-01-07,0.89,0.93,0.89,0.93,,32400.0
