time,open,high,low,close,Volume,volume
1999-11-01,0.88,0.97,0.86,0.95,,331300.0
1999-11-02,0.95,1.09,0.95,1.01,,285400.0
1999-11-03,1.07,1.07,0.95,0.99,,78700.0
1999-11-04,1.0,1.02,0.96,0.98,,48100.0
1999-11-05,1.08,1.09,0.97,1.03,,100200.0
1999-11-08,1.03,1.03,0.99,0.99,,86100.0
1999-11-09,0.98,0.98,0.89,0.91,,99300.0
1999-11-10,0.89,0.97,0.87,0.95,,147900.0
1999-11-11,0.98,1.01,0.96,1.0,,75800.0
1999-11-12,1.0,1.01,0.97,0.98,,59100.0
1999-11-15,0.96,0.98,0.96,0.96,,14700.0
1999-11-16,0.98,0.98,0.96,0.97,,34200.0
1999-11-17,0.97,0.97,0.89,0.9,,46400.0
1999-11-18,0.89,0.94,0.89,0.94,,57600.0
1999-11-19,0.94,0.97,0.93,0.96,,39600.0
1999-11-22,0.96,0.99,0.96,0.97,,53800.0
1999-11-23,0.99,1.1,0.98,1.05,,120000.0
1999-11-24,1.04,1.07,1.03,1.05,,67200.0
1999-11-26,1.06,1.07,1.03,1.07,,16100.0
1999-11-29,1.06,1.16,1.05,1.12,,75400.0
1999-11-30,1.13,1.13,1.05,1.12,,49400.0
1999-12-01,1.07,1.1,1.07,1.09,,21000.0
1999-12-02,1.08,1.17,1.08,1.16,,45200.0
1999-12-03,1.18,1.27,1.18,1.22,,73800.0
1999-12-06,1.24,1.31,1.22,1.29,,88900.0
1999-12-07,1.29,1.35,1.29,1.35,,52500.0
1999-12-08,1.37,1.5,1.36,1.48,,70400.0
1999-12-09,1.5,1.62,1.39,1.5,,190400.0
1999-12-10,1.5,1.51,1.4,1.48,,47000.0
1999-12-13,1.45,1.5,1.44,1.45,,82400.0
1999-12-14,1.46,1.49,1.44,1.49,,68600.0
1999-12-15,1.48,1.5,1.32,1.36,,104100.0
1999-12-16,1.37,1.41,1.34,1.37,,30700.0
1999-12-17,1.38,1.41,1.38,1.38,,22700.0
1999-12-20,1.41,1.44,1.32,1.32,,87000.0
1999-12-21,1.31,1.89,1.26,1.7,,208700.0
1999-12-22,1.97,2.25,1.87,2.2,,256000.0
1999-12-23,2.11,2.25,1.99,2.05,,76800.0
1999-12-27,1.98,2.02,1.8,1.85,,62500.0
1999-12-28,1.83,1.97,1.8,1.87,,61800.0
1999-12-29,1.85,1.94,1.85,1.91,,35300.0
1999-12-30,1.93,2.15,1.92,2.12,,146900.0
1999-12-31,2.2,2.2,2.03,2.05,,38100.0
2000-01-03,2.07,2.08,1.56,1.8,,82400.0
2000-01-04,1.76,1.84,1.67,1.74,,61900.0
2000-01-05,1.68,1.77,1.52,1.74,,59100.0
2000-01-06,1.83,1.84,1.74,1.74,,23900.0
2000-01-07,1.73,1.76,1.61,1.76,,27600.0
2000-01-10,1.86,2.0,1.78,1.8,,58100.0
2000-01-11,1.8,1.89,1.76,1.78,,43000.0
2000-01-12,1.77,1.78,1.65,1.7,,14400.0
2000-01-13,1.71,1.76,1.7,1.76,,18900.0
2000-01-14,1.84,1.87,1.69,1.71,,29100.0
2000-01-18,1.7,1.77,1.5,1.53,,48000.0
2000-01-19,1.53,1.7,1.52,1.65,,29400.0
2000-01-20,1.69,1.76,1.57,1.59,,47800.0
2000-01-21,1.57,1.61,1.49,1.54,,42300.0
2000-01-24,1.52,1.69,1.52,1.65,,59000.0
2000-01-25,1.65,1.69,1.61,1.68,,19100.0
2000-01-26,1.69,1.91,1.68,1.71,,53700.0
2000-01-27,1.75,1.82,1.71,1.71,,19000.0
2000-01-28,1.77,1.77,1.67,1.68,,6200.0
2000-01-31,1.65,1.74,1.37,1.41,,114400.0
2000-02-01,1.49,1.69,1.43,1.65,,63700.0
2000-02-02,1.71,1.76,1.67,1.73,,26100.0
2000-02-03,1.73,1.78,1.66,1.75,,41400.0
2000-02-04,1.83,1.83,1.75,1.82,,22900.0
2000-02-07,1.81,2.05,1.81,2.04,,104400.0
2000-02-08,2.22,2.41,2.11,2.32,,212800.0
2000-02-09,2.36,2.36,2.18,2.29,,78900.0
2000-02-10,2.27,2.34,2.18,2.32,,51100.0
2000-02-11,2.32,2.47,2.23,2.44,,207800.0
2000-02-14,2.53,2.53,2.33,2.42,,104600.0
2000-02-15,2.46,2.46,2.33,2.39,,26500.0
2000-02-16,2.38,2.4,2.33,2.33,,35600.0
2000-02-17,2.35,2.39,2.25,2.31,,118900.0
2000-02-18,2.31,2.31,2.17,2.17,,51600.0
2000-02-22,2.17,2.2,2.08,2.16,,52000.0
2000-02-23,2.16,2.17,2.14,2.14,,60700.0
2000-02-24,2.14,2.15,2.05,2.05,,54800.0
2000-02-25,2.06,2.15,2.05,2.12,,52200.0
2000-02-28,2.14,2.17,2.02,2.02,,42800.0
2000-02-29,2.08,2.09,1.99,2.05,,30000.0
2000-03-01,2.06,2.06,1.99,2.03,,36700.0
2000-03-02,2.11,2.29,2.09,2.22,,199800.0
2000-03-03,2.23,2.35,2.23,2.27,,117200.0
2000-03-06,2.41,2.42,2.31,2.37,,126900.0
2000-03-07,2.4,2.45,2.3,2.3,,35600.0
2000-03-08,2.34,2.34,2.16,2.3,,39800.0
2000-03-09,2.27,2.51,2.21,2.46,,42000.0
2000-03-10,2.49,2.51,2.24,2.31,,44100.0
2000-03-13,2.24,2.45,2.21,2.25,,44200.0
2000-03-14,2.38,2.38,2.04,2.1,,84100.0
2000-03-15,2.12,2.12,1.69,1.89,,126200.0
2000-03-16,1.85,1.92,1.8,1.84,,120800.0
2000-03-17,1.84,2.16,1.83,2.11,,78300.0
2000-03-20,2.12,2.33,2.08,2.13,,105700.0
2000-03-21,2.06,2.25,2.02,2.24,,128700.0
2000-03-22,2.29,2.35,2.25,2.32,,67100.0
2000-03-23,2.43,2.62,2.36,2.43,,259500.0
2000-03-24,2.45,2.63,2.43,2.5,,101900.0
2000-03-27,2.6,2.71,2.48,2.58,,81400.0
2000-03-28,2.66,2.7,2.55,2.62,,84400.0
2000-03-29,2.64,2.64,2.12,2.48,,193200.0
2000-03-30,2.38,2.44,2.18,2.24,,89800.0
2000-03-31,2.29,2.38,2.15,2.35,,62300.0
2000-04-03,2.29,2.35,1.99,2.03,,71400.0
2000-04-04,2.03,2.16,1.54,2.11,,142800.0
2000-04-05,1.86,1.99,1.83,1.95,,72900.0
2000-04-06,1.95,2.14,1.91,2.02,,32200.0
2000-04-07,2.03,2.14,1.88,1.96,,90000.0
2000-04-10,1.95,1.96,1.7,1.7,,86900.0
2000-04-11,1.67,1.88,1.6,1.76,,69300.0
2000-04-12,1.73,1.77,1.58,1.65,,67500.0
2000-04-13,1.65,1.67,1.57,1.61,,77200.0
2000-04-14,1.57,1.58,1.16,1.31,,109600.0
2000-04-17,0.91,1.35,0.91,1.35,,169900.0
2000-04-18,1.36,1.54,1.13,1.44,,101800.0
2000-04-19,1.49,1.58,1.48,1.58,,145200.0
2000-04-20,1.58,1.71,1.58,1.68,,41600.0
2000-04-24,1.64,1.66,1.44,1.66,,134800.0
2000-04-25,1.64,1.8,1.64,1.72,,75800.0
2000-04-26,1.72,1.77,1.59,1.65,,50600.0
2000-04-27,1.5,1.69,1.47,1.65,,75600.0
2000-04-28,1.69,1.73,1.69,1.72,,34500.0
2000-05-01,1.81,2.12,1.75,1.99,,62100.0
2000-05-02,2.05,2.12,1.99,2.04,,110300.0
2000-05-03,2.04,2.04,1.81,1.89,,70600.0
2000-05-04,1.88,2.12,1.84,2.08,,78800.0
2000-05-05,2.04,2.21,2.0,2.14,,77700.0
2000-05-08,2.14,2.26,2.14,2.23,,90000.0
2000-05-09,2.25,2.26,2.19,2.24,,81600.0
2000-05-10,2.24,2.24,2.14,2.14,,80700.0
2000-05-11,2.15,2.21,2.02,2.13,,73600.0
2000-05-12,2.07,2.2,2.07,2.13,,18600.0
