time,open,high,low,close,Volume,volume
2007-05-03,19.02,19.2,17.97,18.12,,8052800.0
2007-05-04,18.41,18.67,18.11,18.35,,5437300.0
2007-05-07,18.54,18.62,17.67,17.81,,2646300.0
2007-05-08,17.49,17.49,16.88,17.17,,4166100.0
2007-05-09,17.27,17.67,17.17,17.31,,7541100.0
2007-05-10,17.31,17.48,17.1,17.23,,3170600.0
2007-05-11,17.24,17.32,16.72,16.88,,3539400.0
2007-05-14,16.75,16.96,16.4,16.52,,1924800.0
2007-05-15,16.32,16.49,15.88,15.92,,3438700.0
2007-05-16,15.8,16.16,15.76,16.04,,2607600.0
2007-05-17,16.4,17.27,16.33,16.64,,8979000.0
2007-05-18,16.84,17.05,16.22,16.89,,6562200.0
2007-05-21,16.79,16.92,16.62,16.62,,2077700.0
2007-05-22,16.71,17.08,16.62,17.04,,4014700.0
2007-05-23,17.06,17.23,16.71,16.8,,2387100.0
2007-05-24,16.8,16.91,16.49,16.64,,2362000.0
2007-05-25,16.64,16.66,16.35,16.41,,895000.0
2007-05-29,16.54,16.79,16.49,16.7,,2918800.0
2007-05-30,16.66,16.75,16.45,16.6,,2829300.0
2007-05-31,16.75,16.86,16.65,16.66,,3435200.0
2007-06-01,16.71,17.32,16.66,17.1,,2299400.0
2007-06-04,16.38,16.66,16.35,16.48,,5692700.0
2007-06-05,16.49,16.65,16.38,16.58,,4510000.0
2007-06-06,16.36,16.56,16.31,16.56,,2595300.0
2007-06-07,16.42,16.49,15.88,16.16,,3062100.0
2007-06-08,15.92,16.47,15.92,16.47,,2124100.0
2007-06-11,16.23,16.46,15.94,16.08,,1870000.0
2007-06-12,15.77,16.37,15.76,16.09,,8636200.0
2007-06-13,16.16,16.36,16.06,16.3,,3110200.0
2007-06-14,16.18,16.63,16.12,16.53,,8069700.0
2007-06-15,16.52,16.74,16.14,16.51,,3418900.0
2007-06-18,16.31,16.53,16.18,16.22,,1339900.0
2007-06-19,16.26,16.69,16.23,16.51,,3113000.0
2007-06-20,16.62,17.05,16.46,16.93,,4031500.0
2007-06-21,16.79,17.14,16.64,17.06,,3985700.0
2007-06-22,17.06,17.36,16.94,17.27,,11822000.0
2007-06-25,17.22,17.27,16.72,17.0,,1974400.0
2007-06-26,17.06,17.2,16.86,17.05,,2237000.0
2007-06-27,16.97,17.13,16.73,16.99,,2216000.0
2007-06-28,17.27,17.4,17.16,17.2,,2547200.0
2007-06-29,17.1,17.34,17.06,17.23,,2022200.0
2007-07-02,17.12,17.28,17.08,17.13,,1831600.0
2007-07-03,17.24,17.72,17.24,17.71,,2960900.0
2007-07-05,17.5,18.13,17.42,17.95,,2640100.0
2007-07-06,17.97,18.28,17.83,18.22,,1966900.0
2007-07-09,18.32,18.71,18.24,18.66,,2872800.0
2007-07-10,18.53,18.59,17.96,18.06,,2367100.0
2007-07-11,17.65,18.01,17.49,17.6,,2387700.0
2007-07-12,17.87,18.04,17.59,17.87,,3455400.0
2007-07-13,17.8,17.97,17.56,17.93,,1751700.0
2007-07-16,17.89,18.37,17.76,18.32,,2891700.0
2007-07-17,18.37,18.59,18.18,18.53,,4383100.0
