time,open,high,low,close,Volume,volume
1999-11-01,60.55,60.73,59.07,59.12,,2160200.0
1999-11-02,58.11,59.67,58.06,59.01,,2672800.0
1999-11-03,59.67,59.96,58.41,59.01,,2184600.0
1999-11-04,59.19,60.26,58.53,59.19,,2273600.0
1999-11-05,59.91,60.73,59.49,59.67,,1661400.0
1999-11-08,58.77,59.01,57.52,57.7,,2023200.0
1999-11-09,58.53,60.08,58.24,58.48,,3974600.0
1999-11-10,58.26,60.06,58.15,59.58,,1856300.0
1999-11-11,59.34,59.64,57.37,57.61,,2093600.0
1999-11-12,58.26,59.34,57.78,58.98,,2063200.0
1999-11-15,58.33,60.42,58.09,59.52,,1829600.0
1999-11-16,59.58,60.54,58.81,59.88,,2033500.0
1999-11-17,58.98,60.3,58.86,59.64,,2885800.0
1999-11-18,58.98,59.82,58.92,58.98,,1774100.0
1999-11-19,58.57,59.64,57.54,58.5,,2036700.0
1999-11-22,58.38,58.38,57.43,57.67,,2315800.0
1999-11-23,57.19,58.57,57.0,58.09,,2854400.0
1999-11-24,57.96,58.98,57.96,58.15,,3982000.0
1999-11-26,58.38,58.62,57.61,57.67,,621100.0
1999-11-29,57.43,57.48,56.23,56.65,,2350300.0
1999-11-30,55.99,59.4,55.99,56.95,,3765200.0
1999-12-01,56.89,58.2,56.82,57.48,,2034700.0
1999-12-02,57.48,58.15,57.48,57.54,,1766000.0
1999-12-03,58.38,59.05,58.2,58.26,,2628700.0
1999-12-06,58.26,59.4,58.2,59.1,,1920500.0
1999-12-07,58.44,59.34,57.67,58.68,,2713800.0
1999-12-08,58.2,58.38,56.53,57.0,,2376100.0
1999-12-09,56.65,56.65,55.63,56.53,,2199300.0
1999-12-10,56.53,57.72,56.23,57.54,,2662800.0
1999-12-13,57.37,59.82,57.24,59.05,,3389600.0
1999-12-14,59.29,63.05,58.86,62.16,,5252600.0
1999-12-15,62.7,63.47,61.85,62.31,,4565900.0
1999-12-16,61.56,62.57,60.89,62.57,,2526200.0
1999-12-17,62.57,66.53,62.46,65.69,,5730200.0
1999-12-20,65.57,65.81,61.37,61.92,,2868200.0
1999-12-21,61.85,61.92,60.72,61.13,,2613200.0
1999-12-22,60.72,61.61,60.18,60.72,,2140500.0
1999-12-23,61.13,61.85,60.84,61.68,,1852100.0
1999-12-27,61.44,62.27,60.24,60.24,,1634700.0
1999-12-28,60.36,62.4,60.36,61.56,,2583300.0
1999-12-29,62.7,64.73,62.09,63.12,,1917000.0
1999-12-30,63.17,63.65,62.03,62.4,,1587600.0
1999-12-31,62.4,64.19,62.33,63.12,,889300.0
2000-01-03,63.23,63.71,62.27,62.27,,2792000.0
2000-01-04,61.8,63.23,61.8,62.27,,2673700.0
2000-01-05,63.17,65.51,63.17,64.97,,4741400.0
2000-01-06,64.73,69.7,64.43,68.5,,6612500.0
2000-01-07,69.22,70.84,67.73,68.63,,5250900.0
2000-01-10,66.64,67.78,66.4,67.06,,2930400.0
2000-01-11,66.4,67.49,65.87,65.87,,2424300.0
2000-01-12,65.63,67.06,65.63,66.16,,2324000.0
2000-01-13,66.53,66.77,65.51,65.63,,1829200.0
2000-01-14,65.87,65.99,64.43,64.56,,2183100.0
2000-01-18,63.6,63.77,62.57,62.75,,3034200.0
2000-01-19,62.88,63.84,61.68,61.92,,2486900.0
2000-01-20,62.03,62.09,59.88,61.32,,2458900.0
2000-01-21,61.92,62.51,60.42,60.6,,2665200.0
2000-01-24,61.44,61.44,58.02,60.12,,3104500.0
2000-01-25,59.4,59.82,56.82,58.92,,3291100.0
2000-01-26,59.64,62.4,58.26,58.38,,3763600.0
2000-01-27,59.52,59.7,57.96,58.92,,2165300.0
2000-01-28,57.85,58.5,56.17,56.77,,2505500.0
2000-01-31,56.53,58.68,56.05,56.53,,2810600.0
2000-02-01,57.61,58.92,56.77,57.37,,2611400.0
2000-02-02,58.02,58.81,57.48,58.2,,2449400.0
2000-02-03,57.96,58.09,56.41,57.19,,2576400.0
2000-02-04,56.34,57.0,56.23,56.34,,2297800.0
2000-02-07,56.23,57.24,55.81,55.93,,2789100.0
2000-02-08,56.1,56.58,54.37,54.49,,3112700.0
2000-02-09,54.67,55.81,54.26,54.31,,3682200.0
2000-02-10,54.19,54.26,51.68,51.79,,3820300.0
2000-02-11,52.28,52.28,47.75,48.96,,7825800.0
2000-02-14,49.02,50.16,48.29,49.92,,5435600.0
2000-02-15,49.32,52.94,49.2,52.82,,4423600.0
2000-02-16,52.57,53.3,50.65,51.49,,3002200.0
2000-02-17,52.28,52.39,50.22,50.7,,2092300.0
2000-02-18,50.65,50.77,49.02,49.86,,3208100.0
2000-02-22,49.86,52.76,49.86,52.28,,3329100.0
2000-02-23,52.57,53.0,50.59,51.37,,3997500.0
2000-02-24,50.65,51.49,49.44,51.01,,2814100.0
2000-02-25,50.89,51.07,48.6,49.68,,2357100.0
2000-02-28,49.2,50.89,48.36,50.05,,2349700.0
2000-02-29,50.83,50.83,48.53,48.72,,2921400.0
2000-03-01,48.72,49.14,46.12,46.67,,4169500.0
2000-03-02,46.55,47.27,45.22,45.22,,3827900.0
2000-03-03,47.33,50.4,46.49,48.96,,4883700.0
2000-03-06,49.38,50.35,47.09,47.99,,2977000.0
2000-03-07,47.15,47.15,44.5,44.67,,4153800.0
2000-03-08,45.16,46.06,43.65,45.28,,5864200.0
2000-03-09,45.28,45.28,43.65,44.8,,4141600.0
2000-03-10,45.34,46.3,43.95,44.32,,3447500.0
2000-03-13,43.59,47.51,43.47,46.73,,3793300.0
2000-03-14,47.57,48.18,45.82,46.12,,3256300.0
2000-03-15,46.55,50.65,46.25,48.84,,5551900.0
2000-03-16,50.11,52.46,49.5,51.61,,4094400.0
2000-03-17,50.94,51.74,50.35,50.7,,3508200.0
2000-03-20,50.83,53.0,50.65,52.7,,2686900.0
2000-03-21,52.33,52.63,51.25,52.03,,2657500.0
2000-03-22,52.03,52.09,50.28,50.28,,2647800.0
2000-03-23,51.01,53.66,50.83,53.06,,2856200.0
2000-03-24,53.06,53.72,52.21,52.87,,2503400.0
2000-03-27,52.28,53.72,51.13,51.85,,1823600.0
2000-03-28,51.31,52.87,50.35,51.01,,1921900.0
2000-03-29,50.22,51.55,50.16,51.01,,1948000.0
2000-03-30,51.25,53.36,50.22,51.85,,4034100.0
2000-03-31,52.15,53.54,50.65,51.07,,3505700.0
2000-04-03,52.28,55.59,51.91,55.53,,4233400.0
2000-04-04,56.62,58.36,55.04,55.95,,5721400.0
2000-04-05,56.08,57.64,55.41,55.53,,3291200.0
2000-04-06,55.95,56.8,53.72,54.39,,2569800.0
2000-04-07,55.11,55.71,53.06,53.06,,2529100.0
2000-04-10,53.91,57.34,53.66,55.47,,2727100.0
2000-04-11,55.59,58.73,55.59,56.92,,4640100.0
2000-04-12,57.64,61.38,57.52,59.81,,4817100.0
2000-04-13,59.69,59.75,56.92,57.16,,3759400.0
2000-04-14,55.77,55.89,52.63,54.54,,3763400.0
2000-04-17,53.54,54.32,52.33,54.21,,2589500.0
2000-04-18,53.91,53.91,51.01,51.61,,2557500.0
2000-04-19,52.57,53.66,49.2,51.07,,3614600.0
2000-04-20,50.65,53.18,50.11,52.33,,2805900.0
2000-04-24,52.22,54.39,52.15,54.02,,2188400.0
2000-04-25,54.75,54.8,48.84,49.81,,8114000.0
2000-04-26,48.53,48.9,46.3,47.39,,8672100.0
2000-04-27,47.15,47.69,46.73,46.91,,4721400.0
2000-04-28,47.93,47.93,45.76,45.76,,4027900.0
2000-05-01,46.73,46.91,45.47,45.52,,3692500.0
2000-05-02,46.01,47.03,45.52,46.67,,3224100.0
2000-05-03,47.27,47.88,46.36,47.15,,3078600.0
2000-05-04,47.88,49.2,47.45,47.99,,3490500.0
2000-05-05,48.72,49.62,48.47,49.44,,2663100.0
2000-05-08,50.29,50.35,48.42,48.84,,2093200.0
2000-05-09,48.96,49.44,48.72,48.72,,2662200.0
2000-05-10,48.12,49.2,47.81,48.05,,3669300.0
2000-05-11,48.69,49.54,47.84,49.29,,2745100.0
2000-05-12,49.05,49.35,48.32,48.94,,1874400.0
2000-05-15,48.69,50.88,48.57,50.81,,2395100.0
2000-05-16,51.3,51.54,50.45,51.42,,2700500.0
2000-05-17,51.42,52.58,50.88,51.24,,3115900.0
2000-05-18,51.12,51.42,49.84,51.24,,1579900.0
2000-05-19,50.57,51.12,49.91,50.32,,1694100.0
2000-05-22,50.57,51.3,49.78,50.02,,1427900.0
2000-05-23,50.27,50.64,48.81,48.81,,1377900.0
2000-05-24,48.57,49.78,48.57,48.69,,2081200.0
2000-05-25,48.94,48.99,47.65,48.08,,2592700.0
2000-05-26,47.96,49.05,47.29,47.29,,1768600.0
2000-05-30,47.6,48.75,47.54,48.02,,3257400.0
2000-05-31,48.27,48.75,47.6,47.6,,1904700.0
2000-06-01,47.6,48.02,46.75,47.78,,2125500.0
2000-06-02,49.18,49.18,47.84,48.57,,2664600.0
2000-06-05,48.45,48.51,47.29,48.27,,2289300.0
2000-06-06,47.65,48.02,47.17,47.6,,2065800.0
2000-06-07,48.02,48.27,47.17,47.54,,2027600.0
2000-06-08,47.6,47.9,47.05,47.24,,1894800.0
2000-06-09,47.41,47.9,46.51,47.48,,2266700.0
2000-06-12,46.99,48.69,46.68,47.86,,2878100.0
2000-06-13,47.96,48.27,45.78,45.9,,3210400.0
2000-06-14,46.87,47.84,45.95,46.51,,4023500.0
2000-06-15,46.57,46.92,45.9,46.51,,2635600.0
2000-06-16,46.38,47.24,45.71,45.95,,3580200.0
2000-06-19,46.26,46.44,45.05,45.47,,2216400.0
2000-06-20,45.41,45.41,44.44,44.62,,2084500.0
2000-06-21,44.38,45.22,44.25,44.32,,2000800.0
2000-06-22,44.56,45.22,43.84,43.89,,2514300.0
2000-06-23,44.62,44.92,43.84,44.32,,2287200.0
2000-06-26,44.44,44.81,43.71,43.84,,1964400.0
2000-06-27,43.59,46.2,43.41,44.92,,5870500.0
2000-06-28,45.05,45.17,43.41,44.78,,3923200.0
2000-06-29,43.95,44.25,42.74,43.22,,4703100.0
2000-06-30,43.22,43.41,41.89,42.5,,4606200.0
2000-07-03,42.5,43.95,42.5,43.71,,1494700.0
2000-07-05,44.56,45.22,43.41,43.77,,2618000.0
2000-07-06,43.65,43.89,42.8,42.8,,2670900.0
2000-07-07,42.98,43.53,42.5,42.68,,3087900.0
2000-07-10,42.74,44.08,42.74,43.65,,3434800.0
2000-07-11,43.71,45.95,43.47,45.9,,4046900.0
2000-07-12,45.9,46.02,43.95,43.95,,2357400.0
2000-07-13,45.78,45.78,44.81,45.41,,2067600.0
2000-07-14,45.54,45.95,44.01,44.14,,2695800.0
2000-07-17,44.01,44.44,43.04,43.35,,2598100.0
2000-07-18,43.28,44.01,43.11,43.35,,3220200.0
2000-07-19,43.22,43.59,42.68,42.98,,2930500.0
2000-07-20,43.17,43.22,42.07,42.62,,3060500.0
2000-07-21,42.92,43.65,42.44,42.5,,2719000.0
2000-07-24,42.68,42.92,41.65,41.77,,2230000.0
2000-07-25,41.65,43.04,41.65,42.38,,2438500.0
2000-07-26,42.25,43.95,42.25,43.65,,4947000.0
2000-07-27,43.71,44.92,43.71,44.81,,2905700.0
2000-07-28,44.62,44.98,44.2,44.56,,2840500.0
2000-07-31,44.62,45.47,43.89,44.01,,2270000.0
2000-08-01,43.95,44.74,43.95,44.25,,2174800.0
2000-08-02,44.14,44.81,44.08,44.5,,2155500.0
2000-08-03,44.32,45.11,44.32,44.68,,2102300.0
2000-08-04,44.81,45.11,44.25,44.44,,1578300.0
2000-08-07,44.2,45.78,44.2,45.29,,1831200.0
2000-08-08,45.71,47.29,45.65,47.17,,3573500.0
2000-08-09,47.05,47.72,46.68,47.05,,2637700.0
2000-08-10,47.05,47.29,45.47,45.9,,1846300.0
2000-08-11,46.35,48.48,46.22,48.3,,2549100.0
2000-08-14,48.67,48.91,47.14,48.85,,2705500.0
2000-08-15,48.12,49.16,47.87,48.79,,2775800.0
2000-08-16,48.55,49.34,48.42,49.28,,2203200.0
2000-08-17,49.53,49.59,49.04,49.16,,1872000.0
2000-08-18,49.16,49.21,47.75,48.36,,1769000.0
2000-08-21,48.79,48.97,48.18,48.91,,1578100.0
2000-08-22,48.91,49.53,47.44,47.52,,2818400.0
2000-08-23,47.5,47.5,46.52,46.84,,2374800.0
2000-08-24,46.52,47.33,46.35,46.71,,2348200.0
2000-08-25,46.28,46.59,45.86,46.03,,1649900.0
2000-08-28,46.22,46.77,45.55,45.55,,3237700.0
2000-08-29,45.67,45.67,44.57,44.71,,2800700.0
2000-08-30,45.06,45.67,44.21,44.32,,2527900.0
2000-08-31,44.32,45.12,43.9,43.91,,2521700.0
2000-09-01,44.15,45.18,43.9,44.57,,2419500.0
2000-09-05,44.81,45.49,44.45,45.12,,2365400.0
2000-09-06,45.98,46.35,45.55,45.98,,2838000.0
2000-09-07,42.04,42.86,40.23,41.21,,17563100.0
2000-09-08,40.48,40.78,39.92,40.35,,6722700.0
2000-09-11,39.86,40.84,39.43,39.62,,4769200.0
2000-09-12,39.68,40.35,39.31,40.23,,4779900.0
2000-09-13,40.72,40.78,39.5,40.11,,3657800.0
2000-09-14,39.68,40.05,39.37,39.8,,4801900.0
2000-09-15,40.23,40.29,39.13,39.19,,6435100.0
2000-09-18,39.43,39.68,38.88,39.5,,3269700.0
2000-09-19,39.62,39.68,38.7,39.15,,2918800.0
2000-09-20,38.7,39.19,37.72,38.52,,3957100.0
2000-09-21,38.64,39.26,37.91,37.91,,2489700.0
2000-09-22,39.01,39.31,38.21,39.01,,2550400.0
2000-09-25,39.5,39.5,37.96,38.34,,2633000.0
2000-09-26,38.34,38.83,37.36,37.66,,4380000.0
2000-09-27,37.91,38.34,37.48,38.28,,2309200.0
2000-09-28,38.7,39.37,37.79,38.88,,3177600.0
2000-09-29,39.62,41.21,39.5,39.99,,3413700.0
2000-10-02,40.9,41.03,39.68,40.72,,2809200.0
2000-10-03,40.9,43.77,40.41,43.41,,4649700.0
2000-10-04,43.53,45.49,43.41,44.39,,5703300.0
2000-10-05,44.15,44.94,43.29,43.77,,3774400.0
2000-10-06,43.77,45.06,43.59,43.59,,3229100.0
2000-10-09,43.77,45.79,43.72,43.96,,1918200.0
2000-10-10,44.21,44.94,43.53,43.66,,1842600.0
2000-10-11,43.29,44.45,42.49,42.61,,2728700.0
2000-10-12,42.19,42.37,40.35,41.03,,3983000.0
2000-10-13,40.29,40.6,39.01,39.68,,4569500.0
2000-10-16,39.56,41.27,39.37,40.48,,2319100.0
2000-10-17,40.9,41.39,39.13,39.19,,2071200.0
2000-10-18,39.43,40.65,38.88,40.65,,2233200.0
2000-10-19,40.05,40.29,39.31,39.68,,2784600.0
2000-10-20,39.5,39.92,39.01,39.68,,2328800.0
2000-10-23,39.31,40.54,38.77,39.8,,2544300.0
2000-10-24,40.29,42.31,40.17,42.19,,2705800.0
2000-10-25,40.11,42.31,40.11,41.7,,3282100.0
2000-10-26,40.84,41.52,40.41,41.03,,3700600.0
2000-10-27,40.23,41.39,39.26,41.39,,3105700.0
2000-10-30,40.97,44.45,40.9,44.02,,5446500.0
2000-10-31,44.81,44.88,43.59,44.39,,3899400.0
2000-11-01,43.41,44.15,42.68,42.98,,2844500.0
2000-11-02,43.04,43.17,42.12,42.8,,2266700.0
2000-11-03,42.0,43.29,41.57,42.12,,2654700.0
2000-11-06,42.0,42.37,41.46,41.7,,2861700.0
2000-11-07,41.95,42.8,41.95,42.37,,1857700.0
2000-11-08,42.37,44.08,41.57,43.53,,2916300.0
2000-11-09,43.53,43.53,41.7,43.1,,1989700.0
2000-11-10,42.25,43.04,41.39,41.76,,1589800.0
2000-11-13,41.55,42.78,41.42,41.86,,2584800.0
2000-11-14,41.92,42.22,40.93,42.1,,2742100.0
2000-11-15,41.98,43.28,41.86,42.84,,2164400.0
2000-11-16,42.16,42.6,40.57,41.06,,2177600.0
2000-11-17,41.24,42.35,41.12,41.98,,2363500.0
2000-11-20,41.31,41.86,40.62,40.93,,3981600.0
2000-11-21,40.25,41.12,40.13,40.62,,1770600.0
2000-11-22,40.62,40.81,39.76,40.19,,1621300.0
2000-11-24,40.0,40.74,40.0,40.44,,855100.0
2000-11-27,40.44,40.62,39.26,40.13,,2222500.0
2000-11-28,40.25,40.38,39.15,39.64,,2215600.0
2000-11-29,39.39,41.12,39.39,40.99,,2462300.0
2000-11-30,40.32,41.86,40.13,41.73,,3335400.0
2000-12-01,41.8,42.54,41.31,42.22,,2151100.0
2000-12-04,42.6,45.56,42.29,45.25,,4221100.0
2000-12-05,45.5,45.74,43.7,45.56,,3917600.0
2000-12-06,44.76,45.12,42.54,43.4,,2721800.0
2000-12-07,43.15,43.7,42.22,42.6,,2408100.0
2000-12-08,42.1,43.28,42.1,42.78,,3155600.0
2000-12-11,42.54,42.54,41.12,41.36,,3690100.0
2000-12-12,41.61,43.15,41.18,41.61,,3906700.0
2000-12-13,42.9,42.96,42.16,42.6,,2615200.0
2000-12-14,43.4,45.06,43.21,43.83,,5229000.0
2000-12-15,45.25,45.25,42.9,43.15,,5006700.0
2000-12-18,42.9,44.88,42.6,44.88,,3805300.0
2000-12-19,44.32,45.56,44.32,45.0,,4078100.0
2000-12-20,44.08,44.63,43.52,43.89,,3500900.0
2000-12-21,44.38,45.86,43.95,45.86,,5219000.0
2000-12-22,45.56,47.83,45.12,47.34,,5218900.0
2000-12-26,47.34,47.83,46.41,47.65,,2445900.0
2000-12-27,47.28,48.08,46.98,47.89,,3133300.0
2000-12-28,47.59,49.01,47.09,48.63,,2853700.0
2000-12-29,47.96,49.2,47.47,47.65,,3450600.0
2001-01-02,46.66,47.53,45.92,47.34,,3119000.0
2001-01-03,46.36,47.65,45.74,47.28,,3389400.0
2001-01-04,47.28,48.88,47.09,48.57,,4544400.0
2001-01-05,47.78,48.08,46.85,47.28,,3000900.0
2001-01-08,47.04,48.33,46.91,47.65,,2445000.0
2001-01-09,46.66,46.73,45.5,45.8,,3589700.0
