time,open,high,low,close,Volume,volume
1999-11-01,0.16,0.16,0.15,0.16,,8900.0
1999-11-02,0.16,0.16,0.16,0.16,,8300.0
1999-11-03,0.16,0.16,0.15,0.15,,18700.0
1999-11-04,0.15,0.15,0.15,0.15,,0.0
1999-11-05,0.17,0.18,0.17,0.17,,33200.0
1999-11-08,0.17,0.17,0.17,0.17,,7100.0
1999-11-09,0.16,0.17,0.16,0.17,,2300.0
1999-11-10,0.16,0.17,0.16,0.16,,28600.0
1999-11-11,0.17,0.17,0.16,0.17,,23300.0
1999-11-12,0.16,0.17,0.16,0.17,,2700.0
1999-11-15,0.16,0.17,0.16,0.17,,4700.0
1999-11-16,0.17,0.17,0.16,0.17,,8400.0
1999-11-17,0.16,0.16,0.16,0.16,,1300.0
1999-11-18,0.16,0.18,0.16,0.18,,39700.0
1999-11-19,0.17,0.18,0.17,0.18,,40100.0
1999-11-22,0.18,0.2,0.17,0.18,,36600.0
1999-11-23,0.18,0.19,0.17,0.18,,6000.0
1999-11-24,0.18,0.19,0.18,0.18,,900.0
1999-11-26,0.17,0.19,0.17,0.17,,15900.0
1999-11-29,0.18,0.18,0.15,0.17,,6400.0
1999-11-30,0.16,0.17,0.16,0.16,,19200.0
1999-12-01,0.17,0.17,0.16,0.16,,800.0
1999-12-02,0.16,0.16,0.16,0.16,,2100.0
1999-12-03,0.16,0.17,0.16,0.17,,6500.0
1999-12-06,0.16,0.17,0.16,0.17,,800.0
1999-12-07,0.16,0.16,0.16,0.16,,6000.0
1999-12-08,0.16,0.16,0.16,0.16,,15400.0
1999-12-09,0.16,0.18,0.16,0.17,,28100.0
1999-12-10,0.17,0.18,0.17,0.17,,6800.0
1999-12-13,0.17,0.18,0.17,0.18,,28000.0
1999-12-14,0.17,0.17,0.17,0.17,,4400.0
1999-12-15,0.17,0.17,0.17,0.17,,2600.0
1999-12-16,0.17,0.17,0.17,0.17,,2600.0
1999-12-17,0.17,0.17,0.17,0.17,,1200.0
1999-12-20,0.18,0.18,0.17,0.17,,4600.0
1999-12-21,0.17,0.18,0.17,0.17,,13700.0
1999-12-22,0.17,0.17,0.17,0.17,,5400.0
1999-12-23,0.17,0.17,0.17,0.17,,6800.0
1999-12-27,0.17,0.17,0.17,0.17,,6200.0
1999-12-28,0.17,0.18,0.17,0.18,,34400.0
1999-12-29,0.17,0.17,0.16,0.16,,6400.0
1999-12-30,0.16,0.16,0.14,0.15,,79400.0
1999-12-31,0.15,0.15,0.15,0.15,,6600.0
2000-01-03,0.15,0.15,0.15,0.15,,16400.0
2000-01-04,0.15,0.15,0.14,0.14,,21800.0
2000-01-05,0.14,0.15,0.14,0.14,,21300.0
2000-01-06,0.14,0.16,0.14,0.15,,6700.0
2000-01-07,0.15,0.15,0.14,0.15,,8400.0
2000-01-10,0.14,0.15,0.14,0.14,,5600.0
2000-01-11,0.15,0.16,0.15,0.16,,10000.0
2000-01-12,0.17,0.17,0.15,0.17,,48500.0
2000-01-13,0.18,0.18,0.18,0.18,,14500.0
2000-01-14,0.18,0.18,0.16,0.16,,11900.0
2000-01-18,0.17,0.17,0.17,0.17,,2500.0
2000-01-19,0.17,0.17,0.17,0.17,,2000.0
2000-01-20,0.16,0.17,0.16,0.16,,7200.0
2000-01-21,0.16,0.17,0.16,0.17,,2100.0
2000-01-24,0.17,0.17,0.17,0.17,,2600.0
2000-01-25,0.17,0.17,0.16,0.16,,4200.0
2000-01-26,0.16,0.17,0.16,0.16,,2300.0
2000-01-27,0.15,0.15,0.15,0.15,,2700.0
2000-01-28,0.15,0.15,0.15,0.15,,4200.0
2000-01-31,0.15,0.15,0.15,0.15,,3000.0
2000-02-01,0.16,0.16,0.16,0.16,,500.0
2000-02-02,0.16,0.16,0.16,0.16,,3100.0
2000-02-03,0.16,0.16,0.15,0.16,,143500.0
2000-02-04,0.16,0.17,0.16,0.16,,6600.0
2000-02-07,0.16,0.17,0.16,0.17,,18400.0
2000-02-08,0.17,0.17,0.17,0.17,,8800.0
2000-02-09,0.17,0.19,0.17,0.18,,16700.0
2000-02-10,0.19,0.19,0.19,0.19,,6500.0
2000-02-11,0.2,0.2,0.18,0.19,,46900.0
2000-02-14,0.19,0.22,0.19,0.22,,49600.0
2000-02-15,0.22,0.22,0.22,0.22,,17400.0
2000-02-16,0.21,0.22,0.21,0.22,,5500.0
2000-02-17,0.22,0.22,0.21,0.22,,9000.0
2000-02-18,0.21,0.22,0.21,0.21,,3500.0
2000-02-22,0.21,0.21,0.2,0.2,,3600.0
2000-02-23,0.19,0.21,0.19,0.19,,29100.0
2000-02-24,0.18,0.19,0.18,0.19,,62200.0
2000-02-25,0.21,0.21,0.19,0.19,,2700.0
2000-02-28,0.2,0.2,0.2,0.2,,2000.0
2000-02-29,0.2,0.2,0.19,0.19,,2200.0
2000-03-01,0.19,0.19,0.17,0.17,,7700.0
2000-03-02,0.18,0.19,0.17,0.19,,10100.0
2000-03-03,0.19,0.19,0.18,0.19,,13200.0
2000-03-06,0.18,0.2,0.18,0.19,,22200.0
2000-03-07,0.18,0.2,0.18,0.18,,19700.0
2000-03-08,0.19,0.19,0.18,0.18,,2900.0
2000-03-09,0.19,0.19,0.19,0.19,,11600.0
2000-03-10,0.19,0.19,0.17,0.17,,11500.0
2000-03-13,0.18,0.19,0.17,0.18,,7900.0
2000-03-14,0.18,0.19,0.18,0.19,,900.0
2000-03-15,0.18,0.18,0.18,0.18,,800.0
2000-03-16,0.18,0.18,0.17,0.17,,22000.0
2000-03-17,0.17,0.18,0.17,0.18,,20300.0
2000-03-20,0.17,0.2,0.17,0.2,,28000.0
2000-03-21,0.2,0.22,0.2,0.21,,7300.0
2000-03-22,0.22,0.22,0.2,0.22,,18900.0
2000-03-23,0.22,0.23,0.22,0.22,,32500.0
2000-03-24,0.22,0.23,0.22,0.22,,9600.0
2000-03-27,0.22,0.23,0.22,0.22,,32700.0
2000-03-28,0.22,0.22,0.2,0.2,,12400.0
2000-03-29,0.21,0.22,0.21,0.21,,12600.0
2000-03-30,0.22,0.22,0.22,0.22,,600.0
2000-03-31,0.22,0.23,0.22,0.22,,32300.0
2000-04-03,0.22,0.22,0.2,0.21,,15000.0
2000-04-04,0.21,0.21,0.19,0.19,,13200.0
2000-04-05,0.2,0.2,0.2,0.2,,300.0
2000-04-06,0.19,0.19,0.19,0.19,,200.0
2000-04-07,0.19,0.19,0.19,0.19,,0.0
2000-04-10,0.22,0.22,0.19,0.19,,12000.0
2000-04-11,0.19,0.21,0.19,0.19,,5800.0
2000-04-12,0.18,0.19,0.18,0.19,,600.0
2000-04-13,0.21,0.21,0.19,0.19,,2900.0
2000-04-14,0.18,0.18,0.18,0.18,,4500.0
2000-04-17,0.18,0.18,0.18,0.18,,300.0
2000-04-18,0.22,0.22,0.19,0.2,,2500.0
2000-04-19,0.19,0.22,0.18,0.18,,4500.0
2000-04-20,0.2,0.2,0.18,0.18,,1300.0
2000-04-24,0.18,0.18,0.18,0.18,,3600.0
2000-04-25,0.21,0.21,0.18,0.21,,5900.0
2000-04-26,0.18,0.18,0.18,0.18,,900.0
2000-04-27,0.21,0.23,0.21,0.22,,58200.0
2000-04-28,0.21,0.22,0.19,0.22,,41100.0
2000-05-01,0.22,0.23,0.2,0.22,,7800.0
2000-05-02,0.2,0.2,0.2,0.2,,300.0
2000-05-03,0.21,0.22,0.21,0.21,,2400.0
2000-05-04,0.21,0.21,0.21,0.21,,0.0
2000-05-05,0.2,0.21,0.19,0.21,,12200.0
2000-05-08,0.19,0.22,0.19,0.21,,5000.0
2000-05-09,0.21,0.21,0.21,0.21,,4400.0
2000-05-10,0.21,0.21,0.21,0.21,,15300.0
2000-05-11,0.22,0.22,0.2,0.2,,7400.0
2000-05-12,0.2,0.21,0.2,0.2,,2800.0
2000-05-15,0.19,0.21,0.19,0.19,,13200.0
2000-05-16,0.19,0.22,0.19,0.21,,2300.0
2000-05-17,0.21,0.21,0.21,0.21,,2200.0
2000-05-18,0.2,0.22,0.2,0.22,,32300.0
2000-05-19,0.2,0.21,0.2,0.2,,11400.0
2000-05-22,0.2,0.2,0.16,0.18,,22600.0
2000-05-23,0.18,0.18,0.18,0.18,,0.0
2000-05-24,0.18,0.2,0.18,0.2,,8100.0
2000-05-25,0.2,0.2,0.2,0.2,,300.0
2000-05-26,0.19,0.19,0.17,0.18,,8300.0
2000-05-30,0.18,0.18,0.18,0.18,,1200.0
2000-05-31,0.18,0.18,0.18,0.18,,0.0
2000-06-01,0.18,0.2,0.18,0.19,,18000.0
2000-06-02,0.19,0.19,0.19,0.19,,0.0
2000-06-05,0.17,0.22,0.17,0.18,,8300.0
2000-06-06,0.18,0.18,0.18,0.18,,0.0
2000-06-07,0.18,0.18,0.18,0.18,,400.0
2000-06-08,0.18,0.19,0.18,0.19,,1800.0
2000-06-09,0.18,0.18,0.18,0.18,,500.0
2000-06-12,0.18,0.18,0.18,0.18,,800.0
2000-06-13,0.19,0.19,0.18,0.19,,5900.0
2000-06-14,0.19,0.19,0.18,0.19,,6200.0
2000-06-15,0.18,0.18,0.18,0.18,,400.0
2000-06-16,0.19,0.19,0.18,0.19,,1200.0
2000-06-19,0.18,0.18,0.17,0.17,,5300.0
2000-06-20,0.17,0.17,0.17,0.17,,1000.0
2000-06-21,0.18,0.19,0.18,0.18,,4600.0
2000-06-22,0.18,0.18,0.18,0.18,,500.0
2000-06-23,0.18,0.19,0.18,0.19,,3200.0
2000-06-26,0.18,0.18,0.18,0.18,,8600.0
2000-06-27,0.19,0.19,0.18,0.18,,8300.0
2000-06-28,0.18,0.18,0.18,0.18,,13500.0
2000-06-29,0.18,0.18,0.17,0.18,,8100.0
2000-06-30,0.18,0.18,0.18,0.18,,0.0
2000-07-03,0.18,0.18,0.18,0.18,,700.0
2000-07-05,0.17,0.18,0.17,0.18,,9300.0
2000-07-06,0.18,0.18,0.17,0.18,,9700.0
2000-07-07,0.18,0.18,0.18,0.18,,0.0
2000-07-10,0.18,0.18,0.18,0.18,,10200.0
2000-07-11,0.17,0.18,0.17,0.18,,6300.0
2000-07-12,0.18,0.18,0.18,0.18,,0.0
2000-07-13,0.18,0.18,0.18,0.18,,200.0
2000-07-14,0.18,0.18,0.18,0.18,,700.0
2000-07-17,0.18,0.18,0.17,0.17,,2100.0
2000-07-18,0.17,0.18,0.17,0.17,,1300.0
2000-07-19,0.17,0.17,0.17,0.17,,7800.0
2000-07-20,0.17,0.18,0.17,0.18,,400.0
2000-07-21,0.17,0.17,0.17,0.17,,2700.0
2000-07-24,0.18,0.19,0.18,0.18,,14400.0
2000-07-25,0.19,0.22,0.19,0.22,,52100.0
2000-07-26,0.21,0.21,0.19,0.2,,68800.0
2000-07-27,0.21,0.22,0.19,0.21,,203300.0
2000-07-28,0.2,0.21,0.19,0.19,,23500.0
2000-07-31,0.21,0.21,0.2,0.2,,19700.0
2000-08-01,0.21,0.21,0.2,0.21,,18700.0
2000-08-02,0.2,0.21,0.2,0.2,,18000.0
2000-08-03,0.2,0.21,0.2,0.21,,59400.0
2000-08-04,0.2,0.21,0.2,0.2,,14800.0
2000-08-07,0.21,0.22,0.21,0.22,,5200.0
2000-08-08,0.22,0.22,0.22,0.22,,21600.0
2000-08-09,0.22,0.22,0.22,0.22,,2500.0
2000-08-10,0.22,0.22,0.21,0.21,,2300.0
2000-08-11,0.22,0.22,0.21,0.21,,97500.0
2000-08-14,0.22,0.26,0.22,0.26,,199800.0
2000-08-15,0.28,0.3,0.27,0.28,,142700.0
2000-08-16,0.29,0.31,0.28,0.31,,104700.0
2000-08-17,0.31,0.31,0.27,0.29,,98800.0
2000-08-18,0.29,0.32,0.28,0.32,,64600.0
2000-08-21,0.33,0.36,0.33,0.33,,54200.0
2000-08-22,0.33,0.35,0.33,0.34,,53300.0
2000-08-23,0.35,0.35,0.33,0.33,,26100.0
2000-08-24,0.34,0.34,0.33,0.33,,10200.0
2000-08-25,0.33,0.33,0.31,0.32,,35300.0
2000-08-28,0.32,0.32,0.3,0.31,,37500.0
2000-08-29,0.3,0.31,0.29,0.31,,31200.0
2000-08-30,0.3,0.34,0.29,0.33,,36700.0
2000-08-31,0.34,0.35,0.3,0.3,,35400.0
2000-09-01,0.3,0.32,0.3,0.32,,12900.0
2000-09-05,0.3,0.34,0.3,0.34,,13500.0
2000-09-06,0.33,0.34,0.33,0.33,,15600.0
2000-09-07,0.32,0.32,0.32,0.32,,800.0
2000-09-08,0.32,0.32,0.29,0.29,,8900.0
2000-09-11,0.29,0.29,0.27,0.28,,36100.0
2000-09-12,0.27,0.29,0.27,0.28,,20500.0
2000-09-13,0.28,0.28,0.27,0.27,,4400.0
2000-09-14,0.27,0.28,0.27,0.28,,1100.0
2000-09-15,0.28,0.28,0.26,0.28,,4200.0
2000-09-18,0.28,0.28,0.25,0.26,,8600.0
2000-09-19,0.26,0.26,0.26,0.26,,1200.0
2000-09-20,0.26,0.26,0.26,0.26,,0.0
2000-09-21,0.27,0.27,0.26,0.26,,3800.0
2000-09-22,0.27,0.27,0.27,0.27,,1000.0
2000-09-25,0.28,0.29,0.28,0.29,,56200.0
2000-09-26,0.28,0.29,0.27,0.28,,19700.0
2000-09-27,0.29,0.31,0.28,0.31,,73900.0
2000-09-28,0.31,0.31,0.3,0.31,,14000.0
2000-09-29,0.3,0.3,0.3,0.3,,10300.0
2000-10-02,0.3,0.3,0.3,0.3,,3100.0
2000-10-03,0.31,0.31,0.29,0.29,,9500.0
2000-10-04,0.3,0.3,0.28,0.28,,300.0
2000-10-05,0.29,0.29,0.28,0.28,,22600.0
2000-10-06,0.27,0.28,0.27,0.28,,28000.0
2000-10-09,0.27,0.28,0.27,0.27,,2200.0
2000-10-10,0.27,0.27,0.27,0.27,,300.0
2000-10-11,0.27,0.27,0.27,0.27,,300.0
2000-10-12,0.27,0.28,0.27,0.28,,4400.0
2000-10-13,0.28,0.29,0.28,0.29,,3300.0
2000-10-16,0.29,0.3,0.28,0.3,,4100.0
2000-10-17,0.33,0.33,0.29,0.29,,21800.0
2000-10-18,0.3,0.3,0.28,0.28,,6400.0
2000-10-19,0.28,0.28,0.27,0.27,,6800.0
2000-10-20,0.28,0.28,0.27,0.27,,50600.0
2000-10-23,0.27,0.27,0.25,0.25,,8200.0
2000-10-24,0.25,0.25,0.25,0.25,,200.0
2000-10-25,0.24,0.26,0.23,0.26,,85800.0
2000-10-26,0.26,0.28,0.24,0.28,,48400.0
2000-10-27,0.28,0.28,0.28,0.28,,2700.0
2000-10-30,0.28,0.28,0.28,0.28,,1400.0
2000-10-31,0.27,0.28,0.27,0.28,,21800.0
2000-11-01,0.28,0.28,0.28,0.28,,16200.0
2000-11-02,0.28,0.28,0.28,0.28,,28600.0
2000-11-03,0.28,0.28,0.28,0.28,,9600.0
2000-11-06,0.27,0.28,0.27,0.28,,11600.0
2000-11-07,0.28,0.28,0.28,0.28,,0.0
2000-11-08,0.27,0.27,0.27,0.27,,200.0
2000-11-09,0.28,0.28,0.27,0.27,,1200.0
2000-11-10,0.27,0.27,0.26,0.26,,6700.0
2000-11-13,0.27,0.27,0.26,0.26,,5900.0
2000-11-14,0.26,0.31,0.26,0.29,,19300.0
2000-11-15,0.28,0.28,0.28,0.28,,1200.0
2000-11-16,0.28,0.28,0.28,0.28,,0.0
2000-11-17,0.28,0.28,0.28,0.28,,0.0
2000-11-20,0.27,0.27,0.26,0.27,,6900.0
2000-11-21,0.27,0.27,0.27,0.27,,1400.0
2000-11-22,0.28,0.28,0.28,0.28,,600.0
