time,open,high,low,close,Volume,volume
1999-11-01,19.28,19.85,19.0,19.57,,7585800.0
1999-11-02,19.47,20.04,19.43,20.0,,6240800.0
1999-11-03,20.86,20.86,20.33,20.48,,8196800.0
1999-11-04,21.14,22.09,19.81,20.19,,13492400.0
1999-11-05,19.43,19.43,18.33,18.52,,26165000.0
1999-11-08,18.24,18.47,17.81,17.9,,14218600.0
1999-11-09,17.95,18.38,17.9,18.0,,14069200.0
1999-11-10,17.95,18.43,17.9,18.19,,11321600.0
1999-11-11,18.33,18.57,17.86,18.52,,9720900.0
1999-11-12,18.82,20.02,18.48,19.25,,10986100.0
1999-11-15,19.64,20.46,19.59,19.88,,15236800.0
1999-11-16,19.97,20.17,19.83,20.07,,11693400.0
1999-11-17,19.69,20.27,19.59,19.97,,10157000.0
1999-11-18,19.97,20.89,19.97,20.84,,11389200.0
1999-11-19,20.65,20.89,20.46,20.55,,6558400.0
1999-11-22,20.36,20.93,20.36,20.93,,6706000.0
1999-11-23,20.79,20.98,20.5,20.74,,7789100.0
1999-11-24,21.08,22.04,20.89,21.7,,10519600.0
1999-11-26,22.04,22.04,20.93,21.17,,4464200.0
1999-11-29,21.56,22.23,21.42,21.85,,9894400.0
1999-11-30,22.13,22.23,21.27,21.42,,8684600.0
1999-12-01,21.23,21.66,21.17,21.51,,7080900.0
1999-12-02,21.51,21.61,21.13,21.4,,8515700.0
1999-12-03,21.85,22.23,21.32,21.7,,10163400.0
1999-12-06,21.42,21.7,21.27,21.36,,5916300.0
1999-12-07,21.56,21.56,21.08,21.13,,8214000.0
1999-12-08,21.17,21.51,20.84,20.93,,9954400.0
1999-12-09,21.08,21.46,20.98,21.23,,11966800.0
1999-12-10,21.46,21.85,21.32,21.54,,11107300.0
1999-12-13,21.36,21.42,21.03,21.23,,8867200.0
1999-12-14,21.13,22.09,20.98,21.89,,8453100.0
1999-12-15,22.09,22.57,21.42,22.19,,10543700.0
1999-12-16,21.75,21.75,21.36,21.51,,6311300.0
1999-12-17,21.51,21.79,21.32,21.7,,11931400.0
1999-12-20,21.66,22.09,21.42,21.62,,6948200.0
1999-12-21,21.94,22.42,21.8,21.85,,7119600.0
1999-12-22,21.61,22.32,21.61,22.28,,5294900.0
1999-12-23,22.28,22.57,22.19,22.38,,4760200.0
1999-12-27,22.52,23.05,22.38,22.52,,8227900.0
1999-12-28,22.62,22.85,22.13,22.28,,4180600.0
1999-12-29,22.23,22.47,21.94,21.99,,4098400.0
1999-12-30,22.13,22.57,22.13,22.38,,4360900.0
1999-12-31,22.32,22.57,22.13,22.47,,2946900.0
2000-01-03,22.38,22.95,22.32,22.95,,8404800.0
2000-01-04,23.09,24.49,23.05,24.3,,16056100.0
2000-01-05,24.68,25.35,24.3,25.16,,19829900.0
2000-01-06,25.35,25.45,24.3,24.3,,7905600.0
2000-01-07,24.58,24.68,23.67,23.91,,6775600.0
2000-01-10,26.89,27.61,26.12,27.56,,33976400.0
2000-01-11,27.32,28.23,27.08,27.85,,20141000.0
2000-01-12,27.56,27.61,25.59,25.88,,13105000.0
2000-01-13,26.46,26.89,25.97,26.74,,8735100.0
2000-01-14,26.74,26.89,25.69,25.78,,8154000.0
2000-01-18,25.93,26.74,25.4,26.5,,8104200.0
2000-01-19,26.36,26.84,26.17,26.7,,6553300.0
2000-01-20,26.89,27.23,25.69,25.84,,7214300.0
2000-01-21,25.78,25.84,25.11,25.16,,8286700.0
2000-01-24,25.35,26.12,24.87,25.59,,8345600.0
2000-01-25,29.19,29.19,28.04,28.81,,29920500.0
2000-01-26,28.76,28.76,27.95,28.14,,10403900.0
2000-01-27,28.33,28.91,28.14,28.52,,9821500.0
2000-01-28,28.28,28.81,27.99,28.23,,7503200.0
2000-01-31,27.7,27.99,27.51,27.89,,7911500.0
2000-02-01,27.66,27.99,27.61,27.66,,7239400.0
2000-02-02,27.61,29.15,27.51,28.62,,9414200.0
2000-02-03,28.91,29.58,28.85,29.1,,10911500.0
2000-02-04,29.19,29.38,28.47,29.29,,6274900.0
2000-02-07,29.19,29.53,28.85,29.19,,6155400.0
2000-02-08,28.91,29.15,28.42,28.85,,5782000.0
2000-02-09,28.66,29.96,28.52,28.95,,6160200.0
2000-02-10,28.33,29.1,28.33,28.38,,5677600.0
2000-02-11,28.47,29.68,28.28,29.1,,7249200.0
2000-02-14,28.42,28.72,28.14,28.42,,5203200.0
2000-02-15,28.09,28.57,27.18,28.33,,7084900.0
2000-02-16,28.09,28.62,28.09,28.38,,4476600.0
2000-02-17,28.19,28.33,27.42,28.04,,4757700.0
2000-02-18,27.95,27.95,27.13,27.27,,6495800.0
2000-02-22,27.13,27.23,25.07,25.64,,12748100.0
2000-02-23,25.74,26.6,25.07,26.22,,8374300.0
2000-02-24,26.12,26.17,24.92,25.5,,8341200.0
2000-02-25,25.26,25.4,23.81,23.81,,8443200.0
2000-02-28,24.82,25.31,24.58,25.16,,7946100.0
2000-02-29,24.97,26.12,24.77,26.12,,5508100.0
2000-03-01,25.97,26.7,25.5,26.65,,7252600.0
2000-03-02,26.46,26.6,25.97,26.5,,6590200.0
2000-03-03,27.95,28.04,26.8,28.04,,14564200.0
2000-03-06,27.56,28.23,27.32,27.66,,7343200.0
2000-03-07,27.95,27.95,27.23,27.66,,7590400.0
2000-03-08,27.56,27.61,26.8,26.84,,6296500.0
2000-03-09,26.99,27.85,26.6,27.85,,5624700.0
2000-03-10,27.27,27.46,26.65,26.99,,7064100.0
2000-03-13,25.45,27.27,25.35,26.84,,5249000.0
2000-03-14,26.7,26.7,25.97,26.22,,5591200.0
2000-03-15,26.12,26.84,25.84,26.74,,6645000.0
2000-03-16,26.89,27.27,25.93,27.13,,8337700.0
2000-03-17,26.7,28.38,26.55,28.28,,8756300.0
2000-03-20,29.05,30.34,28.95,30.3,,16990800.0
2000-03-21,30.34,30.77,29.68,30.11,,13366200.0
2000-03-22,30.68,31.83,30.54,31.11,,13730100.0
2000-03-23,30.64,32.22,30.58,31.93,,8166300.0
2000-03-24,31.93,32.07,31.54,31.83,,6632400.0
2000-03-27,31.88,32.41,30.73,32.07,,5799400.0
2000-03-28,31.69,32.65,31.21,31.45,,7594900.0
2000-03-29,31.5,31.64,30.92,31.35,,5164000.0
2000-03-30,30.73,31.5,30.54,30.92,,5420300.0
2000-03-31,31.88,31.88,30.92,31.69,,5359900.0
2000-04-03,31.83,32.17,31.54,32.12,,4872100.0
2000-04-04,32.07,32.22,29.48,31.6,,7052100.0
2000-04-05,30.83,31.3,30.15,30.73,,5141700.0
2000-04-06,31.02,31.69,30.73,31.07,,3616600.0
2000-04-07,31.45,31.79,31.11,31.5,,3299000.0
2000-04-10,31.3,31.79,30.97,31.74,,3666700.0
2000-04-11,32.22,32.65,32.07,32.65,,6925500.0
2000-04-12,32.75,33.52,30.73,30.77,,8416900.0
2000-04-13,31.3,31.3,30.15,30.15,,5080000.0
2000-04-14,29.77,30.34,28.95,29.87,,8250800.0
2000-04-17,28.81,29.77,28.47,29.77,,6539200.0
2000-04-18,29.58,30.54,29.19,30.34,,4276800.0
2000-04-19,31.26,31.88,30.73,31.45,,8581800.0
2000-04-20,31.6,32.65,31.35,32.46,,5440500.0
2000-04-24,31.6,31.83,30.83,30.92,,3845300.0
2000-04-25,31.16,31.16,30.49,31.11,,3750500.0
2000-04-26,31.5,32.65,31.3,32.56,,6004500.0
2000-04-27,31.5,32.46,31.4,31.98,,4676200.0
2000-04-28,32.65,33.52,32.46,33.52,,11734900.0
2000-05-01,33.46,33.71,32.27,32.27,,8921900.0
2000-05-02,31.88,33.08,30.97,33.03,,9299400.0
2000-05-03,31.54,32.27,30.44,31.69,,6515700.0
2000-05-04,32.17,32.22,30.25,30.49,,7129600.0
2000-05-05,30.44,31.07,30.15,30.39,,3472400.0
2000-05-08,30.44,31.6,30.39,31.16,,3583300.0
2000-05-09,31.35,31.98,30.54,31.3,,3408100.0
2000-05-10,31.21,32.07,31.11,31.54,,6371800.0
2000-05-11,31.6,31.79,31.16,31.6,,3335500.0
2000-05-12,31.54,31.79,30.77,31.35,,3105500.0
2000-05-15,31.26,31.6,30.87,31.35,,3893200.0
2000-05-16,31.83,32.75,31.69,32.41,,5940600.0
2000-05-17,32.6,32.94,32.31,32.46,,4091000.0
2000-05-18,32.65,32.89,31.5,31.64,,4394900.0
2000-05-19,30.73,31.69,30.54,31.54,,4462700.0
2000-05-22,31.64,31.88,30.73,31.4,,4201800.0
2000-05-23,30.54,31.26,30.54,30.97,,4225700.0
2000-05-24,30.73,31.35,29.34,30.2,,4407200.0
2000-05-25,30.2,31.07,30.01,30.58,,3920200.0
2000-05-26,30.68,30.87,30.15,30.64,,3369200.0
2000-05-30,31.4,32.27,31.21,32.17,,7349000.0
2000-05-31,32.22,33.18,32.03,32.12,,5182500.0
2000-06-01,32.6,32.7,31.6,32.07,,3899700.0
2000-06-02,32.22,32.27,30.92,31.07,,5838700.0
2000-06-05,31.11,31.5,30.73,31.21,,4220200.0
2000-06-06,31.11,31.93,31.07,31.4,,3843100.0
2000-06-07,31.35,31.45,30.83,30.87,,3374600.0
2000-06-08,31.07,31.6,30.83,31.07,,3074300.0
2000-06-09,31.11,32.27,31.11,31.93,,4018700.0
2000-06-12,31.74,32.03,31.02,31.27,,3475500.0
2000-06-13,31.88,31.88,30.87,30.87,,5001900.0
2000-06-14,31.3,31.54,31.07,31.3,,2942000.0
2000-06-15,31.5,32.27,31.4,32.27,,4223500.0
2000-06-16,32.27,32.46,31.54,31.64,,4975000.0
2000-06-19,31.74,32.27,31.6,32.22,,2712800.0
2000-06-20,32.22,32.31,31.93,32.07,,3296900.0
2000-06-21,31.88,32.31,31.88,32.07,,2933100.0
2000-06-22,32.07,32.12,31.54,31.88,,2865200.0
2000-06-23,31.69,31.74,30.25,30.44,,5520800.0
2000-06-26,30.58,31.11,30.39,31.11,,3823100.0
2000-06-27,31.11,31.11,30.39,30.73,,3377800.0
2000-06-28,30.73,30.87,29.68,30.08,,3166300.0
2000-06-29,29.68,30.83,29.24,30.34,,4803200.0
2000-06-30,29.87,30.3,29.0,29.81,,6612500.0
2000-07-03,29.29,29.72,29.19,29.62,,2324200.0
2000-07-05,29.77,29.87,29.1,29.24,,4212600.0
2000-07-06,29.53,30.11,28.76,28.81,,3874200.0
2000-07-07,28.23,29.29,28.04,29.19,,9326800.0
2000-07-10,28.81,29.53,28.76,29.05,,4126400.0
2000-07-11,28.81,29.0,27.66,27.66,,3836100.0
2000-07-12,29.05,29.29,27.7,27.7,,4154500.0
2000-07-13,28.81,28.95,27.85,28.52,,5092800.0
2000-07-14,27.95,28.81,27.85,28.76,,4111700.0
2000-07-17,28.76,28.76,27.76,28.09,,4455300.0
2000-07-18,27.76,27.8,27.18,27.46,,4698800.0
2000-07-19,28.33,28.85,27.99,28.42,,5999500.0
2000-07-20,29.05,30.2,28.81,29.68,,5474500.0
2000-07-21,29.72,29.72,28.57,28.76,,3784500.0
2000-07-24,28.47,28.62,28.09,28.14,,2981500.0
2000-07-25,28.14,28.91,27.89,28.81,,3742500.0
2000-07-26,28.72,29.38,28.47,29.24,,4710400.0
2000-07-27,29.34,29.58,28.85,29.19,,2734800.0
2000-07-28,28.91,29.34,28.57,29.1,,2514000.0
2000-07-31,29.19,29.77,29.19,29.62,,4193500.0
2000-08-01,30.3,30.97,29.96,30.34,,8354900.0
2000-08-02,30.83,30.87,30.39,30.83,,4613400.0
2000-08-03,30.54,33.03,30.3,32.65,,4453000.0
2000-08-04,31.45,32.89,31.45,32.6,,14963400.0
2000-08-07,32.27,32.27,31.16,31.54,,6139500.0
2000-08-08,32.17,32.36,31.79,31.79,,5026700.0
2000-08-09,31.88,32.07,30.97,31.26,,3654900.0
2000-08-10,31.11,31.3,30.39,31.11,,3670500.0
2000-08-11,31.3,31.79,31.02,31.21,,4938100.0
2000-08-14,31.5,31.5,31.02,31.45,,2839000.0
2000-08-15,31.4,31.6,30.73,30.92,,2918000.0
2000-08-16,30.97,31.02,30.2,30.44,,2646700.0
2000-08-17,30.58,30.87,30.2,30.87,,2357900.0
2000-08-18,30.73,30.73,29.77,30.06,,4546300.0
2000-08-21,29.87,30.15,29.29,29.53,,3069900.0
2000-08-22,29.53,29.53,28.95,29.15,,3706300.0
2000-08-23,29.34,29.48,28.76,28.76,,3305700.0
2000-08-24,29.34,29.48,28.91,29.1,,5506100.0
2000-08-25,29.29,29.48,29.19,29.29,,2228200.0
2000-08-28,29.0,29.53,29.0,29.24,,3044200.0
2000-08-29,28.95,29.58,28.91,29.53,,3610500.0
2000-08-30,29.87,29.87,29.29,29.48,,3231600.0
2000-08-31,29.43,30.58,29.43,29.93,,4499700.0
2000-09-01,29.96,30.25,29.29,29.96,,1997800.0
2000-09-05,30.2,30.3,29.62,29.68,,3263200.0
2000-09-06,29.91,30.73,29.81,30.73,,4413800.0
2000-09-07,30.73,31.88,30.44,31.88,,4185000.0
2000-09-08,30.64,31.26,30.49,30.92,,3329400.0
2000-09-11,30.58,30.87,30.11,30.68,,2501800.0
2000-09-12,30.44,30.54,29.62,29.68,,3296000.0
2000-09-13,29.91,30.73,29.81,30.73,,3565600.0
2000-09-14,29.96,30.3,29.58,30.25,,3106100.0
2000-09-15,30.3,30.58,29.81,30.11,,5009500.0
2000-09-18,29.96,30.01,29.19,29.53,,2674400.0
2000-09-19,29.58,29.58,28.81,29.43,,3024500.0
2000-09-20,29.48,29.53,28.42,28.57,,4412400.0
2000-09-21,28.57,29.0,28.42,28.52,,3112400.0
2000-09-22,28.72,29.05,28.28,28.76,,3800000.0
2000-09-25,29.1,29.29,28.66,28.85,,2628200.0
2000-09-26,28.85,29.34,28.81,28.95,,3173400.0
2000-09-27,29.1,29.48,28.81,28.85,,2634700.0
2000-09-28,29.15,30.3,29.0,29.81,,4138800.0
2000-09-29,29.62,30.11,29.15,29.38,,4847500.0
2000-10-02,29.77,30.64,29.58,30.34,,3631000.0
2000-10-03,30.34,30.83,30.15,30.2,,4725000.0
2000-10-04,30.54,30.87,30.44,30.64,,4144900.0
2000-10-05,30.83,31.88,30.73,31.69,,5606000.0
2000-10-06,31.4,31.74,30.64,31.26,,4214400.0
2000-10-09,31.16,31.54,31.16,31.45,,3033600.0
2000-10-10,31.69,32.22,31.6,31.79,,4951000.0
2000-10-11,31.93,31.93,30.77,30.97,,5268000.0
2000-10-12,30.92,30.92,29.77,29.96,,5240500.0
2000-10-13,29.29,30.77,29.24,30.54,,5814300.0
2000-10-16,30.01,30.06,28.81,29.38,,5117700.0
2000-10-17,28.85,29.1,26.31,27.23,,8390500.0
2000-10-18,26.22,27.61,25.74,27.27,,9476400.0
2000-10-19,27.27,27.66,26.46,26.84,,5557300.0
2000-10-20,26.65,28.57,26.36,27.95,,6060600.0
2000-10-23,28.19,28.19,27.46,27.8,,3606800.0
2000-10-24,28.28,28.28,27.32,27.8,,4141300.0
2000-10-25,26.89,27.42,26.36,26.74,,3746400.0
2000-10-26,26.65,27.27,26.55,26.99,,5495100.0
2000-10-27,26.6,26.74,26.03,26.36,,4568000.0
2000-10-30,27.27,27.89,25.97,26.8,,4316900.0
2000-10-31,26.5,27.56,26.17,27.51,,5290400.0
2000-11-01,27.37,28.42,26.74,28.14,,5137500.0
2000-11-02,28.57,28.91,28.14,28.66,,4407700.0
2000-11-03,28.52,29.38,28.42,29.24,,4423800.0
