time,open,high,low,close,Volume,volume
1999-11-01,2.9,2.95,2.9,2.95,,83800.0
1999-11-02,2.95,3.02,2.95,3.01,,93200.0
1999-11-03,3.04,3.04,2.91,2.94,,124300.0
1999-11-04,2.95,2.99,2.9,2.91,,62000.0
1999-11-05,2.91,2.93,2.88,2.9,,96100.0
1999-11-08,2.9,2.93,2.87,2.93,,84500.0
1999-11-09,2.9,2.92,2.83,2.88,,120900.0
1999-11-10,2.86,2.9,2.84,2.84,,68700.0
1999-11-11,2.86,2.86,2.79,2.83,,68300.0
1999-11-12,2.82,2.84,2.79,2.8,,64700.0
1999-11-15,2.79,2.81,2.76,2.78,,139100.0
1999-11-16,2.83,2.84,2.77,2.79,,107200.0
1999-11-17,2.77,2.77,2.73,2.77,,146100.0
1999-11-18,2.76,2.85,2.75,2.85,,132300.0
1999-11-19,2.82,2.84,2.81,2.84,,86900.0
1999-11-22,2.99,2.99,2.93,2.95,,210500.0
1999-11-23,2.94,2.97,2.91,2.92,,125400.0
1999-11-24,2.92,2.95,2.9,2.9,,136400.0
1999-11-26,2.88,2.91,2.86,2.86,,35000.0
1999-11-29,2.86,2.88,2.86,2.87,,108300.0
1999-11-30,2.86,2.94,2.86,2.88,,72100.0
1999-12-01,2.88,2.93,2.83,2.84,,76500.0
1999-12-02,2.84,2.88,2.72,2.73,,1074000.0
1999-12-03,2.73,2.77,2.72,2.74,,136100.0
1999-12-06,2.72,2.75,2.71,2.74,,154800.0
1999-12-07,2.72,2.79,2.7,2.79,,193800.0
1999-12-08,2.76,2.76,2.61,2.65,,169100.0
1999-12-09,2.65,2.65,2.56,2.58,,198900.0
1999-12-10,2.56,2.58,2.52,2.52,,131700.0
1999-12-13,2.5,2.53,2.49,2.49,,165300.0
1999-12-14,2.47,2.51,2.44,2.46,,152300.0
1999-12-15,2.44,2.47,2.41,2.43,,266100.0
1999-12-16,2.44,2.48,2.42,2.44,,148000.0
1999-12-17,2.41,2.48,2.41,2.44,,283000.0
1999-12-20,2.47,2.54,2.45,2.52,,241300.0
1999-12-21,2.52,2.58,2.52,2.53,,258000.0
1999-12-22,2.55,2.61,2.55,2.56,,202800.0
1999-12-23,2.55,2.6,2.54,2.54,,136200.0
1999-12-27,2.55,2.62,2.51,2.52,,174800.0
1999-12-28,2.53,2.62,2.53,2.6,,187000.0
1999-12-29,2.58,2.66,2.58,2.65,,121900.0
1999-12-30,2.65,2.7,2.61,2.61,,129100.0
1999-12-31,2.58,2.66,2.58,2.65,,72000.0
2000-01-03,2.65,2.65,2.63,2.65,,168100.0
2000-01-04,2.62,2.68,2.56,2.65,,206800.0
2000-01-05,2.62,2.71,2.62,2.69,,128800.0
2000-01-06,2.7,2.81,2.7,2.79,,193100.0
2000-01-07,2.78,2.86,2.77,2.86,,166000.0
2000-01-10,2.85,2.88,2.82,2.87,,210900.0
2000-01-11,2.87,2.88,2.82,2.83,,126200.0
2000-01-12,2.86,2.88,2.83,2.86,,163100.0
2000-01-13,2.86,2.9,2.85,2.88,,182800.0
2000-01-14,2.87,2.88,2.86,2.86,,103900.0
2000-01-18,2.83,2.86,2.79,2.79,,177000.0
2000-01-19,2.78,2.86,2.78,2.84,,88400.0
2000-01-20,2.84,2.88,2.83,2.86,,103400.0
2000-01-21,2.83,2.88,2.83,2.88,,121300.0
2000-01-24,2.86,2.88,2.83,2.83,,131000.0
2000-01-25,2.84,2.88,2.83,2.86,,73000.0
2000-01-26,2.84,2.86,2.83,2.86,,111900.0
2000-01-27,2.86,2.89,2.86,2.88,,127700.0
2000-01-28,2.9,2.9,2.8,2.81,,102500.0
2000-01-31,2.81,2.86,2.81,2.83,,142500.0
2000-02-01,2.84,2.87,2.79,2.85,,206900.0
2000-02-02,2.84,2.87,2.84,2.87,,124900.0
2000-02-03,2.87,2.88,2.84,2.86,,103600.0
2000-02-04,2.85,2.87,2.83,2.87,,95500.0
2000-02-07,2.85,2.87,2.85,2.85,,128300.0
2000-02-08,2.85,2.87,2.85,2.86,,143600.0
2000-02-09,2.85,2.9,2.85,2.85,,96300.0
2000-02-10,2.87,2.87,2.85,2.86,,72300.0
2000-02-11,2.85,2.86,2.82,2.82,,112800.0
2000-02-14,2.79,2.8,2.77,2.77,,100300.0
2000-02-15,2.8,2.8,2.74,2.79,,211600.0
2000-02-16,2.77,2.77,2.72,2.76,,112900.0
2000-02-17,2.77,2.85,2.77,2.84,,84500.0
2000-02-18,2.83,2.86,2.79,2.79,,84200.0
2000-02-22,2.87,2.87,2.79,2.82,,76100.0
2000-02-23,2.79,2.8,2.74,2.77,,126100.0
2000-02-24,2.79,2.79,2.7,2.7,,111600.0
2000-02-25,2.72,2.81,2.72,2.78,,89400.0
2000-02-28,2.75,2.85,2.75,2.84,,123100.0
2000-02-29,2.81,2.86,2.79,2.84,,125100.0
2000-03-01,2.83,2.85,2.77,2.8,,40200.0
2000-03-02,2.8,2.83,2.78,2.82,,45400.0
2000-03-03,2.82,2.84,2.79,2.82,,60800.0
2000-03-06,2.79,2.83,2.77,2.8,,73200.0
2000-03-07,2.79,2.82,2.77,2.79,,95300.0
2000-03-08,2.79,2.84,2.74,2.81,,80800.0
2000-03-09,2.79,2.82,2.79,2.81,,66800.0
2000-03-10,2.8,2.83,2.78,2.79,,115100.0
2000-03-13,2.77,2.83,2.77,2.8,,129100.0
2000-03-14,2.78,2.82,2.78,2.8,,98600.0
2000-03-15,2.79,2.85,2.79,2.83,,89800.0
2000-03-16,2.83,2.95,2.81,2.91,,140800.0
2000-03-17,2.9,2.94,2.89,2.94,,73300.0
2000-03-20,2.91,2.95,2.91,2.94,,74100.0
2000-03-21,2.92,2.95,2.91,2.95,,65100.0
2000-03-22,2.9,2.95,2.9,2.92,,80800.0
2000-03-23,2.87,2.93,2.86,2.91,,118000.0
2000-03-24,2.88,2.94,2.87,2.91,,67400.0
2000-03-27,2.91,2.93,2.89,2.91,,56900.0
2000-03-28,2.92,2.94,2.9,2.91,,97100.0
2000-03-29,2.89,2.93,2.87,2.89,,95600.0
2000-03-30,2.87,2.92,2.86,2.88,,90700.0
2000-03-31,2.86,2.92,2.86,2.9,,107200.0
2000-04-03,2.89,2.9,2.86,2.88,,116400.0
2000-04-04,2.88,2.88,2.8,2.85,,190300.0
2000-04-05,2.83,2.9,2.8,2.88,,136900.0
2000-04-06,2.87,2.9,2.86,2.86,,100900.0
2000-04-07,2.87,2.89,2.85,2.87,,55500.0
2000-04-10,2.87,2.91,2.87,2.88,,106400.0
2000-04-11,2.86,2.9,2.86,2.9,,157000.0
2000-04-12,2.9,3.03,2.9,3.0,,141600.0
2000-04-13,2.97,3.05,2.96,2.97,,89700.0
2000-04-14,2.96,3.07,2.94,3.0,,170400.0
2000-04-17,3.0,3.14,2.99,3.05,,103200.0
2000-04-18,3.03,3.11,3.03,3.09,,136100.0
2000-04-19,3.08,3.1,3.05,3.08,,63000.0
2000-04-20,3.09,3.1,3.05,3.1,,134800.0
2000-04-24,3.12,3.15,3.1,3.12,,103500.0
2000-04-25,3.11,3.17,3.1,3.14,,93500.0
2000-04-26,3.13,3.17,3.12,3.13,,48000.0
2000-04-27,3.12,3.19,3.11,3.18,,228300.0
2000-04-28,3.17,3.21,3.17,3.18,,99200.0
2000-05-01,3.21,3.24,3.19,3.21,,68600.0
2000-05-02,3.16,3.22,3.16,3.16,,103000.0
2000-05-03,3.16,3.18,3.15,3.16,,245700.0
2000-05-04,3.13,3.2,3.13,3.16,,126900.0
2000-05-05,3.13,3.2,3.13,3.18,,80700.0
2000-05-08,3.16,3.18,3.16,3.16,,103700.0
2000-05-09,3.16,3.18,3.12,3.16,,71700.0
2000-05-10,3.16,3.18,3.14,3.16,,70800.0
2000-05-11,3.16,3.24,3.16,3.24,,50600.0
2000-05-12,3.22,3.24,3.18,3.19,,50600.0
2000-05-15,3.18,3.2,3.16,3.18,,41000.0
2000-05-16,3.21,3.24,3.19,3.21,,43600.0
2000-05-17,3.18,3.21,3.15,3.15,,220100.0
2000-05-18,3.15,3.2,3.13,3.13,,107100.0
2000-05-19,3.16,3.18,3.11,3.15,,69800.0
2000-05-22,3.16,3.21,3.16,3.21,,80500.0
2000-05-23,3.2,3.21,3.16,3.17,,51300.0
2000-05-24,3.18,3.21,3.16,3.2,,67100.0
2000-05-25,3.19,3.2,3.16,3.16,,41800.0
2000-05-26,3.16,3.18,3.14,3.16,,31800.0
2000-05-30,3.16,3.19,3.14,3.18,,49600.0
2000-05-31,3.18,3.19,3.16,3.16,,52200.0
2000-06-01,3.11,3.2,3.11,3.19,,82500.0
2000-06-02,3.18,3.22,3.18,3.22,,156200.0
2000-06-05,3.21,3.22,3.17,3.18,,68100.0
2000-06-06,3.19,3.24,3.18,3.19,,45900.0
2000-06-07,3.19,3.24,3.17,3.24,,70000.0
2000-06-08,3.23,3.25,3.2,3.22,,86100.0
2000-06-09,3.24,3.24,3.2,3.23,,45900.0
2000-06-12,3.21,3.24,3.2,3.23,,32800.0
2000-06-13,3.24,3.27,3.22,3.26,,51900.0
2000-06-14,3.28,3.32,3.28,3.29,,65800.0
2000-06-15,3.29,3.32,3.29,3.31,,62000.0
2000-06-16,3.31,3.32,3.3,3.32,,112900.0
2000-06-19,3.32,3.36,3.31,3.34,,71900.0
2000-06-20,3.34,3.4,3.34,3.39,,87400.0
2000-06-21,3.4,3.41,3.36,3.37,,53200.0
2000-06-22,3.4,3.4,3.34,3.34,,78700.0
2000-06-23,3.35,3.35,3.31,3.32,,47400.0
2000-06-26,3.33,3.35,3.31,3.35,,47100.0
2000-06-27,3.34,3.37,3.32,3.37,,71300.0
2000-06-28,3.36,3.4,3.35,3.4,,72100.0
2000-06-29,3.4,3.41,3.35,3.36,,58000.0
2000-06-30,3.37,3.42,3.19,3.19,,202800.0
2000-07-03,3.21,3.33,3.21,3.31,,59700.0
2000-07-05,3.34,3.4,3.25,3.36,,77200.0
2000-07-06,3.37,3.4,3.33,3.4,,64300.0
2000-07-07,3.37,3.41,3.37,3.4,,48200.0
2000-07-10,3.43,3.44,3.38,3.4,,67000.0
2000-07-11,3.42,3.43,3.38,3.4,,111900.0
2000-07-12,3.4,3.43,3.4,3.4,,116800.0
2000-07-13,3.4,3.45,3.4,3.41,,67900.0
2000-07-14,3.42,3.42,3.4,3.4,,90900.0
2000-07-17,3.41,3.41,3.39,3.41,,74500.0
2000-07-18,3.43,3.44,3.39,3.4,,96700.0
2000-07-19,3.42,3.42,3.39,3.39,,50000.0
2000-07-20,3.39,3.44,3.39,3.43,,142400.0
2000-07-21,3.44,3.44,3.4,3.4,,118900.0
2000-07-24,3.4,3.4,3.31,3.38,,127700.0
2000-07-25,3.37,3.38,3.31,3.38,,193000.0
2000-07-26,3.4,3.4,3.36,3.4,,102000.0
2000-07-27,3.39,3.43,3.38,3.41,,86200.0
2000-07-28,3.4,3.41,3.37,3.4,,76100.0
2000-07-31,3.4,3.48,3.37,3.48,,79000.0
2000-08-01,3.45,3.51,3.44,3.49,,105100.0
2000-08-02,3.49,3.5,3.44,3.48,,143500.0
2000-08-03,3.46,3.47,3.39,3.45,,118800.0
2000-08-04,3.45,3.45,3.39,3.43,,123900.0
2000-08-07,3.42,3.45,3.4,3.45,,100900.0
2000-08-08,3.45,3.45,3.41,3.41,,142500.0
2000-08-09,3.42,3.44,3.33,3.36,,171400.0
2000-08-10,3.38,3.39,3.34,3.36,,55000.0
2000-08-11,3.34,3.4,3.32,3.36,,68600.0
2000-08-14,3.36,3.36,3.34,3.36,,81000.0
2000-08-15,3.36,3.39,3.34,3.35,,185900.0
2000-08-16,3.33,3.39,3.33,3.35,,79200.0
2000-08-17,3.39,3.39,3.33,3.35,,51200.0
2000-08-18,3.35,3.37,3.32,3.36,,82700.0
2000-08-21,3.39,3.39,3.33,3.33,,118800.0
2000-08-22,3.33,3.33,3.27,3.27,,100400.0
2000-08-23,3.25,3.31,3.25,3.3,,53000.0
2000-08-24,3.29,3.3,3.23,3.25,,49600.0
2000-08-25,3.24,3.27,3.21,3.27,,54100.0
2000-08-28,3.29,3.29,3.22,3.24,,71900.0
2000-08-29,3.24,3.24,3.16,3.18,,99600.0
2000-08-30,3.18,3.18,3.14,3.17,,80100.0
2000-08-31,3.19,3.21,3.14,3.18,,65200.0
2000-09-01,3.18,3.2,3.14,3.17,,50600.0
2000-09-05,3.2,3.29,3.2,3.27,,103400.0
2000-09-06,3.29,3.38,3.21,3.38,,258300.0
2000-09-07,3.38,3.44,3.37,3.43,,156500.0
2000-09-08,3.4,3.45,3.4,3.41,,91000.0
2000-09-11,3.42,3.42,3.32,3.39,,70500.0
2000-09-12,3.39,3.42,3.36,3.4,,94500.0
2000-09-13,3.37,3.43,3.37,3.39,,93800.0
2000-09-14,3.39,3.44,3.37,3.41,,113400.0
2000-09-15,3.38,3.42,3.36,3.36,,67300.0
2000-09-18,3.37,3.41,3.37,3.37,,106000.0
2000-09-19,3.39,3.45,3.38,3.45,,71900.0
2000-09-20,3.45,3.47,3.43,3.45,,67400.0
2000-09-21,3.44,3.47,3.44,3.45,,39900.0
2000-09-22,3.46,3.51,3.46,3.5,,108000.0
2000-09-25,3.49,3.51,3.42,3.51,,43900.0
2000-09-26,3.5,3.51,3.46,3.49,,41800.0
2000-09-27,3.51,3.53,3.48,3.53,,56600.0
2000-09-28,3.51,3.66,3.51,3.66,,87300.0
2000-09-29,3.56,3.58,3.56,3.56,,92000.0
2000-10-02,3.57,3.57,3.48,3.48,,34400.0
2000-10-03,3.48,3.49,3.44,3.45,,62600.0
2000-10-04,3.48,3.48,3.41,3.48,,88100.0
2000-10-05,3.48,3.48,3.45,3.46,,31300.0
2000-10-06,3.48,3.48,3.45,3.46,,54200.0
2000-10-09,3.45,3.48,3.42,3.47,,29100.0
2000-10-10,3.45,3.51,3.45,3.51,,64700.0
2000-10-11,3.53,3.56,3.49,3.55,,98800.0
2000-10-12,3.52,3.57,3.5,3.53,,71600.0
2000-10-13,3.53,3.56,3.49,3.56,,61200.0
2000-10-16,3.56,3.61,3.48,3.49,,97300.0
2000-10-17,3.48,3.5,3.45,3.47,,64900.0
2000-10-18,3.45,3.54,3.42,3.54,,47500.0
2000-10-19,3.55,3.56,3.51,3.54,,49500.0
2000-10-20,3.54,3.54,3.48,3.51,,42100.0
2000-10-23,3.49,3.54,3.48,3.49,,93800.0
2000-10-24,3.51,3.54,3.45,3.45,,63500.0
2000-10-25,3.5,3.5,3.42,3.43,,66800.0
2000-10-26,3.42,3.53,3.42,3.48,,54300.0
2000-10-27,3.45,3.48,3.45,3.48,,50100.0
2000-10-30,3.48,3.54,3.46,3.53,,72800.0
2000-10-31,3.54,3.56,3.52,3.53,,100700.0
2000-11-01,3.53,3.54,3.47,3.5,,100900.0
2000-11-02,3.5,3.53,3.5,3.53,,56200.0
