time,open,high,low,close,Volume,volume
1999-11-01,18.05,18.21,17.66,17.76,,500400.0
1999-11-02,17.79,18.5,17.79,18.21,,428600.0
1999-11-03,18.1,18.48,17.82,18.4,,671700.0
1999-11-04,18.61,18.9,18.29,18.35,,405700.0
1999-11-05,18.5,18.79,18.45,18.56,,349400.0
1999-11-08,18.63,18.71,18.35,18.4,,277800.0
1999-11-09,18.45,18.58,18.16,18.56,,386500.0
1999-11-10,18.4,19.11,18.18,18.95,,422100.0
1999-11-11,19.03,19.43,18.92,18.92,,713100.0
1999-11-12,19.0,19.0,18.63,18.71,,416400.0
1999-11-15,18.66,18.92,18.42,18.84,,593400.0
1999-11-16,19.03,19.16,18.79,18.84,,918200.0
1999-11-17,18.84,18.98,18.82,18.84,,502700.0
1999-11-18,18.84,18.9,18.53,18.61,,605000.0
1999-11-19,18.58,18.58,18.18,18.37,,459900.0
1999-11-22,18.18,18.26,17.97,18.21,,335300.0
1999-11-23,18.21,18.24,17.74,17.97,,1043000.0
1999-11-24,18.03,18.48,17.97,18.21,,246700.0
1999-11-26,18.29,18.39,18.1,18.29,,97100.0
1999-11-29,18.23,18.31,18.02,18.31,,266300.0
1999-11-30,18.23,18.76,18.23,18.44,,1021100.0
1999-12-01,18.87,19.37,18.87,19.0,,923600.0
1999-12-02,19.03,19.32,18.97,19.27,,545200.0
1999-12-03,19.37,20.2,19.37,19.88,,738000.0
1999-12-06,19.82,20.22,19.53,20.03,,568800.0
1999-12-07,20.06,20.33,19.93,20.14,,667500.0
1999-12-08,20.01,20.01,19.53,19.74,,601600.0
1999-12-09,19.82,19.93,19.37,19.53,,691900.0
1999-12-10,19.53,19.72,19.24,19.32,,305200.0
1999-12-13,19.37,19.37,19.11,19.24,,778500.0
1999-12-14,19.16,19.93,19.08,19.29,,815400.0
1999-12-15,19.24,19.48,19.08,19.19,,667200.0
1999-12-16,19.21,19.88,19.0,19.85,,623200.0
1999-12-17,19.93,20.14,19.61,19.72,,1509300.0
1999-12-20,19.67,19.77,19.4,19.45,,564100.0
1999-12-21,19.48,19.48,19.21,19.24,,648400.0
1999-12-22,19.24,19.24,18.89,19.03,,528700.0
1999-12-23,19.06,19.14,19.03,19.08,,762500.0
1999-12-27,19.14,19.14,18.84,18.84,,672500.0
1999-12-28,18.66,19.24,18.66,18.89,,1307500.0
1999-12-29,18.95,19.14,18.82,18.92,,323700.0
1999-12-30,19.0,19.08,18.92,19.03,,242800.0
1999-12-31,19.0,19.29,18.97,19.24,,167800.0
