time,open,high,low,close,Volume,volume
1999-11-01,6.44,6.44,6.27,6.27,,295000.0
1999-11-02,6.31,6.46,6.31,6.38,,259800.0
1999-11-03,6.38,6.58,6.38,6.4,,352867.0
1999-11-04,6.42,6.69,6.42,6.58,,291800.0
1999-11-05,6.65,6.73,6.56,6.56,,643000.0
1999-11-08,6.58,6.83,6.58,6.75,,323800.0
1999-11-09,6.79,6.79,6.44,6.44,,423467.0
1999-11-10,6.4,6.54,6.38,6.46,,231667.0
1999-11-11,6.46,6.52,6.42,6.5,,256200.0
1999-11-12,6.46,6.63,6.46,6.56,,127667.0
1999-11-15,6.58,6.75,6.58,6.63,,199000.0
1999-11-16,6.65,6.67,6.54,6.58,,230467.0
1999-11-17,6.58,6.63,6.46,6.46,,394000.0
1999-11-18,6.48,6.54,6.27,6.27,,514067.0
1999-11-19,6.19,6.23,5.94,6.0,,330400.0
1999-11-22,6.04,6.1,5.96,6.03,,320800.0
1999-11-23,5.98,5.98,5.79,5.85,,303467.0
1999-11-24,5.85,5.88,5.67,5.73,,302667.0
1999-11-26,5.73,5.83,5.71,5.71,,84400.0
1999-11-29,5.71,5.96,5.63,5.96,,285267.0
1999-11-30,5.96,5.96,5.79,5.94,,717867.0
1999-12-01,5.98,6.1,5.92,5.96,,457867.0
1999-12-02,5.96,5.98,5.69,5.77,,231200.0
1999-12-03,5.79,6.04,5.79,5.98,,304000.0
1999-12-06,5.98,5.98,5.85,5.88,,169667.0
1999-12-07,5.85,5.94,5.75,5.81,,347067.0
1999-12-08,5.77,5.9,5.71,5.75,,240600.0
1999-12-09,5.73,5.77,5.48,5.52,,235267.0
1999-12-10,5.6,5.6,5.4,5.5,,226600.0
1999-12-13,5.48,5.63,5.38,5.44,,314467.0
1999-12-14,5.35,5.52,5.33,5.5,,420867.0
1999-12-15,5.44,5.6,5.42,5.46,,315400.0
1999-12-16,5.38,5.42,5.29,5.31,,321467.0
1999-12-17,5.42,5.75,5.42,5.71,,945600.0
1999-12-20,5.67,6.04,5.63,6.0,,529200.0
1999-12-21,6.0,6.0,5.71,5.73,,316800.0
1999-12-22,5.69,5.88,5.67,5.77,,592267.0
