time,open,high,low,close,Volume,volume
1999-11-01,12.65,12.75,12.47,12.75,,280700.0
1999-11-02,12.72,12.86,12.61,12.72,,205500.0
1999-11-03,12.72,12.89,12.56,12.65,,336100.0
1999-11-04,12.65,12.82,12.65,12.65,,291100.0
1999-11-05,12.75,12.82,12.54,12.63,,305300.0
1999-11-08,12.72,12.93,12.72,12.86,,176200.0
1999-11-09,12.86,12.91,12.58,12.61,,408000.0
1999-11-10,12.61,13.07,12.61,13.03,,223100.0
1999-11-11,12.95,13.21,12.95,13.12,,278000.0
1999-11-12,13.17,13.45,12.89,12.98,,537500.0
1999-11-15,12.95,13.47,12.95,13.47,,304400.0
1999-11-16,13.47,13.91,13.47,13.75,,406600.0
1999-11-17,13.91,14.07,13.86,14.0,,426600.0
1999-11-18,14.07,14.07,13.58,13.73,,258500.0
1999-11-19,13.63,13.7,13.45,13.58,,225800.0
1999-11-22,13.68,13.68,13.21,13.4,,313200.0
1999-11-23,13.4,13.45,12.91,12.95,,395500.0
1999-11-24,13.0,13.03,12.72,13.0,,200700.0
1999-11-26,12.91,13.0,12.84,12.93,,48600.0
1999-11-29,12.84,12.84,12.44,12.49,,349500.0
1999-11-30,12.47,13.14,12.47,12.89,,348700.0
1999-12-01,12.79,13.1,12.72,12.86,,399000.0
1999-12-02,12.89,13.0,12.86,12.93,,202500.0
1999-12-03,12.89,13.4,12.89,13.12,,485300.0
1999-12-06,13.03,13.12,12.79,12.89,,311600.0
1999-12-07,12.98,12.98,12.56,12.7,,334200.0
1999-12-08,12.65,12.68,12.42,12.63,,260300.0
1999-12-09,12.61,12.7,12.52,12.56,,234500.0
1999-12-10,12.54,12.58,12.24,12.54,,228200.0
1999-12-13,12.44,12.7,12.42,12.58,,281300.0
1999-12-14,12.49,12.79,12.47,12.63,,415600.0
1999-12-15,12.56,13.0,12.47,12.95,,377500.0
1999-12-16,13.03,13.49,12.93,13.26,,598600.0
1999-12-17,13.28,13.54,13.07,13.54,,579800.0
1999-12-20,13.54,13.56,13.1,13.38,,867200.0
1999-12-21,13.35,13.45,13.28,13.35,,675900.0
1999-12-22,13.35,13.47,13.26,13.35,,527100.0
1999-12-23,13.26,13.63,13.26,13.47,,449700.0
1999-12-27,13.45,13.82,13.45,13.63,,656300.0
1999-12-28,13.68,13.96,13.68,13.96,,265000.0
1999-12-29,13.91,14.51,13.86,14.44,,361700.0
1999-12-30,14.47,14.65,14.33,14.51,,329200.0
