time,open,high,low,close,Volume,volume
1999-11-01,12.71,12.95,12.63,12.8,,530700.0
1999-11-02,12.71,13.15,12.71,12.86,,664900.0
1999-11-03,12.83,13.03,12.74,12.83,,344300.0
1999-11-04,12.83,12.95,12.66,12.69,,255200.0
1999-11-05,12.8,13.06,12.8,12.8,,215900.0
1999-11-08,12.77,12.92,12.66,12.86,,332800.0
1999-11-09,12.95,12.95,12.22,12.4,,518300.0
1999-11-10,12.45,12.71,12.37,12.54,,288500.0
1999-11-11,12.45,12.54,12.19,12.33,,468200.0
1999-11-12,12.13,12.13,11.41,11.93,,1655700.0
1999-11-15,11.93,12.31,11.82,12.19,,642200.0
1999-11-16,12.19,12.6,12.11,12.51,,540500.0
1999-11-17,12.51,12.54,12.08,12.11,,243000.0
1999-11-18,12.16,12.4,11.9,11.93,,244500.0
1999-11-19,11.73,11.96,11.53,11.96,,400400.0
1999-11-22,11.9,11.9,11.55,11.58,,241600.0
1999-11-23,11.67,11.67,11.11,11.2,,721600.0
1999-11-24,11.14,11.23,10.76,11.14,,725800.0
1999-11-26,11.23,11.35,11.11,11.29,,297100.0
1999-11-29,11.05,11.58,11.05,11.4,,747600.0
1999-11-30,11.29,11.73,11.23,11.58,,464200.0
1999-12-01,11.38,11.64,11.26,11.43,,418000.0
1999-12-02,11.38,11.49,11.23,11.26,,280600.0
1999-12-03,11.29,11.49,11.29,11.31,,254500.0
1999-12-06,11.26,11.43,11.23,11.23,,314700.0
1999-12-07,11.23,11.26,10.88,10.91,,666900.0
1999-12-08,10.91,11.08,10.76,10.85,,579000.0
1999-12-09,10.82,11.05,10.82,11.0,,452100.0
1999-12-10,10.88,11.0,10.61,10.76,,374400.0
1999-12-13,10.76,10.82,10.7,10.73,,330500.0
1999-12-14,10.73,10.82,10.38,10.47,,576000.0
1999-12-15,10.41,10.61,10.32,10.38,,785800.0
1999-12-16,10.35,10.35,9.97,10.14,,461700.0
1999-12-17,10.03,10.09,9.42,9.62,,1019300.0
1999-12-20,9.62,10.5,9.47,10.44,,871300.0
1999-12-21,10.26,10.41,9.77,10.14,,696300.0
1999-12-22,10.14,10.47,9.94,10.44,,591000.0
1999-12-23,10.5,11.17,10.47,10.82,,678000.0
1999-12-27,10.7,10.79,10.41,10.59,,456300.0
1999-12-28,10.68,10.91,10.59,10.79,,505300.0
1999-12-29,10.88,10.97,10.76,10.79,,374000.0
1999-12-30,10.79,11.0,10.79,10.91,,353700.0
1999-12-31,10.85,11.14,10.82,11.02,,276700.0
2000-01-03,10.79,10.88,9.85,10.47,,440100.0
2000-01-04,10.23,10.41,10.09,10.12,,529100.0
2000-01-05,10.21,10.38,9.97,10.0,,362400.0
2000-01-06,10.12,10.12,9.74,9.88,,491100.0
2000-01-07,10.03,10.47,9.85,10.35,,357000.0
2000-01-10,10.23,10.38,10.21,10.26,,270200.0
2000-01-11,10.23,10.59,10.23,10.56,,478700.0
2000-01-12,10.44,10.53,9.85,10.09,,333100.0
2000-01-13,10.06,10.09,9.36,9.51,,822600.0
2000-01-14,9.71,9.94,9.44,9.94,,759200.0
2000-01-18,9.91,10.09,9.77,9.85,,433200.0
2000-01-19,9.83,10.14,9.8,9.91,,366200.0
2000-01-20,9.97,10.06,9.65,9.68,,268600.0
2000-01-21,9.85,9.88,9.47,9.56,,406600.0
2000-01-24,9.53,9.59,9.3,9.3,,710800.0
2000-01-25,9.47,10.94,9.42,9.94,,1474900.0
2000-01-26,9.88,10.0,9.44,9.94,,877900.0
2000-01-27,10.03,10.47,9.85,10.03,,1049800.0
2000-01-28,10.06,10.18,9.94,10.09,,762300.0
2000-01-31,10.09,10.12,9.77,10.06,,358900.0
2000-02-01,9.97,9.97,9.65,9.83,,788700.0
2000-02-02,9.71,10.12,9.71,10.06,,595900.0
2000-02-03,10.41,10.41,9.94,10.18,,530600.0
2000-02-04,10.26,10.3,9.97,10.12,,445700.0
2000-02-07,10.0,10.03,9.85,9.97,,211900.0
2000-02-08,10.06,10.32,9.97,10.32,,349700.0
2000-02-09,10.12,10.14,9.88,10.06,,494500.0
2000-02-10,10.12,10.38,10.03,10.26,,581700.0
2000-02-11,10.53,10.7,10.23,10.38,,863500.0
2000-02-14,10.68,10.68,10.23,10.3,,366100.0
2000-02-15,10.26,10.44,10.12,10.26,,455800.0
2000-02-16,10.26,10.32,10.06,10.18,,424000.0
2000-02-17,10.14,10.23,10.06,10.18,,426500.0
2000-02-18,10.38,10.44,10.06,10.06,,590400.0
2000-02-22,9.88,10.03,9.7,10.0,,423700.0
2000-02-23,9.88,10.38,9.88,10.26,,378300.0
2000-02-24,10.29,10.38,9.65,10.35,,508300.0
2000-02-25,10.35,10.35,9.91,10.09,,425700.0
2000-02-28,9.91,10.0,9.73,10.0,,460900.0
2000-02-29,10.0,10.2,9.88,10.0,,312200.0
2000-03-01,10.03,10.03,9.85,9.94,,273400.0
2000-03-02,10.03,10.09,9.73,9.97,,1622000.0
2000-03-03,9.79,10.29,9.76,9.91,,418000.0
2000-03-06,9.79,10.03,9.65,9.94,,374300.0
2000-03-07,9.82,10.09,9.73,9.82,,507800.0
2000-03-08,9.7,9.91,9.62,9.88,,328200.0
2000-03-09,9.91,10.35,9.82,10.12,,553100.0
2000-03-10,9.97,10.44,9.94,10.41,,361800.0
2000-03-13,10.17,10.41,10.09,10.38,,548600.0
2000-03-14,10.26,10.38,10.15,10.17,,309900.0
2000-03-15,10.06,10.5,9.97,10.47,,505400.0
2000-03-16,10.8,11.51,10.68,11.47,,644800.0
2000-03-17,10.38,11.42,10.38,11.33,,873600.0
2000-03-20,11.21,11.26,10.47,10.74,,446600.0
2000-03-21,10.85,10.88,10.5,10.8,,334700.0
2000-03-22,11.0,11.0,10.5,10.91,,395600.0
2000-03-23,10.8,11.35,10.65,11.33,,447600.0
2000-03-24,11.33,11.51,11.18,11.44,,485100.0
2000-03-27,11.44,11.77,11.44,11.68,,387300.0
2000-03-28,11.8,12.03,11.77,11.77,,421900.0
2000-03-29,11.65,11.8,11.33,11.44,,567900.0
2000-03-30,11.44,11.74,11.42,11.65,,352800.0
2000-03-31,11.8,12.01,11.59,11.92,,405200.0
2000-04-03,11.94,12.27,11.8,12.27,,455700.0
2000-04-04,12.21,12.51,12.03,12.15,,470200.0
2000-04-05,12.21,12.39,11.89,12.24,,337300.0
2000-04-06,12.12,12.83,12.12,12.77,,359300.0
2000-04-07,12.86,14.01,12.39,13.36,,593200.0
2000-04-10,13.27,13.27,12.95,13.07,,219800.0
2000-04-11,13.01,13.54,12.8,13.24,,316100.0
2000-04-12,13.24,13.8,12.83,13.51,,409200.0
2000-04-13,13.45,13.45,12.65,12.77,,475400.0
2000-04-14,12.8,12.8,12.03,12.48,,751700.0
2000-04-17,12.36,12.45,12.15,12.24,,920100.0
2000-04-18,12.24,12.3,11.94,12.03,,1130700.0
2000-04-19,12.03,12.1,11.65,11.65,,804000.0
2000-04-20,11.71,12.15,11.68,12.06,,479000.0
2000-04-24,11.94,12.24,11.85,11.94,,331300.0
2000-04-25,12.01,12.68,11.89,12.48,,525500.0
2000-04-26,12.36,12.39,11.83,11.85,,547900.0
2000-04-27,11.77,11.8,11.33,11.68,,468800.0
2000-04-28,11.68,11.68,11.51,11.51,,272600.0
2000-05-01,11.53,11.97,11.53,11.8,,433100.0
2000-05-02,11.77,11.85,11.65,11.68,,542700.0
2000-05-03,11.68,11.71,11.35,11.62,,686500.0
2000-05-04,11.59,12.1,11.59,11.74,,644000.0
2000-05-05,11.77,12.06,11.77,11.83,,268800.0
2000-05-08,11.8,12.06,11.59,11.77,,332500.0
2000-05-09,11.77,11.92,11.51,11.56,,550100.0
2000-05-10,11.59,11.59,11.03,11.24,,474900.0
2000-05-11,11.26,11.47,11.09,11.39,,516900.0
2000-05-12,11.42,11.68,11.21,11.51,,273700.0
2000-05-15,11.62,11.83,11.62,11.71,,192500.0
2000-05-16,11.74,12.01,11.71,11.71,,399300.0
2000-05-17,11.68,11.77,11.59,11.62,,395200.0
2000-05-18,11.62,12.12,11.62,11.8,,409800.0
2000-05-19,11.59,11.8,11.59,11.74,,300400.0
2000-05-22,11.74,11.83,11.59,11.62,,262900.0
2000-05-23,11.6,12.26,11.55,12.17,,483800.0
2000-05-24,12.17,12.67,12.08,12.22,,777600.0
2000-05-25,12.34,12.55,12.31,12.37,,281800.0
2000-05-26,12.67,12.91,12.55,12.76,,526800.0
2000-05-30,12.67,12.97,12.64,12.93,,319500.0
2000-05-31,12.93,13.2,12.85,13.11,,315600.0
2000-06-01,13.08,13.29,13.02,13.08,,457400.0
2000-06-02,13.11,13.44,13.05,13.29,,397500.0
2000-06-05,13.17,13.47,13.11,13.29,,275900.0
2000-06-06,13.17,13.2,12.97,13.14,,169300.0
2000-06-07,13.08,13.32,13.05,13.26,,384600.0
2000-06-08,13.29,13.38,13.14,13.2,,205100.0
2000-06-09,13.14,13.29,12.93,13.2,,173600.0
2000-06-12,13.32,13.32,12.73,12.79,,160400.0
2000-06-13,12.76,12.97,12.67,12.82,,126000.0
2000-06-14,12.76,12.91,12.55,12.73,,475600.0
2000-06-15,12.61,12.76,12.31,12.61,,413100.0
2000-06-16,12.2,12.42,12.2,12.4,,443700.0
2000-06-19,12.34,12.4,12.08,12.26,,309000.0
2000-06-20,12.26,12.61,12.22,12.4,,197900.0
2000-06-21,12.29,12.49,12.22,12.34,,191500.0
2000-06-22,12.26,12.46,12.17,12.22,,250100.0
2000-06-23,12.26,12.49,12.26,12.43,,159400.0
2000-06-26,12.43,12.49,12.08,12.26,,137100.0
2000-06-27,12.17,12.55,12.13,12.43,,293400.0
2000-06-28,12.55,12.91,12.49,12.71,,283500.0
2000-06-29,12.58,12.84,12.55,12.79,,230100.0
2000-06-30,12.67,12.79,12.4,12.43,,372000.0
2000-07-03,12.49,12.73,12.34,12.73,,125700.0
2000-07-05,12.67,12.67,12.43,12.43,,138800.0
2000-07-06,12.49,12.49,12.29,12.31,,147200.0
