time,open,high,low,close,Volume,volume
1999-11-01,8.69,8.69,8.42,8.45,,199100.0
1999-11-02,8.39,8.6,8.34,8.56,,152400.0
1999-11-03,8.5,8.57,8.48,8.56,,142200.0
1999-11-04,8.52,8.73,8.52,8.67,,128900.0
1999-11-05,8.62,8.78,8.49,8.49,,251000.0
1999-11-08,8.5,8.56,8.45,8.53,,146300.0
1999-11-09,8.5,8.72,8.48,8.72,,146300.0
1999-11-10,8.74,8.74,8.57,8.63,,235900.0
1999-11-11,8.62,8.65,8.42,8.65,,179900.0
1999-11-12,8.59,8.6,8.42,8.57,,155000.0
1999-11-15,8.55,8.78,8.55,8.78,,139200.0
1999-11-16,8.77,8.94,8.73,8.83,,178700.0
1999-11-17,8.8,8.87,8.66,8.7,,128900.0
1999-11-18,8.7,8.84,8.67,8.8,,177700.0
1999-11-19,8.78,8.83,8.62,8.78,,257500.0
1999-11-22,8.78,8.79,8.67,8.73,,252400.0
1999-11-23,8.76,8.9,8.7,8.77,,373900.0
1999-11-24,8.77,8.83,8.73,8.76,,197500.0
1999-11-26,8.7,8.84,8.7,8.74,,101900.0
1999-11-29,8.69,8.69,8.55,8.69,,254800.0
1999-11-30,8.73,8.77,8.63,8.7,,373300.0
1999-12-01,8.66,8.73,8.66,8.69,,362000.0
1999-12-02,9.01,9.19,8.84,9.12,,916000.0
1999-12-03,9.18,9.51,9.15,9.43,,562000.0
1999-12-06,9.43,9.51,9.4,9.43,,332300.0
1999-12-07,9.51,9.51,9.21,9.26,,467900.0
1999-12-08,9.23,9.54,9.23,9.4,,482000.0
1999-12-09,9.43,9.62,9.39,9.62,,631300.0
1999-12-10,9.62,10.1,9.62,10.07,,480800.0
1999-12-13,10.0,10.33,9.99,10.11,,514100.0
1999-12-14,10.11,10.54,10.11,10.44,,417500.0
1999-12-15,10.41,10.52,10.37,10.45,,252700.0
1999-12-16,10.43,10.51,10.21,10.26,,339000.0
1999-12-17,10.27,10.44,10.23,10.44,,346600.0
1999-12-20,10.51,10.51,9.93,10.04,,480800.0
1999-12-21,10.04,10.24,10.04,10.16,,314600.0
1999-12-22,10.13,10.28,10.11,10.14,,186600.0
1999-12-23,10.17,10.37,10.17,10.21,,274700.0
1999-12-27,10.2,10.3,10.17,10.21,,241800.0
1999-12-28,10.13,10.64,10.13,10.6,,154800.0
1999-12-29,10.62,11.07,10.62,10.95,,229600.0
1999-12-30,10.76,10.9,10.76,10.76,,194600.0
1999-12-31,10.78,10.78,10.69,10.78,,143500.0
2000-01-03,10.83,10.92,10.48,10.5,,251200.0
2000-01-04,10.5,10.64,10.21,10.24,,206200.0
2000-01-05,10.37,10.72,10.35,10.57,,299300.0
2000-01-06,10.75,11.47,10.74,11.43,,253000.0
2000-01-07,11.43,11.44,11.24,11.4,,415300.0
2000-01-10,11.34,11.34,10.97,11.05,,255500.0
2000-01-11,11.1,11.2,10.9,10.92,,225900.0
2000-01-12,10.93,11.33,10.93,11.27,,225400.0
2000-01-13,11.27,11.27,11.14,11.14,,132600.0
2000-01-14,11.12,11.12,10.95,10.96,,139600.0
2000-01-18,10.97,10.97,10.67,10.69,,237500.0
2000-01-19,10.65,10.67,10.09,10.34,,450800.0
2000-01-20,10.4,10.44,9.96,10.14,,441600.0
2000-01-21,10.0,10.07,9.8,9.87,,486700.0
2000-01-24,9.89,10.0,9.83,9.86,,383800.0
2000-01-25,9.89,9.89,9.1,9.28,,488000.0
2000-01-26,9.39,9.61,9.37,9.58,,428200.0
2000-01-27,9.27,9.82,9.27,9.68,,522200.0
2000-01-28,8.53,9.27,8.52,9.03,,630600.0
2000-01-31,9.04,9.04,8.66,9.01,,533600.0
2000-02-01,9.05,9.1,8.84,8.97,,797900.0
2000-02-02,8.97,8.98,8.93,8.98,,350300.0
2000-02-03,8.98,9.15,8.96,9.07,,294000.0
2000-02-04,9.08,9.08,9.03,9.05,,273100.0
2000-02-07,9.0,9.08,9.0,9.01,,282100.0
2000-02-08,8.98,9.08,8.98,9.03,,315400.0
2000-02-09,9.04,9.15,9.03,9.04,,448300.0
2000-02-10,9.04,9.04,8.69,8.8,,312500.0
2000-02-11,8.8,8.84,8.62,8.71,,327500.0
2000-02-14,8.7,8.8,8.62,8.76,,262200.0
2000-02-15,8.74,9.05,8.74,8.93,,297500.0
2000-02-16,8.9,9.0,8.81,8.83,,237400.0
2000-02-17,8.84,8.84,8.73,8.73,,225500.0
2000-02-18,8.64,8.7,8.38,8.43,,255600.0
2000-02-22,8.36,9.04,8.36,8.96,,342800.0
2000-02-23,8.98,9.1,8.67,8.67,,330500.0
2000-02-24,8.69,8.69,8.05,8.25,,405700.0
2000-02-25,8.24,8.24,8.01,8.09,,421000.0
2000-02-28,8.17,8.7,8.11,8.48,,331100.0
2000-02-29,8.48,8.49,8.07,8.12,,440100.0
2000-03-01,8.12,8.12,7.6,7.84,,753200.0
2000-03-02,7.84,7.9,7.61,7.78,,516800.0
2000-03-03,7.77,8.36,7.75,8.31,,432400.0
2000-03-06,8.28,8.35,8.12,8.14,,226800.0
2000-03-07,8.14,8.14,7.73,7.73,,343700.0
2000-03-08,7.73,8.04,7.73,7.97,,284400.0
2000-03-09,7.94,8.02,7.75,7.83,,383500.0
2000-03-10,7.83,8.21,7.83,8.17,,275700.0
2000-03-13,8.15,8.35,7.88,8.31,,332500.0
2000-03-14,8.25,8.29,8.02,8.09,,281600.0
2000-03-15,8.29,9.15,8.16,9.05,,621600.0
2000-03-16,9.15,9.56,9.08,9.51,,578500.0
2000-03-17,9.38,9.38,9.08,9.11,,359900.0
2000-03-20,9.69,10.22,9.66,9.96,,745600.0
2000-03-21,9.96,9.99,9.84,9.89,,572400.0
2000-03-22,9.87,9.87,9.55,9.55,,288100.0
2000-03-23,9.55,9.85,9.51,9.84,,330100.0
2000-03-24,9.82,10.04,9.75,9.81,,282100.0
2000-03-27,10.01,10.25,10.01,10.02,,659600.0
2000-03-28,10.06,10.36,10.05,10.06,,426500.0
2000-03-29,10.06,10.28,10.06,10.11,,282200.0
2000-03-30,10.17,10.55,10.09,10.44,,574700.0
2000-03-31,10.44,10.84,10.36,10.41,,509800.0
2000-04-03,10.58,11.05,10.58,10.98,,447700.0
2000-04-04,10.98,11.3,10.62,10.74,,561300.0
2000-04-05,10.98,11.09,10.65,10.67,,279900.0
2000-04-06,10.78,10.98,10.61,10.72,,661100.0
2000-04-07,10.75,10.9,10.54,10.54,,315200.0
2000-04-10,10.48,10.87,10.48,10.81,,731900.0
2000-04-11,10.75,11.18,10.75,11.04,,804700.0
2000-04-12,11.04,11.32,11.04,11.19,,786000.0
2000-04-13,11.18,11.3,11.01,11.05,,593400.0
2000-04-14,10.98,10.98,10.48,10.51,,470500.0
2000-04-17,10.52,10.64,10.31,10.51,,317500.0
2000-04-18,10.55,10.57,10.22,10.28,,240400.0
2000-04-19,10.28,10.32,10.06,10.09,,188400.0
2000-04-20,9.98,10.69,9.98,10.62,,334000.0
2000-04-24,10.61,10.98,10.52,10.74,,246300.0
2000-04-25,10.79,11.01,10.68,10.99,,276100.0
2000-04-26,10.91,10.91,10.44,10.58,,376600.0
2000-04-27,10.64,10.65,10.49,10.62,,449300.0
2000-04-28,11.41,12.34,11.21,11.97,,1467700.0
2000-05-01,11.97,12.12,11.88,12.01,,793000.0
2000-05-02,12.01,12.08,11.84,12.07,,706200.0
2000-05-03,12.05,12.05,11.74,11.85,,213600.0
2000-05-04,11.84,12.25,11.74,11.94,,458100.0
2000-05-05,11.92,12.04,11.72,11.94,,311300.0
2000-05-08,11.68,11.94,11.64,11.77,,443100.0
2000-05-09,11.77,12.04,11.74,11.81,,408300.0
2000-05-10,11.61,11.75,11.61,11.65,,281800.0
2000-05-11,11.75,12.19,11.75,12.12,,565100.0
2000-05-12,12.14,12.18,11.79,11.94,,382500.0
2000-05-15,11.91,12.52,11.89,12.22,,327600.0
2000-05-16,12.24,12.24,12.02,12.1,,320600.0
2000-05-17,11.87,11.91,11.71,11.88,,320500.0
2000-05-18,11.84,11.89,11.67,11.79,,316100.0
2000-05-19,11.75,12.19,11.7,12.1,,367800.0
2000-05-22,12.11,12.5,12.11,12.38,,387800.0
2000-05-23,12.38,12.48,12.01,12.21,,238100.0
2000-05-24,12.35,12.45,11.92,12.04,,220400.0
2000-05-25,12.0,12.0,11.22,11.38,,333300.0
2000-05-26,11.41,11.41,11.09,11.21,,505400.0
2000-05-30,11.21,11.21,11.05,11.12,,322300.0
2000-05-31,10.52,10.75,10.38,10.47,,980200.0
2000-06-01,10.39,10.95,10.36,10.88,,677200.0
2000-06-02,10.95,10.97,10.84,10.85,,192300.0
2000-06-05,10.79,10.79,10.47,10.54,,699900.0
2000-06-06,10.58,10.75,10.55,10.74,,220600.0
