time,open,high,low,close,Volume,volume
1999-11-01,15.05,15.13,14.49,14.71,,1060100.0
1999-11-02,14.49,14.63,14.24,14.3,,1074000.0
1999-11-03,14.24,14.43,13.87,13.91,,918300.0
1999-11-04,14.04,14.57,13.98,14.38,,1109700.0
1999-11-05,14.6,14.63,14.24,14.26,,723300.0
1999-11-08,14.26,14.38,14.07,14.23,,587600.0
1999-11-09,14.23,14.45,14.18,14.45,,667100.0
1999-11-10,14.26,14.45,14.01,14.15,,746200.0
1999-11-11,14.09,14.55,14.09,14.54,,870700.0
1999-11-12,14.48,14.54,14.04,14.15,,1402200.0
1999-11-15,14.35,14.35,13.98,14.05,,1154100.0
1999-11-16,14.12,14.55,14.12,14.51,,1078300.0
1999-11-17,14.44,14.66,14.43,14.5,,676200.0
1999-11-18,14.31,14.6,14.25,14.6,,1127600.0
1999-11-19,14.54,14.75,14.44,14.66,,883000.0
1999-11-22,14.5,14.57,14.2,14.3,,628700.0
1999-11-23,14.31,14.41,14.27,14.35,,923000.0
1999-11-24,14.33,14.38,14.22,14.25,,998200.0
1999-11-26,14.06,14.24,14.03,14.17,,326400.0
1999-11-29,14.06,14.24,13.88,14.2,,859000.0
1999-11-30,14.03,14.5,14.03,14.31,,1296200.0
1999-12-01,14.33,14.44,14.27,14.35,,938100.0
1999-12-02,14.57,14.57,14.31,14.31,,983900.0
1999-12-03,14.31,14.8,14.31,14.52,,1178500.0
1999-12-06,14.46,14.57,14.31,14.35,,918500.0
1999-12-07,14.38,14.43,13.95,14.0,,1132500.0
1999-12-08,14.05,14.16,13.83,13.83,,922300.0
1999-12-09,13.84,13.92,13.51,13.53,,977100.0
1999-12-10,13.59,13.69,13.37,13.45,,764000.0
1999-12-13,13.47,13.58,13.33,13.45,,883100.0
1999-12-14,13.51,13.8,13.44,13.76,,1538900.0
1999-12-15,14.06,14.72,14.06,14.57,,1389600.0
1999-12-16,14.75,15.07,14.49,14.89,,1123300.0
1999-12-17,15.27,15.27,15.27,15.27,,1654900.0
1999-12-20,15.07,15.08,14.63,14.75,,1000800.0
1999-12-21,14.63,14.8,14.54,14.68,,1007900.0
1999-12-22,14.71,14.8,14.39,14.47,,1011600.0
1999-12-23,14.5,14.71,14.47,14.71,,657800.0
1999-12-27,14.71,14.85,14.44,14.66,,778100.0
1999-12-28,14.66,14.88,14.66,14.66,,635500.0
1999-12-29,14.68,14.68,14.47,14.47,,398800.0
1999-12-30,14.5,14.52,14.39,14.41,,685200.0
1999-12-31,14.31,14.44,14.31,14.41,,373800.0
2000-01-03,14.28,14.46,14.22,14.46,,1123400.0
2000-01-04,14.44,14.46,14.27,14.28,,854100.0
2000-01-05,14.28,14.63,14.27,14.58,,1095100.0
2000-01-06,14.44,15.07,14.41,14.96,,1296600.0
2000-01-07,15.19,15.74,15.01,15.63,,1331600.0
2000-01-10,15.57,15.59,14.72,14.82,,1278500.0
2000-01-11,14.75,15.07,14.72,14.79,,947500.0
2000-01-12,14.83,15.16,14.82,14.99,,680600.0
