time,open,high,low,close,Volume,volume
1999-11-01,3.63,3.69,3.6,3.68,,209000.0
1999-11-02,3.68,3.68,3.28,3.37,,946400.0
1999-11-03,3.36,3.48,3.34,3.45,,1426900.0
1999-11-04,3.45,3.48,3.24,3.32,,406400.0
1999-11-05,3.33,3.35,3.04,3.21,,2472900.0
1999-11-08,3.21,3.31,3.21,3.28,,868400.0
1999-11-09,3.29,3.41,3.27,3.39,,1013900.0
1999-11-10,3.41,3.55,3.38,3.46,,540200.0
1999-11-11,3.48,3.48,3.35,3.39,,459100.0
1999-11-12,3.37,3.51,3.35,3.44,,595400.0
1999-11-15,3.44,3.55,3.44,3.53,,317900.0
1999-11-16,3.48,3.5,3.35,3.41,,427600.0
1999-11-17,3.44,3.82,3.43,3.66,,775100.0
1999-11-18,3.55,3.61,3.45,3.57,,689800.0
1999-11-19,3.48,3.51,3.41,3.44,,1142900.0
1999-11-22,3.42,3.49,3.33,3.41,,635100.0
1999-11-23,3.39,3.42,3.22,3.37,,2185200.0
1999-11-24,3.39,3.49,3.39,3.46,,1496800.0
1999-11-26,3.46,3.48,3.45,3.46,,288900.0
1999-11-29,3.42,3.43,3.28,3.28,,1088400.0
1999-11-30,3.28,3.33,3.19,3.24,,945000.0
1999-12-01,3.28,3.33,3.21,3.27,,744400.0
1999-12-02,3.24,3.24,3.12,3.13,,687900.0
1999-12-03,3.18,3.19,2.98,3.04,,496100.0
1999-12-06,2.98,3.03,2.89,2.89,,496900.0
1999-12-07,2.72,2.77,2.54,2.65,,4790000.0
1999-12-08,2.65,2.8,2.52,2.74,,2289200.0
1999-12-09,2.81,2.85,2.63,2.77,,1054700.0
1999-12-10,2.79,2.79,2.64,2.74,,935500.0
1999-12-13,2.78,2.98,2.76,2.8,,1185100.0
1999-12-14,2.84,2.87,2.76,2.78,,676400.0
1999-12-15,2.78,2.9,2.78,2.83,,1536700.0
1999-12-16,2.85,2.97,2.85,2.97,,1556000.0
1999-12-17,3.01,3.01,2.96,3.01,,1063700.0
1999-12-20,3.01,3.02,2.91,2.99,,985800.0
1999-12-21,2.99,3.01,2.92,2.98,,551200.0
1999-12-22,2.96,2.98,2.89,2.94,,600500.0
1999-12-23,2.9,3.07,2.89,2.99,,1057700.0
1999-12-27,2.97,3.01,2.84,2.89,,563200.0
1999-12-28,2.98,3.0,2.81,2.98,,877800.0
1999-12-29,3.02,3.1,2.98,3.03,,336800.0
1999-12-30,3.1,3.1,2.89,2.99,,472400.0
1999-12-31,2.96,3.08,2.9,3.08,,231100.0
2000-01-03,3.01,3.04,2.63,2.72,,992800.0
2000-01-04,2.63,2.74,2.58,2.72,,1350700.0
2000-01-05,2.67,2.72,2.64,2.65,,899500.0
2000-01-06,2.64,2.89,2.62,2.86,,989000.0
2000-01-07,2.89,2.93,2.79,2.83,,689100.0
2000-01-10,2.78,2.85,2.74,2.85,,499700.0
2000-01-11,2.8,2.91,2.8,2.87,,697100.0
2000-01-12,2.86,2.91,2.82,2.87,,519800.0
2000-01-13,2.9,2.97,2.88,2.93,,1074100.0
2000-01-14,2.97,3.01,2.91,2.98,,1274800.0
2000-01-18,3.03,3.15,2.93,2.99,,926700.0
2000-01-19,3.04,3.13,3.01,3.01,,415600.0
2000-01-20,2.99,3.01,2.81,2.94,,1060200.0
2000-01-21,2.97,3.04,2.83,2.85,,1940000.0
2000-01-24,2.81,2.84,2.71,2.79,,1364600.0
2000-01-25,2.79,2.84,2.73,2.74,,1333000.0
2000-01-26,2.75,2.85,2.75,2.77,,1141600.0
2000-01-27,2.79,2.83,2.68,2.71,,651300.0
2000-01-28,2.71,2.75,2.67,2.68,,574500.0
2000-01-31,2.72,2.8,2.64,2.79,,770700.0
2000-02-01,2.76,2.84,2.74,2.81,,691000.0
2000-02-02,2.85,2.93,2.85,2.9,,1025300.0
2000-02-03,2.92,2.95,2.83,2.83,,854800.0
2000-02-04,2.82,2.91,2.68,2.75,,647300.0
2000-02-07,2.8,2.83,2.71,2.73,,780200.0
2000-02-08,2.75,2.79,2.69,2.72,,590400.0
2000-02-09,2.74,2.79,2.61,2.64,,946600.0
2000-02-10,2.64,2.79,2.64,2.79,,909200.0
2000-02-11,2.8,2.8,2.68,2.74,,760900.0
2000-02-14,2.74,2.79,2.69,2.76,,516800.0
2000-02-15,2.76,2.9,2.75,2.85,,669900.0
2000-02-16,2.87,2.91,2.81,2.81,,616900.0
2000-02-17,2.82,2.84,2.79,2.84,,1147700.0
2000-02-18,2.84,2.85,2.75,2.75,,698800.0
2000-02-22,2.74,2.77,2.67,2.72,,338600.0
2000-02-23,2.7,2.76,2.58,2.59,,707400.0
2000-02-24,2.62,2.62,2.41,2.46,,1261700.0
2000-02-25,2.47,2.5,2.4,2.44,,1356600.0
2000-02-28,2.47,2.54,2.42,2.49,,785300.0
2000-02-29,2.49,2.68,2.48,2.68,,2159400.0
2000-03-01,2.72,2.76,2.68,2.74,,1553600.0
2000-03-02,2.81,3.14,2.81,3.11,,2177200.0
2000-03-03,3.11,3.18,2.92,3.04,,1538800.0
2000-03-06,3.01,3.14,2.98,3.05,,478100.0
2000-03-07,3.18,3.32,3.09,3.28,,1006900.0
2000-03-08,3.27,3.41,3.18,3.31,,1744600.0
2000-03-09,3.33,3.36,3.23,3.29,,674700.0
2000-03-10,3.24,3.36,3.16,3.26,,1203900.0
2000-03-13,3.21,3.32,3.19,3.2,,392500.0
2000-03-14,3.21,3.3,3.18,3.25,,668800.0
2000-03-15,3.29,3.31,3.14,3.21,,619600.0
2000-03-16,3.21,3.4,3.2,3.29,,893700.0
2000-03-17,3.29,3.33,3.21,3.25,,359700.0
2000-03-20,3.21,3.24,3.11,3.23,,610400.0
2000-03-21,3.23,3.31,3.19,3.28,,829600.0
2000-03-22,3.36,3.46,3.23,3.32,,1959400.0
2000-03-23,3.33,3.34,3.29,3.33,,701500.0
2000-03-24,3.32,3.36,3.23,3.24,,925000.0
2000-03-27,3.23,3.31,3.2,3.24,,777700.0
2000-03-28,3.28,3.49,3.28,3.39,,933400.0
2000-03-29,3.4,3.81,3.4,3.7,,1458400.0
2000-03-30,3.81,4.22,3.77,4.04,,2824000.0
2000-03-31,4.03,4.17,3.72,3.72,,1536200.0
2000-04-03,3.86,4.1,3.82,4.08,,1105400.0
2000-04-04,4.19,4.22,3.85,3.98,,2204600.0
2000-04-05,4.06,4.12,3.84,3.92,,1058800.0
2000-04-06,3.96,4.1,3.94,4.08,,545200.0
2000-04-07,4.07,4.18,4.04,4.15,,572000.0
2000-04-10,4.13,4.15,3.87,3.95,,865500.0
2000-04-11,3.96,4.19,3.96,4.11,,813900.0
2000-04-12,4.2,4.38,4.18,4.27,,1681100.0
2000-04-13,4.22,4.34,4.21,4.3,,963800.0
2000-04-14,4.32,4.32,4.02,4.08,,1019000.0
2000-04-17,4.12,4.12,3.95,4.03,,659700.0
2000-04-18,3.99,4.2,3.95,4.17,,679200.0
2000-04-19,4.15,4.3,4.02,4.07,,1095600.0
2000-04-20,4.3,4.32,4.06,4.18,,1473900.0
2000-04-24,4.14,4.15,4.05,4.08,,1007700.0
2000-04-25,4.13,4.21,4.13,4.15,,843100.0
2000-04-26,4.17,4.21,4.13,4.15,,747300.0
2000-04-27,4.13,4.25,4.1,4.22,,1045400.0
2000-04-28,4.21,4.37,4.21,4.37,,1143200.0
2000-05-01,4.39,4.59,4.37,4.55,,2232400.0
2000-05-02,4.57,4.81,4.56,4.72,,1867800.0
2000-05-03,4.71,4.78,4.59,4.61,,1841200.0
2000-05-04,4.61,4.94,4.59,4.87,,2031700.0
2000-05-05,4.82,5.03,4.81,5.0,,1313800.0
2000-05-08,4.94,5.17,4.92,5.1,,1692300.0
2000-05-09,5.08,5.16,4.88,5.02,,1666800.0
