time,open,high,low,close,Volume,volume
1999-11-01,3.44,3.45,3.37,3.41,,33000.0
1999-11-02,3.4,3.45,3.39,3.43,,40200.0
1999-11-03,3.42,3.49,3.42,3.47,,27000.0
1999-11-04,3.49,3.52,3.41,3.41,,56500.0
1999-11-05,3.43,3.49,3.4,3.4,,41200.0
1999-11-08,3.39,3.43,3.37,3.4,,31300.0
1999-11-09,3.42,3.44,3.34,3.42,,37000.0
1999-11-10,3.44,3.49,3.43,3.46,,36300.0
1999-11-11,3.46,3.47,3.43,3.43,,17200.0
1999-11-12,3.43,3.43,3.29,3.35,,79300.0
1999-11-15,3.37,3.37,3.31,3.33,,44100.0
1999-11-16,3.33,3.41,3.33,3.41,,27700.0
1999-11-17,3.41,3.41,3.37,3.4,,49900.0
1999-11-18,3.39,3.41,3.36,3.37,,276100.0
1999-11-19,3.37,3.4,3.36,3.37,,269000.0
1999-11-22,3.36,3.37,3.35,3.36,,62800.0
1999-11-23,3.35,3.37,3.3,3.3,,128700.0
1999-11-24,3.3,3.34,3.29,3.29,,68900.0
1999-11-26,3.3,3.33,3.3,3.31,,47100.0
1999-11-29,3.3,3.33,3.29,3.29,,84700.0
1999-11-30,3.29,3.34,3.29,3.31,,50500.0
1999-12-01,3.31,3.32,3.29,3.3,,62200.0
1999-12-02,3.29,3.37,3.28,3.37,,78000.0
1999-12-03,3.36,3.43,3.36,3.37,,35200.0
1999-12-06,3.37,3.38,3.28,3.28,,13600.0
1999-12-07,3.3,3.3,3.24,3.24,,41200.0
1999-12-08,3.24,3.24,3.18,3.21,,56800.0
1999-12-09,3.2,3.25,3.2,3.23,,50200.0
1999-12-10,3.21,3.26,3.13,3.13,,275500.0
1999-12-13,3.13,3.32,3.13,3.2,,140400.0
1999-12-14,3.18,3.25,3.18,3.21,,122600.0
1999-12-15,3.18,3.31,3.18,3.27,,140300.0
1999-12-16,3.29,3.35,3.28,3.29,,84900.0
1999-12-17,3.42,3.42,3.28,3.42,,116000.0
1999-12-20,3.42,3.42,3.24,3.27,,57800.0
1999-12-21,3.25,3.28,3.23,3.28,,54200.0
1999-12-22,3.27,3.27,3.2,3.22,,38400.0
1999-12-23,3.24,3.25,3.21,3.22,,41600.0
1999-12-27,3.23,3.23,3.14,3.16,,71900.0
1999-12-28,3.14,3.22,3.13,3.2,,73900.0
1999-12-29,3.18,3.21,3.14,3.21,,49800.0
1999-12-30,3.2,3.2,3.09,3.13,,46600.0
1999-12-31,3.15,3.18,3.12,3.17,,10000.0
2000-01-03,3.28,3.28,3.09,3.19,,234600.0
2000-01-04,3.18,3.35,3.18,3.3,,304900.0
2000-01-05,3.33,3.38,3.31,3.38,,289400.0
2000-01-06,3.38,3.47,3.36,3.43,,186200.0
2000-01-07,3.43,3.52,3.43,3.49,,65400.0
2000-01-10,3.49,3.51,3.39,3.39,,59700.0
2000-01-11,3.37,3.42,3.34,3.34,,59400.0
2000-01-12,3.34,3.35,3.31,3.34,,37000.0
2000-01-13,3.33,3.39,3.3,3.38,,151200.0
2000-01-14,3.37,3.39,3.33,3.37,,86900.0
2000-01-18,3.38,3.39,3.36,3.39,,36900.0
2000-01-19,3.39,3.4,3.33,3.4,,77800.0
2000-01-20,3.4,3.4,3.34,3.37,,91000.0
2000-01-21,3.37,3.47,3.37,3.44,,134700.0
2000-01-24,3.47,3.48,3.38,3.4,,50800.0
2000-01-25,3.4,3.42,3.28,3.29,,62800.0
2000-01-26,3.31,3.34,3.3,3.34,,76300.0
2000-01-27,3.33,3.34,3.31,3.33,,59400.0
2000-01-28,3.31,3.35,3.3,3.34,,80800.0
2000-01-31,3.35,3.36,3.28,3.28,,64100.0
2000-02-01,3.26,3.28,3.23,3.28,,50000.0
2000-02-02,3.27,3.34,3.27,3.31,,76900.0
2000-02-03,3.3,3.36,3.3,3.31,,45900.0
2000-02-04,3.32,3.32,3.24,3.27,,36200.0
2000-02-07,3.27,3.29,3.21,3.22,,25900.0
2000-02-08,3.22,3.22,3.17,3.19,,40300.0
2000-02-09,3.2,3.22,3.14,3.16,,98100.0
2000-02-10,3.18,3.29,3.15,3.27,,68100.0
2000-02-11,3.25,3.28,3.16,3.16,,54600.0
2000-02-14,3.16,3.25,3.09,3.22,,114900.0
2000-02-15,3.22,3.33,3.22,3.31,,36400.0
2000-02-16,3.28,3.33,3.24,3.31,,87300.0
2000-02-17,3.3,3.43,3.3,3.42,,118900.0
2000-02-18,3.42,3.42,3.33,3.35,,56900.0
2000-02-22,3.36,3.37,3.26,3.31,,83600.0
2000-02-23,3.3,3.3,3.26,3.27,,85500.0
2000-02-24,3.26,3.36,3.26,3.32,,57500.0
2000-02-25,3.32,3.33,3.21,3.23,,47000.0
2000-02-28,3.23,3.34,3.18,3.31,,60400.0
2000-02-29,3.47,3.63,3.47,3.62,,210700.0
2000-03-01,3.62,3.69,3.43,3.48,,262200.0
2000-03-02,3.47,3.57,3.47,3.56,,93100.0
2000-03-03,3.55,3.62,3.55,3.59,,79100.0
2000-03-06,3.58,3.59,3.55,3.58,,42600.0
2000-03-07,3.57,3.67,3.57,3.66,,56500.0
2000-03-08,3.66,3.71,3.66,3.71,,77400.0
2000-03-09,3.71,3.8,3.71,3.8,,82500.0
