time,open,high,low,close,Volume,volume
1999-11-01,12.71,12.85,12.59,12.66,,100800.0
1999-11-02,12.66,12.95,12.66,12.88,,37600.0
1999-11-03,12.92,13.0,12.73,12.8,,24300.0
1999-11-04,12.9,12.9,12.8,12.88,,19200.0
1999-11-05,12.92,13.26,12.92,13.07,,49700.0
1999-11-08,13.0,13.05,12.88,13.0,,19600.0
1999-11-09,12.95,13.05,12.88,13.05,,28000.0
1999-11-10,13.0,13.17,13.0,13.07,,9500.0
1999-11-11,13.02,13.17,13.02,13.12,,5300.0
1999-11-12,13.09,13.17,13.05,13.17,,5200.0
1999-11-15,13.14,13.21,13.12,13.19,,13400.0
1999-11-16,13.14,13.14,13.0,13.0,,47800.0
1999-11-17,12.97,13.09,12.97,13.09,,5600.0
1999-11-18,13.07,13.19,13.02,13.02,,36800.0
1999-11-19,13.09,13.09,12.9,13.09,,24700.0
1999-11-22,13.09,13.21,13.05,13.05,,49800.0
1999-11-23,13.09,13.09,12.71,12.78,,76500.0
1999-11-24,12.88,12.95,12.78,12.8,,120100.0
1999-11-26,12.8,12.9,12.76,12.8,,5900.0
1999-11-29,12.76,12.83,12.56,12.61,,29500.0
1999-11-30,12.59,12.63,12.44,12.59,,35000.0
1999-12-01,12.51,12.76,12.49,12.73,,28600.0
1999-12-02,12.71,12.71,12.63,12.66,,81300.0
1999-12-03,12.59,12.78,12.59,12.78,,30000.0
1999-12-06,12.63,12.66,12.41,12.47,,69000.0
1999-12-07,12.47,12.47,12.08,12.27,,112500.0
1999-12-08,12.27,12.27,11.91,12.08,,49100.0
1999-12-09,12.1,12.29,11.93,12.29,,26400.0
1999-12-10,12.34,12.41,12.15,12.29,,120800.0
1999-12-13,12.34,12.41,12.1,12.12,,24200.0
1999-12-14,12.08,12.17,11.93,11.93,,49900.0
1999-12-15,11.93,11.93,11.71,11.74,,34900.0
1999-12-16,11.76,11.76,11.27,11.66,,146100.0
1999-12-17,11.69,12.27,11.69,12.24,,42800.0
1999-12-20,12.32,12.78,12.32,12.56,,66800.0
1999-12-21,12.54,12.66,12.34,12.44,,44800.0
1999-12-22,12.49,12.68,12.44,12.63,,16400.0
1999-12-23,12.68,12.78,12.61,12.73,,28200.0
1999-12-27,12.83,12.83,12.59,12.61,,13400.0
1999-12-28,12.66,13.05,12.59,12.95,,90600.0
1999-12-29,13.01,13.31,13.01,13.28,,17500.0
1999-12-30,13.23,13.31,13.16,13.26,,10900.0
1999-12-31,13.28,13.41,13.28,13.41,,34700.0
2000-01-03,13.36,13.36,13.09,13.13,,12200.0
2000-01-04,13.09,13.16,12.87,12.99,,62700.0
2000-01-05,12.89,13.01,12.87,12.91,,96900.0
2000-01-06,12.94,13.11,12.84,13.06,,72500.0
2000-01-07,13.06,13.6,13.06,13.5,,39400.0
2000-01-10,13.56,13.56,13.31,13.43,,23300.0
2000-01-11,13.33,13.48,13.28,13.28,,46400.0
2000-01-12,13.38,13.38,13.26,13.26,,43500.0
2000-01-13,13.26,13.41,13.23,13.41,,14300.0
2000-01-14,13.43,13.43,13.28,13.36,,10100.0
2000-01-18,13.33,13.33,13.16,13.31,,27600.0
2000-01-19,13.41,13.5,13.41,13.46,,57900.0
2000-01-20,13.48,13.53,13.46,13.53,,18400.0
2000-01-21,13.46,13.48,13.41,13.43,,12700.0
2000-01-24,13.38,13.46,13.31,13.41,,36900.0
2000-01-25,13.41,13.5,13.41,13.48,,26000.0
2000-01-26,13.43,13.5,13.43,13.46,,11200.0
2000-01-27,13.46,13.6,13.36,13.56,,19800.0
2000-01-28,13.5,13.6,13.38,13.38,,19300.0
2000-01-31,13.41,13.41,13.36,13.41,,66300.0
2000-02-01,13.41,13.65,13.41,13.65,,30500.0
2000-02-02,13.65,13.7,13.6,13.6,,30100.0
2000-02-03,13.63,13.8,13.63,13.75,,21000.0
2000-02-04,13.82,13.85,13.68,13.82,,16000.0
2000-02-07,13.85,13.85,13.7,13.73,,19800.0
2000-02-08,13.73,13.73,13.56,13.56,,49800.0
2000-02-09,13.5,13.6,13.33,13.53,,20300.0
2000-02-10,13.56,13.56,13.46,13.56,,14300.0
2000-02-11,13.5,13.56,13.5,13.53,,18200.0
2000-02-14,13.53,13.63,13.5,13.63,,44000.0
2000-02-15,13.65,13.65,13.43,13.58,,32900.0
2000-02-16,13.56,13.56,13.36,13.5,,18700.0
2000-02-17,13.56,13.56,13.46,13.56,,25200.0
2000-02-18,13.53,13.7,13.5,13.58,,32600.0
2000-02-22,13.58,13.78,13.56,13.78,,18300.0
2000-02-23,13.78,13.78,13.65,13.75,,13700.0
2000-02-24,13.7,13.73,13.63,13.68,,34200.0
2000-02-25,13.6,13.63,13.53,13.56,,23500.0
2000-02-28,13.46,13.63,13.46,13.63,,45200.0
2000-02-29,13.58,13.9,13.58,13.9,,89100.0
2000-03-01,13.85,14.05,13.8,14.05,,148600.0
2000-03-02,14.05,14.1,14.02,14.05,,173100.0
2000-03-03,14.02,14.17,14.02,14.17,,82700.0
2000-03-06,14.15,14.22,14.0,14.22,,72700.0
2000-03-07,14.19,14.32,14.17,14.19,,93600.0
2000-03-08,14.17,14.19,14.12,14.19,,24700.0
2000-03-09,14.19,14.25,14.15,14.22,,18000.0
2000-03-10,14.19,14.27,14.17,14.17,,59600.0
2000-03-13,14.19,14.19,14.1,14.17,,30000.0
2000-03-14,14.17,14.19,14.15,14.17,,23700.0
2000-03-15,14.17,14.17,14.07,14.07,,108700.0
2000-03-16,14.1,14.19,14.05,14.17,,63800.0
2000-03-17,14.12,14.29,14.12,14.19,,50600.0
2000-03-20,14.1,14.19,14.1,14.15,,26800.0
2000-03-21,14.1,14.17,14.05,14.17,,15900.0
2000-03-22,14.12,14.22,14.12,14.19,,41400.0
2000-03-23,14.19,14.19,14.07,14.15,,20500.0
2000-03-24,14.15,14.15,13.88,14.02,,31800.0
2000-03-27,14.02,14.22,14.02,14.12,,12200.0
2000-03-28,14.07,14.17,13.88,14.1,,54300.0
2000-03-29,13.99,14.39,13.99,14.39,,48300.0
2000-03-30,14.39,14.46,14.34,14.39,,139800.0
2000-03-31,14.44,14.54,14.39,14.41,,43900.0
2000-04-03,14.46,14.66,14.44,14.56,,34400.0
2000-04-04,14.59,14.79,14.41,14.64,,479500.0
2000-04-05,14.64,14.71,14.61,14.69,,42500.0
2000-04-06,14.74,14.94,14.69,14.94,,170400.0
2000-04-07,14.84,15.01,14.84,14.94,,69100.0
2000-04-10,14.94,15.06,14.89,14.89,,52800.0
2000-04-11,14.84,14.91,14.79,14.91,,56200.0
2000-04-12,14.91,15.16,14.91,15.06,,51500.0
2000-04-13,15.09,15.11,15.01,15.09,,20600.0
2000-04-14,14.94,15.16,14.94,15.14,,42200.0
2000-04-17,15.16,15.29,15.16,15.21,,123600.0
2000-04-18,15.21,15.24,15.11,15.16,,25800.0
2000-04-19,15.19,15.26,15.01,15.06,,71300.0
2000-04-20,15.06,15.19,15.04,15.14,,39900.0
2000-04-24,15.09,15.11,15.01,15.04,,49500.0
2000-04-25,15.01,15.24,15.01,15.24,,30200.0
2000-04-26,15.26,15.36,15.14,15.14,,44300.0
2000-04-27,15.16,15.46,15.11,15.46,,74200.0
2000-04-28,15.46,15.49,15.34,15.46,,38400.0
2000-05-01,15.49,15.56,15.41,15.56,,41700.0
2000-05-02,15.66,15.76,15.66,15.71,,87500.0
2000-05-03,15.74,15.84,15.69,15.76,,111600.0
2000-05-04,15.79,15.99,15.74,15.97,,35500.0
2000-05-05,16.11,16.47,15.99,16.11,,80700.0
2000-05-08,16.17,16.17,16.04,16.04,,32400.0
2000-05-09,16.07,16.31,15.99,16.17,,34100.0
2000-05-10,16.17,16.19,16.04,16.11,,83900.0
2000-05-11,16.14,16.21,15.99,16.09,,32600.0
2000-05-12,16.09,16.19,16.09,16.17,,40300.0
2000-05-15,16.19,16.41,16.19,16.37,,53300.0
2000-05-16,16.37,16.67,16.34,16.57,,42200.0
2000-05-17,16.51,16.54,16.44,16.47,,23500.0
2000-05-18,16.41,16.41,16.27,16.29,,191600.0
2000-05-19,16.34,16.34,16.21,16.29,,28900.0
2000-05-22,16.24,16.24,16.04,16.24,,75800.0
2000-05-23,16.24,16.24,16.19,16.19,,40800.0
2000-05-24,16.19,16.19,16.07,16.11,,17100.0
2000-05-25,16.11,16.24,15.91,15.91,,43200.0
2000-05-26,15.97,15.99,15.91,15.94,,23500.0
2000-05-30,15.99,16.01,15.97,16.01,,20700.0
2000-05-31,15.97,16.19,15.94,16.01,,54600.0
2000-06-01,15.94,15.99,15.89,15.99,,10900.0
2000-06-02,15.94,16.09,15.94,15.99,,18400.0
2000-06-05,16.01,16.01,15.99,15.99,,52100.0
2000-06-06,16.01,16.11,15.94,16.09,,76800.0
2000-06-07,16.11,16.11,16.01,16.11,,27000.0
2000-06-08,16.14,16.17,16.09,16.14,,51100.0
2000-06-09,16.14,16.21,16.14,16.19,,18400.0
2000-06-12,16.27,16.27,16.19,16.21,,37800.0
2000-06-13,16.24,16.44,16.24,16.44,,88000.0
2000-06-14,16.47,16.67,16.44,16.59,,59800.0
2000-06-15,16.61,16.91,16.54,16.71,,98700.0
2000-06-16,16.74,16.84,16.71,16.79,,39300.0
2000-06-19,16.77,17.19,16.77,17.19,,28400.0
2000-06-20,17.21,17.37,17.11,17.17,,22800.0
2000-06-21,17.19,17.19,16.94,16.99,,31400.0
2000-06-22,17.09,17.09,16.67,16.81,,38400.0
2000-06-23,16.89,17.21,16.87,17.17,,72800.0
2000-06-26,17.31,17.37,17.24,17.37,,36800.0
2000-06-27,17.37,17.61,17.37,17.61,,20400.0
2000-06-28,17.61,17.61,17.56,17.61,,18100.0
2000-06-29,17.58,17.76,17.58,17.63,,26600.0
2000-06-30,17.66,17.66,17.05,17.06,,100000.0
2000-07-03,17.05,17.18,17.05,17.18,,14200.0
2000-07-05,17.23,17.46,17.2,17.43,,25200.0
2000-07-06,17.41,17.46,17.31,17.33,,84300.0
2000-07-07,17.33,17.33,17.25,17.28,,47600.0
2000-07-10,17.23,17.33,17.2,17.31,,28400.0
2000-07-11,17.33,17.46,17.31,17.46,,93600.0
2000-07-12,17.31,17.61,17.31,17.61,,19900.0
2000-07-13,17.76,17.96,17.68,17.96,,80700.0
2000-07-14,18.02,18.04,17.86,17.89,,68400.0
2000-07-17,17.89,17.94,17.81,17.86,,28500.0
2000-07-18,17.96,17.96,17.84,17.84,,15900.0
2000-07-19,17.94,18.22,17.94,18.09,,22900.0
2000-07-20,18.04,18.47,18.04,18.47,,205900.0
2000-07-21,18.47,18.5,18.17,18.17,,78900.0
2000-07-24,18.27,18.35,18.22,18.29,,89700.0
2000-07-25,18.5,18.73,18.45,18.52,,68900.0
2000-07-26,18.63,18.83,18.63,18.83,,65000.0
2000-07-27,19.03,19.49,18.95,19.44,,67900.0
2000-07-28,19.46,20.09,19.38,19.89,,392700.0
2000-07-31,19.99,20.15,19.66,19.99,,105100.0
2000-08-01,20.07,20.35,20.03,20.22,,99300.0
2000-08-02,20.25,20.81,20.09,20.7,,141700.0
2000-08-03,20.66,20.98,20.6,20.88,,110500.0
2000-08-04,20.83,20.88,20.73,20.83,,80200.0
2000-08-07,20.88,21.11,20.7,20.7,,82800.0
2000-08-08,20.6,20.76,20.48,20.55,,89600.0
2000-08-09,20.45,21.11,20.45,21.01,,78100.0
2000-08-10,21.11,21.11,20.66,20.68,,64300.0
2000-08-11,20.66,20.66,20.35,20.55,,56300.0
2000-08-14,20.55,20.73,20.53,20.66,,21500.0
2000-08-15,20.63,20.66,20.48,20.5,,22000.0
2000-08-16,20.55,20.66,20.55,20.66,,56500.0
2000-08-17,20.6,20.68,20.58,20.66,,29800.0
2000-08-18,20.58,20.7,20.5,20.53,,54300.0
2000-08-21,20.25,20.38,20.09,20.22,,55700.0
2000-08-22,20.17,20.5,20.15,20.45,,71900.0
2000-08-23,20.48,20.48,20.17,20.17,,66300.0
2000-08-24,20.17,20.22,20.12,20.2,,52900.0
2000-08-25,20.15,20.3,20.09,20.27,,78000.0
2000-08-28,20.32,20.32,20.09,20.15,,25100.0
2000-08-29,20.12,20.15,20.09,20.09,,27100.0
2000-08-30,20.09,20.09,19.92,19.99,,87900.0
2000-08-31,19.99,20.02,19.94,19.97,,40200.0
2000-09-01,19.94,19.97,19.94,19.97,,17500.0
2000-09-05,19.94,19.94,19.84,19.87,,19100.0
2000-09-06,19.84,19.87,19.81,19.84,,15700.0
2000-09-07,19.87,19.94,19.84,19.94,,32000.0
2000-09-08,19.97,20.42,19.97,20.4,,62800.0
2000-09-11,20.55,20.88,20.5,20.7,,33700.0
2000-09-12,20.6,20.86,20.53,20.83,,54100.0
2000-09-13,20.83,21.06,20.81,21.06,,32500.0
2000-09-14,20.96,21.26,20.96,21.19,,89100.0
2000-09-15,21.09,21.54,21.01,21.49,,54000.0
2000-09-18,21.52,21.69,21.37,21.44,,133600.0
2000-09-19,21.47,21.82,21.41,21.82,,36100.0
2000-09-20,21.87,22.12,21.84,22.08,,87000.0
2000-09-21,22.18,22.18,21.9,21.9,,48900.0
2000-09-22,21.9,22.43,21.9,22.43,,128600.0
2000-09-25,22.43,22.43,21.97,22.05,,46100.0
2000-09-26,22.1,22.33,22.0,22.2,,70300.0
2000-09-27,22.29,22.6,22.22,22.58,,114400.0
2000-09-28,22.53,23.19,22.53,23.17,,104400.0
2000-09-29,23.17,23.17,22.68,22.73,,110400.0
2000-10-02,22.83,22.94,22.65,22.65,,67800.0
2000-10-03,22.65,22.99,22.65,22.68,,69700.0
2000-10-04,22.65,22.73,22.45,22.7,,79400.0
2000-10-05,22.7,22.81,22.42,22.42,,51400.0
2000-10-06,22.32,22.6,22.27,22.5,,81500.0
2000-10-09,22.6,22.83,22.53,22.63,,51800.0
2000-10-10,22.68,22.88,22.6,22.6,,71200.0
2000-10-11,22.63,22.7,22.47,22.47,,59700.0
2000-10-12,22.47,22.47,21.96,22.06,,65200.0
2000-10-13,21.91,22.14,21.86,22.12,,65100.0
2000-10-16,22.16,22.16,22.01,22.14,,49200.0
2000-10-17,22.16,22.16,21.94,22.16,,80500.0
2000-10-18,22.09,22.09,21.91,22.04,,15400.0
2000-10-19,22.09,22.19,22.09,22.19,,82100.0
2000-10-20,22.16,22.22,22.12,22.16,,26700.0
2000-10-23,22.22,22.35,22.22,22.27,,32000.0
2000-10-24,22.22,22.22,21.6,21.63,,63300.0
2000-10-25,21.6,21.68,21.32,21.5,,45900.0
2000-10-26,21.71,21.71,21.4,21.55,,87700.0
2000-10-27,21.6,21.75,21.57,21.63,,28700.0
2000-10-30,21.57,21.57,21.4,21.45,,23800.0
2000-10-31,21.4,21.42,21.32,21.34,,54000.0
2000-11-01,21.34,21.37,21.22,21.24,,27500.0
2000-11-02,21.34,21.34,21.14,21.24,,75000.0
2000-11-03,21.24,21.24,21.01,21.06,,93800.0
2000-11-06,21.06,21.06,20.86,20.96,,37500.0
2000-11-07,21.01,21.14,20.96,21.14,,18800.0
2000-11-08,21.14,21.14,21.06,21.06,,8500.0
2000-11-09,21.06,21.11,20.91,21.11,,21800.0
2000-11-10,21.14,21.14,20.73,21.04,,33600.0
