time,open,high,low,close,Volume,volume
2018-06-04,43.29,43.47,41.91,42.31,,51172100.0
2018-06-05,42.31,42.31,42.31,42.31,,2904786.0
2018-06-06,42.35,42.46,40.83,40.97,,3642973.0
2018-06-07,40.94,41.19,40.54,40.69,,2928630.0
2018-06-08,40.95,41.15,40.17,40.21,,1830776.0
2018-06-11,40.32,40.56,39.88,40.41,,2490703.0
2018-06-12,40.61,41.11,40.33,40.94,,2956130.0
2018-06-13,41.06,41.63,40.49,40.89,,2088989.0
2018-06-14,41.1,41.34,40.46,40.71,,2494432.0
2018-06-15,40.79,41.66,40.47,41.36,,5928826.0
2018-06-18,41.36,41.7,40.95,41.48,,1874817.0
2018-06-19,41.72,42.31,41.6,42.29,,2585688.0
2018-06-20,42.1,42.68,41.77,42.47,,1355965.0
2018-06-21,42.62,42.92,42.24,42.45,,1951191.0
2018-06-22,42.36,42.75,42.28,42.66,,2453877.0
2018-06-25,42.6,43.17,42.34,43.03,,2031643.0
2018-06-26,42.76,43.76,42.76,43.26,,2018132.0
2018-06-27,43.18,43.73,43.11,43.46,,1506724.0
2018-06-28,43.39,44.11,43.33,43.65,,1226498.0
2018-06-29,43.52,44.08,43.15,44.0,,2189669.0
2018-07-02,43.99,44.58,43.97,44.52,,1952092.0
2018-07-03,44.52,44.72,44.09,44.31,,849502.0
2018-07-05,44.31,44.46,43.85,44.32,,1523880.0
2018-07-06,44.23,44.74,44.2,44.48,,1242355.0
2018-07-09,44.43,44.46,42.78,42.92,,1309031.0
2018-07-10,42.6,43.13,42.45,43.1,,1776735.0
2018-07-11,43.24,43.99,43.04,43.86,,1061935.0
2018-07-12,43.65,43.94,43.37,43.69,,1423293.0
2018-07-13,43.73,43.94,43.53,43.81,,888701.0
2018-07-16,43.69,43.95,43.53,43.88,,740531.0
2018-07-17,44.07,44.2,43.76,43.91,,1213722.0
2018-07-18,43.75,43.91,43.24,43.53,,680418.0
2018-07-19,43.61,44.34,43.61,44.0,,874451.0
2018-07-20,43.7,44.01,43.54,43.65,,817541.0
2018-07-23,43.72,43.73,43.04,43.14,,1459946.0
2018-07-24,43.03,43.34,42.6,43.09,,1560829.0
2018-07-25,43.06,43.51,42.97,43.13,,1947552.0
2018-07-26,43.34,43.79,43.18,43.47,,951611.0
2018-07-27,43.44,43.67,43.02,43.36,,1013210.0
2018-07-30,43.33,43.8,42.96,43.42,,951443.0
2018-07-31,43.5,44.06,43.14,43.95,,1155699.0
