time,open,high,low,close,Volume,volume
1999-11-01,7.29,7.53,7.29,7.46,,311100.0
1999-11-02,7.46,7.63,7.41,7.44,,270500.0
1999-11-03,7.46,7.56,7.41,7.42,,626200.0
1999-11-04,7.44,7.48,7.26,7.33,,365800.0
1999-11-05,7.41,7.44,7.11,7.21,,153700.0
1999-11-08,7.13,7.29,7.13,7.23,,195500.0
1999-11-09,7.24,7.34,7.23,7.34,,134900.0
1999-11-10,7.34,7.61,7.26,7.48,,183100.0
1999-11-11,7.44,7.65,7.44,7.62,,138600.0
1999-11-12,7.59,7.7,7.46,7.65,,71700.0
1999-11-15,7.68,8.11,7.65,7.84,,259200.0
1999-11-16,7.85,8.22,7.81,8.19,,152000.0
1999-11-17,8.19,8.31,7.68,7.75,,215000.0
1999-11-18,7.85,7.85,7.68,7.79,,188100.0
1999-11-19,7.68,7.7,7.46,7.68,,114200.0
1999-11-22,7.72,7.92,7.63,7.91,,96100.0
1999-11-23,7.8,7.92,7.62,7.9,,283700.0
1999-11-24,7.9,8.24,7.81,8.04,,150100.0
1999-11-26,8.0,8.14,7.78,7.8,,23900.0
1999-11-29,7.88,7.96,7.81,7.84,,275400.0
1999-11-30,7.81,7.98,7.57,7.96,,410600.0
1999-12-01,7.95,8.54,7.91,8.47,,394200.0
1999-12-02,8.49,9.06,8.45,8.51,,745300.0
1999-12-03,8.57,8.62,8.4,8.42,,306300.0
1999-12-06,8.42,8.49,8.13,8.31,,158400.0
1999-12-07,8.45,8.49,7.96,8.19,,440000.0
1999-12-08,8.21,8.23,8.01,8.05,,105500.0
1999-12-09,8.23,8.23,8.03,8.13,,264200.0
1999-12-10,8.18,8.2,8.03,8.03,,174600.0
1999-12-13,7.93,8.05,7.81,8.01,,426500.0
1999-12-14,7.95,8.01,7.74,7.74,,236500.0
1999-12-15,7.8,7.8,7.47,7.77,,209700.0
1999-12-16,7.8,8.47,7.71,8.21,,379900.0
1999-12-17,8.2,8.3,7.86,7.86,,202000.0
1999-12-20,7.87,7.96,7.76,7.92,,268500.0
1999-12-21,7.81,7.99,7.65,7.99,,188500.0
1999-12-22,7.96,8.37,7.79,8.31,,94000.0
1999-12-23,8.32,8.51,8.25,8.3,,111800.0
1999-12-27,8.37,8.71,8.37,8.65,,279700.0
1999-12-28,8.76,8.76,8.35,8.39,,83100.0
1999-12-29,8.47,8.49,8.01,8.42,,34900.0
1999-12-30,8.42,8.42,8.1,8.37,,44700.0
1999-12-31,8.42,8.59,8.3,8.55,,147800.0
2000-01-03,8.57,8.59,8.31,8.43,,261700.0
2000-01-04,8.35,8.4,8.29,8.29,,203400.0
2000-01-05,8.34,8.37,8.28,8.35,,142100.0
2000-01-06,8.28,8.45,8.26,8.36,,122600.0
2000-01-07,8.28,8.45,8.18,8.29,,201000.0
2000-01-10,8.28,8.52,8.26,8.41,,435000.0
2000-01-11,8.49,8.49,8.18,8.21,,161900.0
2000-01-12,8.2,8.2,7.81,7.84,,159100.0
2000-01-13,7.91,8.13,7.86,8.07,,140400.0
2000-01-14,8.14,8.74,8.13,8.65,,406300.0
2000-01-18,8.71,8.71,8.18,8.18,,235600.0
2000-01-19,8.15,8.32,8.01,8.27,,214400.0
2000-01-20,8.29,8.37,8.2,8.28,,270200.0
2000-01-21,8.26,8.4,8.2,8.28,,84800.0
2000-01-24,8.3,8.4,7.98,8.2,,361500.0
2000-01-25,8.24,8.4,8.19,8.2,,148900.0
2000-01-26,8.25,8.51,8.25,8.38,,223800.0
2000-01-27,8.45,8.49,8.38,8.38,,171700.0
2000-01-28,8.36,8.49,7.91,8.22,,250100.0
2000-01-31,8.14,8.25,8.03,8.23,,125200.0
2000-02-01,8.3,8.3,7.96,8.24,,201300.0
2000-02-02,8.25,8.25,7.57,8.16,,271400.0
2000-02-03,8.15,8.86,8.1,8.64,,288200.0
2000-02-04,8.7,8.88,8.7,8.76,,173100.0
2000-02-07,8.84,8.84,8.19,8.28,,177400.0
2000-02-08,8.49,8.54,8.18,8.24,,494900.0
2000-02-09,8.25,8.42,7.68,7.81,,319300.0
2000-02-10,7.87,7.91,6.94,7.27,,851000.0
2000-02-11,7.42,7.45,7.13,7.42,,973300.0
2000-02-14,7.41,7.66,7.35,7.37,,649200.0
2000-02-15,7.42,7.45,7.27,7.32,,346500.0
2000-02-16,7.33,7.48,7.27,7.45,,378500.0
2000-02-17,7.48,7.48,6.93,7.13,,333800.0
2000-02-18,7.18,7.18,6.76,6.76,,273100.0
2000-02-22,6.79,6.81,6.57,6.68,,268900.0
2000-02-23,6.68,6.71,6.37,6.37,,705700.0
2000-02-24,6.47,6.96,6.42,6.52,,487100.0
2000-02-25,6.62,6.66,6.49,6.63,,455600.0
2000-02-28,6.58,7.64,6.54,7.63,,439000.0
2000-02-29,7.49,7.55,7.12,7.37,,375600.0
2000-03-01,7.54,7.54,7.3,7.43,,254500.0
2000-03-02,7.35,7.81,7.27,7.55,,374200.0
2000-03-03,7.59,7.64,7.42,7.62,,159200.0
2000-03-06,7.6,7.62,7.18,7.18,,307700.0
2000-03-07,7.25,7.25,7.03,7.13,,220800.0
2000-03-08,7.13,7.25,7.03,7.15,,435100.0
