time,open,high,low,close,Volume,volume
1999-11-01,1.41,1.42,1.38,1.39,,195700.0
1999-11-02,1.39,1.4,1.33,1.37,,463700.0
1999-11-03,1.36,1.4,1.36,1.37,,275300.0
1999-11-04,1.39,1.41,1.38,1.4,,148200.0
1999-11-05,1.42,1.44,1.42,1.43,,175500.0
1999-11-08,1.44,1.45,1.42,1.44,,187800.0
1999-11-09,1.44,1.44,1.37,1.39,,208800.0
1999-11-10,1.39,1.42,1.37,1.38,,322800.0
1999-11-11,1.42,1.48,1.38,1.47,,802600.0
1999-11-12,1.52,1.52,1.42,1.44,,316400.0
1999-11-15,1.43,1.49,1.42,1.48,,327400.0
1999-11-16,1.48,1.49,1.44,1.46,,373200.0
1999-11-17,1.43,1.5,1.41,1.5,,234400.0
1999-11-18,1.5,1.6,1.48,1.6,,449600.0
1999-11-19,1.6,1.66,1.56,1.63,,681500.0
1999-11-22,1.62,1.63,1.58,1.62,,410800.0
1999-11-23,1.63,1.64,1.56,1.59,,380700.0
1999-11-24,1.6,1.61,1.57,1.6,,150800.0
1999-11-26,1.6,1.6,1.58,1.6,,30000.0
1999-11-29,1.58,1.6,1.53,1.54,,121000.0
1999-11-30,1.54,1.54,1.44,1.5,,451700.0
1999-12-01,1.45,1.52,1.44,1.52,,246300.0
1999-12-02,1.53,1.53,1.51,1.52,,92800.0
1999-12-03,1.51,1.53,1.5,1.52,,518800.0
1999-12-06,1.52,1.54,1.48,1.51,,133300.0
1999-12-07,1.51,1.51,1.46,1.46,,219300.0
1999-12-08,1.46,1.46,1.42,1.42,,250200.0
1999-12-09,1.44,1.45,1.41,1.43,,121300.0
1999-12-10,1.43,1.43,1.4,1.4,,122900.0
1999-12-13,1.4,1.47,1.36,1.45,,574000.0
1999-12-14,1.43,1.48,1.42,1.43,,193100.0
1999-12-15,1.44,1.49,1.42,1.48,,320100.0
1999-12-16,1.48,1.49,1.46,1.47,,436600.0
1999-12-17,1.55,1.56,1.44,1.5,,1249900.0
1999-12-20,1.51,1.53,1.49,1.51,,295900.0
1999-12-21,1.51,1.55,1.51,1.55,,194600.0
1999-12-22,1.55,1.59,1.53,1.57,,206600.0
1999-12-23,1.58,1.68,1.57,1.63,,360300.0
1999-12-27,1.64,1.7,1.63,1.69,,261400.0
1999-12-28,1.68,1.78,1.68,1.72,,267500.0
1999-12-29,1.72,1.77,1.68,1.75,,158500.0
1999-12-30,1.74,1.78,1.74,1.75,,181300.0
1999-12-31,1.74,1.81,1.72,1.75,,156700.0
2000-01-03,1.74,1.75,1.64,1.65,,118100.0
2000-01-04,1.64,1.66,1.56,1.56,,105700.0
2000-01-05,1.56,1.63,1.55,1.62,,242000.0
2000-01-06,1.63,1.65,1.61,1.63,,89700.0
2000-01-07,1.63,1.65,1.62,1.62,,299700.0
2000-01-10,1.63,1.63,1.58,1.58,,161700.0
2000-01-11,1.58,1.61,1.58,1.59,,296400.0
2000-01-12,1.58,1.6,1.55,1.56,,242000.0
2000-01-13,1.56,1.9,1.56,1.8,,759400.0
2000-01-14,1.8,1.81,1.75,1.75,,315000.0
2000-01-18,1.75,1.77,1.73,1.73,,172200.0
2000-01-19,1.78,1.95,1.77,1.87,,476600.0
2000-01-20,1.91,1.96,1.88,1.9,,597500.0
2000-01-21,1.9,1.93,1.88,1.91,,432800.0
2000-01-24,1.91,1.91,1.77,1.8,,160300.0
2000-01-25,1.8,1.86,1.79,1.83,,177600.0
2000-01-26,1.84,1.92,1.83,1.92,,176400.0
2000-01-27,1.9,1.95,1.85,1.92,,227100.0
2000-01-28,1.92,1.92,1.82,1.83,,246700.0
2000-01-31,1.85,1.85,1.69,1.71,,372500.0
2000-02-01,1.71,1.83,1.71,1.76,,199900.0
2000-02-02,1.76,1.89,1.76,1.86,,255500.0
2000-02-03,1.85,1.94,1.85,1.89,,165500.0
2000-02-04,1.88,1.93,1.86,1.92,,63600.0
2000-02-07,1.92,1.92,1.88,1.91,,110600.0
2000-02-08,1.92,1.93,1.86,1.91,,173400.0
2000-02-09,1.9,1.91,1.87,1.87,,131400.0
2000-02-10,1.86,1.86,1.8,1.83,,279500.0
2000-02-11,1.83,1.83,1.81,1.81,,113500.0
2000-02-14,1.81,1.84,1.81,1.83,,102800.0
2000-02-15,1.83,1.83,1.78,1.79,,293600.0
2000-02-16,1.78,1.78,1.75,1.75,,134100.0
2000-02-17,1.74,1.78,1.69,1.75,,129200.0
2000-02-18,1.75,1.77,1.72,1.72,,157300.0
2000-02-22,1.72,1.72,1.63,1.65,,165800.0
2000-02-23,1.64,1.71,1.63,1.7,,136400.0
2000-02-24,1.71,1.71,1.64,1.65,,138100.0
2000-02-25,1.65,1.69,1.64,1.64,,124300.0
2000-02-28,1.64,1.65,1.58,1.64,,213900.0
2000-02-29,1.65,1.75,1.63,1.73,,194200.0
2000-03-01,1.7,1.79,1.68,1.77,,177900.0
2000-03-02,1.77,1.77,1.66,1.66,,206000.0
2000-03-03,1.67,1.74,1.66,1.73,,261200.0
2000-03-06,1.72,1.72,1.66,1.69,,188300.0
2000-03-07,1.69,1.7,1.6,1.6,,147100.0
2000-03-08,1.61,1.62,1.59,1.61,,121000.0
2000-03-09,1.62,1.62,1.6,1.6,,185500.0
2000-03-10,1.6,1.6,1.48,1.48,,347500.0
2000-03-13,1.49,1.49,1.43,1.47,,217500.0
2000-03-14,1.48,1.5,1.39,1.39,,310700.0
2000-03-15,1.42,1.55,1.4,1.54,,727900.0
2000-03-16,1.6,1.74,1.6,1.72,,1045100.0
2000-03-17,1.64,1.76,1.61,1.71,,332700.0
2000-03-20,1.73,1.74,1.66,1.68,,339100.0
2000-03-21,1.68,1.8,1.66,1.79,,297600.0
2000-03-22,1.79,1.85,1.77,1.84,,571600.0
2000-03-23,1.81,1.84,1.75,1.79,,228500.0
2000-03-24,1.8,1.85,1.8,1.84,,51300.0
2000-03-27,1.86,1.87,1.76,1.76,,71000.0
2000-03-28,1.78,1.86,1.76,1.82,,104200.0
2000-03-29,1.82,1.84,1.82,1.83,,132900.0
2000-03-30,1.83,1.85,1.81,1.83,,137500.0
2000-03-31,1.82,1.9,1.81,1.87,,373000.0
2000-04-03,1.86,1.88,1.76,1.76,,208000.0
2000-04-04,1.78,1.82,1.75,1.78,,171600.0
2000-04-05,1.78,1.78,1.64,1.75,,72300.0
2000-04-06,1.76,1.87,1.76,1.81,,153600.0
2000-04-07,1.82,1.89,1.81,1.89,,159700.0
2000-04-10,1.87,2.05,1.87,1.97,,523800.0
2000-04-11,1.98,1.99,1.92,1.99,,296400.0
2000-04-12,2.03,2.26,2.03,2.21,,1528000.0
2000-04-13,2.17,2.29,2.15,2.27,,973000.0
2000-04-14,2.25,2.31,2.18,2.27,,1273600.0
2000-04-17,2.24,2.27,2.16,2.26,,930500.0
2000-04-18,2.25,2.26,2.17,2.2,,410400.0
2000-04-19,2.21,2.21,2.11,2.12,,346400.0
2000-04-20,2.11,2.14,2.09,2.1,,253100.0
2000-04-24,2.06,2.32,2.06,2.27,,600400.0
2000-04-25,2.28,2.31,2.24,2.25,,455700.0
2000-04-26,2.25,2.29,2.09,2.16,,155200.0
2000-04-27,2.1,2.24,2.08,2.24,,145500.0
2000-04-28,2.22,2.3,2.22,2.28,,189500.0
2000-05-01,2.29,2.49,2.28,2.44,,1150900.0
2000-05-02,2.44,2.49,2.42,2.45,,467300.0
2000-05-03,2.41,2.5,2.39,2.47,,722400.0
2000-05-04,2.43,2.57,2.42,2.54,,516100.0
2000-05-05,2.5,2.58,2.5,2.57,,286700.0
2000-05-08,2.57,2.61,2.55,2.58,,161300.0
2000-05-09,2.62,2.64,2.58,2.63,,636500.0
