time,open,high,low,close,Volume,volume
2023-01-04,53.99,60.55,53.36,60.33,,33338528.0
2023-01-05,60.48,62.81,57.99,58.84,,8850591.0
2023-01-06,59.52,59.78,57.72,58.79,,5902804.0
2023-01-09,58.63,59.82,57.58,57.95,,5288931.0
2023-01-10,58.99,59.9,57.9,59.84,,6662990.0
2023-01-11,60.28,66.2,59.92,64.82,,9219390.0
2023-01-12,65.91,66.34,63.49,65.48,,5819815.0
2023-01-13,64.83,65.33,63.57,65.27,,3772080.0
2023-01-17,63.77,65.56,63.09,63.16,,3774703.0
2023-01-18,63.03,63.33,61.83,61.92,,2610293.0
2023-01-19,61.17,64.33,61.14,63.77,,2585604.0
2023-01-20,63.79,67.64,63.37,66.59,,4001585.0
2023-01-23,67.17,69.72,66.6,69.34,,3724076.0
2023-01-24,68.85,70.44,68.53,69.42,,2590993.0
2023-01-25,68.28,69.52,66.77,68.53,,2802081.0
2023-01-26,68.33,69.27,67.62,69.04,,2075885.0
2023-01-27,68.68,70.32,68.18,69.89,,2810636.0
2023-01-30,68.23,73.75,67.74,71.31,,4259947.0
2023-01-31,70.82,70.93,68.32,69.34,,3084275.0
2023-02-01,68.82,70.55,67.35,69.82,,2698934.0
2023-02-02,69.41,71.7,68.82,70.46,,2775957.0
2023-02-03,69.45,70.44,68.92,70.36,,3075109.0
2023-02-06,69.72,72.16,69.36,71.67,,2227368.0
2023-02-07,71.39,72.01,70.91,71.44,,1932266.0
2023-02-08,71.02,71.23,69.83,69.98,,1111919.0
2023-02-09,70.06,70.79,68.03,68.23,,1186247.0
2023-02-10,68.02,69.36,68.01,69.06,,1968068.0
2023-02-13,68.34,69.68,67.73,69.25,,2223241.0
2023-02-14,68.77,72.98,68.53,72.42,,3036143.0
2023-02-15,72.51,73.35,71.53,72.13,,1773152.0
2023-02-16,71.41,71.63,70.15,70.72,,1829424.0
2023-02-17,70.78,73.29,70.7,72.98,,2408606.0
2023-02-21,72.43,72.91,72.06,72.28,,1835470.0
2023-02-22,72.08,72.81,70.66,71.75,,2010150.0
2023-02-23,72.25,76.01,72.09,75.7,,3763223.0
2023-02-24,74.64,75.57,74.02,74.81,,2102864.0
2023-02-27,74.8,76.78,74.37,75.84,,2139676.0
2023-02-28,75.84,76.14,75.1,75.8,,3511846.0
2023-03-01,75.17,75.54,74.81,75.1,,2534320.0
2023-03-02,74.59,75.27,74.3,74.84,,1392001.0
2023-03-03,75.33,76.7,74.92,76.17,,2082709.0
2023-03-06,75.71,76.96,75.5,76.48,,1874143.0
2023-03-07,76.16,76.63,75.73,76.05,,1709375.0
2023-03-08,76.05,77.2,75.9,76.43,,1641260.0
2023-03-09,76.8,77.2,75.7,76.18,,1684120.0
2023-03-10,75.68,76.33,74.3,74.77,,3388615.0
2023-03-13,74.75,77.27,73.84,76.04,,2272243.0
2023-03-14,76.49,78.55,76.15,76.94,,1992257.0
2023-03-15,75.73,76.61,75.39,76.56,,2326244.0
2023-03-16,75.76,77.24,75.55,76.42,,1629815.0
2023-03-17,76.66,77.33,75.23,75.64,,5803263.0
2023-03-20,75.29,75.61,74.31,75.0,,1714192.0
2023-03-21,75.45,76.48,75.3,76.32,,1401647.0
2023-03-22,76.66,76.85,74.51,74.57,,1549809.0
2023-03-23,75.21,76.51,74.67,75.51,,1393902.0
2023-03-24,75.06,76.29,74.69,76.26,,1154874.0
2023-03-27,76.62,77.25,76.06,76.18,,1196641.0
2023-03-28,76.18,76.74,75.95,76.7,,760966.0
2023-03-29,77.16,79.26,76.86,79.03,,1786006.0
2023-03-30,79.57,82.07,79.29,81.92,,2188987.0
2023-03-31,82.03,82.37,81.36,81.81,,1916325.0
2023-04-03,81.78,82.4,81.25,81.59,,1913226.0
2023-04-04,81.78,81.94,81.25,81.37,,1552706.0
2023-04-05,81.28,81.58,80.44,80.91,,1410626.0
2023-04-06,80.76,80.85,79.88,79.95,,1356746.0
2023-04-10,79.72,80.42,79.49,80.38,,1579274.0
2023-04-11,80.38,80.47,79.75,80.38,,1167092.0
2023-04-12,80.79,81.68,80.39,81.53,,1232087.0
2023-04-13,81.43,82.95,81.16,82.72,,1252758.0
2023-04-14,82.23,83.06,81.76,82.15,,1163806.0
2023-04-17,81.95,83.02,81.78,82.5,,823819.0
2023-04-18,82.57,83.94,82.57,83.44,,1522137.0
2023-04-19,83.57,86.65,83.53,85.52,,2422919.0
2023-04-20,85.14,86.09,84.46,84.77,,1634914.0
2023-04-21,84.97,86.29,84.86,86.25,,1850558.0
2023-04-24,86.37,87.6,85.95,87.56,,2693549.0
2023-04-25,83.28,83.28,78.57,80.18,,7291417.0
2023-04-26,79.52,80.06,77.35,79.91,,3362577.0
2023-04-27,80.61,81.32,80.41,81.3,,1557122.0
2023-04-28,80.98,81.51,80.8,81.12,,1617659.0
2023-05-01,80.87,81.51,80.51,80.57,,1355960.0
