time,open,high,low,close,Volume,volume
1999-11-01,1.41,1.41,1.41,1.41,,0.0
1999-11-02,0.9,1.14,0.89,1.09,,14230500.0
1999-11-03,1.12,1.17,1.1,1.11,,1603900.0
1999-11-04,1.11,1.13,1.03,1.05,,1081200.0
1999-11-05,1.05,1.07,1.02,1.04,,672300.0
1999-11-08,1.05,1.09,1.04,1.07,,670100.0
1999-11-09,1.08,1.09,1.04,1.04,,346800.0
1999-11-10,1.04,1.05,1.03,1.04,,718200.0
1999-11-11,1.04,1.07,1.03,1.07,,460100.0
1999-11-12,1.07,1.07,1.04,1.04,,697700.0
1999-11-15,1.04,1.06,1.04,1.05,,385000.0
1999-11-16,1.05,1.06,1.04,1.06,,635800.0
1999-11-17,1.06,1.21,1.06,1.16,,1207900.0
1999-11-18,1.16,1.16,1.04,1.05,,1427200.0
1999-11-19,1.06,1.07,1.03,1.03,,561200.0
1999-11-22,1.04,1.05,1.0,1.02,,692600.0
1999-11-23,1.02,1.02,0.96,0.99,,752900.0
1999-11-24,0.98,1.11,0.98,1.08,,414300.0
1999-11-26,1.1,1.11,1.08,1.09,,193700.0
1999-11-29,1.1,1.12,1.08,1.1,,435200.0
1999-11-30,1.1,1.11,1.05,1.07,,490900.0
1999-12-01,1.05,1.07,1.01,1.04,,560200.0
1999-12-02,1.03,1.03,0.98,1.01,,373600.0
1999-12-03,1.03,1.08,1.0,1.02,,528300.0
1999-12-06,1.0,1.03,0.98,0.99,,451400.0
1999-12-07,0.99,1.01,0.95,0.99,,318100.0
1999-12-08,0.98,1.03,0.95,0.96,,329700.0
1999-12-09,0.96,0.96,0.89,0.91,,1008500.0
1999-12-10,0.92,0.92,0.86,0.87,,1109600.0
1999-12-13,0.86,0.92,0.86,0.89,,1124200.0
1999-12-14,0.9,0.9,0.86,0.86,,434700.0
1999-12-15,0.85,0.9,0.84,0.88,,592900.0
1999-12-16,0.89,0.9,0.87,0.87,,556100.0
1999-12-17,0.87,0.88,0.85,0.85,,362300.0
1999-12-20,0.85,0.86,0.83,0.83,,314000.0
1999-12-21,0.83,0.91,0.83,0.91,,1263500.0
1999-12-22,0.91,1.05,0.91,1.01,,1094800.0
1999-12-23,1.05,1.1,1.03,1.04,,945100.0
1999-12-27,1.07,1.09,1.02,1.06,,501500.0
1999-12-28,1.08,1.18,1.08,1.16,,2063300.0
1999-12-29,1.17,1.25,1.16,1.21,,1257900.0
1999-12-30,1.22,1.24,1.21,1.22,,397000.0
1999-12-31,1.21,1.24,1.18,1.21,,272500.0
2000-01-03,1.28,1.29,1.26,1.26,,1689700.0
2000-01-04,1.22,1.23,1.19,1.2,,1217500.0
2000-01-05,1.2,1.2,1.17,1.2,,751200.0
2000-01-06,1.18,1.28,1.18,1.27,,1117500.0
2000-01-07,1.28,1.5,1.28,1.46,,2118100.0
2000-01-10,1.47,1.75,1.46,1.66,,1913100.0
2000-01-11,1.66,1.66,1.48,1.5,,1453200.0
2000-01-12,1.53,1.54,1.45,1.49,,685100.0
2000-01-13,1.54,1.58,1.5,1.57,,744100.0
2000-01-14,1.58,1.61,1.52,1.54,,1215900.0
2000-01-18,1.53,1.54,1.4,1.53,,1208500.0
2000-01-19,1.51,1.51,1.34,1.4,,2552700.0
2000-01-20,1.46,1.46,1.31,1.4,,1239100.0
2000-01-21,1.4,1.44,1.38,1.39,,783800.0
2000-01-24,1.43,1.43,1.24,1.24,,1595700.0
2000-01-25,1.25,1.27,1.17,1.26,,1202700.0
2000-01-26,1.27,1.27,1.17,1.2,,910200.0
2000-01-27,1.22,1.23,1.1,1.11,,728800.0
2000-01-28,1.12,1.14,1.03,1.09,,1404300.0
2000-01-31,1.1,1.17,1.0,1.04,,746700.0
2000-02-01,1.04,1.09,1.02,1.03,,971600.0
2000-02-02,1.04,1.09,1.02,1.03,,1279800.0
2000-02-03,1.05,1.05,1.0,1.0,,1249200.0
2000-02-04,1.03,1.05,1.01,1.04,,1072300.0
2000-02-07,1.06,1.25,1.04,1.21,,1724200.0
2000-02-08,1.24,1.33,1.19,1.32,,1335600.0
2000-02-09,1.35,1.36,1.21,1.23,,1154500.0
2000-02-10,1.25,1.31,1.19,1.24,,996100.0
2000-02-11,1.24,1.26,1.19,1.25,,1113700.0
2000-02-14,1.25,1.35,1.25,1.34,,1066000.0
2000-02-15,1.35,1.43,1.33,1.42,,1638000.0
2000-02-16,1.43,1.52,1.42,1.42,,2033600.0
2000-02-17,1.5,1.69,1.5,1.66,,2272600.0
2000-02-18,1.63,1.8,1.58,1.72,,2366100.0
2000-02-22,1.69,1.71,1.52,1.67,,1382800.0
2000-02-23,1.71,1.72,1.65,1.69,,791300.0
2000-02-24,1.71,1.74,1.61,1.64,,705700.0
2000-02-25,1.7,1.71,1.5,1.61,,1120700.0
2000-02-28,1.58,1.63,1.54,1.58,,893300.0
2000-02-29,1.59,1.71,1.58,1.71,,742700.0
2000-03-01,1.69,1.81,1.69,1.78,,1151100.0
2000-03-02,1.8,1.83,1.71,1.74,,520400.0
2000-03-03,1.76,1.85,1.74,1.78,,526300.0
2000-03-06,1.79,1.89,1.76,1.84,,692600.0
2000-03-07,1.87,1.9,1.63,1.71,,600700.0
2000-03-08,1.8,1.81,1.6,1.65,,499800.0
2000-03-09,1.67,1.7,1.58,1.6,,447000.0
2000-03-10,1.63,1.65,1.55,1.6,,571800.0
2000-03-13,1.54,1.58,1.49,1.51,,569600.0
2000-03-14,1.54,1.65,1.43,1.51,,1349500.0
2000-03-15,1.53,1.57,1.43,1.43,,727400.0
2000-03-16,1.56,1.57,1.44,1.48,,553000.0
2000-03-17,1.45,1.56,1.38,1.42,,590000.0
2000-03-20,1.42,1.54,1.24,1.28,,915600.0
2000-03-21,1.28,1.36,1.19,1.27,,1507300.0
2000-03-22,1.33,1.44,1.32,1.43,,534000.0
2000-03-23,1.51,1.6,1.48,1.55,,1371200.0
2000-03-24,1.56,1.62,1.55,1.57,,577100.0
2000-03-27,1.61,1.61,1.51,1.56,,558400.0
2000-03-28,1.6,1.67,1.55,1.57,,436700.0
2000-03-29,1.61,1.67,1.45,1.49,,682600.0
2000-03-30,1.45,1.45,1.32,1.32,,930700.0
2000-03-31,1.38,1.43,1.36,1.41,,1007300.0
2000-04-03,1.37,1.42,1.34,1.34,,613600.0
2000-04-04,1.36,1.37,1.22,1.32,,732500.0
2000-04-05,1.32,1.45,1.28,1.39,,1123200.0
2000-04-06,1.47,1.5,1.39,1.47,,903900.0
2000-04-07,1.51,1.51,1.41,1.41,,758300.0
2000-04-10,1.42,1.46,1.37,1.38,,485500.0
2000-04-11,1.4,1.4,1.3,1.39,,570000.0
2000-04-12,1.37,1.37,1.25,1.3,,651000.0
2000-04-13,1.31,1.39,1.22,1.36,,758900.0
2000-04-14,1.36,1.36,1.22,1.23,,576900.0
2000-04-17,1.22,1.23,1.13,1.14,,1013500.0
