time,open,high,low,close,Volume,volume
1999-11-01,27.87,28.61,27.87,27.96,,399000.0
1999-11-02,27.91,28.04,27.3,27.46,,150700.0
1999-11-03,27.5,27.54,26.89,27.14,,208500.0
1999-11-04,27.61,27.82,26.75,27.03,,327100.0
1999-11-05,26.87,27.85,26.83,27.45,,310900.0
1999-11-08,27.53,28.64,27.03,27.53,,306900.0
1999-11-09,28.31,28.56,26.99,27.61,,274400.0
1999-11-10,27.45,28.02,26.83,27.45,,209600.0
1999-11-11,27.45,30.98,27.45,30.53,,1424600.0
1999-11-12,30.57,30.9,29.5,29.67,,604800.0
1999-11-15,30.49,30.7,29.71,29.83,,407400.0
1999-11-16,29.99,31.07,29.99,30.9,,419400.0
1999-11-17,30.74,30.78,29.67,29.92,,499700.0
1999-11-18,29.83,30.2,29.46,30.12,,303400.0
1999-11-19,29.13,29.79,29.13,29.63,,197000.0
1999-11-22,29.5,29.79,29.22,29.22,,266700.0
1999-11-23,29.26,29.26,28.39,28.84,,337900.0
1999-11-24,29.38,30.28,29.26,30.16,,437600.0
1999-11-26,30.2,30.61,30.12,30.49,,166500.0
1999-11-29,30.53,31.8,30.53,31.52,,853800.0
1999-11-30,31.52,31.56,30.41,31.03,,336700.0
1999-12-01,30.7,31.27,29.99,31.23,,379500.0
1999-12-02,31.23,31.31,30.7,31.11,,209900.0
1999-12-03,31.93,32.26,31.31,31.44,,420000.0
1999-12-06,31.6,32.13,31.31,31.85,,432800.0
1999-12-07,32.02,32.63,31.93,32.22,,425600.0
1999-12-08,32.18,33.29,32.02,32.59,,586400.0
1999-12-09,32.75,32.75,31.03,31.27,,302200.0
1999-12-10,31.36,31.36,30.49,30.7,,420700.0
1999-12-13,32.02,33.33,31.52,32.41,,486600.0
1999-12-14,32.67,32.71,31.93,31.93,,556600.0
1999-12-15,32.02,32.02,31.11,31.48,,552200.0
1999-12-16,31.27,31.27,30.04,30.41,,846200.0
1999-12-17,30.45,32.18,30.36,30.45,,582900.0
1999-12-20,31.11,31.19,30.28,30.7,,368300.0
1999-12-21,30.61,30.98,30.53,30.78,,211300.0
1999-12-22,30.53,30.65,29.99,30.24,,272500.0
1999-12-23,30.41,31.4,30.41,31.31,,230400.0
1999-12-27,30.94,31.4,30.61,31.11,,267400.0
1999-12-28,31.07,32.42,31.07,31.93,,438600.0
1999-12-29,31.6,31.6,30.82,31.6,,287300.0
1999-12-30,31.6,31.69,31.27,31.6,,146800.0
1999-12-31,31.44,31.6,30.86,31.48,,129000.0
2000-01-03,31.35,31.4,29.75,30.24,,334100.0
2000-01-04,30.12,30.28,29.34,29.38,,216500.0
2000-01-05,29.22,29.63,29.22,29.63,,277100.0
2000-01-06,29.63,29.71,29.46,29.67,,206300.0
2000-01-07,27.98,30.12,27.16,29.22,,1686300.0
2000-01-10,29.38,30.49,28.68,30.49,,562100.0
2000-01-11,30.32,32.18,30.04,31.93,,942300.0
2000-01-12,31.89,33.41,31.89,33.0,,1412800.0
2000-01-13,33.25,34.23,33.08,34.23,,892200.0
2000-01-14,34.73,37.03,34.73,36.62,,1107900.0
2000-01-18,36.62,36.66,35.31,35.97,,582300.0
2000-01-19,35.47,36.13,35.35,36.13,,305500.0
2000-01-20,36.21,36.37,35.47,35.97,,534900.0
2000-01-21,35.14,35.72,35.14,35.59,,537000.0
2000-01-24,35.59,35.88,35.55,35.68,,890100.0
2000-01-25,35.68,35.72,32.59,33.87,,796300.0
2000-01-26,33.21,33.83,32.84,33.17,,617500.0
2000-01-27,33.21,34.23,32.42,33.08,,426300.0
2000-01-28,32.92,32.96,31.69,31.69,,374800.0
2000-01-31,31.77,32.55,30.98,31.56,,595600.0
2000-02-01,31.6,31.6,30.7,30.9,,541300.0
2000-02-02,30.94,31.48,30.94,31.23,,479100.0
2000-02-03,31.05,32.29,30.31,31.38,,695900.0
2000-02-04,31.3,31.91,31.05,31.71,,301400.0
2000-02-07,31.54,31.87,31.46,31.71,,204400.0
2000-02-08,31.71,31.87,31.58,31.71,,318100.0
2000-02-09,31.96,32.37,31.46,32.2,,664300.0
2000-02-10,32.12,33.11,32.0,33.11,,683400.0
2000-02-11,33.03,34.14,32.29,34.06,,628700.0
2000-02-14,34.1,35.05,33.94,34.88,,718000.0
2000-02-15,34.88,34.88,33.52,33.69,,433700.0
2000-02-16,33.69,33.69,32.82,33.4,,490900.0
2000-02-17,33.44,33.44,32.9,32.99,,371500.0
2000-02-18,32.53,32.7,31.05,31.46,,260000.0
2000-02-22,31.54,31.54,30.06,30.88,,345300.0
2000-02-23,31.05,31.25,30.39,31.13,,217500.0
2000-02-24,30.72,30.8,29.77,30.22,,340800.0
2000-02-25,30.18,30.18,27.91,28.61,,646100.0
2000-02-28,28.69,28.94,27.58,28.73,,510800.0
2000-02-29,28.82,29.1,28.16,28.28,,453700.0
2000-03-01,27.99,27.99,26.96,27.74,,422500.0
2000-03-02,27.58,27.58,26.22,26.22,,376000.0
2000-03-03,26.22,27.25,26.05,26.79,,429900.0
2000-03-06,27.08,27.08,26.3,26.71,,479300.0
2000-03-07,27.0,27.08,25.64,25.68,,415300.0
2000-03-08,25.27,25.27,24.61,24.94,,707200.0
2000-03-09,24.86,26.71,24.61,26.71,,656800.0
2000-03-10,26.71,26.71,25.43,26.18,,460900.0
2000-03-13,26.18,26.26,25.1,25.64,,245100.0
2000-03-14,26.75,30.26,26.67,30.06,,1053400.0
2000-03-15,30.06,32.45,29.32,31.01,,1258500.0
2000-03-16,31.71,33.73,31.67,33.69,,1091100.0
2000-03-17,33.73,34.27,32.95,33.32,,921900.0
2000-03-20,33.15,34.18,32.66,33.19,,618600.0
2000-03-21,33.03,34.31,33.03,34.27,,486100.0
