time,open,high,low,close,Volume,volume
1999-11-01,12.92,13.11,12.42,13.09,,3166300.0
1999-11-02,13.01,13.01,12.52,12.56,,1612200.0
1999-11-03,12.56,12.86,12.42,12.56,,2571000.0
1999-11-04,12.69,12.71,12.42,12.42,,1332500.0
1999-11-05,12.56,12.58,11.82,12.01,,2629800.0
1999-11-08,12.01,12.75,11.87,12.75,,1999900.0
1999-11-09,13.09,13.41,12.97,13.3,,2511500.0
1999-11-10,13.56,13.85,13.41,13.47,,2417900.0
1999-11-11,13.47,13.62,13.09,13.13,,2136200.0
1999-11-12,13.16,14.17,13.03,14.08,,2237000.0
1999-11-15,14.23,14.63,14.06,14.53,,2487800.0
1999-11-16,14.53,14.74,14.12,14.38,,2387300.0
1999-11-17,14.44,15.03,14.44,14.91,,2822300.0
1999-11-18,14.91,14.91,14.36,14.46,,1996600.0
1999-11-19,14.38,14.68,14.15,14.21,,2226300.0
1999-11-22,14.42,14.93,13.94,13.96,,3079600.0
1999-11-23,13.98,14.06,13.68,13.83,,1721400.0
1999-11-24,14.0,14.12,13.68,13.87,,1491100.0
1999-11-26,13.79,13.83,13.49,13.53,,593200.0
1999-11-29,13.41,13.43,12.88,13.07,,1557800.0
1999-11-30,12.98,13.39,12.88,13.09,,2307000.0
1999-12-01,13.2,13.96,13.05,13.94,,1944400.0
1999-12-02,13.6,13.86,13.13,13.42,,3113400.0
1999-12-03,13.39,13.43,12.84,13.03,,1844000.0
1999-12-06,13.01,13.2,12.5,12.56,,2434700.0
1999-12-07,12.5,12.73,11.97,12.05,,3184200.0
1999-12-08,11.86,12.73,11.52,12.54,,4884500.0
1999-12-09,12.48,12.63,11.95,12.25,,3245600.0
1999-12-10,12.2,12.25,11.78,11.84,,2268400.0
1999-12-13,12.1,12.35,11.63,11.71,,2040600.0
1999-12-14,11.67,12.12,11.63,11.88,,2936100.0
1999-12-15,12.2,12.88,12.1,12.52,,4228800.0
1999-12-16,12.69,12.96,12.48,12.58,,2201300.0
1999-12-17,12.46,12.65,12.27,12.46,,2261300.0
1999-12-20,12.29,12.54,12.01,12.21,,1308500.0
1999-12-21,12.2,12.63,12.18,12.6,,1865900.0
1999-12-22,12.69,13.03,12.46,12.98,,2551200.0
1999-12-23,13.03,13.43,12.81,13.32,,1674100.0
1999-12-27,13.54,13.69,13.39,13.39,,1986000.0
1999-12-28,13.54,13.79,13.43,13.52,,1072300.0
1999-12-29,13.6,13.96,13.56,13.64,,1130800.0
1999-12-30,13.66,13.66,13.13,13.13,,773200.0
1999-12-31,13.18,13.79,13.15,13.64,,805900.0
2000-01-03,13.71,13.71,12.81,12.98,,1745400.0
2000-01-04,12.73,13.22,12.73,13.05,,2484100.0
2000-01-05,12.71,12.86,12.39,12.63,,3762300.0
2000-01-06,12.48,13.05,12.48,12.98,,4434300.0
2000-01-07,13.3,13.86,13.07,13.79,,4368700.0
2000-01-10,14.0,14.0,12.98,13.24,,2720000.0
2000-01-11,13.37,13.73,13.13,13.73,,2876000.0
2000-01-12,13.56,13.73,12.77,12.79,,2920300.0
2000-01-13,12.98,13.3,12.88,12.96,,3852600.0
2000-01-14,13.05,13.28,12.69,13.07,,3541500.0
2000-01-18,12.98,14.32,12.96,14.13,,6354200.0
2000-01-19,14.13,14.4,13.92,14.3,,3856000.0
2000-01-20,14.3,14.3,13.83,13.83,,4899000.0
2000-01-21,14.07,14.74,14.0,14.36,,3227800.0
2000-01-24,14.36,14.74,13.32,13.52,,3026100.0
2000-01-25,13.54,14.05,13.26,13.56,,2874000.0
2000-01-26,13.9,14.19,13.03,13.11,,4111500.0
2000-01-27,13.22,13.54,12.41,12.71,,3352000.0
2000-01-28,12.46,12.75,11.95,12.14,,3666700.0
2000-01-31,12.16,12.37,12.03,12.25,,2984700.0
2000-02-01,12.31,12.5,12.05,12.33,,2995600.0
2000-02-02,12.63,12.67,12.41,12.58,,3056700.0
2000-02-03,12.67,12.73,12.39,12.67,,2135900.0
2000-02-04,12.5,12.65,12.31,12.48,,2342100.0
2000-02-07,12.48,12.96,12.39,12.67,,1941700.0
2000-02-08,13.01,13.01,12.35,12.5,,2279800.0
2000-02-09,12.41,12.67,11.74,12.03,,3264400.0
2000-02-10,11.88,12.2,11.84,12.01,,3803200.0
2000-02-11,12.16,12.18,11.52,11.61,,3103600.0
2000-02-14,11.78,12.29,11.42,12.18,,3095600.0
2000-02-15,12.2,13.07,12.18,13.05,,3989300.0
2000-02-16,13.22,13.47,13.09,13.26,,3824200.0
