time,open,high,low,close,Volume,volume
1999-11-01,30.14,30.71,30.11,30.39,,3602800.0
1999-11-02,30.69,30.89,30.19,30.69,,3789400.0
1999-11-03,30.59,30.66,29.84,29.99,,3053000.0
1999-11-04,30.41,30.66,30.16,30.29,,2250667.0
1999-11-05,30.69,31.38,30.69,31.08,,3704400.0
1999-11-08,31.08,31.66,30.91,31.54,,3963267.0
1999-11-09,31.31,31.88,30.41,31.88,,6376000.0
1999-11-10,30.99,31.08,30.66,30.76,,4324667.0
1999-11-11,30.84,31.46,30.71,31.41,,2483667.0
1999-11-12,31.66,32.13,31.41,32.06,,3155067.0
1999-11-15,32.2,32.2,31.06,31.38,,4470000.0
1999-11-16,31.38,32.03,31.04,32.03,,4448067.0
1999-11-17,31.93,32.53,31.81,31.86,,3999667.0
1999-11-18,31.98,33.28,31.91,33.08,,6823800.0
1999-11-19,32.85,33.08,32.46,32.78,,4187667.0
1999-11-22,33.03,33.03,32.06,32.48,,3649267.0
1999-11-23,31.91,32.38,31.81,32.16,,3493400.0
1999-11-24,32.06,32.18,31.51,31.68,,2912667.0
1999-11-26,31.83,32.08,31.78,32.08,,1236200.0
1999-11-29,32.01,32.13,31.71,31.88,,2724200.0
1999-11-30,32.23,32.3,31.51,31.58,,3068800.0
1999-12-01,31.78,32.46,31.66,32.43,,3446667.0
1999-12-02,32.4,32.9,32.01,32.41,,3595067.0
1999-12-03,33.1,33.65,33.03,33.6,,4721800.0
1999-12-06,33.58,33.58,33.0,33.24,,2636800.0
1999-12-07,33.28,33.45,32.95,33.2,,2950000.0
1999-12-08,33.38,34.1,33.13,33.62,,3799667.0
1999-12-09,33.2,34.85,33.2,34.8,,6136067.0
1999-12-10,35.1,35.67,35.02,35.5,,5247800.0
1999-12-13,35.87,37.09,35.75,36.34,,6056400.0
1999-12-14,36.82,37.04,36.27,36.89,,5036867.0
1999-12-15,36.29,37.39,36.15,37.29,,6807000.0
1999-12-16,37.34,38.59,37.14,38.56,,5135200.0
1999-12-17,38.66,39.38,38.61,39.38,,9681200.0
1999-12-20,39.28,39.41,38.19,39.27,,4673667.0
1999-12-21,38.39,38.61,37.84,38.21,,3308867.0
1999-12-22,38.46,38.76,37.91,38.41,,2324067.0
1999-12-23,38.86,39.06,38.44,38.74,,2412000.0
1999-12-27,39.08,39.34,38.74,39.01,,3947667.0
1999-12-28,39.01,40.52,38.89,39.74,,3224800.0
1999-12-29,40.6,41.12,40.08,40.24,,2657400.0
1999-12-30,40.6,40.84,39.83,39.96,,2805667.0
1999-12-31,40.35,41.73,40.23,41.13,,2065200.0
2000-01-03,41.05,41.39,38.17,39.0,,12030800.0
2000-01-04,38.29,38.47,34.1,35.0,,8774500.0
2000-01-05,36.94,37.69,36.49,36.94,,6931400.0
2000-01-06,36.87,37.09,35.89,35.89,,6603400.0
2000-01-07,36.94,37.99,36.34,37.99,,6201600.0
2000-01-10,37.09,38.02,37.09,37.8,,5453000.0
2000-01-11,37.95,38.07,36.64,36.83,,4371500.0
2000-01-12,36.83,37.13,36.31,36.53,,4599400.0
2000-01-13,37.17,37.39,36.79,37.17,,4538900.0
2000-01-14,37.32,37.35,36.61,37.05,,4578000.0
2000-01-18,36.64,36.64,35.97,36.19,,5322000.0
2000-01-19,35.97,37.35,35.97,37.02,,5176400.0
2000-01-20,36.83,36.94,35.82,36.38,,7213400.0
2000-01-21,36.79,36.79,35.56,35.89,,6682900.0
2000-01-24,36.46,36.46,33.91,34.7,,7339600.0
2000-01-25,34.1,34.18,32.83,33.58,,10252400.0
2000-01-26,33.47,34.51,32.94,34.33,,8468400.0
2000-01-27,34.63,35.6,33.62,34.85,,6915900.0
2000-01-28,34.1,34.36,33.2,33.28,,7425100.0
2000-01-31,33.8,33.99,32.94,33.88,,5958600.0
2000-02-01,34.06,37.09,33.99,37.09,,10950500.0
2000-02-02,36.49,36.79,35.67,36.34,,5862100.0
2000-02-03,36.19,36.27,35.3,36.19,,4008800.0
2000-02-04,36.49,36.79,36.08,36.56,,4063900.0
2000-02-07,36.49,36.49,35.3,35.3,,3796600.0
2000-02-08,35.74,36.76,35.63,36.49,,4501700.0
2000-02-09,36.68,36.68,35.15,35.15,,5289700.0
2000-02-10,35.3,35.86,34.93,35.63,,3644900.0
2000-02-11,35.6,36.19,35.41,35.93,,4647100.0
2000-02-14,35.6,36.19,35.56,36.08,,3173900.0
2000-02-15,35.93,36.01,35.33,35.74,,3531100.0
2000-02-16,35.15,35.52,33.35,34.25,,6829800.0
2000-02-17,34.25,34.36,32.04,32.6,,10785700.0
2000-02-18,32.64,33.39,31.59,32.16,,10402700.0
2000-02-22,32.38,33.24,31.78,32.08,,8019200.0
2000-02-23,32.42,32.9,31.63,32.79,,6533700.0
2000-02-24,32.87,33.02,31.49,31.74,,7763600.0
2000-02-25,32.01,32.45,31.56,31.71,,6155600.0
2000-02-28,32.16,34.03,31.67,33.99,,8120100.0
2000-02-29,34.36,34.96,33.99,34.4,,7119900.0
2000-03-01,34.58,34.88,32.49,33.28,,6504000.0
2000-03-02,33.24,33.65,32.42,32.98,,5352000.0
2000-03-03,33.2,33.39,32.53,32.6,,5832800.0
2000-03-06,32.53,32.72,31.78,32.23,,4821800.0
2000-03-07,32.93,32.93,30.53,31.36,,8491900.0
2000-03-08,31.32,32.18,30.95,31.43,,6631400.0
2000-03-09,31.92,33.23,30.98,33.11,,5736400.0
2000-03-10,33.31,33.41,31.96,32.03,,4456000.0
2000-03-13,31.51,31.84,31.02,31.73,,4412500.0
2000-03-14,31.58,31.92,31.06,31.32,,5094600.0
2000-03-15,31.51,34.28,31.06,34.13,,8097100.0
2000-03-16,35.32,37.05,35.1,36.82,,12165000.0
2000-03-17,36.82,38.65,36.82,37.83,,13587500.0
2000-03-20,37.98,38.39,37.08,38.1,,5350300.0
2000-03-21,38.1,38.73,37.01,38.02,,5552300.0
2000-03-22,37.35,38.28,36.6,37.75,,4746500.0
2000-03-23,37.75,38.5,37.23,38.39,,5540300.0
2000-03-24,38.32,39.1,38.02,38.54,,5903600.0
2000-03-27,38.54,38.69,37.72,38.54,,3828000.0
2000-03-28,37.75,39.36,37.72,38.32,,4848400.0
2000-03-29,38.84,41.05,38.84,41.01,,6944300.0
2000-03-30,40.71,41.65,39.48,40.11,,7934300.0
2000-03-31,40.11,40.3,38.47,38.62,,5169700.0
2000-04-03,39.21,40.75,39.18,40.71,,5898500.0
2000-04-04,40.56,41.09,37.98,38.69,,8188500.0
2000-04-05,38.02,38.69,37.72,38.32,,5348300.0
2000-04-06,38.28,40.11,37.87,39.48,,4234800.0
2000-04-07,39.59,40.3,38.39,38.39,,3425100.0
2000-04-10,38.99,40.26,38.47,39.93,,3992300.0
2000-04-11,39.33,40.34,39.29,40.34,,3714600.0
2000-04-12,40.83,41.91,39.7,39.7,,7081600.0
2000-04-13,39.7,39.7,35.92,37.42,,7953100.0
2000-04-14,35.92,36.07,34.09,36.07,,7695600.0
2000-04-17,33.75,34.84,33.11,34.28,,8667000.0
2000-04-18,34.13,35.51,33.56,35.17,,7233700.0
2000-04-19,35.14,35.92,34.5,35.17,,5078400.0
2000-04-20,34.8,35.4,34.28,35.1,,4111100.0
2000-04-24,34.72,36.97,34.65,35.66,,4850200.0
2000-04-25,36.07,36.11,35.14,35.32,,5227700.0
2000-04-26,35.62,36.45,35.59,36.22,,4469400.0
2000-04-27,35.92,35.92,34.87,35.21,,4940000.0
2000-04-28,34.87,35.25,33.23,33.83,,6475300.0
2000-05-01,33.83,34.65,33.6,33.6,,4360000.0
2000-05-02,34.28,34.69,33.56,34.01,,3961700.0
2000-05-03,33.23,33.26,31.47,32.33,,6666000.0
2000-05-04,32.18,32.22,31.02,31.43,,6863800.0
2000-05-05,31.02,32.03,30.65,31.92,,6345700.0
2000-05-08,31.81,32.41,31.13,32.07,,5133800.0
2000-05-09,32.07,32.71,30.98,31.43,,4821700.0
2000-05-10,31.43,32.48,30.95,32.33,,6547300.0
2000-05-11,32.63,33.08,31.77,32.26,,4413300.0
2000-05-12,32.18,33.08,32.11,32.33,,3683400.0
2000-05-15,32.03,34.05,32.03,33.83,,5611300.0
2000-05-16,33.83,33.83,31.13,31.99,,13052500.0
2000-05-17,31.58,31.99,30.83,31.28,,7027500.0
2000-05-18,31.06,31.99,30.72,30.83,,6951400.0
2000-05-19,30.65,31.28,30.57,30.87,,5682600.0
2000-05-22,30.95,31.13,29.93,30.16,,5313500.0
2000-05-23,30.31,30.61,28.85,29.79,,6293100.0
2000-05-24,28.74,28.74,26.42,27.99,,17769300.0
2000-05-25,28.74,29.82,27.73,27.84,,8621100.0
2000-05-26,29.04,29.19,27.69,28.07,,4711400.0
2000-05-30,28.44,28.62,27.92,28.29,,4767600.0
2000-05-31,27.99,29.41,27.92,29.34,,6583700.0
2000-06-01,29.34,29.97,29.04,29.86,,6049000.0
2000-06-02,31.58,32.33,31.13,32.11,,8388800.0
2000-06-05,32.03,32.11,31.28,31.36,,3858000.0
2000-06-06,31.17,31.17,29.97,30.16,,6753000.0
2000-06-07,30.68,31.02,29.86,30.27,,4581800.0
2000-06-08,30.8,30.83,29.64,29.86,,5036400.0
2000-06-09,30.16,30.68,28.52,28.85,,5466100.0
2000-06-12,28.47,28.47,26.94,27.54,,12584100.0
2000-06-13,27.64,29.77,27.53,29.59,,9177000.0
2000-06-14,29.81,30.56,29.4,30.56,,8827700.0
2000-06-15,30.52,30.71,30.11,30.49,,5048400.0
2000-06-16,30.49,30.56,29.7,29.85,,7158700.0
2000-06-19,29.59,29.96,29.21,29.96,,5058600.0
2000-06-20,29.44,29.81,28.99,29.29,,5080900.0
2000-06-21,29.29,29.29,28.57,29.1,,3773900.0
2000-06-22,28.54,28.87,28.13,28.69,,5537600.0
2000-06-23,28.8,28.84,28.2,28.76,,3631600.0
2000-06-26,28.54,28.99,28.2,28.24,,3663400.0
2000-06-27,28.54,30.04,28.46,29.7,,6641200.0
2000-06-28,29.85,29.92,28.84,28.84,,5233400.0
2000-06-29,28.84,28.91,28.24,28.69,,5339200.0
2000-06-30,28.8,29.98,28.54,29.92,,5055500.0
2000-07-03,29.77,29.89,29.14,29.77,,1885300.0
2000-07-05,29.92,30.49,29.74,30.11,,4063400.0
2000-07-06,30.19,31.24,29.96,30.71,,4646900.0
2000-07-07,31.76,33.48,31.39,33.25,,10254800.0
2000-07-10,33.14,34.83,32.81,34.45,,9340900.0
2000-07-11,34.38,35.09,34.19,34.53,,7711000.0
2000-07-12,34.57,34.79,33.78,34.38,,5062400.0
2000-07-13,34.53,34.57,33.4,33.67,,3751500.0
2000-07-14,33.97,33.97,33.18,33.82,,3456600.0
2000-07-17,34.08,34.15,33.33,34.08,,3686600.0
2000-07-18,34.08,34.87,34.0,34.38,,4019800.0
2000-07-19,34.49,34.53,34.04,34.23,,2794900.0
2000-07-20,34.23,35.05,34.15,34.79,,4664500.0
2000-07-21,34.98,35.2,34.23,34.23,,3611700.0
2000-07-24,33.85,33.97,32.84,33.55,,3839900.0
2000-07-25,33.4,33.44,32.43,32.95,,4115200.0
2000-07-26,32.66,33.48,32.09,32.09,,5031400.0
2000-07-27,32.54,32.84,32.21,32.81,,3319300.0
2000-07-28,32.84,32.92,31.31,31.57,,3639900.0
2000-07-31,31.68,31.72,30.79,31.01,,3888800.0
2000-08-01,31.12,31.46,30.56,31.16,,3623600.0
2000-08-02,31.39,32.06,31.09,31.83,,3331100.0
2000-08-03,31.87,32.28,30.82,31.01,,3913800.0
2000-08-04,31.04,32.36,30.94,32.36,,4235200.0
2000-08-07,31.53,33.25,31.53,32.95,,4122900.0
2000-08-08,32.95,35.02,32.92,34.15,,6870100.0
2000-08-09,34.34,34.75,33.4,34.75,,4782800.0
2000-08-10,34.38,34.42,33.03,33.03,,4227000.0
2000-08-11,32.95,33.85,32.95,33.52,,2719500.0
2000-08-14,34.04,35.95,34.04,35.35,,5011300.0
2000-08-15,33.55,33.59,31.76,32.13,,16307100.0
2000-08-16,31.27,31.31,29.81,30.56,,20874900.0
2000-08-17,30.64,30.86,30.22,30.74,,6989900.0
2000-08-18,30.64,31.24,30.41,30.79,,6392800.0
2000-08-21,30.64,30.82,29.92,30.49,,5822700.0
2000-08-22,30.52,31.16,30.29,30.67,,4724000.0
2000-08-23,30.69,30.79,30.26,30.79,,5202900.0
2000-08-24,30.34,30.52,29.89,30.22,,5200800.0
2000-08-25,30.22,30.37,30.04,30.26,,3784300.0
2000-08-28,30.34,30.44,29.96,29.96,,4950400.0
2000-08-29,29.95,30.17,29.42,29.8,,5433100.0
2000-08-30,29.53,29.57,28.78,29.01,,8329200.0
2000-08-31,28.9,29.61,28.78,28.82,,8541200.0
2000-09-01,29.38,29.38,28.82,29.12,,5517300.0
2000-09-05,29.35,30.58,29.16,30.06,,5492500.0
2000-09-06,30.36,30.66,30.28,30.36,,5266700.0
2000-09-07,30.36,30.58,30.02,30.28,,5109900.0
2000-09-08,30.51,32.05,30.43,31.75,,7810500.0
2000-09-11,31.78,32.91,31.75,32.53,,5222000.0
2000-09-12,32.8,33.55,32.53,33.51,,6328100.0
2000-09-13,33.13,33.66,32.31,32.83,,7056100.0
2000-09-14,33.51,33.7,32.83,33.28,,5346800.0
2000-09-15,33.55,33.55,32.53,32.53,,6577700.0
2000-09-18,32.76,33.47,32.2,33.02,,4399500.0
2000-09-19,32.98,33.06,31.63,31.78,,4102400.0
2000-09-20,32.08,32.27,31.52,31.78,,3739300.0
2000-09-21,31.86,33.58,31.78,32.98,,5001200.0
2000-09-22,32.83,33.55,32.53,33.55,,5557600.0
2000-09-25,33.55,33.55,32.2,32.76,,4601800.0
2000-09-26,32.65,32.68,31.3,32.01,,5580200.0
2000-09-27,32.95,32.95,32.16,32.83,,5173100.0
2000-09-28,32.53,32.98,32.27,32.98,,3416400.0
2000-09-29,32.46,32.83,31.71,31.75,,4396400.0
2000-10-02,32.35,32.35,31.52,31.52,,3095900.0
2000-10-03,31.75,32.83,31.63,32.27,,4093700.0
2000-10-04,32.27,34.07,32.27,33.32,,5747000.0
2000-10-05,32.38,33.43,31.86,32.23,,7223900.0
2000-10-06,30.73,31.0,30.06,30.62,,9449800.0
2000-10-09,30.62,31.07,30.36,30.51,,2754300.0
2000-10-10,30.66,30.88,30.13,30.4,,3018200.0
2000-10-11,30.1,30.73,29.35,29.35,,5142600.0
2000-10-12,22.34,22.79,20.8,20.92,,66652300.0
2000-10-13,21.25,21.85,20.92,21.77,,43718200.0
2000-10-16,22.15,22.6,22.12,22.6,,16537300.0
2000-10-17,22.49,22.57,21.02,21.07,,13126400.0
2000-10-18,21.14,21.92,20.84,21.89,,13906400.0
2000-10-19,22.57,23.24,22.22,23.16,,12302400.0
2000-10-20,23.16,24.36,22.94,23.65,,9776600.0
2000-10-23,24.36,24.96,24.02,24.32,,7514900.0
2000-10-24,24.77,24.77,23.24,23.54,,11845200.0
2000-10-25,23.24,23.5,22.97,23.02,,6196400.0
2000-10-26,23.09,23.54,23.05,23.35,,6469300.0
2000-10-27,23.24,23.87,22.94,23.61,,5017600.0
2000-10-30,23.84,25.22,23.84,24.55,,8475400.0
2000-10-31,25.49,26.16,25.19,25.79,,7567900.0
2000-11-01,25.79,26.57,25.52,26.42,,6781100.0
2000-11-02,26.24,26.27,25.26,25.64,,8273900.0
2000-11-03,25.49,25.56,24.47,24.74,,5857800.0
2000-11-06,25.0,25.19,24.4,24.77,,6531600.0
2000-11-07,25.19,25.26,24.55,24.81,,3723100.0
2000-11-08,25.15,25.52,24.74,24.74,,5220600.0
2000-11-09,23.99,24.06,23.16,23.27,,7868600.0
2000-11-10,22.19,22.49,21.7,21.74,,12460000.0
2000-11-13,21.29,22.9,21.25,22.42,,16025400.0
2000-11-14,23.99,24.44,23.42,23.5,,11823600.0
2000-11-15,23.99,24.21,22.97,23.76,,10061600.0
2000-11-16,23.8,23.95,23.5,23.5,,5515400.0
2000-11-17,23.61,23.84,22.97,23.27,,7022900.0
2000-11-20,23.27,23.54,22.97,23.31,,5796900.0
2000-11-21,23.39,23.84,22.42,22.94,,7188100.0
2000-11-22,22.94,22.97,22.0,22.04,,5832700.0
2000-11-24,23.09,23.09,22.42,22.49,,3615300.0
2000-11-27,23.65,23.65,22.94,23.24,,7418800.0
2000-11-28,23.41,24.31,23.26,23.75,,7382700.0
2000-11-29,24.09,24.24,23.79,24.01,,7667000.0
2000-11-30,23.86,24.01,23.26,23.52,,7619600.0
2000-12-01,23.56,24.05,23.37,23.37,,5532200.0
2000-12-04,23.41,24.58,23.26,24.46,,8811100.0
2000-12-05,24.39,26.41,23.94,26.41,,12795600.0
2000-12-06,27.46,27.5,26.56,27.05,,18096600.0
2000-12-07,27.05,27.65,26.75,26.98,,10976300.0
2000-12-08,27.58,28.48,27.16,28.36,,10211000.0
2000-12-11,27.58,28.25,26.94,27.09,,9399800.0
2000-12-12,26.71,27.31,26.64,27.01,,6589300.0
2000-12-13,27.09,27.24,26.49,27.13,,6351200.0
2000-12-14,26.79,26.98,26.26,26.34,,5402100.0
2000-12-15,25.36,25.66,24.84,25.18,,11467700.0
2000-12-18,26.0,26.79,25.96,26.49,,7372200.0
2000-12-19,26.71,26.83,25.48,25.59,,7366700.0
2000-12-20,24.76,25.21,24.12,24.69,,7784300.0
